cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1001,111,0,high_1,{Name}躺在床上，闭上眼睛，感觉身体逐渐放松，呼吸变得平稳而深沉，眼皮也渐渐沉重，慢慢睡着了。
1002,111,0,high_1,{Name}枕在舒适的枕头上，看着天花板上的灯光，感受到周围的一切都在变得模糊，身体逐渐变得沉重，呼吸也变得缓慢而有规律，慢慢地陷入了甜美的梦乡。
1003,111,0,high_1,{Name}蜷缩在被窝里，感受到温暖的被子包裹着身体，眼睛逐渐闭上，呼吸也变得越来越轻柔，慢慢地沉入了梦境之中。
1004,111,0,high_1,{Name}闭上眼睛，感受到周围的一切都在变得安静，身体也逐渐放松，呼吸变得平稳而有节奏，进入了睡眠状态。
1005,111,0,high_1,{Name}舒展开四肢，躺在柔软的床垫上，感受到身体逐渐沉重，呼吸也变得越来越慢，慢慢地进入了美好的梦境。
1006,111,0,high_1,{Name}蜷缩在被窝里，感受到周围的一切都在变得模糊，身体也逐渐变得沉重，呼吸变得越来越平稳，慢慢地沉入了梦乡之中。
1007,111,0,high_1,{Name}静静地躺在床上，感受到身体逐渐放松，呼吸变得越来越轻柔，思维也变得越来越模糊，慢慢地陷入了甜美的梦境。
1008,111,0,high_1,{Name}躺在床上，感受到周围的一切都在变得安静，身体也逐渐变得沉重，呼吸变得越来越平稳，慢慢地进入了睡眠状态。
1009,111,0,high_1,{Name}枕着柔软的枕头，感受到身体逐渐放松，呼吸也变得越来越平稳，思维逐渐变得模糊，慢慢地沉入了美好的梦境。
1010,111,0,high_1,{Name}闭上双眼，感觉到周围的环境变得越来越安静，心跳也逐渐减缓，沉浸在一片宁静之中，进入了浅层睡眠状态。
1011,111,0,high_1,{Name}蜷缩在被窝里，感觉到身体的每一个细胞都在慢慢地放松，思绪也逐渐停止了转动，进入了一个完全放松的状态。
1012,111,0,high_1,{Name}听着柔和的音乐，感觉到自己的身体和心灵都在逐渐平静下来，进入了一个舒适而平和的睡眠状态。
1013,111,0,high_1,{Name}感到疲倦不已，闭上眼睛，开始深呼吸，感觉到每一次呼吸都让自己更加放松，最终进入了一个浅层睡眠的状态。
1014,111,0,high_1,{Name}躺在床上，想着愉快的事情，感受到自己的身体逐渐松弛，呼吸变得越来越平稳，最终进入了一个美好的梦乡。
1015,111,0,high_1,{Name}喝了一杯温牛奶，感觉到舒服的温度和香甜的味道，身体逐渐放松，呼吸变得慢而深，最终进入了一个舒适的睡眠状态。
1016,111,0,high_1,{Name}躺在床上，感觉到自己的头枕在柔软的枕头上，身体逐渐放松，呼吸变得越来越轻柔，最终进入了一个安详的睡眠状态。
1017,111,0,high_1,{Name}躺在床上，感受到身体逐渐变得轻盈，思维也逐渐变得模糊，最终进入了一个神奇的世界。
1018,111,0,high_1,{Name}在床上安静地躺着，感受到身体逐渐变得温暖，思维也逐渐变得空灵，最终进入了一个美妙的梦境。
1019,111,0,high_1,{Name}躺在床上，感觉到周围的气息和声音都在逐渐消失，身体逐渐放松，呼吸变得越来越慢，最终进入了一个浅层睡眠的状态。
1020,111,0,high_1,{Name}在床上蜷缩着身体，感觉到温暖的被窝包裹着自己，身体逐渐放松，呼吸变得越来越平稳，最终进入了一个舒适的睡眠状态。
1021,111,0,high_1,{Name}躺在床上，感觉到自己的身体逐渐变得轻盈，思绪也逐渐平静，呼吸变得越来越慢，最终进入了一个安详的睡眠状态。
1022,111,0,high_1,{Name}听着耳机里海浪拍岸的声音，感觉到自己的身体和心灵都在逐渐平静下来，呼吸变得越来越缓慢，最终进入了一个美好的梦乡。
1023,111,0,high_1,{Name}躺在床上，感觉到自己的身体逐渐松弛，思绪也逐渐清空，呼吸变得越来越轻柔，最终进入了一个浅层睡眠的状态。
1024,111,0,high_1,{Name}在床上侧躺着，感觉到自己的身体逐渐放松，呼吸变得越来越平稳，最终进入了一个舒适的睡眠状态。
1025,111,0,high_1,{Name}躺在床上，感觉到自己的身体逐渐变得沉重，思绪也逐渐停止了转动，呼吸变得越来越缓慢，最终进入了一个安详的睡眠状态。
1026,111,0,high_1,{Name}在床上仰卧着，感觉到自己的身体逐渐松弛，呼吸变得越来越慢，最终进入了一个浅层睡眠的状态。
1027,111,0,high_1,{Name}躺在床上，感觉到自己的身体逐渐变得温暖，思绪也逐渐平静，呼吸变得越来越轻柔，最终进入了一个美好的梦乡。
1028,111,0,high_1,{Name}在床上侧躺着，感觉到自己的身体逐渐沉入床垫中，呼吸变得越来越平稳，最终进入了一个舒适的睡眠状态。
1029,111,0,high_1,{Name}躺在床上，感觉到自己的身体逐渐放松，思绪也逐渐清空，呼吸变得越来越慢，最终进入了一个浅层睡眠的状态。
1030,111,0,high_1,{Name}在床上仰卧着，感觉到自己的身体逐渐变得轻盈，呼吸变得越来越平稳，最终进入了一个安详的睡眠状态。
