cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}将勃起的阴茎贴在{TargetName}头上的帽子表面轻轻摩擦，几下之后便射出精液，白浊液体沿着帽子的表面缓缓流淌\n{TargetName}看着自己的帽子被沾染上白色液体，表情微微变化，却没有立即取下\n{Name}满意地看着自己的杰作，手指轻轻抹过帽子表面，将白浊液体涂抹得更加均匀\n空气中弥漫着一股独特的腥膻气息，两人的呼吸都变得有些急促\n
1000,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}双手轻轻抬起{TargetName}的帽子边缘，将勃起的阴茎插入帽子与头发之间的缝隙中摩擦，很快便到达临界点\n随着一声低吟，{Name}射出精液，白浊液体沿着{TargetName}的发丝和帽子内侧流淌\n{TargetName}感受到头顶传来的温热湿意，眼神中闪过一丝羞耻与无奈\n{Name}满足地看着自己的成果，手指轻轻拨弄着那片沾染了精液的区域\n
1001,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}将{TargetName}的帽子取下，把阴茎放在帽子内侧摩擦，几下之后便射出精液\n白浊液体沾满了帽子的内侧，然后{Name}将其重新戴回{TargetName}的头上\n{TargetName}感受到头顶传来的温热湿意，脸上浮现出一丝羞赧\n{Name}欣赏着{TargetName}戴着已被自己精液浸湿的帽子，心中涌起一股奇特的满足感\n
1002,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}用手指轻轻抚摸{TargetName}的帽子，然后将阴茎贴在其帽檐处摩擦\n几下之后便释放了出来，精液顺着帽檐流淌，部分滴落在{TargetName}的前额和脸颊上\n{TargetName}感受到脸上传来的湿热触感，不由得微微颤抖\n{Name}看着白浊液体沿着帽檐流下，满意地点了点头\n
1003,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}让{TargetName}保持静止，将阴茎放在她帽子的顶部摩擦\n随着一阵快感袭来，{Name}射出精液，白浊液体在帽子顶部形成一片湿润区域\n{TargetName}看着自己帽子上的精液，表情变得有些复杂，却没有立即取下\n{Name}看着自己的液体沾染着帽子，心中升起一股奇妙的满足感\n
1004,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}双手扶着{TargetName}的脸颊，将勃起的阴茎对准她的帽子摩擦，几下之后便射出精液\n白浊液体沾满了帽子的一部分，缓缓向周围扩散\n{TargetName}感受到帽子上的湿热触感，脸上浮现出一丝无奈\n{Name}满意地看着{TargetName}头上的帽子被自己的精液标记，内心满足感油然而生\n
1005,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}用手指轻轻抬起{TargetName}帽子的边缘，将阴茎插入其中抽动\n几下之后便到达高潮，精液喷射而出，沾湿了帽子的内侧和{TargetName}的头发\n{TargetName}感受到头顶传来的温热湿意，眼神中流露出羞耻与无奈\n{Name}放下帽子的边缘，欣赏着白浊液体在帽子内侧与头发之间的痕迹\n
1006,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}将{TargetName}的帽子微微抬起，对准帽子与头发之间的缝隙射出精液\n白浊液体填满了缝隙，部分渗入{TargetName}的发丝\n{TargetName}看着自己的帽子被染上精液，表情有些复杂但并未表示反对\n{Name}满意地看着{TargetName}戴着已被自己标记的帽子，脸上露出满足的微笑\n
1007,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}双手扶着{TargetName}的肩膀，让她微微低头，将阴茎贴在她的帽子上摩擦\n几下抽动后便射出精液，白浊液体沿着帽子的纹理缓缓流淌\n{TargetName}看着自己心爱的帽子被染上白色，脸上浮现出一丝羞耻\n{Name}欣赏着自己的精液在帽子表面形成的痕迹，心中涌起一股奇妙的满足感\n
1008,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}让{TargetName}仰头，将阴茎贴在她帽子的前端摩擦，几下之后便释放出来\n精液沿着帽子的前端缓缓流淌，形成一道明显的痕迹\n{TargetName}看着帽子被染上白浊，表情变得有些复杂\n{Name}欣赏着自己的杰作，满意地点了点头，手指轻轻抹过那片已被精液覆盖的区域\n
1009,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}将{TargetName}的帽子微微调整，对准帽子的装饰部位射出精液\n白浊液体沾满了精致的装饰，在帽子上形成独特的图案\n{TargetName}感受到帽子上传来的湿热触感，不由得微微皱眉\n{Name}放下帽子，欣赏着白浊液体在装饰上形成的图案，心中涌起一股奇特的满足感\n
1010,1009,0,CVP_A1_ShootPos|C0_E_1,\n{Name}握住{TargetName}帽子的边缘，将阴茎贴在帽子外侧摩擦，几下之后便射出精液\n白浊液体沿着帽子的材质缓缓流淌，形成一片湿润区域\n{TargetName}看着自己的帽子被沾染精液，眼神中闪过一丝羞耻\n{Name}满意地看着自己的杰作，手指轻轻拨弄着那片已被浸湿的区域\n
