cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}小心翼翼地捧起幼女{TargetName}的小脑袋，指尖轻触她毛茸茸的兽耳。\n小女孩微微歪头，对这种检查方式感到好奇，兽耳轻轻抖动了一下，但并没有表现出明显的敏感反应。\n{Name}以医生的专业姿态仔细检查着每一寸绒毛，手指从耳根到耳尖细致地按压测试，观察{TargetName}的反应变化。\n幼小的兽耳在{Name}的抚摸下微微颤动，触感柔软而细腻，但{TargetName}对这种触碰只是感到轻微的酥麻，仿佛被摸头一样舒适但不至于产生过多刺激。\n{Name}不动声色地加重了按压力度，甚至轻轻揉捏耳尖，但幼女的兽耳感度较低，她只是眨巴着无邪的大眼睛，乖巧地等待着检查结束。
1001,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}以体检的名义让幼小的{TargetName}坐在腿上，一手扶着她娇小的身体，另一手开始检查她低感度的兽耳。\n{Name}的手指插入耳根处柔软的绒毛中，慢慢向上抚摸至耳尖，同时仔细观察{TargetName}稚嫩的面庞上流露出的微妙表情变化。\n幼女的兽耳虽然毛绒绒的十分可爱，但感度不高，即便{Name}加重力道揉搓，她也只是感到些许痒意，偶尔抖动一下小脑袋。\n{Name}故意将{TargetName}的兽耳轻轻夹在指间摩擦，感受那细腻的触感，而幼女则对这种检查方式感到新奇，完全没有察觉到背后隐藏的不轨意图。\n当{Name}用专业仪器温柔地测量耳内温度时，手指不经意间划过耳背的绒毛，但敏感度不高的兽耳只给{TargetName}带来轻微的刺激，她乖巧地坐着，眼中满是对{Name}的信任。
1002,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}将{TargetName}抱起放在检查台上，告诉她现在要检查兽耳的健康状况和灵敏度。\n幼女点点头，乖巧地坐好，完全信任{Name}的专业，柔软的兽耳在头顶轻轻抖动，映衬着她纯真无邪的表情。\n{Name}先是用听诊器轻贴在耳根部位，随后手指慢慢沿着耳廓向上抚摸，指腹感受着幼嫩绒毛的细腻触感。\n{TargetName}的兽耳虽然小巧可爱，但感度较低，即使{Name}故意用指甲轻刮耳内敏感区域，她也只是微微缩了缩脖子，发出轻微的咯咯笑声。\n检查进行到后半段，{Name}变本加厉地揉捏起整个耳朵，甚至轻轻拉扯耳尖，但幼女低感度的兽耳只让她感到些许刺痒，完全没有性快感的产生，她天真地以为这就是正规的体检项目。
1003,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}拿出特制的检查工具，对{TargetName}说要测试她兽耳的敏感程度和反应速度。\n幼女的兽耳在头顶微微抖动，绒毛闪烁着柔和的光泽，她眨巴着明亮的大眼睛，对即将进行的检查充满好奇。\n{Name}先用温热的湿巾轻轻擦拭耳朵表面，随后手指带着微微的颤抖抚上耳背，感受那如婴儿肌肤般细嫩的触感。\n由于兽耳感度较低，{Name}的抚摸和按压并没有引起{TargetName}太大的反应，她只是偶尔因痒意而轻轻摇晃脑袋，脸上依然保持着天真无邪的表情。\n{Name}借着检查的名义，肆无忌惮地把玩着幼女柔软的兽耳，用指腹摩擦耳根最敏感的部位，但低感度的特性使得{TargetName}只感到轻微的刺激，完全没有意识到这已经超出了医疗检查的范畴。
1004,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}让{TargetName}闭上眼睛，声称这样可以更好地检测兽耳的敏感度。\n幼小的女孩听话地闭上眼睛，娇小的身体端正地坐在检查椅上，两只毛茸茸的兽耳在头顶轻轻颤动，散发着纯真可爱的气息。\n{Name}的手指贪婪地抚摸着她的兽耳，从柔软的耳根到尖尖的耳尖，一点一点地施加力道测试反应，感受那细腻绒毛带来的奇妙触感。\n尽管{Name}的动作逐渐变得大胆而色情，但{TargetName}的兽耳感度很低，她只是偶尔因为轻微的酥痒而晃动小脑袋，并未察觉到检查中隐藏的淫秽意图。\n当{Name}开始用唇舌轻舔她的耳尖时，理由是检测耳朵对湿度的敏感反应，而幼女只是因为湿润的触感轻轻抖了抖耳朵，懵懂的表情中丝毫没有性意识的觉醒，完全信任{Name}的专业判断。
1005,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}小心翼翼地抚摸着幼女{TargetName}柔软的兽耳，从耳根慢慢滑向耳尖，指腹感受着细腻绒毛的美妙触感。\n{TargetName}对这突如其来的触摸微微一颤，中等感度的兽耳带给她明显的酥麻感，小脸上浮现出一丝羞涩和困惑，但依然乖巧地配合检查。\n{Name}假装在检测耳朵的弹性，实则肆意揉捏着幼女敏感的耳根，观察她因快感而微微颤抖的可爱反应，内心的欲望逐渐膨胀。\n当{Name}的指尖划过耳背敏感的绒毛时，{TargetName}忍不住发出轻微的呜咽声，兽耳传来的刺激让她感到一种从未体验过的奇怪感觉，小手不自觉地抓紧了检查台边缘。\n{Name}故意放慢动作，用指尖细致地按摩耳垂和耳廓每一处敏感点，享受着幼女因耳朵带来的快感而微微颤抖的身体和困惑迷离的眼神，中等感度的兽耳已经足以让年幼的她体验到接近性愉悦的奇妙感受。
1006,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}以专业的口吻向{TargetName}解释需要全面检查她的兽耳健康状况，手指却带着隐秘的欲望轻抚上那对小巧的耳朵。\n幼女点头应允，但当{Name}的手指开始揉搓她中等感度的耳根时，她不由得轻轻喘息，身体微微绷紧，显然这种触感给她带来了不小的刺激。\n{Name}一边观察着仪器数据，一边继续挑逗式地摩擦那敏感的耳尖，看着{TargetName}因快感而迷茫的表情和微微泛红的小脸，内心的施虐欲不断攀升。\n当检查进行到需要测试湿度反应时，{Name}故意将嘴唇贴近幼女的耳朵，温热的呼吸喷洒在敏感的绒毛上，惹得{TargetName}浑身一颤，双腿不自觉地并拢摩擦，显然兽耳的刺激已经影响到了她的下身。\n{Name}最后用专业仪器轻轻震动她的耳朵，测试神经反应，中等感度的兽耳让{TargetName}发出了难耐的呜咽声，小手紧紧抓住{Name}的衣袖，茫然的眼神中带着不解和隐约的期待，完全不明白自己身体正在经历怎样的变化。
1007,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}让{TargetName}趴在检查台上，声称这样能更好地检查兽耳的健康状况和敏感度。\n幼小的身体乖巧地俯卧在柔软的台面上，两只中等敏感度的兽耳在头顶轻轻抖动，仿佛在期待即将到来的检查。\n{Name}的手指先是轻柔地梳理过耳朵表面的绒毛，随后故意加重力道按压耳根部位，满意地看到{TargetName}因突如其来的刺激而轻轻弓起了背部。\n当{Name}用温���的湿巾擦拭耳内敏感区域时，中等感度的兽耳让{TargetName}发出了轻微的呻吟，小脸蛋通红，双眼微闭，身体微微颤抖，显然这种刺激已经给她带来了近乎于性的快感。\n{Name}假装检查完毕，最后恶意地用指尖快速拨弄她的耳尖，突如其来的强烈刺激让幼女全身紧绷，嘴里发出了甜腻的呜咽声，中等敏感的兽耳已经足以让她体验到接近高潮的感受，虽然她年幼的心智完全理解不了这种感觉的含义。
1008,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}拿出一个特制的检测仪器，告诉{TargetName}要测试她兽耳的神经反应和灵敏度。\n幼女好奇地望着那个发光的仪器，不知道接下来会发生什么，稚嫩的脸庞上满是天真和信任。\n{Name}将仪器靠近她的耳朵，实际上只是为了掩饰自己的手指能够更加肆无忌惮地玩弄那对敏感的兽耳。\n当{Name}开始按揉耳根部位时，中等感度的兽耳让{TargetName}发出了轻微的喘息，小脸蛋逐渐变得潮红，双眼中浮现出迷离的神色，幼小的身体不自觉地轻轻扭动。\n{Name}假装专注于仪器读数，手指却在她的耳背和耳尖之间来回游走，每一次触碰都引发幼女全身的轻微颤栗，她困惑地咬着小嘴唇，显然这种从未体验过的感觉让她既害怕又有些好奇。
1009,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}戴上医用手套，告诉{TargetName}要进行全面的兽耳检查，手法会比较细致，请她忍耐一下。\n幼女点点头，乖巧地坐在检查椅上，稚嫩的手指紧张地抓着椅子边缘，毛茸茸的兽耳在头顶微微抖动。\n{Name}的手指从耳根开始，缓慢而细致地按摩每一寸肌肤和绒毛，中等感度的兽耳让{TargetName}的反应逐渐明显起来，小脸蛋渐渐染上红晕。\n当检查进行到耳背敏感区域时，{Name}故意加重了力道，指腹在柔软的绒毛上画着圈，幼女忍不住发出了轻微的呜咽，双腿不自觉地夹紧，显然这种刺激已经影响到了她的下身。\n{Name}假装关心地询问她的感受，实则是在观察她因耳朵快感而泛起潮红的脸蛋和迷离的眼神，中等敏感的兽耳让年幼的{TargetName}初次体验到了接近性快感的奇妙感受，而她纯真的心智却完全无法理解自己身体的变化。
1010,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_6,{Name}轻轻捧起{TargetName}的小脸，告诉她要检查兽耳的健康状况，手指缓慢地向她头顶的兽耳靠近。\n幼女天真地点点头，但当{Name}的指尖刚刚触碰到她异常敏感的耳尖时，她整个身体猛地一震，发出了一声甜腻的惊呼。\n{Name}假装没有注意到她的反应，手指继续沿着耳廓向下抚摸，轻柔地按压每一寸绒毛，而{TargetName}则因为这过度的刺激而浑身颤抖，小手紧紧抓住检查台边缘。\n当检查进行到耳根部位时，{Name}故意加重了力道，指腹在最敏感的区域画着圈，高感度的兽耳让幼小的{TargetName}瞬间软倒在检查台上，双腿紧紧并拢摩擦，嘴里发出断断续续的呜咽声。\n{Name}心满意足地观察着她因极度敏感的兽耳被刺激而陷入类似高潮状态的反应，幼嫩的脸蛋通红，眼神涣散，小小的身体不受控制地痉挛颤抖，显然这种刺激对她来说过于强烈，已经超出了她幼小心智能够理解的范畴。
1011,examine_ears,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_6,{Name}将{TargetName}抱到腿上，声称这样检查会更准确，手指悄悄靠近她头顶那对异常敏感的兽耳。\n幼女乖巧地坐在{Name}腿上，完全不知道即将发生什么，纯真的大眼睛眨啊眨，充满对博士的信任。\n当{Name}的指尖轻轻触碰到她的耳朵时，高感度的特性立刻显现出来，{TargetName}全身剧烈颤抖，发出一声近乎哭泣的呜咽，小手无力地抓住{Name}的衣袖。\n{Name}假装关切地询问她是否不舒服，实则更加肆无忌惮地揉搓她的耳根，享受着她因极度敏感而产生的激烈反应，幼小的身体在他腿上扭动，脸蛋红得像熟透的苹果。\n当{Name}恶意地用指甲轻刮她耳背的绒毛时，高感度的兽耳让{TargetName}发出了一声尖锐的哭叫，双腿猛地夹紧，身体痉挛着经历了一次小型高潮，她困惑而惊恐地看着{Name}，完全不明白自己的身体为何会有如此激烈的反应。
