cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,391,high_999&high_5&high_2&high_10&high_1,“你好{PlayerName}博士，精英干员迷迭香来报到了，”\n“把我的能力用在对的地方吧。”\n“对了，我很容易忘事的，记得提醒我哦。”
2,chat,391,sys_0&not_fall&high_1,“罗德岛的大家是我的朋友，精英干员和我的队员们是我的家人，”\n\n“{PlayerName}博士，我不会让你失望的。”
3,chat,391,sys_0&not_fall&high_2,“我现在在读什么？啊，是我的记事本。”\n“这个是前两天的记事……”\n\n迷迭香分享了一些琐事。
4,chat,391,sys_0,迷迭香望着{PlayerName}，\n\n“你是{PlayerName}博士，对吧？”\n\n“我复习了一下终端上的记事，嗯，我想起来了”
5,chat,391,to_do&sex_0,迷迭香望着{Name}，\n\n“你是{Name}，对吧？”\n“我复习了一下终端上的记事，嗯，我想起来了”
6,making_out,391,high_1&ai_have_not_wake_up&sys_1&to_do,【聊天√】【身体接触√】【接吻√】【摸头√】【牵手】【开始跟随√】【身体爱抚】【手交√】【口交√】【亲吻√】【二段结算-绝顶】【二段结算-射精】【开始H√】【初次见面√】【打招呼】\n\n【助理√】【起床吻√】【道歉成功/失败√】【泡咖啡√】
7,kiss,391,high_1&sys_0&t_kiss_0,{Name}吻上迷迭香的嘴唇，\n迷迭香接下了{Name}的深情，\n任由{Name}索取，和给予。\n\n交错的气息染红了脸颊。
8,touch_head,391,high_1&sys_0,轻轻盖住小脑瓜，银白的发丝溢出指尖。\n顺着长发抚摸，猫耳微微颤动，\n迷迭香眯起双眼，发出细微的咕噜声。
9,official_work,391,sys_0&not_fall&high_1,“{PlayerName}博士，归纳档案和写总结，这些我一直不太做得来……”\n“不用做什么，只要呆在这里就好？”\n\n迷迭香感觉很困惑。\n\n{PlayerName}博士非常有感觉！
10,stroke,391,sys_0&not_fall&high_1,“嗯……嗯？！”\n“不！不要碰，你会受伤的。”\n“我怕忍不住……”\n\n并没有受伤，真是温柔的孩子。
11,stroke,391,sys_0&high_1,“博士……”\n“嗯……我，我会忍住”\n“不会的，不会搞折你的手的”\n\n并没有抵触，很是可爱的孩子。
12,apologize_failed,391,high_1&sys_0,“好想忘记，好想都忘掉……”\n{TargetName}抓着小脑瓜，念念有词。\n被无视了，看起来很失落的样子。
13,apologize_failed,391,high_1&sys_0&love_0_or_le_1,“……怎么了，{PlayerName}博士来找我”\n{TargetName}抱起双臂，移开了视线。\n不像是忘却了的样子。
14,apologize,391,high_1&sys_0,“是这件事吗…”\n“嗯，下次不会就这么原谅{TargetName}了。”\n“不要再干坏事了。”
15,apologize,391,high_1&sys_0,“原来，是这样吗？我误会你了。”\n“嗯，博士，我原谅你，没有关系的。”
16,low_obscenity_anus,391,high_1&sys_0,“{PlayerName}博士！这、这是性骚扰！”\n{TargetName}侧身远离你，抱紧了记事终端。
17,follow,391,high_10&sys_0,“博士，有任务吗？”\n“嗯，给我命令吧，我一定能完美地执行。”
18,make_coffee,391,high_1&sys_0&cook_le_1,给迷迭香泡了咖啡。\n“呜！好烫！”\n迷迭香发出了悲鸣。
19,ask_make_coffee,391,high_1&sys_0&cook_ge_3&cook_2,根据迷迭香的意见泡了咖啡。\n为小菲林加入足够的糖和牛奶。\n“闻起来很香，嗯，很好喝。”
20,follow,391,high_10&sys_0,“好的，博士。”\n“把我的能力用在对的地方吧。”
21,end_follow,391,high_10&sys_0,该做的都做完了，让迷迭香自由行动。\n“之后再见吧，博士。”
22,hypnosis_cancel,391,high_1,“……”\n随着{PlayerName}的一个响指，迷迭香回过神来。\n“…啊，是，博士吗？”\n“嗯？我很好，没什么问题。”
23,training,391,high_1&sys_0,“放心吧，我能控制好我的法术。”
24,make_coffee,391,high_1&sys_0&cook_le_1,给迷迭香泡咖啡。\n倒入牛奶与糖，静置。\n等了好一会。
25,hypnosis_one,391,high_999&sys_0,“不用做什么，只要呆在这里就好？”\n“博士，你有点怪怪的……”
26,do_h_fail,391,sys_0&high_999,“{Name}，是想做坏事吧？”\n“……不、不行，博士。”\n“{Name}变成坏人，会变得很坏很坏的！”
27,h,391,high_1&high_999&sys_0&instruct_judge_h,……喉咙变得干渴，\n{Name}和迷迭香的身躯彼此颤抖着，\n却没有一人是出于恐惧——\n而是出于兴奋、期待、渴望……
28,chosen_as_assistant,391,high_999&sys_0,“那个，博士…我担心会做不好助理，可以换个工作值班吗？”\n“没有什么要做，待着就好了吗？”\n“…啊…助理，是这样子的吗？”
29,not_as_assistant,391,high_999&sys_0,迷迭香打开了终端，\n“嗯，我记住了。”\n“博士，下次会是什么时候？”
30,morning_salutation_2,391,sys_1&high_999&love_0_or_le_2,朦胧中，稚嫩的嘴唇亲吻了{PlayerName}的嘴唇，\n温热的气息贴了上来。\n“博士，到时间起床了哦？”
31,handjob,391,sys_0&high_999&t_not_wear_gloves,迷迭香稚嫩而认真的用手服侍性器，\n倾力服侍的龟端带出先走汁，玷污着{TargetName}的纤手，\n细指与掌肉都沾染了性液的咸湿味。
32,handjob,391,sys_0&high_999&t_wear_gloves,迷迭香稚嫩而认真的用手服侍性器，\n倾力服侍的龟端带出先走汁，玷污着{TargetName}的小手，\n细指与手套都沾染了性液的咸湿味。
33,first_kiss,391,high_1,“{PlayerName}博士有教过我KISS的吗？”\n“我想不起来，再教我一次吧~~”\n“亲吻吗？啊，这个，”\n“我是知道的…”\n“嗯，来吧……”
34,blowjob,391,sys_0&high_999,眼前的小脑瓜撑起身体，尝试着用薄唇裹上龟端，\n迷迭香稚嫩而认真的用口服侍性器，\n奋力吮吸龟端上的先走汁，与阳物交换着爱液。
35,penis_in_body_2,391,high_1&high_999,{Name}感受到了背德的快感。
36,penis_in_body_5,391,high_1&high_999,{Name}感受到了背德的快感。
37,day_hello,391,high_2&high_5,“啊，是你，博士。”
38,day_hello,391,high_2&high_5,“你好啊，博士。”\n“嗯，我今天很好”
39,making_out,391,high_1&sys_0&high_999,{PlayerName}每每淫行到欲处，都诱得迷迭香细细呻吟，\n小菲林每每娇羞而抵抗，都引着{PlayerName}气息大乱。\n彼此都在引导着、渴求着，让理性被欲望支配。\n
