key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,248,0,干员编号
Name,str,麦哲伦,1,姓名
Sex,int,1,0,女
Profession,int,7,0,辅助
Race,int,19,0,黎博利
Nation,int,42,0,莱茵生命
Birthplace,int,4,0,哥伦比亚
Hp,int,1400,0,初始体力
Mp,int,1100,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,一根冰雪覆盖的树枝化石。曾经根植于大地的苍天巨树，如今只剩下这短短一枝，细细诉说着往昔的故事。
Introduce_1,str,麦哲伦，莱茵生命实验室外勤专员，在合作协议的作用下，暂计划以罗德岛为据点，开始新一轮的探索活动。擅长操控高度模块化无人机，因地制宜进行攻击或支援友军。,1,人物介绍_1
TextColor,str,#ffd700,1,字体颜色
A|0,int,1,0,N感觉
E|82,int,100,0,学识经验
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|104,int,1,0,少女
T|124,int,1,0,巨乳
T|127,int,1,0,普臀
T|130,int,1,0,肉腿
T|132,int,1,0,长足
T|351,int,1,0,回复慢
T|83,int,1,0,B敏感
T|275,int,1,0,热情
C|2,str,弧形耳坠,0,弧形耳坠
C|3,str,企鹅嘴防护口罩,0,企鹅嘴防护口罩
C|5-1,str,莱茵生命极地防护服,0,莱茵生命极地防护服
C|5-2,str,长袖保暖毛衣,0,长袖保暖毛衣
C|6,str,棕色束胸内衣,0,棕色束胸内衣
C|7,str,收束式保温手套,0,收束式保温手套
C|8,str,莱茵生命极地防护服,0,莱茵生命极地防护服
C|11,str,冰刀鞋,0,冰刀鞋
C|12,str,龙腾无人机控制器,0,龙腾无人机控制器
C|13,str,大帝的坠饰,0,大帝的坠饰
