cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_w_orgasm_super_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,憋压了不知多久的快感在这一刻毫无保留地一齐炸开，青涩无知的{TargetName}只觉得一股灼热的洪流从{womb}这身体最深处轰然喷发，瞬间烧遍了她的四肢百骸。\n那厚重得近乎痛楚、几乎无法承受的极致冲击将她的意识彻底冲垮，脑子里一片空白，什么都想不了，连自己身在何处都分辨不清。\n她根本不懂这从骨髓深处翻涌上来的灭顶快感究竟是什么，只是懵懵懂懂地被这股解脱般的滔天巨浪卷着，害怕又茫然地颤抖着。\n累积已久的一切终于得到释放的那种巨大解脱感令她几乎昏厥过去，甜美得让她迷醉沉沦，她一无所知地承受着这一切，更不知道自己这已能孕育生命的身子正在经历怎样翻天覆地的剧变。
1001,action_part_w_orgasm_super_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,被一次次拦截而囤积到极限的快感终于获准一齐奔涌，未谙世事的{TargetName}感到一团灼烫的岩浆自{womb}最深处猛然喷薄，转瞬便淹没了她的内脏与脊髓。\n那股远超她所能想象的钝重深沉冲击如撕裂灵魂一般贯穿全身，令她的思绪彻底断线、一片空白，整个人迷醉失神得几乎失去了自我。\n幼小懵懂的她压根不明白身体为何会掀起这般灭顶的浪潮，只能惊惶又茫然地被这股无边的快感彻底吞没，连惊叫都发不出来。\n积压许久的快感终获释放的解脱感甜美得让她几乎昏厥，她天真地承受着这陌生到极致的感觉，全然不知这已能受孕的身子此刻正处在何等危险而剧烈的境地。
1002,action_part_w_orgasm_super_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,堆积如山的快感在被允许的一瞬毫无阻拦地倾巢而出，天真的{TargetName}只觉得{womb}这最深处的核心猛地炸开，一股滚烫沉重的浪潮自腹底喷涌而上，将她整个人吞没。\n那种厚重到近乎痛楚、几乎承受不住的极致快感彻底击垮了她的意识，脑海里空空荡荡，灵魂仿佛被撕成了碎片，她再也分不清自己是谁、身在何方。\n什么都不懂的她被这陌生而灭顶的感觉冲得魂飞魄散，既惊恐又迷醉，懵懵懂懂地在这股洪流里失神颤栗。\n囤积太久的快感终于得以宣泄的巨大解脱感甜蜜得令她几近晕厥，她一无所知地沉沦其中，更不会明白自己这具刚能孕育后代的身体正被这剧变冲刷着。
1003,action_part_w_orgasm_super_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,被反复截停而攒到几乎要溢出来的快感终于一齐决堤，懵懂的{TargetName}感到一股灼热的巨流从{womb}这身体最深的核心轰然涌出，刹那间烧遍了她全身每一寸。\n那沉钝厚重、几乎令她窒息的极致冲击将她的神志彻底冲散，脑中一片惨白，思维完全停摆，她迷离恍惚得连自己身在哪里都全然不知了。\n幼嫩无知的她根本理解不了这从体内最深处炸开的灭顶感觉，只能又惊又怕地被这股滔天快感裹挟着，茫然地失神战栗。\n那份积压许久终获释放的解脱感甜美得让她几乎昏死过去，她天真而沉醉地承受着这一切，浑然不觉自己这已具生育能力的身子正在经历多么惊人的变化。
1004,action_part_w_orgasm_super_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,囤积了太久太久的快感在这一刻尽数放行，青涩的{TargetName}只感到一团炽烈的火焰自{womb}最深处骤然喷发，如熔岩般奔涌着淹没了她的内脏、脊髓与四肢。\n那厚重深沉、几乎无法负荷的究极快感将她的意识撕得粉碎，脑子里空白得什么也剩不下，灵魂被震得七零八落，她彻底迷失在这灭顶的浪潮里。\n完全不懂性事的她被这从未有过的滔天感觉冲得神魂俱散，又惊又惑，只能懵懵懂懂、迷迷糊糊地承受着这股无法抗拒的巨浪。\n积攒已久的快感终于宣泄而出的巨大解脱感甜蜜得令她几乎昏厥沉沦，她一无所知地沉溺在这极致的迷醉中，更不明白自己这已能孕育生命的身体此刻正承受着何等剧烈的洗礼。

1005,action_part_w_orgasm_super_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,明明早已从各种途径懂得了性的知识，可当积攒了太多次的快感终于被允许一齐释放，{TargetName}还是被这远超想象的极致绝顶彻底击垮了。\n钝重深沉的快感自{womb}这身体最深处轰然炸开，像灼热的岩浆自腹底喷发，瞬间淹没了她稚嫩的内脏与脊髓，烧遍全身。\n她那点对性的好奇与探索早被冲得粉碎，思维一片空白，灵魂仿佛被撕裂，年幼的意识彻底被快感的洪流卷走。\n那么多次被硬生生截停的高潮此刻尽数倾泻的解脱感，甜美得让她几乎昏厥，年幼的她再也分不清自己身在何处。
