cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,

1000,love_2,0,CVP_A1_T|102_E_1,\n年幼的{Name}终于明白了自己对{PlayerName}的感情是喜欢，这个认知让她既兴奋又害怕。\n她开始刻意打扮自己，学着大人的样子扎起可爱的发型，穿上最漂亮的裙子，希望能引起{PlayerName}的注意。每当{PlayerName}夸她时，她会羞涩地低下头，但心里却开心得像是吃了蜜糖。\n{Name}偷偷在日记本上写下了“我喜欢{PlayerName}”这几个字，然后又慌忙用橡皮擦掉，生怕被人发现她幼小心灵中的秘密。她会练习对着镜子说出表白的话，却在真正面对{PlayerName}时紧张得说不出一个字。\n她开始变得敏感，当看到{PlayerName}和其他人亲近时会感到一丝酸楚，这种陌生的嫉妒情绪让她困惑不已。她想更接近{PlayerName}，却又害怕被拒绝，这种矛盾的心情让她既期待又忐忑。\n{Name}常常幻想有一天能鼓起勇气告诉{PlayerName}自己的心意，但又担心年龄的差距会让对方只把她当成小孩子。她不知道如何表达自己的感情，只能用稚嫩的方式默默关注着心上人。
1001,love_2,0,CVP_A1_T|102_E_1,\n小小的{Name}已经意识到自己喜欢上了{PlayerName}，这个认知让她的心情像坐过山车一样起伏不定。\n她开始学着大人恋爱时的样子，偷偷在{PlayerName}经常去的地方“偶遇”，装作若无其事的样子，却忍不住偷瞄对方。当{PlayerName}主动和她说话时，她会紧张得结巴，小手不安地揪着衣角。\n{Name}会仔细留意{PlayerName}喜欢什么，然后试着去了解那些事物，希望有朝一日能和对方有更多共同话题。她小心翼翼地收集有关{PlayerName}的信息，就像在拼凑一幅心爱的拼图。\n她开始尝试用各种小礼物来表达自己的心意，折一只纸鹤，摘一朵野花，画一张稚嫩的画，却总是在最后关头因为害羞而放弃。看着那些未送出的心意，{Name}感到既甜蜜又苦涩。\n年幼的{Name}不知道该如何处理这份感情，她害怕表白后{PlayerName}会离她远去，又怕永远把这份心意埋在心底。她只能用自己懵懂的方式默默喜欢着，期待着奇迹的发生。
1002,love_2,0,CVP_A1_T|102_E_1,\n{Name}已经确定自己喜欢{PlayerName}，这种感觉让她既甜蜜又忐忑。\n她开始留意{PlayerName}的一举一动，记住对方喜欢的颜色、食物和爱好。当听到别人谈论{PlayerName}时，她会竖起小耳朵认真倾听，生怕漏掉任何信息。她甚至开始模仿{PlayerName}喜欢的人的样子，希望自己能变得更讨人喜欢。\n{Name}会在{PlayerName}面前表现出最好的一面，当摔倒时强忍着不哭，努力表现得像个“大孩子”。她希望{PlayerName}能看到她的成熟，而不是把她当成需要照顾的小朋友。\n每当{PlayerName}对她微笑或者摸摸她的头，她的小心脏就会怦怦直跳，脸上浮现出幸福的红晕。她想知道{PlayerName}对她是什么感觉，却又害怕问出口后得到令人失望的回答。\n{Name}经常在睡前幻想和{PlayerName}在一起的场景，有时会偷偷练习写{PlayerName}的名字，在最后加上一颗小小的心形，然后害羞地藏起来。她知道自己太小了，但心中的爱意却是如此真实。
1003,love_2,0,CVP_A1_T|102_E_1,\n年幼的{Name}对{PlayerName}的喜欢已经不再是模糊的感觉，而是清晰的心动。\n她开始关注自己的言行举止，希望在{PlayerName}面前展现最好的一面。她会模仿大人们的样子，学着用“成熟”的方式说话，虽然常常词不达意却十分可爱。当{PlayerName}夸她懂事时，她会骄傲得挺起小胸脯，仿佛得到了世界上最高的赞誉。\n{Name}偷偷在自己的小本子上写下了表白的话，反复修改，却不知道什么时候才能鼓起勇气说出口。她害怕{PlayerName}会因为她年纪小而不把她的感情当回事，这个想法让她既伤心又着急。\n她会因为{PlayerName}的一个眼神、一句话而兴奋一整天，也会因为对方没注意到自己而闷闷不乐。这种情绪的起伏让她困惑，却也让她体验到了初恋的酸甜苦辣。\n{Name}常常幻想长大后和{PlayerName}在一起的样子，这个遥远的梦想支撑着她，让她愿意等待。她不知道{PlayerName}是否会接受她的心意，但她已经决定，总有一天要勇敢地表达自己的感情。
1004,love_2,0,CVP_A1_T|102_E_1,\n幼小的{Name}已经认定{PlayerName}是自己喜欢的人，这份感情让她既甜蜜又忧虑。\n她开始在意自己在{PlayerName}心中的形象，努力表现得不那么“孩子气”。当大人们因为她的年龄小而逗她时，她会反驳说自己已经“很大了”，内心渴望被当成大人对待，尤其是在{PlayerName}面前。\n{Name}会悄悄观察{PlayerName}和其他人互动的方式，试图了解对方喜欢什么样的人。当看到{PlayerName}对别人友好时，她会感到一丝不安，希望自己能得到特别的关注。\n她开始尝试用各种方式引起{PlayerName}的注意，有时候甚至会假装生病或需要帮助。当{PlayerName}关心她时，她会感到既内疚又开心，这种复杂的情感让她困惑不已。\n{Name}常常在靠近{PlayerName}时紧张得说不出话来，心中有千言万语却只能支支吾吾。她想告诉{PlayerName}自己的心意，却又害怕被拒绝或者被当成小孩子的玩笑。这种恋慕之情让她成长，也让她学会了等待和忍耐。

1005,love_2,0,CVP_A1_T|103_E_1,\n年幼的{Name}终于意识到自己对{PlayerName}的感情不只是普通的喜欢，这种发现让她既兴奋又害怕。\n她开始偷偷搜集有关恋爱的信息，想了解自己这种心跳加速、脸红发热的感觉是否就是传说中的“喜欢”。每当确认这一点，她就会将小脸埋在枕头里，既羞涩又甜蜜地傻笑。\n{Name}开始幻想向{PlayerName}表白的场景，但又担心被拒绝、被嘲笑或者被认为太幼稚。这种矛盾的心情让她辗转反侧，难以入睡。\n她开始小心翼翼地试探{PlayerName}的态度，希望能从中找到一丝希望，但又害怕暴露自己的心意。\n对于年幼的她来说，这种初恋的煎熬既痛苦又甜蜜，她渴望更进一步，却又害怕失去现有的关系。她的心中充满了对未来的期待和忐忑。
1006,love_2,0,CVP_A1_T|103_E_1,\n{Name}最近发现自己越来越难以控制对{PlayerName}的感情，她确信这已经不是普通的喜欢，而是更为深刻的情感。\n当她看到其他人与{PlayerName}亲近时，会感到一阵酸涩和不安，这种陌生的嫉妒情绪让年幼的她感到困惑。她开始偷偷留意{PlayerName}是否对其他人也有特别的关注。\n{Name}常常在睡前幻想与{PlayerName}手牵手的场景，想象对方会如何回应她的表白。这些甜蜜的幻想让她睡意全无，心跳加速。\n她开始尝试用各种小方式表达自己的心意，比如送一些手工制作的小礼物，或者特意打扮得更漂亮。但每当{PlayerName}询问原因时，她又会因为害羞而支支吾吾，无法说出真相。\n对于年幼的{Name}来说，这种初次体验的恋爱情感既美好又折磨，她既渴望表达自己的心意，又害怕被拒绝后失去现有的亲密关系。这种矛盾的心情让她每天都在期待和忐忑中度过。
1007,love_2,0,CVP_A1_T|103_E_1,\n{Name}已经完全确认自己对{PlayerName}抱有特殊的感情，这种认知让她既兴奋又紧张。\n她开始在日记本上写下自己对{PlayerName}的种种幻想和心事，这些文字充满了天真的浪漫和稚嫩的渴望。有时候她会翻阅这些文字，脸上泛起幸福的红晕，又因为害羞而将日记本紧紧抱在怀里。\n{Name}开始注意{PlayerName}是否也对自己有特别的态度，每一个眼神交流、每一次偶然的触碰都被她视为重要的信号，仔细分析其中的含义。\n她悄悄向朋友打听关于告白的方法，但又担心自己年龄太小，会被{PlayerName}当作小孩子的玩笑。这种担忧让她踌躇不前，只能在心中默默祈祷{PlayerName}能主动向她表白。\n年幼的{Name}对爱情充满了美好的憧憬和幻想，但同时也因为自己的年龄和经验不足而感到不安。她渴望被{PlayerName}认真对待，希望自己的感情能得到回应，但又害怕面对可能的拒绝。这种矛盾的心情让她每天都处于甜蜜的煎熬中。
1008,love_2,0,CVP_A1_T|103_E_1,\n{Name}已经清楚地意识到自己对{PlayerName}的感情是特殊的、不同于友情的情感。这种认知让年幼的她既兴奋又困惑。\n她开始在镜子前练习表白的台词，但每次想象真正面对{PlayerName}时，她就会感到一阵心慌意乱，担心自己会被拒绝或者被取笑。这种复杂的心情让她辗转反侧。\n{Name}开始更加关注自己的外表和行为，希望能在{PlayerName}面前展现最完美的一面。她会模仿大人的样子，尝试表现得更加成熟，希望{PlayerName}能把她当作一个值得认真对待的恋爱对象。\n当{PlayerName}和她有肢体接触时，她的心跳会剧烈加速，小脸通红，这种强烈的反应有时会让她不知所措，只能结结巴巴地说话或者突然沉默。\n对于初次体验恋爱的{Name}来说，这种情感既美妙又令人不安。她渴望更深入的关系，却又害怕打破现有的平衡。她希望{PlayerName}能理解她的心意，但又担心自己的感情会因为年龄而被轻视。在这种矛盾的心情下，她每天都在期待和忐忑中度过。
1009,love_2,0,CVP_A1_T|103_E_1,\n年幼的{Name}已经确认自己对{PlayerName}的情感是爱恋，这个认知让她既甜蜜又焦虑。\n她开始偷偷收集{PlayerName}喜欢的事物和信息，希望能找到共同话题或者送出让对方开心的礼物。每次准备这些小惊喜时，她都会紧张得手心冒汗，害怕自己的心意会被拒绝。\n{Name}常常在夜深人静时幻想与{PlayerName}约会的场景，想象他们手牵手漫步、分享秘密、甚至是在床上……。这些幻想让她的心跳加速，脸颊发烫，但同时也让她更加渴望这些幻想成真。\n她试图通过各种小方式暗示自己的感情，比如有意无意地提及恋爱话题，或者询问{PlayerName}对自己的看法。但每当对方似乎要察觉她的心意时，她又会因为害怕被拒绝而急忙转移话题。\n对于{Name}来说，这种青涩的爱恋既美好又折磨。她渴望表达自己的真实感受，却又害怕失去现有的关系。在这种矛盾的心情下，她既期待着某一天能鼓起勇气告白，又害怕那一天真的到来。她的心中充满了对未来的期待和担忧。

1010,love_2,0,CVP_A1_T|104_E_1,\n年轻的{Name}终于意识到自己对{PlayerName}的感情不只是单纯的友谊，而是真正的爱恋。\n这份突如其来的认知让她既兴奋又害怕，青涩的心灵不知如何处理这强烈的情感。\n她开始幻想向{PlayerName}表白的场景，却又在每次鼓起勇气时临阵退缩，害怕被拒绝而失去现有的关系。\n{Name}会刻意制造与{PlayerName}独处的机会，却在关键时刻因紧张而说不出准备好的话语。\n每当{PlayerName}对她微笑或关心她时，{Name}都会想：这是否意味着对方也有同样的感受？但随即又否定自己，认为这只是错觉。年轻的{Name}陷入了爱情的甜蜜煎熬中，既渴望表达心意，又害怕打破现状。
1011,love_2,0,CVP_A1_T|104_E_1,\n{Name}已经确认自己爱上了{PlayerName}，这个认知让她既甜蜜又忐忑。\n青春期的她会反复琢磨{PlayerName}对她说过的每一句话，寻找可能暗示对方也喜欢她的蛛丝马迹。\n她开始更加注重自己的外表，希望能吸引{PlayerName}的目光，却又害羞地回避对方的直视。\n{Name}常常在心中演练向{PlayerName}表白的场景，想象各种可能的回应，却总是因为害怕被拒绝而迟迟不敢行动。\n她会为{PlayerName}做一些小事，希望通过这些细微的关怀传达自己的心意，却又担心自己的行为太过明显或唐突。年轻的{Name}陷入了爱情的纠结中，既渴望得到确认，又害怕失去现有的亲密关系。
