cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,love_1,0,CVP_A1_T|103_E_1,\n年幼的{Name}最近总是偷偷关注{PlayerName}，她自己也不明白为什么视线总会不自觉地追随着对方的身影。\n每当{PlayerName}靠近时，她的小脸就会微微发烫，心跳加速，这种奇怪的感觉让她困惑不已。\n她开始找各种借口接近{PlayerName}，渴望得到对方的注意和夸奖。当{PlayerName}对她微笑时，她感到一种前所未有的快乐在胸口蔓延。\n{Name}常常在睡前想起与{PlayerName}相处的点点滴滴，这些回忆让她莫名安心。\n她还不理解这是什么感情，只知道自己很喜欢和{PlayerName}在一起，希望这种关系能一直持续下去。在她天真无邪的心灵中，这份朦胧的情感正悄悄生根发芽。
1001,love_1,0,CVP_A1_T|103_E_1,\n{Name}最近总是会做一些奇怪的梦，梦里她和{PlayerName}手牵手走在花丛中，这让年幼的她醒来后感到既困惑又开心。\n当{PlayerName}称赞她时，她会不自然地低下头，小手紧张地绞在一起，心跳声大得仿佛整个世界都能听见。\n她开始模仿大人们的样子，偷偷在镜子前整理自己的衣服和头发，希望在{PlayerName}面前能显得更好看一些。\n有时候，她会无意识地收集一些与{PlayerName}有关的小物件，像珍宝一样藏在自己的秘密盒子里。\n这种奇妙的感觉让她既兴奋又害怕，她知道自己很在意{PlayerName}，但年幼的她还无法理解这种朦胧的感情究竟是什么。
1002,love_1,0,CVP_A1_T|103_E_1,\n{Name}最近发现自己会不由自主地关注{PlayerName}的一举一动，当对方不在场时，她会感到奇怪的失落。\n她开始在意自己在{PlayerName}眼中的形象，努力表现出最好的一面，希望能得到对方的认可和赞美。\n有时候，她会因为{PlayerName}的一个简单触碰而心跳加速，小脸通红，这种反应让年幼的她感到既困惑又兴奋。\n{Name}开始幻想与{PlayerName}度过更多时间的场景，这些天真的幻想让她的嘴角不自觉地上扬。\n尽管她还不理解这种感情的名称，但她知道{PlayerName}对她来说变得与众不同，是她生活中不可或缺的重要存在。在她稚嫩的心灵中，这份特殊的情感正在悄然滋长。
1003,love_1,0,CVP_A1_T|103_E_1,\n年幼的{Name}最近变得特别爱做白日梦，梦里总是有{PlayerName}的身影。每当想到{PlayerName}，她的心就会像小鹿乱撞，这种感觉既陌生又令人兴奋。\n她开始期待每一次与{PlayerName}的相遇，哪怕只是短暂的交谈也能让她开心一整天。当{PlayerName}夸奖她时，她会感到全身发热，脸颊泛红，仿佛有蝴蝶在肚子里翩翩起舞。\n{Name}不明白自己为什么会对{PlayerName}有这么特别的感觉，只知道自己很喜欢这种感觉，希望能一直持续下去。\n她开始在日记本上画一些简单的爱心和{PlayerName}的名字，然后害羞地藏起来，生怕被别人发现她这个小秘密。\n在她纯真的世界里，这份朦胧的情感是如此美好，虽然她还不知道这就是初恋的萌芽。
1004,love_1,0,CVP_A1_T|103_E_1,\n{Name}最近变得格外容易走神，经常因为想起{PlayerName}而忽略周围的一切。每当{PlayerName}出现在她视线中，她就会感到一种莫名的紧张和期待。\n她开始对自己的外表更加在意，常常询问自己是否足够可爱，是否能吸引{PlayerName}的目光。这种心情让年幼的她既困惑又兴奋。\n当她和{PlayerName}独处时，她会不由自主地靠近对方，渴望更多的接触和交流。即使只是简单的问候，也能让她雀跃不已。\n她偶尔会幻想{PlayerName}保护她、照顾她的场景，这些幻想让她感到无比安心和幸福。\n尽管她还不明白这种感情叫做“喜欢”，但她知道{PlayerName}已经在她心中占据了一个特殊的位置。这份朦胧的情感，是她人生中第一次体验到的甜蜜悸动。
1005,love_2,0,CVP_A1_T|103_E_1,\n年幼的{Name}终于意识到自己对{PlayerName}的感情不只是普通的喜欢，这种发现让她既兴奋又害怕。\n她开始偷偷搜集有关恋爱的信息，想了解自己这种心跳加速、脸红发热的感觉是否就是传说中的“喜欢”。每当确认这一点，她就会将小脸埋在枕头里，既羞涩又甜蜜地傻笑。\n{Name}开始幻想向{PlayerName}表白的场景，但又担心被拒绝、被嘲笑或者被认为太幼稚。这种矛盾的心情让她辗转反侧，难以入睡。\n她开始小心翼翼地试探{PlayerName}的态度，希望能从中找到一丝希望，但又害怕暴露自己的心意。\n对于年幼的她来说，这种初恋的煎熬既痛苦又甜蜜，她渴望更进一步，却又害怕失去现有的关系。她的心中充满了对未来的期待和忐忑。
1006,love_2,0,CVP_A1_T|103_E_1,\n{Name}最近发现自己越来越难以控制对{PlayerName}的感情，她确信这已经不是普通的喜欢，而是更为深刻的情感。\n当她看到其他人与{PlayerName}亲近时，会感到一阵酸涩和不安，这种陌生的嫉妒情绪让年幼的她感到困惑。她开始偷偷留意{PlayerName}是否对其他人也有特别的关注。\n{Name}常常在睡前幻想与{PlayerName}手牵手的场景，想象对方会如何回应她的表白。这些甜蜜的幻想让她睡意全无，心跳加速。\n她开始尝试用各种小方式表达自己的心意，比如送一些手工制作的小礼物，或者特意打扮得更漂亮。但每当{PlayerName}询问原因时，她又会因为害羞而支支吾吾，无法说出真相。\n对于年幼的{Name}来说，这种初次体验的恋爱情感既美好又折磨，她既渴望表达自己的心意，又害怕被拒绝后失去现有的亲密关系。这种矛盾的心情让她每天都在期待和忐忑中度过。
1007,love_2,0,CVP_A1_T|103_E_1,\n{Name}已经完全确认自己对{PlayerName}抱有特殊的感情，这种认知让她既兴奋又紧张。\n她开始在日记本上写下自己对{PlayerName}的种种幻想和心事，这些文字充满了天真的浪漫和稚嫩的渴望。有时候她会翻阅这些文字，脸上泛起幸福的红晕，又因为害羞而将日记本紧紧抱在怀里。\n{Name}开始注意{PlayerName}是否也对自己有特别的态度，每一个眼神交流、每一次偶然的触碰都被她视为重要的信号，仔细分析其中的含义。\n她悄悄向朋友打听关于告白的方法，但又担心自己年龄太小，会被{PlayerName}当作小孩子的玩笑。这种担忧让她踌躇不前，只能在心中默默祈祷{PlayerName}能主动向她表白。\n年幼的{Name}对爱情充满了美好的憧憬和幻想，但同时也因为自己的年龄和经验不足而感到不安。她渴望被{PlayerName}认真对待，希望自己的感情能得到回应，但又害怕面对可能的拒绝。这种矛盾的心情让她每天都处于甜蜜的煎熬中。
1008,love_2,0,CVP_A1_T|103_E_1,\n{Name}已经清楚地意识到自己对{PlayerName}的感情是特殊的、不同于友情的情感。这种认知让年幼的她既兴奋又困惑。\n她开始在镜子前练习表白的台词，但每次想象真正面对{PlayerName}时，她就会感到一阵心慌意乱，担心自己会被拒绝或者被取笑。这种复杂的心情让她辗转反侧。\n{Name}开始更加关注自己的外表和行为，希望能在{PlayerName}面前展现最完美的一面。她会模仿大人的样子，尝试表现得更加成熟，希望{PlayerName}能把她当作一个值得认真对待的恋爱对象。\n当{PlayerName}和她有肢体接触时，她的心跳会剧烈加速，小脸通红，这种强烈的反应有时会让她不知所措，只能结结巴巴地说话或者突然沉默。\n对于初次体验恋爱的{Name}来说，这种情感既美妙又令人不安。她渴望更深入的关系，却又害怕打破现有的平衡。她希望{PlayerName}能理解她的心意，但又担心自己的感情会因为年龄而被轻视。在这种矛盾的心情下，她每天都在期待和忐忑中度过。
1009,love_2,0,CVP_A1_T|103_E_1,\n年幼的{Name}已经确认自己对{PlayerName}的情感是爱恋，这个认知让她既甜蜜又焦虑。\n她开始偷偷收集{PlayerName}喜欢的事物和信息，希望能找到共同话题或者送出让对方开心的礼物。每次准备这些小惊喜时，她都会紧张得手心冒汗，害怕自己的心意会被拒绝。\n{Name}常常在夜深人静时幻想与{PlayerName}约会的场景，想象他们手牵手漫步、分享秘密、甚至是在床上……。这些幻想让她的心跳加速，脸颊发烫，但同时也让她更加渴望这些幻想成真。\n她试图通过各种小方式暗示自己的感情，比如有意无意地提及恋爱话题，或者询问{PlayerName}对自己的看法。但每当对方似乎要察觉她的心意时，她又会因为害怕被拒绝而急忙转移话题。\n对于{Name}来说，这种青涩的爱恋既美好又折磨。她渴望表达自己的真实感受，却又害怕失去现有的关系。在这种矛盾的心情下，她既期待着某一天能鼓起勇气告白，又害怕那一天真的到来。她的心中充满了对未来的期待和担忧。
1010,love_3,0,CVP_A1_T|103_E_1,\n年幼的{Name}和{PlayerName}终于确立了恋爱关系，这个事实让她既兴奋又害羞。\n每当{PlayerName}称她为“女朋友”时，她都会感到一阵甜蜜的晕眩，小脸通红，心跳加速。这种正式关系带来的幸福感让她时常忍不住偷笑。\n{Name}开始学习如何做一个“合格的女朋友”，她会模仿大人们的样子，尝试更加成熟的行为和表达方式。有时候她会因为太过紧张而显得笨拙，但这种青涩的表现反而更显可爱。\n她变得越来越大胆，开始主动索要牵手、拥抱甚至是轻吻。每一次亲密接触都让她心跳如鼓，但同时也让她感到无比幸福和满足。\n虽然{Name}年纪尚小，对恋爱的理解还很单纯，但她对{PlayerName}的感情却是真挚而热烈的。她珍视这段关系，希望能一直和{PlayerName}在一起，分享生活中的点点滴滴。在她稚嫩的心灵中，这段初恋是如此美好，值得用一生去珍藏。
1011,love_3,0,CVP_A1_T|103_E_1,\n{Name}和{PlayerName}正式成为恋人后，她的生活变得充满了甜蜜和期待。\n她开始大胆地表达自己的爱意，会在没人注意的角落偷偷牵{PlayerName}的手，或者靠在对方肩上撒娇。这些亲密举动让年幼的她既紧张又兴奋，心跳加速，小脸通红。\n{Name}开始记录两人之间的每一个小纪念日，比如在一起的第一周、第一个月，当然还有每一个第一次。她会精心准备小礼物或者惊喜，希望能让这些特殊的日子更加难忘。\n她常常在夜里回想与{PlayerName}共度的时光，这些回忆让她幸福得睡不着觉，只能抱着枕头傻笑。当{PlayerName}夸奖她时，她会感到一种前所未有的满足和自豪。\n尽管{Name}年纪尚小，对恋爱的理解还很单纯，但她对{PlayerName}的感情却是真诚而热烈的。她努力做一个好女朋友，希望能让{PlayerName}感到骄傲和幸福。在她天真的世界里，这段恋情是如此美好，让她每天都充满期待和喜悦。
1012,love_3,0,CVP_A1_T|103_E_1,\n{Name}和{PlayerName}确立恋人关系后，她的整个世界都变得不同了。她开始以“我们”而不是“我”来思考问题，两人的生活渐渐融为一体。\n年幼的{Name}开始有意识地学习恋爱中应该做的事情，她会模仿大人的样子，尝试准备一些简单的礼物或者小惊喜。虽然这些尝试有时候会因为她的年龄和经验不足而显得有些笨拙，但她的真诚和努力让这些小瑕疵变得格外可爱。\n她变得越来越大胆，开始主动索要亲吻和拥抱。每一次亲密接触都让她心跳加速，脸颊发烫，但同时也让她感到一种深深的满足和幸福。\n{Name}常常会突然意识到自己真的拥有了一段恋情，这个认知让她既兴奋又不可思议。她会忍不住傻笑，然后害羞地低下头，生怕被别人发现她的小秘密。\n虽然{Name}对恋爱的理解还很单纯，但她对{PlayerName}的感情却是真挚而热烈的。她珍视这段关系，希望能一直和{PlayerName}在一起，共同经历生活中的点点滴滴。在她纯真的心灵中，这段初恋是如此美好，值得用一生去珍藏。
