cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,165,0,high_1,{Name}在甜点店里享用了一份美味的提拉米苏，提拉米苏的外表层层叠叠，奶油细腻，撒上了可可粉，入口即化，甜而不腻。周围的环境温馨而舒适，甜点的香气弥漫在空气中，让人感到无比满足。
1,165,0,high_1,{Name}在甜点店里享用了一份精致的马卡龙，马卡龙色彩缤纷，外壳酥脆，内馅柔软香甜。每一口都带有淡淡的杏仁香气，让人回味无穷。店里的音乐轻轻响起，环境优雅，让人心情愉悦。
2,165,0,high_1,{Name}在甜点店里点了一款造型独特的抹茶千层蛋糕。\n蛋糕层层叠叠，如同一本打开的书，每层薄如蝉翼的饼皮间夹着细腻的抹茶奶油，最上层点缀着红豆和金箔。抹茶的清香与红豆的甜糯完美融合，口感丰富。
3,165,0,high_1,{Name}小心翼翼地切下一块草莓芝士蛋糕。蛋糕的底层是香酥的饼干碎，中间是浓郁的芝士慕斯，最上层铺满了新鲜的草莓。\n每一口都能吃到草莓的酸甜和芝士的醇厚，搭配着底层的酥脆，口感层次分明。
4,165,0,high_1,{Name}被橱窗里的一款巧克力熔岩蛋糕吸引。蛋糕外层烤得焦脆，轻轻切开，浓稠的巧克力熔岩便缓缓流出。搭配一旁的香草冰淇淋，冷热交织，甜美与苦涩在舌尖碰撞。
5,165,0,high_1,{Name}品尝了一份造型可爱的水果塔。塔底是酥脆的塔皮，上面摆放着各种时令水果，有鲜红的草莓、金黄的芒果、紫色的蓝莓，以及翠绿的猕猴桃。\n水果的酸甜搭配奶油的香甜，让人感觉仿佛置身于水果园。
6,165,0,high_1,{Name}对一款焦糖布丁情有独钟。布丁表面焦糖色泽诱人，轻轻晃动，布丁会微微颤动。入口即化的布丁口感柔滑，焦糖的香甜与布丁的奶香完美结合，让人回味无穷。
7,165,0,high_1,{Name}享用了一份精致的拿破仑蛋糕。蛋糕层层叠叠，每一层酥皮都烤得酥脆，夹层中是香甜的奶油和果酱。最上层装饰着细碎的杏仁片，口感丰富，层次分明。
8,165,0,high_1,{Name}被一款造型独特的云朵蛋糕吸引。蛋糕的外形像一朵云，绵软的戚风蛋糕上覆盖着厚厚的奶油，点缀着糖珠和巧克力片。每一口都像是在品尝棉花糖，口感轻盈。
9,165,0,high_1,{Name}点了一份经典的提拉米苏，但这款提拉米苏与众不同。蛋糕中加入了咖啡酒，酒香浓郁，搭配咖啡的苦涩和马斯卡彭芝士的甜腻，口感层次丰富。
10,165,0,high_1,{Name}对一款抹茶红豆大福爱不释手。大福的外皮软糯，内馅是细腻的红豆沙和抹茶馅，口感软糯Q弹，甜而不腻。
11,165,0,high_1,{Name}被橱窗里的一款彩虹慕斯蛋糕吸引。蛋糕如同一座彩虹桥，每一层慕斯都呈现出不同的颜色，有粉嫩的草莓、金黄的芒果、深蓝的莓果，口感轻盈，仿佛置身于童话世界。
12,165,0,high_1,{Name}点了一款造型独特的巧克力树桩蛋糕。蛋糕外形酷似一截树桩，巧克力慕斯包裹着松软的海绵蛋糕，表面装饰着可可粉和巧克力碎，口感浓郁，仿佛置身于巧克力森林。
13,165,0,high_1,{Name}小心翼翼地切下一块伯爵茶戚风蛋糕。蛋糕的每一层都浸透了伯爵茶的香气，茶香与蛋糕的香甜完美融合，搭配上酸甜的蓝莓酱，口感清新，回味无穷。
14,165,0,high_1,{Name}被一款焦糖苹果派深深吸引。酥脆的派皮包裹着香甜的苹果馅，苹果的酸甜与焦糖的香甜完美结合，最上层点缀着肉桂粉，口感丰富，温暖人心。
15,165,0,high_1,{Name}品尝了一份造型可爱的猫爪蛋糕。蛋糕的形状像一只可爱的小猫爪，粉嫩的蛋糕体上点缀着巧克力豆，口感柔软，仿佛在抚摸一只小猫咪。
16,165,0,high_1,{Name}对一款抹茶红豆巴斯克蛋糕情有独钟。蛋糕表面焦糖色泽诱人，内部口感湿润，抹茶的清香与红豆的甜糯完美融合，搭配上焦糖的香脆，口感丰富。
17,165,0,high_1,{Name}享用了一份精致的夏威夷果仁巧克力蛋糕。蛋糕的底层是香酥的夏威夷果仁碎，中间是浓郁的巧克力慕斯，最上层点缀着夏威夷果仁碎，口感丰富，香气浓郁。
18,165,0,high_1,{Name}被一款造型独特的玫瑰花蛋糕吸引。蛋糕的形状像一朵盛开的玫瑰花，每一瓣花瓣都由不同颜色的慕斯组成，口感细腻，仿佛置身于玫瑰花丛中。
19,165,0,high_1,{Name}点了一份经典的提拉米苏，但这款提拉米苏与众不同。蛋糕中加入了朗姆酒和咖啡，酒香浓郁，搭配咖啡的苦涩和马斯卡彭芝士的甜腻，口感层次丰富。
20,165,0,high_1,{Name}对一款芒果椰子千层蛋糕爱不释手。蛋糕层层叠叠，每层薄如蝉翼的饼皮间夹着细腻的芒果椰子奶油，最上层点缀着芒果丁，口感清爽，仿佛置身于热带海岛。
