cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,back_sex,0,sys_0,{Name}按住{TargetName}的后背，让{TargetName}以狗爬的姿势露出私处。\n随后，{Name}毫不客气的将肉根塞了进去。
1,back_sex,0,sys_0,{Name}让{TargetName}以后背位趴着，并将阴茎对准插了进去。
2,back_sex,0,high_1&t_lubrication_ge_1,{Name}从身后按住{TargetName}，在磨蹭几下入口后一鼓作气插了进去。
3,back_sex,0,high_1&last_cmd_back_sex,{Name}抓着{TargetName}的肩膀，从身后发起持续攻势。
4,back_sex,0,high_1&last_cmd_back_sex,{Name}保持着插入的姿势，抓住{TargetName}的头发让{TargetName}的脑袋向上仰起。
5,back_sex,0,high_1&last_cmd_back_sex&jj_3,{Name}保持着插入的姿势，{Name}的巨根在{TargetName}小腹处浮现出了肉棒的狰狞模样。
6,back_sex,0,jj_3&high_5,{Name}用巨大的肉棒从身后贯穿{TargetName}的小穴。
7,back_sex,0,jj_3&high_5,{Name}将巨大的肉棒抵在四肢着地趴着的{TargetName}小穴口，在感受到巨物前端的粗大外形后，{TargetName}有些紧张。\n{Name}在获得{TargetName}合意后缓缓突破穴口，插入了温暖腔室。
8,back_sex,0,high_1&last_cmd_back_sex&t_lubrication_ge_3,{Name}的肉棒不断剐蹭{TargetName}的肉壁，让{TargetName}时不时发出阵阵娇嗔。
9,back_sex,0,high_1&last_cmd_back_sex&t_lubrication_l_1,{Name}的肉棒不断剐蹭肉壁，可还没得到多少润滑的腔道只是让{TargetName}感到痛苦。
10,back_sex,0,high_1&last_cmd_back_sex&t_lubrication_ge_3,{Name}的肉棒在{TargetName}体内进出。
11,back_sex,0,high_1&last_cmd_back_sex&t_lubrication_ge_3,{Name}的肉棒被湿润的肉壁包裹，在{TargetName}享受到性爱的快乐的同时，{Name}也沉浸在无数肉褶蠕动所带来的快感下。
12,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_a_sex,{Name}将肉棒从{TargetName}的后穴抽出，以后背位的姿势将沾上肠液的肉棒送入{TargetName}小穴里面。
13,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_a_sex&last_cmd_back_seat_sex,{Name}从{TargetName}的后穴抽出肉棒，将{TargetName}从腿上按倒在地，以背后位姿势将肉棒送进{TargetName}的小穴。
14,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_back_seat_sex,{Name}将{TargetName}从腿上按倒在地，以背后位姿势将肉棒送进{TargetName}的小穴。
15,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_normal_sex,{Name}保持着插入的状态，将{TargetName}翻了个身，以后背位继续着活塞。
16,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_face_seat_sex,{Name}保持着插入的状态将{TargetName}从腿上放下，以后背位插入的状态继续着性爱。
17,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_face_stand_sex,{Name}保持着插入的状态将{TargetName}按倒在地，以后背位插入的状态继续着性爱。
18,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_back_stand_sex,{Name}保持着插入的状态将{TargetName}按倒在地，以后背位插入的状态继续着性爱。
19,back_sex,0,high_1&t_lubrication_ge_3&last_cmd_back_stand_sex,{Name}将{TargetName}从身上拉了下来并翻了个身，将肉棒从身上朝{TargetName}的小穴插去。
1000,back_sex,0,sys_0,{Name}轻柔地按住{TargetName}的肩膀，让她跪趴在床上，随后缓缓将阴茎插入她湿润的花径，{TargetName}不禁发出一声娇喘，身体微微颤抖着适应{Name}的尺寸。
1001,back_sex,0,sys_0,{Name}双手扶住{TargetName}纤细的腰肢，使她保持四肢着地的姿势，然后慢慢推进自己的硬挺，{TargetName}的身体随着{Name}的动作前后晃动，发出细微的呻吟声。
1002,back_sex,0,sys_0,{TargetName}伏在床上，{Name}跪在她身后调整好位置，轻轻分开她的双腿，将自己的阴茎对准她的入口，缓慢而坚定地插入，引得{TargetName}不自觉地抓紧了床单。
1003,back_sex,0,sys_0,{Name}抬高{TargetName}的腰部，让她以标准的后背位姿势跪趴着，随后用力挺入，{TargetName}的身体随着每一次抽插轻微摇晃，发出愉悦的声音。
1004,back_sex,0,sys_0,{TargetName}趴在床上，{Name}俯身压在她的背上，右手扶着她的腰肢，左手撑在床上，缓缓将阴茎插入她的体内，两人的身体随着节奏起伏。
1005,back_sex,0,sys_0,{Name}让{TargetName}四肢着地，像小动物一样跪趴着，然后从背后进入她，每一次深入都让{TargetName}发出甜腻的呻吟，她的脸颊因快感而泛红。
1006,back_sex,0,sys_0,{Name}扶住{TargetName}的臀部，调整她的高度，然后稳稳地插入她的花径，开始有节奏地抽送，{TargetName}的身体随着{Name}的动作前后摇晃。
1007,back_sex,0,sys_0,{TargetName}趴在床上，双手撑着床面，{Name}跪在她身后，握住她的腰部，将硬挺的阴茎插入她的体内，开始缓慢而有力地抽动。
1008,back_sex,0,sys_0,{Name}让{TargetName}以后背位姿势趴好，然后掰开她的双腿，将阴茎插入她湿润的花穴，{TargetName}随着{Name}的抽插发出断断续续的娇喘。
1009,back_sex,0,sys_0,{Name}按住{TargetName}的腰部，让她保持跪趴姿势，然后从背后将自己的欲望缓缓推入她的体内，{TargetName}的身体因快感而微微颤抖。
1010,back_sex,0,sys_0,{TargetName}四肢着地地伏在床上，{Name}扶着她的腰，将自己的阴茎对准她的入口，慢慢推入，{TargetName}感受到体内的充实感，不禁发出满足的叹息。
1011,back_sex,0,sys_0,{Name}让{TargetName}跪趴在床上，双手扶住她的臀部，将阴茎插入她的蜜穴，开始有节奏地抽送，每一次深入都让{TargetName}发出甜美的呻吟。
1012,back_sex,0,sys_0,{Name}扶着{TargetName}的肩膀，让她以四肢撑地的姿势稳定，随后从背后将硬挺的阴茎插入她的花径，{TargetName}的身体随着{Name}的动作轻轻晃动。
1013,back_sex,0,sys_0,{TargetName}趴在床上，双腿略微分开，{Name}跪在她的身后，握住她的腰部，将自己的阴茎缓缓插入她的蜜穴，开始轻柔而有力地抽送。
1014,back_sex,0,sys_0,{Name}双手扶住{TargetName}纤细的腰肢，让她保持跪趴姿势，然后将自己的硬挺对准她的入口，慢慢推入，{TargetName}的呼吸因此变得急促。
1015,back_sex,0,sys_0,{TargetName}像小猫一样趴在床上，{Name}从背后覆盖在她身上，轻轻将阴茎插入她的体内，开始有节奏地抽动，{TargetName}的呻吟声随着动作越来越大。
1016,back_sex,0,sys_0,{Name}抬高{TargetName}的臀部，让她维持跪趴的姿势，随后将自己的阴茎对准她的蜜穴，缓缓插入，{TargetName}因突如其来的快感而轻声惊呼。
1017,back_sex,0,sys_0,{TargetName}四肢着地地趴在床上，{Name}跪在她身后，双手扶住她的腰部，将阴茎插入她的花穴，开始有力地抽送，每一次深入都让{TargetName}发出甜腻的呻吟。
1018,back_sex,0,sys_0,{Name}让{TargetName}以标准的后背位姿势跪趴好，随后慢慢将硬挺的阴茎插入她的体内，{TargetName}的身体因快感而微微颤抖，发出细微的呻吟声。
1019,back_sex,0,sys_0,{Name}扶住{TargetName}的臀部，调整她的高度，然后将自己的阴茎对准她的花径，缓缓插入，{TargetName}的呼吸随着{Name}的进入变得急促起来。
1020,back_sex,0,sys_0,{TargetName}伏在床上，{Name}跪在她的身后，双手握住她的腰部，将自己的阴茎插入她的蜜穴，开始有节奏地抽送，每一次深入都让{TargetName}发出甜美的呻吟。
1021,back_sex,0,sys_0,{Name}抬高{TargetName}的腰部，让她以完美的后背位姿势跪趴着，随后将硬挺的阴茎慢慢插入她的体内，{TargetName}因快感而轻咬嘴唇。
1022,back_sex,0,sys_0,{TargetName}四肢着地地伏在床上，{Name}跪在她身后，扶住她的腰部，将自己的阴茎对准她的花穴，缓缓插入，{TargetName}的身体随着{Name}的动作轻轻晃动。
1023,back_sex,0,sys_0,{Name}让{TargetName}以后背位姿势趴好，随后掰开她的双腿，将自己的阴茎插入她湿润的蜜穴，开始有力地抽送，{TargetName}的呻吟声随着动作越来越大。
1024,back_sex,0,sys_0,{TargetName}趴在床上，双手撑着床面，{Name}跪在她身后，双手扶住她的臀部，将硬挺的阴茎插入她的体内，开始缓慢而有力地抽动。
1025,back_sex,0,sys_0,{Name}抬起{TargetName}的腰部，让她保持跪趴姿势，随后将自己的阴茎对准她的花径，慢慢推入，{TargetName}因突如其来的快感而轻声呻吟。
1026,back_sex,0,sys_0,{TargetName}像小动物一样四肢着地，{Name}从背后覆盖在她身上，将自己的阴茎插入她的蜜穴，开始有节奏地抽送，{TargetName}的身体随着{Name}的动作轻轻摇晃。
1027,back_sex,0,sys_0,{Name}双手扶住{TargetName}的腰部，让她保持后背位姿势，随后将自己的硬挺对准她的入口，缓缓插入，{TargetName}的呼吸因此变得急促起来。
1028,back_sex,0,sys_0,{TargetName}跪趴在床上，{Name}跪在她身后，双手握住她的臀部，将自己的阴茎插入她的花穴，开始有力地抽送，每一次深入都让{TargetName}发出甜腻的呻吟。
1029,back_sex,0,sys_0,{Name}让{TargetName}以标准的后背位姿势跪趴好，随后扶住她的腰部，将硬挺的阴茎慢慢插入她的体内，{TargetName}因快感而轻咬嘴唇。
1030,back_sex,0,sys_0,{TargetName}四肢着地地伏在床上，{Name}跪在她身后，双手扶住她的腰部，将自己的阴茎对准她的花径，缓缓插入，{TargetName}的身体随着{Name}的动作轻轻晃动。
1031,back_sex,0,sys_0,{Name}抬高{TargetName}的臀部，让她维持跪趴的姿势，随后将自己的阴茎对准她的蜜穴，慢慢推入，{TargetName}的呼吸随着{Name}的进入变得急促起来。
1032,back_sex,0,sys_0,{TargetName}趴在床上，双腿略微分开，{Name}跪在她的身后，握住她的腰部，将自己的阴茎插入她的花穴，开始有节奏地抽送，{TargetName}的呻吟声随着动作越来越大。
1033,back_sex,0,sys_0,{Name}扶住{TargetName}的肩膀，让她以四肢撑地的姿势稳定，随后从背后将硬挺的阴茎插入她的体内，开始缓慢而有力地抽动，{TargetName}的身体因快感而微微颤抖。
1034,back_sex,0,sys_0,{TargetName}像小猫一样趴在床上，{Name}从背后覆盖在她身上，将自己的阴茎对准她的花径，慢慢推入，{TargetName}因突如其来的快感而轻声惊呼。
1035,back_sex,0,sys_0,{Name}双手扶住{TargetName}的腰部，让她保持跪趴姿势，随后将自己的硬挺对准她的入口，缓缓插入，{TargetName}的呼吸因此变得急促起来。
1036,back_sex,0,sys_0,{TargetName}四肢着地地伏在床上，{Name}跪在她身后，双手握住她的臀部，将自己的阴茎插入她的花穴，开始有力地抽送，每一次深入都让{TargetName}发出甜腻的呻吟。
1037,back_sex,0,sys_0,{Name}让{TargetName}以标准的后背位姿势跪趴好，随后将硬挺的阴茎慢慢插入她的体内，{TargetName}的身体因快感而微微颤抖，发出细微的呻吟声。
1038,back_sex,0,sys_0,{Name}扶住{TargetName}的腰肢，使她保持四肢着地的姿势，然后慢慢推进自己的硬挺，{TargetName}的身体随着{Name}的动作前后晃动，发出愉悦的声音。
1039,back_sex,0,sys_0,{TargetName}伏在床上，{Name}跪在她身后调整好位置，轻轻分开她的双腿，将自己的阴茎对准她的入口，缓慢而坚定地插入，引得{TargetName}不自觉地抓紧了床单。
1040,back_sex,0,sys_0,{Name}抬高{TargetName}的腰部，让她以完美的后背位姿势跪趴着，随后用力挺入，{TargetName}的身体随着每一次抽插轻微摇晃，发出甜美的娇喘。
