cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,


1000,action_part_c_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,尖锐的快感如高压电流般从{clitoris}这一点骤然炸开，瞬间贯穿了{TargetName}青涩未熟的娇躯，稚气未脱的她整个人猛地弹跳了一下，腰肢高高弓起。\n{clitoris}充血胀硬到极限，完全从包皮下挺立出来，根部一下一下剧烈地抽动，青涩的下腹反复抽搐紧缩，纤细的大腿痉挛着死死夹紧，阴部止不住地涌出一股股爱液。\n这是一次完整而正常强度的绝顶，尚未发育开的身体尝到了绝顶该有的一切反应，可她根本不懂自己身上发生了什么，只是茫然又惊慌地承受着这灭顶般的酥麻。\n年幼无知的{TargetName}压根不明白这尖锐的快感意味着什么，更不知道自己早已能孕育生命的身体正被这场高潮彻底点燃。
1001,action_part_c_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}稚嫩的身子毫无防备地剧烈弹动了一下，一股如电流般锐利的快感从{clitoris}那一点直直窜上脊背，一路烧进脑髓。\n那颗小小的肉核充血涨大，彻底从包皮里挺了出来，根部剧烈地跳动抽搐，未发育完全的小腹一阵阵抽紧，青涩纤细的双腿绷得笔直又猛然痉挛夹拢，娇嫩的阴唇间大量爱液汩汩涌出。\n这是完整正常强度的绝顶高潮，青涩的躯体第一次被这样的极乐贯穿，意识开始变得模糊，却又远没到彻底失神的地步。\n什么都不懂的她只觉得那一小点被玩弄到发麻发烫，浑身抖个不停，既不明白这是快感，也丝毫不知道这具已能受孕的身子正为此颤栗不止。
1002,action_part_c_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,锐利得近乎刺痛的快感在{clitoris}这一点上猛地引爆，像高压电一样击穿了{TargetName}青涩的神经，令这具尚未长开的娇小身躯明显地弹跳起来，腰部高高弓成一道弧。\n{clitoris}胀硬到极致地挺出，根部不受控制地连连抽动，稚气的下腹反复痉挛收紧，细瘦的大腿紧紧绞在一起打着颤，蜜穴深处比往常涌出更多的爱液，浸湿了整片娇嫩的腿根。\n这场绝顶完整而典型，是正常强度该有的模样，还未到那种极致失控的境地。\n年少懵懂的{TargetName}被这突如其来的灭顶快感冲得脑中一片茫然，根本弄不明白身体为何这般失控，更不晓得这样的高潮和怀孕有着怎样的干系。
1003,action_part_c_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,仿佛有一道电流从{clitoris}那微小的一点直直贯穿全身，{TargetName}青涩单薄的身体骤然绷紧又剧烈弹动，稚嫩的腰肢不由自主地高高挺起。\n那粒充血挺立的肉核完全从软皮下探出，根部密集而有力地抽跳着，未成熟的小腹一下下抽搐，青涩的双腿痉挛着夹得死紧，娇嫩的花缝里爱液一波接一波地淌落。\n这是一次完整而正常强度的绝顶，绝顶该有的每一种反应都在这具青涩的身躯上一一浮现，意识微微涣散却尚存清明。\n毫无性知识的她只是惊慌又懵懂地承受着这从未体验过的酥麻洪流，既不懂这份尖锐的快感是什么，也全然不知自己稚嫩的身体早已具备孕育的能力。
1004,action_part_c_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,尖锐的快感从{clitoris}这唯一的原点如电流般迸射而出，转瞬间席卷了{TargetName}整具青涩稚气的娇躯，令她浑身一震，腰腹高高弓起后又剧烈地颤抖。\n{clitoris}充血挺胀到极限，彻底从包皮下挺立而出，根部剧烈地抽搐跳动，尚显平坦青涩的下腹反复紧缩，纤细的腿绷直又痉挛夹拢，阴部深处比以往涌出更浓更多的爱液。\n这是完整正常强度的绝顶高潮，绝顶该有的一切反应尽数呈现，可还未达到那种彻底失控的极致。\n什么都不明白的{TargetName}只觉得那一小点被逼到发狂般地颤抖，脑子里乱糟糟一片，完全不知道这场高潮意味着什么，更不知这份快感正落在一具已能受孕的身子上。
1005,action_part_c_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,如高压电流击穿神经般的锐利快感在{clitoris}这一点猛然炸裂，霎时贯穿了{TargetName}青涩未熟的全身，令娇小的身躯猛地弹起，稚嫩的腰肢弓成紧绷的弧度。\n那颗小小的肉核胀硬到极点挺出软皮，根部不住地剧烈抽动，青涩的小腹一阵阵抽搐紧缩，细嫩的大腿死死夹紧又不停痉挛，娇羞的蜜口涌出大量爱液。\n这是一场完整而正常强度的绝顶，绝顶应有的所有反应都清晰浮现，意识开始朦胧却未被彻底冲垮。\n年幼而对性一无所知的她只能茫然无措地任由这灭顶的酥麻将自己吞没，既不理解这尖锐快感的由来，也懵懂地不知自己的身体已能因这样的欢愉而孕育新的生命。

