cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_penis_in_body_5_C,0,high_1,{Name}感受着{hands_s}上下套弄带来的酥麻快感，{penis_s}在摩擦中变得更加敏感，每一次触碰都让{Name}忍不住颤抖。
1001,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}全身发热，{penis_s}传来的阵阵快感直冲大脑，让{Name}不自觉地挺腰迎合着节奏。
1002,action_part_penis_in_body_5_C,0,high_1,{Name}咬紧牙关忍受着{hands_s}带来的强烈刺激，{penis_s}被套弄得胀痛难耐，前端已经开始渗出液体。
1003,action_part_penis_in_body_5_C,0,high_1,{hands_s}的每一次滑动都让{Name}的呼吸变得急促，{penis_s}在摩擦中跳动着，快感如电流般蔓延全身。
1004,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}被{hands_s}紧紧包裹，每一次摩擦都让快感累积，小腹绷紧，脚趾也不自觉地蜷缩起来。
1005,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦速度忽快忽慢，让{Name}无法预测下一波快感，{penis_s}在这种刺激下变得更加坚硬敏感。
1006,action_part_penis_in_body_5_C,0,high_1,{Name}闭上眼睛，全身心地感受着{hands_s}的套弄，{penis_s}传来的每一丝快感都让他沉醉不已。
1007,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}喘息不止，{penis_s}在刺激下不断跳动，一阵阵酥麻感从下体直冲脑门。
1008,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}被{hands_s}灵活地把玩着，每一次摩擦都带来新的快感，让他忍不住想要更多。
1009,action_part_penis_in_body_5_C,0,high_1,{hands_s}的力道恰到好处，{Name}的{penis_s}在摩擦中变得异常敏感，腰部不自觉地随着节奏摆动。
1010,action_part_penis_in_body_5_C,0,high_1,{Name}享受着{hands_s}的套弄，{penis_s}被刺激得不断渗出液体，快感如潮水般一波接一波袭来。
1011,action_part_penis_in_body_5_C,0,high_1,{hands_s}的每一次撸动都让{Name}头皮发麻，{penis_s}在这种刺激下变得更加胀大，快感不断累积。
1012,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}被{hands_s}紧紧握住摩擦，快感从下体蔓延至全身，让他忍不住发出低沉的呻吟。
1013,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}全身肌肉紧绷，{penis_s}在这种刺激下变得异常敏感，每一次触碰都是极致享受。
1014,action_part_penis_in_body_5_C,0,high_1,{Name}感受到{hands_s}的每一次套弄都让{penis_s}更加坚硬，快感积累得让他几乎无法保持理智。
1015,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}呼吸加速，{penis_s}在这种刺激下不断跳动，仿佛随时都会爆发。
1016,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}被{hands_s}熟练地摩擦着，每一次套弄都带来一阵电流般的快感，让他双腿发软。
1017,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}全身发热，{penis_s}在刺激下变得更加敏感，前端不断渗出湿滑的液体。
1018,action_part_penis_in_body_5_C,0,high_1,{Name}感受到{hands_s}的每一次滑动，{penis_s}被摩擦得发烫，快感如同电流般窜过全身。
1019,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}的快感不断累积，{penis_s}在这种刺激下变得更加坚硬，随时可能喷发。
1020,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}被{hands_s}完美包裹，每一次套弄都让他全身颤抖，腰部不自觉地向前挺动。
1021,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦带来的快感让{Name}头晕目眩，{penis_s}在这种刺激下变得更加膨胀，快感不断攀升。
1022,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}在{hands_s}的套弄下变得异常敏感，每一次触碰都让他忍不住发出低吟。
1023,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}全身发软，{penis_s}在这种刺激下不断跳动，快感如同浪潮般一波接一波。
1024,action_part_penis_in_body_5_C,0,high_1,{Name}感受到{hands_s}的每一次滑动都带来新的快感，{penis_s}被摩擦得胀痛却又舒爽无比。
1025,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}的呼吸变得粗重，{penis_s}在这种刺激下变得更加坚硬，前端不断渗出液体。
1026,action_part_penis_in_body_5_C,0,high_1,{Name}感到{penis_s}被{hands_s}轻柔却有力地套弄着，每一次摩擦都让他全身战栗，快感不断累积。
1027,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}沉浸在极致的快感中，{penis_s}在这种刺激下不断跳动，仿佛有生命一般。
1028,action_part_penis_in_body_5_C,0,high_1,{Name}感受到{hands_s}的套弄带来的阵阵快感，{penis_s}在摩擦中变得更加敏感，让他忍不住想要更多。
1029,action_part_penis_in_body_5_C,0,high_1,{hands_s}的摩擦让{Name}全身发热，{penis_s}在这种刺激下变得更加胀大，快感如电流般席卷全身。
