cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,take_shower,0,high_1,{Name}打开淋浴头，调整了水温和水流强度，快速地给自己挤好洗发水，打上肥皂，洗的干干净净
2,take_shower,0,high_1,{Name}站在淋浴头下面，先是快速地冲了一遍全身，然后慢慢地涂沐浴露来洗身体，然后涂洗发水和护发素来保养头发，中间冲了好几次，最后拿起毛巾把身体擦干

1001,take_shower,0,high_1,{Name}走进淋浴间，打开淋浴头，感受水温，调整到适合的温度，然后将整个身体都沐浴在水流下，舒展筋骨，享受水流带来的舒适感。
1002,take_shower,0,high_1,{Name}在洗头的过程中，将洗发水倒在手心，揉搓出丰富的泡沫，然后涂抹在头发上，用指腹轻轻按摩头皮，直到头皮感觉清爽舒适。\n接着用喷头冲洗掉头发上的洗发水泡沫，同时用手指梳理头发，确保每根头发都被冲洗干净。
1004,take_shower,0,high_1,{Name}在洗头过程中，涂抹护发素时，将其均匀地涂抹在头发上。\n然后用手指轻轻梳理头发，让护发素更好地渗透到头发里，起到护理作用。\n待护发素起效后，再用喷头冲洗干净。
1005,take_shower,0,high_1,{Name}在洗身子的过程中，先将身体湿润后，取适量沐浴露，涂抹在身体各处，用浴球揉搓出丰富的泡沫。\n然后用力按摩身体，让泡沫深入毛孔，洗去污垢。\n接着用喷头冲洗身体，将泡沫彻底冲干净，同时用手在身体上轻轻拍打，让血液循环更加顺畅。
1006,take_shower,0,high_1,{Name}在洗澡前，先将浴巾挂在浴室门后，确保洗澡时不会弄湿浴巾，洗澡后方便拿取擦干身体。\n同时将浴帘拉上，确保洗澡时水不会溅出浴室，保持浴室地面干燥整洁。
1007,take_shower,0,high_1,{Name}在洗澡过程中，先将脸部湿润后，取适量洗面奶，轻轻地在脸部打圈按摩，使洗面奶深入毛孔，洗去脸部污垢。\n然后用温水冲洗脸部，确保洗面奶完全被冲洗干净，接着用手轻轻拍打脸部，促进血液循环。
1008,take_shower,0,high_1,{Name}在洗澡过程中，用指腹轻轻按摩太阳穴、颈部和肩膀，缓解一天的疲劳和紧张。\n接着，用喷头对准背部，让水流冲击背部，起到按摩背部肌肉的作用，舒缓背部疼痛。
1009,take_shower,0,high_1,{Name}在洗脚的过程中，先用拖鞋将脚底沾湿，然后倒上磨砂膏，用力搓揉脚底，去除死皮，使脚底光滑嫩白。\n接着用喷头冲洗脚背和脚趾缝隙，确保脚部的每个部位都被清洗干净。
1010,take_shower,0,high_1,{Name}洗澡结束后，先用浴巾擦干身体，然后涂抹身体乳，将其均匀地涂抹在身体各处，让皮肤保持滋润，焕发光彩。\n最后用吹风机吹干头发，避免头发湿漉漉的感觉。\n最后用宽齿梳轻轻梳理，不用力拉扯，以免损伤头发和头皮。
1011,take_shower,0,high_1,{Name}在洗澡前，先将洗发水、护发素、沐浴露和洗面奶等洗浴用品摆放在易于取用的位置，方便洗澡时能够快速找到并使用。\n用喷头冲洗身体时，顺便清洗浴室墙壁，保持浴室的清洁。\n同时，确保水温适中，以免过热或过冷影响洗澡体验。
1012,take_shower,0,high_1,{Name}在淋浴过程中，用手轻轻按摩头发和头皮，以促进血液循环和头发生长。\n接着，用喷头对准脖子和胸部，让水流冲击这些部位，起到舒缓肌肉的作用，放松身心。\n最后，用毛巾擦干身体，避免水滴残留在皮肤上引起不适。
1013,take_shower,0,high_1,{Name}在洗澡前，先将浴室内的窗户打开，保持通风良好，防止湿气积聚。\n同时，检查淋浴间的排水口是否畅通，以免洗澡时水无法顺利排出影响体验。\n最后，还会放一些芳香剂，让洗澡变得更加愉悦。
1014,take_shower,0,high_1,{Name}在洗身体的过程中，会使用海绵或者浴球等工具，让沐浴露更加丰富地泡沫，从而更好地清洁身体。\n同时，注意清洗腋下、肘部、膝盖等容易被忽略的部位，确保身体每个角落都被清洗干净。
1015,take_shower,0,high_1,{Name}在洗头发的过程中，可以使用按摩梳，轻轻按摩头皮，促进血液循环，同时也能够帮助洗发水更好地渗透到头发里面。\n接着用喷头冲洗掉头发上的洗发水泡沫，顺便冲洗掉额头和耳朵后面的污垢，让整个头部都变得干净清爽。
1016,take_shower,0,high_1,{Name}在淋浴前，会先进行一些简单的拉伸运动，以放松身体肌肉。\n然后会先泡个脚，让身体逐渐适应水温。\n在洗澡时，还会播放自己喜欢的音乐或者听书，让洗澡成为一种享受。
1017,take_shower,0,high_1,{Name}在淋浴的过程中，喜欢先将淋浴头调整成按摩模式，用水流冲击肌肉和关节，起到舒缓疲劳的作用。\n最后会将淋浴头调整成雾化模式，让水珠细致柔和，营造出更加舒适的洗澡环境。
1018,take_shower,0,high_1,{Name}在洗澡结束后，经常使用一些保湿喷雾或者润肤霜，让皮肤更加滋润。\n同时，偶尔也会使用一些香水或者身体喷雾，让自己更加自信迷人。
