key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,117,0,干员编号：117
Name,str,末药,1,姓名：末药
Sex,int,1,0,性别：女
Profession,int,3,0,职业：医疗
Race,int,28,0,种族：沃尔珀
Nation,int,0,0,势力：罗德岛
Birthplace,int,999,0,出生地：未知
Hp,int,1500,0,初始体力：1500
Mp,int,1500,0,初始气力：1500
Dormitory,str,无,1,无：无
Token,str,以多种草药混合制作的药丸。生病的时候一定能派上用场，何况每颗药丸都被细心地裹上了糖衣。,1,信物
Introduce_1,str,末药，出身地未公开，药师。于药物研发方面展现出值得期待的天赋。目前于罗德岛担任医疗小组干员，并提供药物制作等方面的服务。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,Ａ处女
T|2,int,1,0,Ｕ处女
T|3,int,1,0,Ｗ处女
T|4,int,1,0,无接吻经验
T|104,int,1,0,少女
T|111,int,1,0,兽耳
T|113,int,1,0,兽尾
T|122,int,1,0,贫乳
T|127,int,1,0,普臀
T|129,int,1,0,细腿
T|132,int,1,0,长足
A|41,int,1,0,指挥技能level:1
A|42,int,1,0,战斗技能level:1
C|1,str,圆框眼镜,1,角色眼镜为圆框眼镜
C|3,str,黑色颈环,1,角色脖子为黑色颈环
C|5-1,str,黑色透明披风,1,角色上衣为黑色透明披风
C|5-2,str,黑白双色纽扣衬衣,1,角色上衣为黑白双色纽扣衬衣
C|7,str,棕色手套,1,角色手套为棕色手套
C|8,str,黑色短蓬蓬裙,1,角色下衣为黑色短蓬蓬裙
C|10-1,str,桃色短袜,1,角色袜子为桃色短袜
C|10-2,str,腿环（左）,1,角色袜子为腿环（左）
C|10-3,str,绷带（右）,1,角色袜子为绷带（右）
C|11,str,黑色运动鞋,1,角色鞋子为黑色运动鞋
