cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,

2100,examine_hands,0,CVP_A2_T|102_E_1,{Name}温柔地牵起{TargetName}幼小的双手，仔细端详着这双稚嫩的小手，细心检查每一个细节。\n小女孩的手掌柔嫩如花瓣，手指细短可爱，{Name}用拇指轻抚着她粉嫩的手心，感受着那种婴儿般的柔软触感。\n{TargetName}好奇地看着{Name}，天真地问这样检查手是为了什么，小脸上带着纯真的疑惑表情，完全不明白{Name}内心的真实想法。\n{Name}故意放慢检查速度，用手指轻捏着{TargetName}每一根小手指，享受着那种细腻滑嫩的肌肤触感，内心涌起阵阵快感。\n他轻抚着小女孩的手腕，感受着那里细嫩的皮肤和微弱的脉搏，同时观察着{TargetName}纯真的反应和无邪的眼神。
2101,examine_hands,0,CVP_A2_T|102_E_1,{Name}小心翼翼地握住{TargetName}娇小的双手，开始详细检查这双如玉般洁白的小手。\n幼女的手指短小精致，手掌软糯如棉花糖，{Name}用指尖轻触着她的手心，感受着那种令人心醉的柔嫩质感。\n{TargetName}乖巧地配合着检查，时而张开手掌，时而握拳，天真地以为这是正常的身体检查，完全没有察觉到{Name}色情的意图。\n{Name}用双手包围着{TargetName}的小手，享受着那种温暖柔软的包裹感，手指在她稚嫩的肌肤上轻柔滑动，内心充满了邪恶的快感。\n小女孩偶尔轻声询问检查的结果，{Name}一边抚摸着她的手指一边敷衍回答，贪婪地享受着这种禁忌的触碰。
2102,examine_hands,0,CVP_A2_T|102_E_1,{Name}轻柔地抓住{TargetName}稚嫩的小手，开始仔细观察和触摸这双令人心动的幼手。\n小女孩的手掌娇小玲珑，皮肤细腻如丝，{Name}用拇指在她手心画圈，感受着那种滑嫩温热的美妙触感。\n{TargetName}眨着水汪汪的大眼睛看着{Name}，好奇地配合着所谓的手部检查，丝毫不知道这种触摸带给{Name}多么强烈的性刺激。\n{Name}故意检查每一根手指的关节和指尖，用自己的手指轻抚、按压、揉捏，享受着与幼女肌肤接触时那种电流般的快感。\n他观察着{TargetName}天真无邪的表情，内心充满了变态的满足感，手上的动作越来越轻柔缓慢，想要延长这种美妙的触摸时光。
2103,examine_hands,0,CVP_A2_T|102_E_1,{Name}温和地牵起{TargetName}娇嫩的双手，假装专业地检查着这双如花蕾般的小手。\n幼女的手指细小柔软，手掌温热如玉，{Name}用指腹轻抚着她每一寸肌肤，感受着那种纯真稚嫩的质感。\n{TargetName}乖顺地伸出双手，完全信任着博士的检查，天真地询问自己的手是否健康，小脸上写满了单纯和信赖。\n{Name}握住{TargetName}的小手轻柔摆弄，用手指在她掌心轻划，享受着那种滑腻温暖的触感，内心涌起强烈的占有欲和快感。\n他仔细观察着小女孩纯真的反应，一边继续着这种色情的检查，一边在心中品味着这种禁忌触碰带来的刺激感受。
2104,examine_hands,0,CVP_A2_T|102_E_1,{Name}细心地检查着{TargetName}幼小的双手，用专业的借口掩饰着内心的邪恶欲望。\n小女孩的手掌柔嫩如初绽的花朵，手指娇小可爱，{Name}用双手包裹着她的小手，感受着那种无与伦比的柔软触感。\n{TargetName}天真地配合着检查，偶尔活泼地摆动手指，完全不知道这样的动作给{Name}带来了多么强烈的视觉和触觉刺激。\n{Name}假装检查手部灵活性，让{TargetName}做各种手势，实际上是在欣赏和享受她稚嫩双手的每一个动作和姿态。\n他用拇指轻抚着小女孩的手背和手腕，感受着那里细腻的肌肤和温暖的体温，内心充满了变态的满足感和快乐。

2105,examine_hands,0,CVP_A2_T|103_E_1,{Name}轻柔地握住{TargetName}纤细的双手，开始仔细检查这双正值青春期的萝莉玉手。\n萝莉的手指修长白嫩，手掌温热柔软，{Name}用指尖轻抚着她的手心，感受着那种青涩纯真的肌肤质感。\n{TargetName}有些害羞地看着{Name}，对这种亲密的接触感到紧张，脸颊微微泛红，但依然乖巧地配合着所谓的检查。\n{Name}故意延长检查时间，用手指轻抚着{TargetName}每一根手指，享受着她肌肤的光滑细腻，内心涌起强烈的色欲冲动。\n他观察着萝莉羞涩的表情，一边继续着这种色情的触摸，一边在心中品味着这种禁忌接触带来的刺激快感。
2106,examine_hands,0,CVP_A2_T|103_E_1,{Name}细心地检查着{TargetName}娇嫩的双手，假装专业地观察着萝莉手部的发育情况。\n萝莉的手掌柔软如绸缎，手指纤细优美，{Name}用拇指在她手心轻划，感受着那种令人心醉的温热触感。\n{TargetName}紧张地咬着下唇，对博士如此仔细的检查感到困惑，但不敢质疑，只能羞涩地配合着这种亲密接触。\n{Name}用双手包围着{TargetName}的手，享受着她肌肤的柔嫩光滑，手指在她手背和手腕上轻柔滑动，内心充满了邪恶的快感。\n他故意检查每一个手指关节，用自己的手指轻抚、按压，享受着与萝莉肌肤接触时那种电流般的刺激感受。
2107,examine_hands,0,CVP_A2_T|103_E_1,{Name}温柔地牵起{TargetName}白皙的双手，开始详细检查这双青春洋溢的萝莉玉手。\n萝莉的手指白嫩修长，手掌温暖柔软，{Name}用指腹轻抚着她的每一寸肌肤，感受着那种青涩纯真的美妙质感。\n{TargetName}害羞地低着头，对这种检查方式感到疑惑，小脸红扑扑的，但依然信任地配合着博士的要求。\n{Name}握住{TargetName}的手轻柔摆弄，用手指在她掌心画圈，享受着那种滑腻温热的触感，内心涌起阵阵色欲冲动。\n他仔细观察着萝莉羞涩的反应，一边继续着这种色情的检查，一边贪婪地享受着这种禁忌触碰带来的强烈快感。
2108,examine_hands,0,CVP_A2_T|103_E_1,{Name}小心翼翼地检查着{TargetName}柔嫩的双手，用医疗检查的借口满足着内心的邪恶欲望。\n萝莉的手掌如丝绸般光滑，手指纤细可爱，{Name}用双手轻抚着她的手，感受着那种令人迷醉的柔软触感。\n{TargetName}紧张地看着{Name}，对这种亲密的接触感到既害怕又好奇，身体微微颤抖，但不敢表示反对。\n{Name}假装检查手部血液循环，用手指轻压着{TargetName}的手腕和手心，实际上是在享受着她肌肤的温热柔嫩。\n他观察着萝莉紧张羞涩的表情，内心充满了变态的满足感，手上的动作越来越轻柔缓慢，想要延长这种美妙的触摸时光。
2109,examine_hands,0,CVP_A2_T|103_E_1,{Name}轻柔地握住{TargetName}娇美的双手，开始仔细端详着这双充满青春气息的萝莉玉手。\n萝莉的手指白皙纤细，手掌温润如玉，{Name}用指尖轻触着她的手心，感受着那种细腻光滑的肌肤质感。\n{TargetName}羞怯地看着{Name}，对博士如此专注的检查感到困惑，小手微微颤抖，但依然乖巧地配合着这种检查。\n{Name}用拇指轻抚着{TargetName}每一根手指，享受着她肌肤的柔嫩滑腻，内心涌起强烈的色情冲动和占有欲。\n他故意延长每一个检查动作，贪婪地享受着与萝莉肌肤接触时那种令人陶醉的触感和视觉刺激。

2110,examine_hands,0,CVP_A2_T|104_E_1,{Name}温和地牵起{TargetName}纤美的双手，开始细致地检查这双充满青春活力的少女玉手。\n少女的手指修长白嫩，手掌柔软温热，{Name}用指腹轻抚着她的手心，感受着那种成熟中带着青涩的肌肤质感。\n{TargetName}有些紧张地看着{Name}，对这种亲密的检查感到羞涩，脸颊微红，但依然信任地配合着博士的专业要求。\n{Name}故意仔细检查每一根手指，用自己的手指轻抚、按压，享受着她肌肤的光滑细腻，内心涌起强烈的性冲动。\n他观察着少女羞涩的表情和微微颤抖的身体，一边继续着这种色情的触摸，一边品味着这种禁忌接触带来的刺激快感。
2111,examine_hands,0,CVP_A2_T|104_E_1,{Name}轻柔地检查着{TargetName}优美的双手，假装专业地观察着少女手部的健康状况。\n少女的手掌如丝绸般光滑，手指纤细优雅，{Name}用拇指在她手心轻划，感受着那种令人心醉的温热柔软。\n{TargetName}害羞地咬着嘴唇，对博士如此仔细的检查感到困惑，但不好意思表示质疑，只能红着脸配合着这种检查。\n{Name}用双手包围着{TargetName}的手，享受着她肌肤的柔嫩光滑，手指在她手背和手腕上轻柔游走，内心充满了邪恶的快感。\n他故意放慢检查速度，贪婪地享受着与少女肌肤接触时那种电流般的刺激感受，同时观察着她羞涩的反应。
2112,examine_hands,0,CVP_A2_T|104_E_1,{Name}细心地握住{TargetName}柔美的双手，开始详细检查这双散发着青春魅力的少女玉手。\n少女的手指白皙修长，手掌温润柔软，{Name}用指尖轻触着她的每一寸肌肤，感受着那种成熟与纯真并存的美妙质感。\n{TargetName}紧张地看着{Name}，对这种检查方式感到疑惑，身体微微颤抖，但依然乖巧地配合着所谓的医疗检查。\n{Name}假装检查手部灵活性，让{TargetName}做各种手势，实际上是在欣赏和享受她优美手部的每一个动作和姿态。\n他用手指轻抚着少女的手心和手背，感受着那种滑腻温热的触感，内心涌起强烈的色欲冲动和占有欲望。
2113,examine_hands,0,CVP_A2_T|104_E_1,{Name}温柔地检查着{TargetName}娇嫩的双手，用专业的借口掩饰着内心的邪恶意图。\n少女的手掌如玉般温润，手指纤细可人，{Name}用双手轻抚着她的手，感受着那种令人迷醉的柔软光滑。\n{TargetName}羞涩地低着头，对博士如此专注的检查感到困惑，小脸红扑扑的，但不敢表示反对或质疑。\n{Name}握住{TargetName}的手轻柔摆弄，用手指在她掌心画圈，享受着那种温热柔嫩的触感，内心充满了变态的满足感。\n他仔细观察着少女害羞的表情，一边继续着这种色情的检查，一边贪婪地享受着这种禁忌触碰带来的强烈刺激。
2114,examine_hands,0,CVP_A2_T|104_E_1,{Name}小心翼翼地牵起{TargetName}美丽的双手，开始仔细端详着这双充满青春气息的少女玉手。\n少女的手指修长优美，手掌柔软如绸，{Name}用指腹轻抚着她的手心，感受着那种细腻光滑的肌肤质感。\n{TargetName}紧张地看着{Name}，对这种亲密的接触感到既羞涩又困惑，身体微微发抖，但依然信任地配合着这种检查。\n{Name}用拇指轻抚着{TargetName}每一根手指，享受着她肌肤的柔嫩滑腻，内心涌起阵阵色情冲动和邪恶快感。\n他故意延长每一个检查动作，观察着少女羞涩的反应，贪婪地享受着这种禁忌触摸带来的强烈刺激和满足感。

2115,examine_hands_flexibility,0,CVP_A2_T|102_E_1,{Name}告诉{TargetName}要进行手部灵活性的特殊测试，让小女孩乖乖闭上眼睛配合检查。\n{TargetName}天真地照做，闭上了眼睛，完全不知道接下来会发生什么令人震惊的事情。\n{Name}悄悄脱下裤子，将硬挺的阴茎放入{TargetName}幼小的手掌中，开始指导她进行所谓的灵活性训练。\n小女孩的手掌柔嫩温热，紧紧包围着{Name}的肉棒，那种稚嫩的触感让他忍不住发出低沉的喘息声，快感如潮水般涌来。\n{TargetName}好奇地询问为什么要握住这个奇怪的东西，{Name}一边享受着她稚嫩小手带来的刺激，一边敷衍地解释这是检查器械。\n{Name}开始轻柔地抽插，享受着幼女小手的包裹感，粗大的阴茎与娇小的手掌形成鲜明对比，带给他无与伦比的变态快感。
