key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,1,0,干员编号
Name,str,阿米娅,1,姓名
Sex,int,1,0,女
Profession,int,4,0,术师
Race,int,1,0,卡特斯/奇美拉
Nation,int,0,0,罗德岛
Birthplace,int,9,0,雷姆必拓
Hp,int,1400,0,初始体力
Mp,int,1100,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,“总有一天你会理解我的选择......原谅我。”
Introduce_1,str,罗德岛的公开领袖，在内部拥有最高执行权。虽然，从外表上看起来仅仅是个不成熟的少女，实际上，她却是深受大家信任的合格的领袖。现在，阿米娅正带领着罗德岛，为了感染者的未来，为了让这片大地挣脱矿石病的阴霾而不懈努力。,1,人物介绍_1
TextColor,str,#96dfe4,1,角色字体颜色为#96dfe4
A|0,int,1,0,N感觉
A|40,int,2,0,角色话术技能为2
A|44,int,4,0,角色音乐技能为3
E|81,int,100,0,战斗经验
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|7,int,1,0,未成年
T|86,int,1,0,Ｃ敏感
T|104,int,1,0,少女
T|111,int,1,0,兽耳
T|113,int,1,0,兽尾
T|122,int,1,0,贫乳
T|127,int,1,0,普臀
T|129,int,1,0,细腿
T|131,int,1,0,小足
T|150,int,1,0,源石病感染者
T|274,int,1,0,坚强
T|352,int,1,0,回复快
C|3,str,渐变蕾丝纱巾,0,渐变蕾丝纱巾
C|5-1,str,罗德岛制服夹克,0,罗德岛制服夹克
C|5-2,str,白色羊绒衫,0,白色羊绒衫
C|7,str,抑制戒指 必带,0,抑制戒指
C|8,str,苏格兰风短格子裙,0,苏格兰风短格子裙
C|10,str,黑色连裤袜,0,黑色连裤袜
C|11,str,深蓝色小皮鞋,0,深蓝色小皮鞋
