cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}微笑着俯下身，将一个装饰着卡通图案的小瓶递到{TargetName}面前，轻声告诉她这是一份神奇的礼物。\n{TargetName}用好奇的眼神看着瓶子，小心翼翼地接过，她那幼小的身体充满了孩童特有的稚气与纯真，然而她的双腿却异常修长，与娇小的身躯形成极不协调的对比，纤细的脚踝和优美的脚背呈现出与年龄极不相符的优雅，修长的脚趾如同成人般精致，与她稚嫩的面庞和幼小的身体形成强烈反差。\n在{Name}温柔的鼓励下，{TargetName}犹豫片刻后，将药剂小心地倒入口中，幼嫩的喉咙随着吞咽动作上下滚动，稚嫩的面庞因药剂的特殊味道而微微皱起，小小的身体因紧张而微微颤抖，不知道接下来会发生什么。\n几乎是立刻，一股奇异的热流从{TargetName}的小腹向下蔓延，集中在她的双脚，她惊讶地低头看去，发现自己原本就不协调的修长双脚开始以肉眼可见的速度变化，脚掌渐渐缩小，脚趾变得更加纤细可爱，整个脚部从不协调的修长状态转变为与幼小身躯更加匹配的小巧玲珑形态。\n这种变化带来的不仅是外观上的协调，更是感官上的奇妙体验，{TargetName}不由自主地发出一声稚嫩的惊呼，她发现自己的新小足变得异常敏感，每一次触地都仿佛有电流穿过全身，直达尚未发育的小腹深处，带来一种陌生而奇妙的感觉，她本能地并拢稚嫩的双腿，小小的臀部不自觉地微微扭动，幼小的身体因这突如其来的刺激而微微颤抖，胸部在{TargetUpClothName}下轻轻起伏，呼吸变得急促而不稳，稚嫩的脸庞因这陌生的感觉而泛起红晕，眼中闪烁着既困惑又好奇的光芒，整个幼小的身体在这奇妙的变化中散发出一种天真无邪与诱惑交织的特殊魅力。
1001,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}微笑着向{TargetName}伸出手，掌心中是一个装着神秘液体的小瓶子，散发着淡淡的粉色光芒。\n幼小的{TargetName}眨着大眼睛，修长的双脚在半空中轻轻摇晃，小手有些迟疑地接过这个奇特的礼物，纤细的手指不小心擦过{Name}的掌心，引起一阵轻微的触电感。\n在{Name}鼓励的眼神下，{TargetName}小心翼翼地将瓶子打开，香甜的气味让她忍不住深吸一口气，然后勇敢地一饮而尽，小巧的喉咙随着吞咽动作上下滚动，眼中闪烁着对未知事物的好奇。\n药剂进入体内后，{TargetName}开始感到一阵奇特的温热感从腹部蔓延至双脚，她不安地扭动着小身子，原本修长的双脚开始传来一阵阵酥麻感，像是有无数小虫在爬，让她忍不住发出细微的呜咽声。\n变化发生得很快，{TargetName}的双脚以肉眼可见的速度变得越来越小巧玲珑，原本修长的脚型逐渐缩小，变成了精致可爱的小脚，脚趾变得圆润而短小，足弓更加明显，形成一道优美的弧线，{TargetName}惊讶地看着自己的新脚，天真无邪地向{Name}展示这奇妙的变化，小脸上满是不可思议的表情。
1002,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}单膝跪地，拿出一个精美的礼盒，轻轻打开呈现给{TargetName}，里面是一小瓶闪烁着奇异光芒的药剂。\n幼小的{TargetName}睁大了好奇的眼睛，修长的小脚在地上不停地踮来踮去，表达着内心的兴奋，她伸出稚嫩的小手，小心翼翼地从盒子里取出那瓶神秘的液体，眼中闪烁着孩童特有的纯真好奇。\n{Name}耐心地向她解释这是一种特殊的药水，{TargetName}认真地点点头，小手微微发抖地拧开瓶盖，先是试探性地闻了闻，然后一鼓勇气将药水全部倒入嘴中，小脸因为药水的味道皱成一团，但还是勇敢地咽了下去。\n药剂进入体内后不久，{TargetName}开始感到一阵奇怪的热流从小腹向下涌去，她的小脸变得通红，修长的双脚开始感到一阵阵刺痒和麻感，让她忍不住坐在地上，用小手去抓挠自己的脚丫，发出细微的呻吟声。\n在{Name}的注视下，{TargetName}的双脚开始神奇地变化，原本修长的脚型逐渐收缩，变得更加娇小精致，脚趾变得圆润可爱，整个脚掌比原来小了一号，显得格外精巧，{TargetName}惊奇地看着自己变小的脚丫，天真地用手指去触摸，感受着这奇妙的新变化，小脸上写满了好奇和惊喜。
1003,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}俯身向前，手中托着一个透明的小瓶子，里面盛着闪烁着微光的液体，温柔地递到{TargetName}面前。\n幼小的{TargetName}好奇地探头看着这个神秘的礼物，她修长的小脚不自觉地前后摆动，显示出内心的兴奋，小手迫不及待地接过瓶子，纤细的手指在瓶身上摩挲着，眼中闪烁着期待的光芒。\n在{Name}的鼓励下，{TargetName}小心翼翼地拧开瓶盖，一股甜甜的香气扑面而来，让她忍不住深吸一口气，然后勇敢地将药水送入口中，小脸因为味道而微微皱起，但还是一口气喝完了全部。\n药剂入喉后，{TargetName}的小身子突然颤抖了一下，一股暖流从喉咙开始向全身扩散，当这股暖流到达双脚时，她开始感到一阵奇特的酥麻感，修长的脚趾不自觉地蜷缩又伸展，小脸因为这奇怪的感觉而变得通红。\n不一会儿，神奇的变化开始发生，{TargetName}原本修长的双脚开始以肉眼可见的速度变小，脚型变得更加精致小巧，脚趾变得圆润可爱，整个脚掌比原来小了一圈，足弓形成一道优美的弧线，{TargetName}惊讶地看着自己的新脚丫，忍不住用小手去触摸，感受这令人惊奇的变化，她的眼中满是童真的惊叹，小脸上洋溢着纯真的喜悦。
1004,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}轻轻蹲下，手中捧着一个小巧精致的瓶子，微笑着递给面前的{TargetName}，瓶中液体在阳光下闪烁着迷人的光泽。\n幼小的{TargetName}好奇地歪着头，修长的小脚在地上轻轻踩踏，显示出内心的雀跃，她稚嫩的小手小心翼翼地接过瓶子，圆润的指尖不经意间触碰到{Name}的手掌，传来温暖的触感。\n在{Name}的指导下，{TargetName}两手捧着瓶子，小心地将瓶盖拧开，一股奇特的香气立刻弥漫开来，她深吸一口气，然后勇敢地将药水倒入口中，小脸因为药水的独特味道而略显纠结，但还是乖巧地全部吞下。\n很快，{TargetName}的小脸开始泛红，身体感到一阵奇特的温热，尤其是她修长的双脚，开始传来一阵阵如同被羽毛轻抚的奇妙感觉，让她忍不住发出细微的呻吟声，小手不自觉地抓紧了{Name}的衣角。\n在{Name}的密切注视下，{TargetName}的双脚开始发生神奇的变化，原本修长的脚型逐渐变得更加娇小玲珑，脚趾变得更加圆润可爱，足弓形成完美的弧度，整个脚掌精致得如同艺术品，{TargetName}惊讶地看着自己变小的脚丫，好奇地用手指轻轻触碰，感受着这奇妙的变化，稚嫩的脸上写满了天真的惊喜和不可思议。
1005,give_gift,0,CVP_A2_T|103_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}小心翼翼地从口袋中取出一个精致的水晶瓶，轻轻放在{TargetName}的掌心，温柔地笑着示意这是专为她准备的礼物。\n{TargetName}好奇地接过水晶瓶，她那尚未完全发育的身体充满了萝莉特有的青涩与纯真，然而她的双腿却已经呈现出不协调的修长与优雅，纤细的脚踝和高耸的脚背形成美丽的曲线，修长的脚趾展现出与年龄不符的成熟美感，与她稚嫩的面庞和娇小的身躯形成鲜明的对比。\n在{Name}鼓励的目光中，{TargetName}犹豫片刻后，将药剂一饮而尽，稚嫩的喉咙随着吞咽动作上下滚动，青涩的面庞因药剂的特殊口感而微微皱眉，娇小的身体因紧张而微微发抖，不知道接下来会发生什么。\n药效几乎是立刻显现，{TargetName}惊讶地感到一股奇异的热流从腹部向下蔓延，集中在她的双脚，她睁大眼睛，惊讶地看着自己原本修长的双脚开始发生变化，脚掌渐渐缩小，脚趾变得更加纤细可爱，整个脚部从不协调的修长状态转变为与娇小身躯更加匹配的小巧玲珑形态。\n这种变化带来的不仅是外观上的改变，更是感官上的巨大提升，{TargetName}情不自禁地发出一声轻呼，她发现自己的新小足变得异常敏感，仅仅是站在地面上就能感受到前所未有的刺激，直达尚未完全发育的小腹深处，她不由自主地夹紧稚嫩的双腿，青涩的身体因这突如其来的快感而微微扭动，胸部在{TargetUpClothName}下轻轻颤抖，呼吸变得急促而混乱，稚嫩的脸庞因这陌生的感觉而泛起潮红，眼中闪烁着既困惑又迷醉的光芒，整个娇小的身体在这奇妙的变化中变得格外敏感与诱人。
1006,give_gift,0,CVP_A2_T|103_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}微笑着从口袋中取出一个闪闪发光的小瓶子，轻轻放在萝莉{TargetName}的小手中，眼神中满是温柔与期待。\n{TargetName}惊讶地看着这个精致的瓶子，娇小的手指轻轻抚摸着瓶身，萝莉特有的天真脸庞上写满了好奇与兴奋，她困惑地看向{Name}，不明白{Name}为何会送她这样漂亮的礼物。\n在{Name}的鼓励下，{TargetName}小心翼翼地打开瓶盖，将药剂喝下，随即感到一股奇特的热流从喉咙直冲脚底，她的双脚突然传来一阵难以描述的麻痒感与温暖感。\n{TargetName}惊讶地低头看向自己那双不符合萝莉比例的修长足部，只见它们正在以肉眼可见的速度变化，脚趾变得更加短小可爱，足弓变得更加明显优美，整体尺寸明显缩小，很快就变成了一双与她娇小身材更加协调的小巧玉足。\n这种神奇的变化让{TargetName}既惊讶又害羞，她试探性地活动着自己新变小的脚，发现每一次移动都带来前所未有的敏感触感，稚嫩的脸蛋因为这种全新的体验而泛起红晕，娇小的身体因为这种奇妙的变化而微微颤抖，她用充满感激与好奇的眼神看向{Name}，纯真无邪中带着一丝羞涩，似乎对这种新奇的变化既好奇又期待。
1007,give_gift,0,CVP_A2_T|103_E_1&CVP_A1_Gift|28_G_0&CVP_A2_T|132_E_1,{Name}郑重地拿出一个华丽的宝石瓶，里面盛着如同星光般闪烁的液体，慎重地递给{TargetName}，表情中带着期待。\n萝莉{TargetName}惊喜地接过这个精美的礼物，修长的双脚因为激动而轻轻摩擦着地面，她的手指小心翼翼地抚摸着精美的瓶身，眼中闪烁着对未知事物的好奇和渴望。\n在{Name}的示意下，{TargetName}小心地拧开瓶盖，一股带着花香的气息立刻扑面而来，让她微微陶醉，然后鼓起勇气将药水一饮而尽，青涩的脸庞因为药水微妙的味道而略显纠结，但很快就舒展开来。\n药剂进入体内后，{TargetName}开始感到一阵奇特的热流从胸口向下蔓延，当这股热流到达双脚时，她开始感到一阵强烈的酥麻感，修长的脚趾不自觉地蜷缩又伸展，青涩的脸蛋因为这陌生的感觉而变得绯红，双手忍不住紧握成拳。\n变化发生得很快，{TargetName}原本修长优雅的双脚开始以肉眼可见的速度变小变精致，脚趾变得更加圆润可爱，足弓更加明显，形成一道优美的弧线，整个脚掌比原来小了一圈，变得异常精巧玲珑，{TargetName}惊讶地看着自己的新脚丫，青涩的脸上写满了不可思议，她小心翼翼地伸手触摸，感受着这奇妙的变化，眼中闪烁着惊讶和兴奋的光芒。
