cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}深深地插入{TargetName}的{mouth}内，快速抽动着。
1001,action_part_penis_in_body_2_A,0,high_1,{Name}按住{TargetName}的头部，缓慢而有力地将{penis}送入{TargetName}的{mouth}中。
1002,action_part_penis_in_body_2_A,0,high_1,{TargetName}的{mouth}被{Name}的{penis}塞得满满当当。
1003,action_part_penis_in_body_2_A,0,high_1,{Name}抓住{TargetName}的头下巴，将{penis}在{TargetName}的{mouth}中快速抽动。
1004,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}在{TargetName}的{mouth}里不断进出。
1005,action_part_penis_in_body_2_A,0,high_1,{Name}托着{TargetName}的下巴，让{penis}更深入地侵入{TargetName}的{mouth}。
1006,action_part_penis_in_body_2_A,0,high_1,{Name}双手扶住{TargetName}的头，节奏性地将{penis}送进{TargetName}的{mouth}深处。
1007,action_part_penis_in_body_2_A,0,high_1,{TargetName}的{mouth}因{Name}的{penis}而鼓起，显示出其形状。
1008,action_part_penis_in_body_2_A,0,high_1,{Name}轻轻摆动腰部，让{penis}在{TargetName}的{mouth}中缓慢地研磨着。
1009,action_part_penis_in_body_2_A,0,high_1,{Name}紧握{TargetName}的肩膀，将{penis}深深地埋入{TargetName}的{mouth}中。
1010,action_part_penis_in_body_2_A,0,high_1,{TargetName}的{mouth}包裹着{Name}的{penis}，随着抽动发出湿润的声音。
1011,action_part_penis_in_body_2_A,0,high_1,{Name}挺动腰部，让{penis}在{TargetName}的{mouth}中进进出出。
1012,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}几乎完全撤出后又猛地插入{TargetName}的{mouth}深处。
1013,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}撑开了{TargetName}的{mouth}，以稳定的节奏抽插着。
1014,action_part_penis_in_body_2_A,0,high_1,{Name}将{penis}深深地顶入{TargetName}的{mouth}，然后缓缓抽出大部分再重新插入。
1015,action_part_penis_in_body_2_A,0,high_1,{Name}轻按{TargetName}的后脑勺，控制着{penis}在{mouth}中的进出速度。

1020,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_not_sleep_h_awake_but_pretend_sleep,{Name}的{penis}在熟睡中的{TargetName}的{mouth}里缓慢抽送，享受着无意识状态下的温暖湿润。
1021,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_not_sleep_h_awake_but_pretend_sleep,熟睡中的{TargetName}无法抵抗，{Name}肆意将{penis}在她的{mouth}中进出，发出淫靡的水声。
1022,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_not_sleep_h_awake_but_pretend_sleep,{TargetName}睡梦中的{mouth}被{Name}的{penis}撑满，唾液无意识地从嘴角溢出。
1023,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_not_sleep_h_awake_but_pretend_sleep,{Name}握着{TargetName}的头部，将{penis}插入熟睡中毫无防备的{mouth}里肆意玩弄。
1024,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_not_sleep_h_awake_but_pretend_sleep,睡梦中的{TargetName}被迫接纳{Name}的{penis}，她的{mouth}随着抽插动作发出微弱的呜咽声。

1025,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_sleep_h_awake_but_pretend_sleep,装睡的{TargetName}感受到{Name}的{penis}在{mouth}内抽动，却故意保持平稳呼吸装作毫不知情。
1026,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_sleep_h_awake_but_pretend_sleep,{Name}的{penis}在{TargetName}假装熟睡的{mouth}中肆意进出，而她则暗中调整呼吸配合着抽插节奏。
1027,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_sleep_h_awake_but_pretend_sleep,明明已经醒来却假装熟睡的{TargetName}任由{Name}的{penis}在{mouth}里进进出出，偷偷享受口中的充实感。
1028,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_sleep_h_awake_but_pretend_sleep,{Name}用{penis}撑开{TargetName}假装沉睡的{mouth}，她则趁机用舌头偷偷舔弄着肉棒却装作是无意识的反应。
1029,action_part_penis_in_body_2_A,0,t_unconscious_flag_1&target_sleep_h_awake_but_pretend_sleep,装睡的{TargetName}感受着{mouth}被{Name}的{penis}填满的压迫感，故意放松喉咙以便更深入的侵犯。

1030,action_part_penis_in_body_2_A,0,t_unconscious_flag_2,醉酒的{TargetName}迷迷糊糊地含着{Name}的{penis}，她的{mouth}不时发出含混不清的醉酒呻吟。
1031,action_part_penis_in_body_2_A,0,t_unconscious_flag_2,{Name}的{penis}在酒醉的{TargetName}的{mouth}中肆意抽插，她只能醉意朦胧地承受这淫靡行为。
1032,action_part_penis_in_body_2_A,0,t_unconscious_flag_2,酒精麻痹了{TargetName}的意识，她的{mouth}被{Name}的{penis}撑开，发出断断续续的醉酒呜咽声。
1033,action_part_penis_in_body_2_A,0,t_unconscious_flag_2,{Name}扶着醉得一塌糊涂的{TargetName}的头，{penis}在她的{mouth}里粗暴地进出。
