cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_penis_in_body_1_A,0,high_1,{Name}用{penis}在{TargetName}的{face}上来回摩擦，留下湿润的痕迹，{TargetName}羞涩的表情更加激发了欲望。
1001,action_part_penis_in_body_1_A,0,high_1,{Name}轻轻挺动腰部，让{penis}在{TargetName}的{face}上滑动，{TargetName}微闭着眼，脸颊泛起红晕。
1002,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}不停摩擦着，{TargetName}羞耻又兴奋的表情让这一幕更加淫靡。
1003,action_part_penis_in_body_1_A,0,high_1,{Name}握住自己的{penis}，在{TargetName}的{face}上缓慢而有力地蹭动，享受{TargetName}肌肤的柔软触感。
1004,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}承受着{Name}的{penis}的摩擦，{TargetName}紧张地微微颤抖，却不敢拒绝这羞耻的行为。
1005,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}的{face}上划过，留下晶莹的液体，{TargetName}忍不住发出细微的呻吟。
1006,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}反复摩擦，{TargetName}情欲的表情混合着羞涩和好奇。
1007,action_part_penis_in_body_1_A,0,high_1,{Name}加快了节奏，{penis}在{TargetName}的{face}上摩擦得更加用力，{TargetName}闭着眼忍受这淫靡的行为。
1008,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}已经被{Name}的{penis}蹭得微微发红，{TargetName}羞涩的表情中透露着一丝隐秘的快感。
1009,action_part_penis_in_body_1_A,0,high_1,{Name}将{penis}在{TargetName}的{face}的各处游走，{TargetName}青涩的反应让这一幕更显色情。
1010,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}的{face}上留下湿漉漉的痕迹，{TargetName}咬着嘴唇不敢出声。
1011,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}不断摩擦，{TargetName}羞耻地闭上眼睛，却无法掩饰内心的好奇。
1012,action_part_penis_in_body_1_A,0,high_1,{Name}用{penis}轻拍{TargetName}的{face}，{TargetName}初经人事的紧张表情更添一份情色意味。
1013,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}承受着{Name}{penis}的摩擦，{TargetName}既害怕又期待的表情显得格外诱人。
1014,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}柔嫩的{face}上肆意游走，{TargetName}微微发抖却不敢反抗。
1015,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}反复摩擦，{TargetName}青涩的表情中混合着羞耻和兴奋。
1016,action_part_penis_in_body_1_A,0,high_1,{Name}将{penis}在{TargetName}的{face}上画着圈，{TargetName}紧闭双眼，脸颊因羞耻而发烫。
1017,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}缓慢磨蹭，{TargetName}不知所措的表情更显纯真淫靡。
1018,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}稚嫩的{face}上来回滑动，{TargetName}微张着嘴，呼吸急促。
1019,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}接受着{Name}的{penis}的抚慰，{TargetName}羞怯又好奇的眼神更添情欲。
1020,action_part_penis_in_body_1_A,0,high_1,{Name}挺动腰部，让{penis}在{TargetName}的{face}上留下淫靡的痕迹，{TargetName}羞红了脸。
1021,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}不断摩擦，{TargetName}既羞耻又隐隐期待的表情令人兴奋。
1022,action_part_penis_in_body_1_A,0,high_1,{Name}用{penis}轻触{TargetName}的{face}各处，{TargetName}紧张地闭上眼睛，身体却很诚实。
1023,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}感受着{Name}的{penis}的热度，{TargetName}的慌乱表情更显情色。
1024,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}娇嫩的{face}上来回滑动，{TargetName}忍不住发出细微的呻吟。
1025,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}反复摩擦，{TargetName}既紧张又好奇的表情透露着隐秘的期待。
1026,action_part_penis_in_body_1_A,0,high_1,{Name}将{penis}在{TargetName}的{face}上下左右地蹭动，{TargetName}羞涩地想要躲避却又不敢。
1027,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}被{Name}的{penis}不断抚慰，{TargetName}羞耻的表情中带着一丝隐秘的快感。
1028,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}稚嫩的{face}上肆意妄为，{TargetName}害羞却又不知如何是好。
1029,action_part_penis_in_body_1_A,0,high_1,{TargetName}的{face}接受着{Name}的{penis}的摩擦，{TargetName}既害怕又隐隐期待的表情格外诱人。
1030,action_part_penis_in_body_1_A,0,high_1,{Name}的{penis}在{TargetName}的{face}上留下湿润的轨迹，{TargetName}羞耻地闭上眼睛承受着。
