cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,happy_mark_2,0,CVP_A1_T|102_E_1,\n幼小的{Name}对{PlayerName}产生了模糊的好感，却不明白这种感觉叫做"喜欢"。\n她总是在{PlayerName}出现时不自觉地微笑，小脸蛋泛起淡淡的红晕。她经常偷偷地看向{PlayerName}，却在对方转头时慌忙躲开视线。\n{Name}会找各种借口接近{PlayerName}，想要得到更多的关注。她会收集{PlayerName}喜欢的小玩意儿，悄悄放在自己的口袋里，偶尔拿出来看一看，然后傻傻地笑。\n小小的心脏在{PlayerName}靠近时扑通扑通地跳得厉害，却不懂这是恋爱的感觉。她只知道自己很想和{PlayerName}一直在一起，但这份纯真的情感还没有名字。\n{Name}开始在日记本上画{PlayerName}的样子，虽然画得歪歪扭扭，但她会小心翼翼地藏起来，像藏着世界上最珍贵的宝藏。
1001,happy_mark_2,0,CVP_A1_T|102_E_1,\n年幼的{Name}不理解自己为什么总是想着{PlayerName}，这种感觉让她既兴奋又困惑。\n她会特意穿上自己最喜欢的衣服，希望能被{PlayerName}多看几眼。当{PlayerName}夸奖她时，小小的脸蛋会立刻变得通红，嘴上说着"才不是为了你呢"，却掩饰不住嘴角的笑意。\n{Name}开始模仿大人们表达喜欢的方式，却因为年幼而显得可爱又笨拙。她会摘一朵小花，想送给{PlayerName}却又害羞地藏在背后，最终只是红着脸跑开。\n她不明白为什么自己会记住{PlayerName}说过的每一句话，会在夜晚入睡前想起{PlayerName}的笑容。这种感觉既甜蜜又让人心慌，但年幼的她还无法给它命名。\n{Name}偶尔会悄悄跟在{PlayerName}身后，看着对方的背影，心里涌起一种奇怪的满足感，这就是年幼懵懂的思慕之情。
1002,happy_mark_2,0,CVP_A1_T|102_E_1,\n小小的{Name}对{PlayerName}产生了特别的感情，却因年幼而不知道这就是初恋的萌芽。\n她会在{PlayerName}经过时假装不经意地出现，眼睛亮晶晶地望着对方，却又因为害羞而支支吾吾说不出话来。当{PlayerName}友好地摸摸她的头时，她既想躲开又希望这一刻能持续更久。\n{Name}开始留意自己的外表，会对着镜子整理自己的小辫子，希望在{PlayerName}面前显得更漂亮。她会问大人们"什么样的女孩子最招人喜欢"，然后认真地点头记在心里。\n她常常做着天真的白日梦，想象和{PlayerName}一起玩耍、一起长大的场景。这些幻想让她傻乎乎地笑出声，却又在被问起时脸红地否认。\n{Name}开始为{PlayerName}做一些小礼物，虽然稚嫩的手艺做出来的东西并不精美，但她会全神贯注地投入其中，希望有一天能鼓起勇气送出去。
1003,happy_mark_2,0,CVP_A1_T|102_E_1,\n幼小的{Name}不理解自己的心情，只知道看到{PlayerName}时会特别高兴，听到{PlayerName}的名字时心跳会加快。\n她会在{PlayerName}说话时特别认真地听，即使是她听不懂的内容也会点头附和，然后偷偷记在心里，回去后反复咀嚼这些对话的片段。\n{Name}喜欢模仿{PlayerName}的小动作和说话方式，被别人发现时会害羞地否认，但独处时又会继续练习。她会在自己的小本子上涂鸦，画着她和{PlayerName}手牵手的简笔画。\n当别人问她喜欢谁时，{Name}会立刻脸红耳赤地反驳，却在夜深人静时抱着枕头幻想与{PlayerName}的未来。她不知道这种感觉叫做思慕，只知道自己很在意{PlayerName}，比在意任何人都多。\n年幼的{Name}用自己纯真的方式表达着最初的爱意，虽然懵懂，却真挚而美好，就像初春的嫩芽，等待着有一天绽放。
1004,happy_mark_2,0,CVP_A1_T|102_E_1,\n年幼的{Name}常常在看到{PlayerName}时，小脸不由自主地发烫，心跳像小兔子一样蹦跳起来。\n她会在{PlayerName}注意不到的角落偷偷观察对方，眼神中充满了好奇和懵懂的爱慕。当{PlayerName}偶然发现她的目光时，她会慌乱地低头，假装对地上的小石子产生了极大兴趣。\n{Name}开始收集和{PlayerName}有关的一切，捡起对方随手丢弃的包装纸，珍藏对方不小心掉落的小物件。这些在别人眼中毫无价值的东西，在她心中却比任何宝物都珍贵。\n她会问大人们"喜欢一个人是什么感觉"，然后把得到的答案和自己的感受小心翼翼地对比，却因为年幼而理解不了成人世界的复杂情感。\n{Name}开始在睡前祈祷能梦到{PlayerName}，醒来后又期待着新的一天能偶遇对方。这种朦胧的感情让她既困惑又甜蜜，是最纯真的思慕之情。
1005,happy_mark_3,0,CVP_A1_T|102_E_1,\n年幼的{Name}终于明白了自己对{PlayerName}的感情是喜欢，这个认知让她既兴奋又害怕。\n她开始刻意打扮自己，学着大人的样子扎起可爱的发型，穿上最漂亮的裙子，希望能引起{PlayerName}的注意。每当{PlayerName}夸她时，她会羞涩地低下头，但心里却开心得像是吃了蜜糖。\n{Name}偷偷在日记本上写下了"我喜欢{PlayerName}"这几个字，然后又慌忙用橡皮擦掉，生怕被人发现她幼小心灵中的秘密。她会练习对着镜子说出表白的话，却在真正面对{PlayerName}时紧张得说不出一个字。\n她开始变得敏感，当看到{PlayerName}和其他人亲近时会感到一丝酸楚，这种陌生的嫉妒情绪让她困惑不已。她想更接近{PlayerName}，却又害怕被拒绝，这种矛盾的心情让她既期待又忐忑。\n{Name}常常幻想有一天能鼓起勇气告诉{PlayerName}自己的心意，但又担心年龄的差距会让对方只把她当成小孩子。她不知道如何表达自己的感情，只能用稚嫩的方式默默关注着心上人。
1006,happy_mark_3,0,CVP_A1_T|102_E_1,\n小小的{Name}已经意识到自己喜欢上了{PlayerName}，这个认知让她的心情像坐过山车一样起伏不定。\n她开始学着大人恋爱时的样子，偷偷在{PlayerName}经常去的地方"偶遇"，装作若无其事的样子，却忍不住偷瞄对方。当{PlayerName}主动和她说话时，她会紧张得结巴，小手不安地揪着衣角。\n{Name}会仔细留意{PlayerName}喜欢什么，然后试着去了解那些事物，希望有朝一日能和对方有更多共同话题。她小心翼翼地收集有关{PlayerName}的信息，就像在拼凑一幅心爱的拼图。\n她开始尝试用各种小礼物来表达自己的心意，折一只纸鹤，摘一朵野花，画一张稚嫩的画，却总是在最后关头因为害羞而放弃。看着那些未送出的心意，{Name}感到既甜蜜又苦涩。\n年幼的{Name}不知道该如何处理这份感情，她害怕表白后{PlayerName}会离她远去，又怕永远把这份心意埋在心底。她只能用自己懵懂的方式默默喜欢着，期待着奇迹的发生。
1007,happy_mark_3,0,CVP_A1_T|102_E_1,\n{Name}已经确定自己喜欢{PlayerName}，这种感觉让她既甜蜜又忐忑。\n她开始留意{PlayerName}的一举一动，记住对方喜欢的颜色、食物和爱好。当听到别人谈论{PlayerName}时，她会竖起小耳朵认真倾听，生怕漏掉任何信息。她甚至开始模仿{PlayerName}喜欢的人的样子，希望自己能变得更讨人喜欢。\n{Name}会在{PlayerName}面前表现出最好的一面，当摔倒时强忍着不哭，努力表现得像个"大孩子"。她希望{PlayerName}能看到她的成熟，而不是把她当成需要照顾的小朋友。\n每当{PlayerName}对她微笑或者摸摸她的头，她的小心脏就会怦怦直跳，脸上浮现出幸福的红晕。她想知道{PlayerName}对她是什么感觉，却又害怕问出口后得到令人失望的回答。\n{Name}经常在睡前幻想和{PlayerName}在一起的场景，有时会偷偷练习写{PlayerName}的名字，在最后加上一颗小小的心形，然后害羞地藏起来。她知道自己太小了，但心中的爱意却是如此真实。
1008,happy_mark_3,0,CVP_A1_T|102_E_1,\n年幼的{Name}对{PlayerName}的喜欢已经不再是模糊的感觉，而是清晰的心动。\n她开始关注自己的言行举止，希望在{PlayerName}面前展现最好的一面。她会模仿大人们的样子，学着用"成熟"的方式说话，虽然常常词不达意却十分可爱。当{PlayerName}夸她懂事时，她会骄傲得挺起小胸脯，仿佛得到了世界上最高的赞誉。\n{Name}偷偷在自己的小本子上写下了表白的话，反复修改，却不知道什么时候才能鼓起勇气说出口。她害怕{PlayerName}会因为她年纪小而不把她的感情当回事，这个想法让她既伤心又着急。\n她会因为{PlayerName}的一个眼神、一句话而兴奋一整天，也会因为对方没注意到自己而闷闷不乐。这种情绪的起伏让她困惑，却也让她体验到了初恋的酸甜苦辣。\n{Name}常常幻想长大后和{PlayerName}在一起的样子，这个遥远的梦想支撑着她，让她愿意等待。她不知道{PlayerName}是否会接受她的心意，但她已经决定，总有一天要勇敢地表达自己的感情。
1009,happy_mark_3,0,CVP_A1_T|102_E_1,\n幼小的{Name}已经认定{PlayerName}是自己喜欢的人，这份感情让她既甜蜜又忧虑。\n她开始在意自己在{PlayerName}心中的形象，努力表现得不那么"孩子气"。当大人们因为她的年龄小而逗她时，她会反驳说自己已经"很大了"，内心渴望被当成大人对待，尤其是在{PlayerName}面前。\n{Name}会悄悄观察{PlayerName}和其他人互动的方式，试图了解对方喜欢什么样的人。当看到{PlayerName}对别人友好时，她会感到一丝不安，希望自己能得到特别的关注。\n她开始尝试用各种方式引起{PlayerName}的注意，有时候甚至会假装生病或需要帮助。当{PlayerName}关心她时，她会感到既内疚又开心，这种复杂的情感让她困惑不已。\n{Name}常常在靠近{PlayerName}时紧张得说不出话来，心中有千言万语却只能支支吾吾。她想告诉{PlayerName}自己的心意，却又害怕被拒绝或者被当成小孩子的玩笑。这种恋慕之情让她成长，也让她学会了等待和忍耐。
1010,yield_mark_1,0,CVP_A1_T|102_E_1,\n年幼的{Name}和{PlayerName}建立起了特殊的恋人关系，虽然这份感情因为她的年龄而显得纯真无邪。\n{Name}天真地认为自己已经是{PlayerName}的"女朋友"了，这个身份让她格外自豪。她会学着大人的样子牵{PlayerName}的手，虽然她的小手只能握住对方的一两根手指，却满足得像抓住了整个世界。\n她会用稚嫩的方式表达爱意，折纸心送给{PlayerName}，或是突然献上一个出其不意的拥抱。当{PlayerName}也表达喜欢时，她会害羞得躲起来，却又忍不住偷偷露出幸福的笑容。\n{Name}开始认真记住{PlayerName}喜欢的一切，努力做一个"合格的女朋友"。她会在{PlayerName}面前表现得更加懂事，却又因为年幼而流露出天真可爱的一面，这种反差让人忍俊不禁。\n虽然{Name}对"恋爱"的理解还停留在童话故事的层面，但她对{PlayerName}的感情却是真挚而纯粹的。她期待着和{PlayerName}有一个"王子与公主从此过上幸福生活"的结局，这种天真的浪漫让人既怜爱又感动。
1011,yield_mark_1,0,CVP_A1_T|102_E_1,\n{Name}和{PlayerName}之间建立起了特殊的情感联系，虽然因为她的年龄，这种恋人关系更像是一种纯真的约定。\n{Name}会骄傲地向其他人宣称{PlayerName}是她的"男朋友"，然后害羞地躲在{PlayerName}身后，偷偷观察别人羡慕的眼神。她会认真地讨论未来，用天真的语言描绘她和{PlayerName}"结婚"后的生活，虽然她对婚姻的理解还很模糊。\n她尝试着做一个"成熟"的女朋友，学着照顾{PlayerName}的情绪，当看到{PlayerName}不开心时会笨拙地安慰对方。她会记住{PlayerName}的习惯和喜好，努力成为对方生活中重要的一部分。\n{Name}享受着被{PlayerName}宠爱的感觉，但同时也在学着如何去爱一个人。她会把自己最喜欢的玩具、最爱吃的零食都分享给{PlayerName}，在她幼小的世界里，这就是最大的爱的表达。\n虽然{Name}的恋爱观还很简单，但她对{PlayerName}的感情却真挚而热烈。她相信他们之间的感情会像童话故事一样，有一个美好的结局，这种纯真的信念让她的眼睛闪烁着希望的光芒。
