key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,1041,0,角色编号
Name,str,新约能天使,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,8,0,角色职业为特种
Race,int,26,0,角色种族为萨科塔
Nation,int,176,0,角色势力为企鹅物流
Birthplace,int,7,0,角色出身地为拉特兰
Hp,int,2200,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,无敌绝世老板奖章。集满五颗最佳老板奖章可以兑换一枚超强老板奖章，集齐一百枚超强老板奖章可以兑换一枚无敌绝世老板奖章。能天使在被问起奖章是否还会继续迭代时微笑不语。,1,角色信物
Introduce_1,str,能天使，拉特兰公民，适用拉特兰一至十三项公民权益。在合约期间，于秘密联络、武装押运等多项行动中为罗德岛提供帮助。现应本人要求，将其登记的合作身份更新为：企鹅物流资深员工，拉特兰新创物流公司“苹果派物流”老板。,1,角色介绍
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|2,int,1,0,角色有Ｕ处女素质
T|3,int,1,0,角色有Ｗ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|114,int,1,0,角色有光环素质
T|115,int,1,0,角色有光翼素质
T|123,int,1,0,角色有普乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
T|275,int,1,0,角色有热情素质
C|5-0,str,黑色短款夹克,1,角色上衣为黑色短款夹克
C|5-1,str,白色修身开叉连衣裙,1,角色上衣为白色修身开叉连衣裙
C|7,str,黑色露指手套,1,角色手套为黑色露指手套
C|10,str,十字架白色过膝长袜,1,角色袜子为十字架白色过膝长袜
C|11,str,黑色运动短靴,1,角色鞋子为黑色运动短靴
C|12,str,黑色大型铳枪,1,角色武器为黑色大型铳枪
