cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,first_u_sex,0,dr_position_normal&CVP_A1_T|103_E_1&CVP_A1_G_E_0,{PlayerName}将{Name}娇小的身躯放在身下，缓缓分开她纤细的双腿，露出那个被悉心开发过的尿道口。\n萝莉的小穴上方，那个原本紧闭的小孔如今已被调教得微微张开，透着淫靡的粉红色泽，这是之前无数次尿道开发留下的成果。\n{Name}困惑地望着这个陌生的博士，不明白为何要与他进行如此羞耻的行为，眼中满是迷茫与不安。\n{PlayerName}用手指轻轻拨开{Name}的阴唇，让那个被开发过的尿道口完全暴露，然后将粗壮的龟头抵在那个依然狭小的入口处。\n即便经过开发，萝莉的尿道口依然紧致得令人发狂，{PlayerName}的龟头几乎无法挤入这个不应被插入的禁忌小孔。\n{PlayerName}加大力度，缓缓向前推进，龟头开始艰难地撑开{Name}的尿道口，那个狭窄的通道被强行扩张。\n{Name}的身体猛地绷紧，小腹因异物入侵而剧烈起伏，她感受到一种前所未有的撕裂感从尿道深处传来。\n{PlayerName}没有停止，继续将阴茎向那个禁忌的孔洞深处推进，感受着尿道内壁紧紧包裹着龟头的极致快感。\n{Name}的双手无力地抓挠着身下，小腿因剧痛而不断抽搐，泪水从眼角滑落，她不明白为何这个陌生人要侵犯她最隐秘的地方。\n当{PlayerName}的阴茎完全没入{Name}的尿道时，萝莉的小腹被撑出一个明显的凸起，勾勒出阴茎在体内的轮廓。\n{Name}感受着尿道被塞满的极致充盈感，那种不同于阴道的禁忌快感开始在体内蔓延，让她在痛苦中也感受到一丝羞耻的愉悦。\n她的身体开始适应这根入侵尿道的粗大肉棒，内壁不自觉地收缩着，仿佛在欢迎这个禁忌的访客，尽管她的心中依然充满了对与陌生人发生如此变态行为的困惑与自我质疑。
1001,first_u_sex,0,dr_position_normal&CVP_A1_T|103_E_1&CVP_A1_G_E_0,{PlayerName}跪在{Name}纤细的双腿之间，俯视着这个身体刚开始发育的萝莉，目光落在她被开发过的尿道口上。\n经过之前漫长的调教，{Name}那个原本紧闭的尿道小孔如今已能容纳手指，边缘透着被使用过的淫靡红晕。\n{Name}茫然地望着{PlayerName}，她对这个几乎陌生的博士要对自己做什么充满了疑惑，身体因紧张而微微发颤。\n{PlayerName}用拇指轻轻按压{Name}的阴蒂，同时将粗硬的龟头对准那个即将被首次插入的尿道口，开始施加压力。\n萝莉的尿道口被龟头顶开的瞬间，{Name}发出一声压抑的呜咽，那个狭小的通道正在被强行撑开到极限。\n{PlayerName}感受着尿道入口紧紧箍住龟头的销魂快感，继续缓慢而坚定地向深处推进，每前进一分都伴随着{Name}身体的剧烈颤抖。\n{Name}的小脸因痛苦而扭曲，双手紧紧抓住{PlayerName}的手臂，指甲几乎陷入肌肤，她不明白为何要承受这种禁忌的侵犯。\n阴茎一寸寸没入{Name}紧致的尿道，那个从未被阴茎造访过的通道正在被开拓，每一寸推进都让萝莉感受到强烈的异物感和撕裂般的胀痛。\n{Name}的腰肢不自觉地扭动，双腿因本能而想要并拢却被{PlayerName}的身体阻挡，只能无力地在空中轻微抽搐。\n当{PlayerName}的整根阴茎终于完全埋入{Name}的尿道时，萝莉的小腹被顶出一个淫靡的形状，清晰地显示着肉棒在她体内的存在。\n{Name}大口喘息着，眼中泪光闪烁，尿道被填满的极致感觉让她浑身酥麻，一种不同于被插入阴道的禁忌快感正在侵蚀她的理智。\n她的内壁开始适应这根粗大的入侵者，不自觉地蠕动收缩着，但心中依然充满了对与陌生人进行如此变态行为的迷茫与羞耻，不知自己为何会沦落至此。
1002,first_u_sex,0,dr_position_back&CVP_A1_T|103_E_1&high_1&CVP_A1_G_E_0,{PlayerName}让{Name}保持跪趴的姿势，纤细的腰肢被牢牢扶住，娇小的臀部高高翘起。\n萝莉困惑地回头望着博士，不明白为何这个几乎陌生的人要对她做这样奇怪的事情，稚嫩的脸蛋上满是茫然与不安。\n{PlayerName}的手指轻轻拨开{Name}粉嫩的阴唇，露出那个被之前开发过的尿道口，虽然经过一段时间的扩张训练，但依然紧闭而狭小。\n博士将粗大的龟头抵在那个微微张开的小孔上，光是视觉上的尺寸差异就令人心跳加速，成人的性器与萝莉的尿道口形成了极端的对比。\n{Name}感受到异物的压迫，身体本能地想要逃离，但被{PlayerName}的双手固定在原位，只能无助地扭动着纤细的腰肢。\n{PlayerName}缓缓用力，龟头开始挤入那个从未被阴茎侵犯过的禁忌之地，尿道口被一点点撑开，发出轻微的水声。\n{Name}的身体猛地绷紧，小手抓紧了身下的表面，指节因用力而泛白，强烈的异物感和撕裂般的疼痛让她的眼眶瞬间充满泪水。\n博士没有停下，继续将阴茎向那狭窄的甬道深处推进，每前进一分都能感受到尿道壁的层层阻力和紧致包裹。\n{Name}的脚趾紧紧蜷缩，小腿因疼痛而不断颤抖，她不明白为何要与这个陌生的博士进行如此羞耻的行为，眼中闪烁着困惑和痛苦的泪光。\n当整根阴茎完全没入{Name}的尿道时，她的小腹被撑出一个明显的形状，那个从未被如此填满的禁忌通道紧紧包裹着{PlayerName}的肉棒。\n萝莉的身体因这极致的充盈感而微微痉挛，尿道内壁不自觉地收缩，带给博士前所未有的紧致快感。\n{Name}大口喘息着，混乱的思绪中既有被侵犯的屈辱，又有尿道被开发后觉醒的禁忌快感，这种矛盾的感受让她更加迷茫和不知所措。
1003,first_u_sex,0,dr_position_back&CVP_A1_T|103_E_1&high_1&CVP_A1_G_E_0,博士将{Name}娇小的身躯摆成跪趴姿势，她稚嫩的膝盖撑在地面上，青涩的臀部不自觉地微微颤抖。\n{Name}茫然地回望着{PlayerName}，大眼睛里满是对这陌生情境的困惑，不理解为何博士要让她摆出这样羞耻的姿态。\n{PlayerName}俯下身，一只手扶住萝莉细得惊人的腰肢，另一只手分开她粉嫩的花瓣，露出那个经过前期开发的尿道口。\n虽然之前的扩张训练让那个小孔有了些许适应能力，但面对博士粗壮的阴茎，依然显得过于狭窄和脆弱。\n{PlayerName}将灼热的龟头顶在那个微微湿润的入口处，缓缓施加压力，感受着尿道口被一点点撑开的紧致阻力。\n{Name}的身体瞬间僵硬，从未体验过的异物入侵感让她发出细微的呜咽，纤细的手臂因紧张而微微发抖。\n博士深吸一口气，腰部用力向前推进，粗大的阴茎强行挤入那个狭窄的禁忌通道，尿道壁被极限撑开。\n{Name}的背部猛地弓起，小脸因剧烈的疼痛和异物感而扭曲，泪水顺着脸颊滑落，她不明白为何这个陌生的人要对她做这样让她痛苦的事。\n{PlayerName}没有理会萝莉的反应，继续将阴茎向深处挺进，每一寸的推进都能感受到尿道内壁的层层包裹和收缩。\n当整根肉棒完全埋入{Name}的尿道深处时，她的小腹被撑出了明显的凸起，勾勒出阴茎在体内的轮廓。\n萝莉的双腿因这极致的填充感而不断痉挛，脚趾紧紧蜷缩，身体里那个从未被如此侵犯的通道正在适应这陌生的存在。\n{Name}大口喘息着，尿道内觉醒的禁忌快感与被陌生人侵犯的屈辱交织在一起，让她的内心充满了迷茫和自我质疑，不知该如何面对这突如其来的一切。
1004,first_u_sex,0,dr_position_back_lie&CVP_A1_T|103_E_1&high_1&CVP_A1_G_E_0,{PlayerName}从身后环抱住{Name}娇小的身躯，让萝莉以背面卧位的姿势侧躺在自己怀中，一只手臂垫在她纤细的脖颈下方。\n{Name}困惑地回头望着这个几乎陌生的博士，不明白为何要与他进行如此亲密的接触，稚嫩的脸蛋上写满了迷茫。\n{PlayerName}的另一只手从后方探入{Name}的双腿之间，手指轻轻拨开她幼嫩的阴唇，露出那个经过开发但仍紧致的尿道口。\n虽然经历过多次的扩张训练，{Name}的尿道口依然小得惊人，粉嫩的肉缝微微翕动，似乎在期待又在恐惧着即将到来的入侵。\n{PlayerName}将勃起的阴茎从后方抵上那个微小的孔洞，龟头的尺寸与{Name}的尿道口形成了极端的对比，让人担忧是否真的能够进入。\n{Name}感受到滚烫的龟头顶在自己最私密的小孔上，身体不由自主地颤抖起来，她不理解为何这个陌生人要侵犯她的尿道。\n{PlayerName}开始缓慢而坚定地推进，龟头艰难地挤入那个被开发过但从未接纳过阴茎的狭窄通道，{Name}的尿道口被撑开到极限。\n强烈的异物感和撕裂般的疼痛让{Name}浑身僵硬，她的小手紧紧抓住{PlayerName}的手臂，指甲陷入皮肤，双腿因本能而想要夹紧却被固定住。\n{PlayerName}继续深入，粗大的阴茎一寸寸撑开{Name}狭窄的尿道甬道，每前进一分都能感受到内壁紧紧包裹的极致压迫感。\n{Name}的小腹因被撑开而隆起一道明显的痕迹，她困惑地低头看着自己身体里那个陌生的轮廓，眼中满是不可置信和迷茫。\n当{PlayerName}的整根阴茎完全没入时，{Name}感受到了从未体验过的充盈感，尿道被撑到极限的禁忌快感开始覆盖疼痛，让萝莉的身体不自觉地轻轻痉挛。\n{Name}困惑地扭动着娇小的身躯，不明白为何与这个陌生人发生如此羞耻的事情，却会让自己的身体产生这般奇异而强烈的快感。
1005,first_u_sex,0,dr_position_back_lie&CVP_A1_T|103_E_1&high_1&CVP_A1_G_E_0,{PlayerName}将{Name}幼小的身体侧放，自己从后方紧贴上去，用手臂环住她纤细的腰肢，让萝莉完全被禁锢在怀中。\n{Name}茫然地偏头看着身后这个几乎不熟悉的博士，稚气的眼眸里充满了对即将发生之事的困惑与不安。\n{PlayerName}的手指从后方滑入{Name}腿间的缝隙，拨弄着那个经过长期开发的尿道口，粉嫩的小孔微微张开，却仍然小得可怜。\n尽管经历过无数次扩张训练，{Name}的尿道依然紧致异常，内壁不断收缩，似乎在本能地抗拒着即将到来的巨大侵入物。\n{PlayerName}将硬挺的阴茎抵在那个微小的孔洞上，龟头的热度烫得{Name}身体一颤，她惊恐地发现自己即将被这个陌生人的肉棒贯穿尿道。\n随着{PlayerName}腰部用力向前一顶，龟头强行挤入了{Name}紧闭的尿道口，撕裂般的剧痛让萝莉的身体猛地弓起。\n{Name}的嘴巴无声地张开，小脸因强烈的疼痛而扭曲，她不明白为何要承受这样的痛苦，为何这个陌生人要用如此粗暴的方式侵犯她最隐秘的孔洞。\n{PlayerName}没有停下动作，继续将粗大的肉棒向{Name}尿道深处推进，能感受到幼嫩的尿道壁被一寸寸撑开，紧紧吸附着阴茎的每一分表面。\n{Name}纤细的小腹上隆起了一道清晰的凸起，勾勒出阴茎在她尿道里的形状，这种视觉冲击让禁忌感更加强烈。\n当整根阴茎完全埋入时，{Name}感受到了尿道被填满的极致充盈感，那种不同于阴道的奇异刺激让萝莉的脚趾紧紧蜷缩。\n陌生的快感如潮水般涌来，覆盖了最初的疼痛，{Name}困惑地呜咽着，不理解为何这个几乎不认识的博士会让她的身体产生如此羞耻却又无法抗拒的愉悦。\n{Name}的身体开始不受控制地轻轻颤抖，尿道内壁紧紧绞住{PlayerName}的阴茎，这种禁忌的破处让萝莉彻底沦陷在未知的快感漩涡中。
