cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,162,0,high_1,{Name}点了一杯经典的伊比利亚马提尼。\n{TargetName}熟练地将金酒倒入鸡尾酒杯，再缓缓倒入冰镇的干味白葡萄酒，最后添上一颗翠绿的橄榄。酒液清澈透明，透着淡淡的金黄色。\n{Name}轻轻摇晃酒杯，酒香四溢，入口微苦，随后是酒精度带来的辛辣感，回味悠长。
1,162,0,high_1,{Name}对一杯名为“蓝色汐斯塔”的鸡尾酒产生了兴趣。\n{TargetName}将蓝色柑橘利口酒倒入摇壶，加入朗姆酒、柠檬汁和菠萝汁，用力摇晃后倒入高脚杯中，再用一片菠萝装饰。\n酒液呈现出迷人的蓝色，喝起来酸甜可口，仿佛置身于汐斯塔的海滩。
2,162,0,high_1,{Name}选择了一杯经典的“老式”。\n{TargetName}在调酒杯中加入波本威士忌、甜味苦酒和橙皮苦精，用冰块充分搅拌后倒入岩石杯中，再用橙皮装饰。\n酒液呈深琥珀色，散发着浓郁的木桶香气，入口醇厚顺滑，回味中有淡淡的辛辣感。
3,162,0,high_1,{Name}被吧台上一瓶闪闪发光的莱塔尼亚金酒所吸引。\n{TargetName}用这瓶金酒为{Name}调制了一杯汤玛斯·柯林斯。\n金酒、柠檬汁、苏打水和糖浆在摇壶中混合均匀后倒入高脚杯中，再用柠檬片装饰。酒液清澈透明，喝起来酸甜清爽，非常适合在炎热的夏日饮用。
4,162,0,high_1,{Name}点了一杯“血腥玛丽”。\n{TargetName}将伏特加倒入高脚杯中，加入番茄汁、伍斯特沙酱、柠檬汁、芹菜盐和黑胡椒粉，用一根芹菜梗装饰。\n酒液呈鲜红色，口感咸鲜微辣，非常开胃。
5,162,0,high_1,{Name}对一杯名为“曼哈顿”的鸡尾酒产生了好奇。\n{TargetName}将哥伦比亚威士忌、甜味苦酒和叙拉古苦酒在调酒杯中混合均匀后倒入鸡尾酒杯中，再用一颗樱桃装饰。酒液呈深红色，口感醇厚，带有淡淡的苦味和果香。
6,162,0,high_1,{Name}选择了一杯“东岛冰茶”。\n{TargetName}将伏特加、金酒、朗姆酒、龙舌兰和琴酒等多种烈酒倒入高脚杯中，再加入可乐和柠檬汁，用一片柠檬装饰。\n酒液呈深棕色，喝起来酸甜可口，酒精度数较高，需要小心品尝。
7,162,0,high_1,{Name}被一杯“莫吉托”吸引。\n{TargetName}将薄荷叶放在调酒杯中，加入白朗姆酒、糖浆、苏打水和柠檬汁，用捣棒轻轻捣碎薄荷叶，再用一根吸管和一片柠檬装饰。\n酒液清澈透明，喝起来清新爽口，薄荷的清香和柠檬的酸甜完美融合。
8,162,0,high_1,{Name}点了一杯“玛格丽特”。\n{TargetName}将龙舌兰、橙味利口酒和柠檬汁倒入摇壶中，加入冰块用力摇晃后倒入鸡尾酒杯中，用盐装饰杯口。\n酒液呈金黄色，口感酸甜清爽，咸味和酸味相得益彰。
9,162,0,high_1,{Name}对一杯名为“戴基里”的酒产生了兴趣。\n{TargetName}将白朗姆酒、石榴糖浆和柠檬汁倒入摇壶中，加入冰块用力摇晃后倒入鸡尾酒杯中，用一片柠檬装饰。\n酒液呈粉红色，口感酸甜，带有淡淡的果香。
