cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,101,1,sys_0&high_5,和{TargetName}一起聊了一下最近新加入的干员的情况
1,101,1,sys_0&high_5,和{TargetName}谈了谈物资的储备问题
2,301,1,sys_0,”我已经不是小孩了，博士……“\n正被抚摸脑袋的阿米娅嘟着嘴巴说道。
3,101,1,sys_0,“凯尔希医生教导过我，工作的时候一定要保持全神贯注......嗯，全神贯注。\n……请问，有什么事吗……博士？”\n阿米娅转头看向你的方向。
4,101,1,sys_0&t_is_assistant,“博士，您工作辛苦了。”\n说着，{TargetName}替你捏了捏肩膀。
5,101,1,sys_0,“作为罗德岛的领导者我还有很多不成熟的地方，希望{PlayerNickName}您能更多地为我指明前进的方向。”
6,101,1,sys_1&CVP_A3|1_F_GE_2500&sys_4,“嘿嘿，{PlayerNickName}，悄悄告诉你一件事——我重新开始练小提琴了。”\n将双唇贴到你的耳朵附近，{Name}对你说着悄悄话。
7,101,1,CVP_A3|1_G_GE_1&sys_1&sys_4&CVP_A3|1_S|13_G_3000,“欸嘿嘿，{PlayerNickName}~{PlayerNickName}~\n\n欸？没什么，真的没什么啦……只是想叫一声你的名字而已……”\n{Name}开心的独自哼着小曲。
8,101,1,CVP_A3|1_G_GE_1&sys_1&sys_4&music_ge_2_le_4,“对了，博士，有时间可以一起去音乐室吗，我最近有练习好小提琴哦~真的——”\n蹦蹦跳跳来到你身前的{Name}将双手背在身后。
9,301,1,sys_0,“碰，碰着耳朵了……博士……”{TargetName}有些害羞的说道。
10,301,1,sys_0&good_mood&CVP_A2_F_GE_2500,“欸嘿嘿，{PlayerNickName}想摸一摸耳朵吗？”\n{TargetName}主动将脑袋凑了过来，
