cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,manage_facility_power,0,high_1,{Name}在动力控制室通过监控界面实时核对各发电机的频率与电压，调整参数以维持电网稳定运行，防止波动扩大造成连锁故障
1,manage_facility_power,0,high_1,{Name}在控制台上对配电网络进行拓扑检查，确认各主干线路与分支状态并设定负载限制以避免过载并保障供电安全
2,manage_facility_power,0,high_1,{Name}通过SCADA系统远程启动或停止备用发电机，并记录切换时间与负载变化，确保切换过程平滑且可追溯
3,manage_facility_power,0,high_1,{Name}验证电池组与UPS的充放电曲线，调整充电策略并在控制界面中创建告警阈值以便及时响应电池异常情况
4,manage_facility_power,0,high_1,{Name}在控制室执行冷却系统参数监控，观察泵流量与温度曲线，远程调整冷却设定以防止发电设备过热降效
5,manage_facility_power,0,high_1,{Name}对控制室报警日志进行梳理与分类，排查长期重复告警的根因并下发检修单给现场维护团队进行处理
6,manage_facility_power,0,high_1,{Name}通过远程诊断模块对变压器的温升和油位数据进行分析，评估运行健康度并在控制端安排下一次详检时间窗口
7,manage_facility_power,0,high_1,{Name}在监控面板上调整负载分配策略，优先保证关键负荷的供电，同时规划峰谷时段的功率转移方案以节约能源
8,manage_facility_power,0,high_1,{Name}使用控制室内的测试工具模拟短路或失步故障，验证继电保护动作与隔离序列是否按预案正确执行并记录结果
9,manage_facility_power,0,high_1,{Name}在控制台上远程校准电能表和传感器的偏差参数，确保计量数据准确，以便后续负载调度与账务统计使用
10,manage_facility_power,0,high_1,{Name}编排并下发维护停电计划，在控制界面同步变更时间窗口并通知相关系统以便执行受控停电和恢复流程
11,manage_facility_power,0,high_1,{Name}监测不稳定能源接入点的出力波动，通过控制策略平滑出力并在需要时调整储能设备参与调节以维持供电稳定性
12,manage_facility_power,0,high_1,{Name}在控制室整理并更新运行手册与应急流程，将最新调整写入控制台文档库以便值班人员快速查阅和执行
13,manage_facility_power,0,high_1,{Name}通过远程界面对断路器的开合次数和状态进行统计分析，发现异常后在控制端限制动作并申请现场复核处理
14,manage_facility_power,0,high_1,{Name}在控制台上执行自动化调度规则的回归测试，调整优先级和保护参数以确保在高负荷下系统仍能自动稳定运行
15,manage_facility_power,0,high_1,{Name}检查并更新控制室内的时间同步及网络连通性配置，保证各监控设备和历史数据库时间一致性，避免数据错位
16,manage_facility_power,0,high_1,{Name}在控制台上监控燃料供应与消耗速率的趋势图，评估发电机的运行经济性并在必要时建议调整启停策略以节省燃料
17,manage_facility_power,0,high_1,{Name}利用控制室的仿真工具进行故障情景演练，验证各项自动切换、限载和告警流程的有效性并生成演练报告
18,manage_facility_power,0,high_1,{Name}在监控界面上核对远程测控单元的通信质量与丢包率，针对异常链路调整重试策略或请求通信工程检查链路
19,manage_facility_power,0,high_1,{Name}通过控制台远程下发参数升级或补丁更新到保护装置，并在仿真环境中先行验证以降低现场故障风险
20,manage_facility_power,0,high_1,{Name}在控制室内统计负荷曲线与历史峰值，制定并下发短期负荷缓解措施以防止在高负荷时段出现供电紧张
21,manage_facility_power,0,high_1,{Name}监控并分析各回路电流和功率因数，远程执行无功补偿策略以提高网络效率并降低线路损耗
22,manage_facility_power,0,high_1,{Name}在控制台上对重要事件进行归档和标注，编写事件摘要并分配后续跟踪任务以便持续改进与复盘
23,manage_facility_power,0,high_1,{Name}使用控制室的远程切换面板执行主备电源的负荷转移测试，评估切换时对敏感设备的影响并优化切换曲线
24,manage_facility_power,0,high_1,{Name}在控制界面配置并调整告警阈值与告警分级，确保真正紧急的状况能优先触发人工干预并减少误报打扰
25,manage_facility_power,0,high_1,{Name}通过控制台审阅并核对运行报表与能耗明细，对异常账目或能耗突增提出调查并安排后续核查
26,manage_facility_power,0,high_1,{Name}在控制室内准备并下发维护清单和物料需求单，协调物资和外包团队的进场时间以确保检修顺利进行
27,manage_facility_power,0,high_1,{Name}通过远程监控对发电机组的振动与温度曲线进行趋势分析，在控制面板中标注可能的潜在故障风险供工程判断
28,manage_facility_power,0,high_1,{Name}在控制台模拟负荷快速上升的情况，验证自动调频与自动调压措施响应时间并记录用于优化控制参数
29,manage_facility_power,0,high_1,{Name}负责在控制室协调与外部电网的并网协议，通过设置功率上限和响应时延保证并网操作安全与合规
30,manage_facility_power,0,high_1,{Name}在控制台对历史事件进行回溯分析，整理恢复步骤与关键时间点，形成知识库供值班人员学习与参考
31,manage_facility_power,0,high_1,{Name}通过监控系统核对散热风扇与辅助设备的在线状态，远程设置冗余策略以在单点失效时自动切换备用设备
32,manage_facility_power,0,high_1,{Name}在控制室执行发电效率评估，使用采集到的数据计算热效率并提出改善建议以降低综合运行成本
33,manage_facility_power,0,high_1,{Name}在控制台下发测试命令验证保护继电器的动作时序，确保在故障发生时快速隔离故障段保护系统安全
34,manage_facility_power,0,high_1,{Name}通过控制界面管理并调度储能系统充放电任务，以平衡瞬时功率波动并提高电网的瞬态承受能力
35,manage_facility_power,0,high_1,{Name}在控制室监视并记录气象与负荷变化的关联性，以便在极端天气来临前提前采取降载或备用方案降低风险
36,manage_facility_power,0,high_1,{Name}在控制台上更新并校验自动化脚本的执行权限与安全策略，防止误操作脚本对主控系统造成影响
37,manage_facility_power,0,high_1,{Name}通过控制室的远端面板对重要断路器进行强制投切测试，并将测试记录自动上传入运维管理系统备查
38,manage_facility_power,0,high_1,{Name}在监控界面设定并验证多级故障切换逻辑，保证在单级保护失效时仍能触发后备措施保障供电连续性
39,manage_facility_power,0,high_1,{Name}在控制台整理并审阅设备保养周期表，根据运行数据动态调整检修周期以降低故障率并延长设备寿命
40,manage_facility_power,0,high_1,{Name}通过控制室与现场摄像头联动查看关键供电设备画面，远程判断异常部件并决定是否派人现场复检处理
41,manage_facility_power,0,high_1,{Name}在控制台管理并分配值班任务与交接班记录，确保每次班次交接时风险点和未完成事项被清晰传递
42,manage_facility_power,0,high_1,{Name}使用控制室的远程接口执行固件或配置备份操作，定期将配置文件导出并存储到安全的备份库中
43,manage_facility_power,0,high_1,{Name}在监控界面分析功率因数异常区域并下发无功补偿或滤波器启停命令，改善电能质量问题并降低罚款风险
44,manage_facility_power,0,high_1,{Name}通过控制台协调与保安和后勤团队的联动机制，在发生设备异常时同步启动人员调度与必要的封锁措施
45,manage_facility_power,0,high_1,{Name}在控制室内对紧急恢复预案进行文字演练与可视化演示，以便在真实事故发生时按预案快速恢复关键供电链路
46,manage_facility_power,0,high_1,{Name}在控制台实时监测并处理来自控制中枢的指令，按要求调整功率输出和并网策略以满足外部调度需求
47,manage_facility_power,0,high_1,{Name}在控制室对能耗与设备效率指标进行月度汇总，并生成可视化报表提交给管理层用于决策支持
48,manage_facility_power,0,high_1,{Name}通过控制台对接并管理检修维护团队的进出和操作权限，远程授予或回收现场设备的操作许可以保证安全
49,manage_facility_power,0,high_1,{Name}在控制室内定期组织并实施应急演练，评估人员响应时效与系统自动化恢复能力并据此优化流程
50,manage_facility_power,0,high_1,{Name}在动力控制室监测源石反应堆的输出波动，调整供能曲线以保证医疗模块与科研舱的持续运转并记录在案
51,manage_facility_power,0,high_1,{Name}使用控制台分析来自作战部门的功率请求，优先保障作战与医疗干员所需电力，并在控制室内同步更新分配策略
52,manage_facility_power,0,high_1,{Name}在动力控制室内对接导航与推进系统的电源状态，协同舰桥保证罗德岛在移动过程中动力供应平衡与航行安全
53,manage_facility_power,0,high_1,{Name}监控源石储能单元的温度与充放电速率，优化储能参与策略以便在遭遇战斗或极端天气时为岛上关键设施备用电力
54,manage_facility_power,0,high_1,{Name}在控制室核对医务舱与手术室的电源冗余配置，确保医疗设备在紧急情况下能无缝切换至备用电源并维持救治流程
55,manage_facility_power,0,high_1,{Name}通过控制台与控制中枢指挥部联络，按作战优先级调整动力分配，保障干员撤离、急救和通讯设备的电力供应稳定
56,manage_facility_power,0,high_1,{Name}远程监控动力区的废热回收系统运作，调整循环泵与阀门策略以提高能源利用率并减少罗德岛整体耗能压力
57,manage_facility_power,0,high_1,{Name}在控制室审阅来自科研部门的高功率试验申请，评估对岛上电网影响并在允许窗口内安排可控供电以支持研究工作
58,manage_facility_power,0,high_1,{Name}监测并分析源石反应器的谐振与微震数据，若出现异常在控制台发出预警并启动逐步降载与故障定位流程
59,manage_facility_power,0,high_1,{Name}与后勤部门协同安排燃料与物资的电力补给优先级，保证补给链在长时间航行或源石风暴中仍能维持罗德岛基本生活保障
60,manage_facility_power,0,high_1,{Name}在控制室对备用发电单元进行远程自检并记录自检日志，发现隐患后即时调度现场工程师按优先级进行处理
61,manage_facility_power,0,high_1,{Name}根据舰桥发来的气象与航行计划调整动力输出方案，避免在风浪或敌情来袭时出现因功率不足导致的关键系统失能
62,manage_facility_power,0,high_1,{Name}在控制台管理罗德岛内的微电网区域划分，动态调整分区供电策略以保证科研、医疗与生活区在紧急时互不影响
63,manage_facility_power,0,high_1,{Name}使用控制室的历史数据对比本次电网波动，识别潜在周期性负荷峰值并制定预防性储能调度方案以平滑负荷曲线
64,manage_facility_power,0,high_1,{Name}在动力控制室协调安保与维修力量，确保在电力故障时优先维持舰桥与医疗区的照明及关键设备供电不中断
65,manage_facility_power,0,high_1,{Name}通过控制台远程下发临时限制令，限制非关键区域的能耗以腾出足够电力支持救援与关键科研任务的短时峰值需求
66,manage_facility_power,0,high_1,{Name}在控制室上报源石产出与消耗的统计报表，协助高层评估长期能源策略并在紧张时段建议合理的能耗压缩方案
67,manage_facility_power,0,high_1,{Name}监测动力区关键传感器的健康状态，针对数据漂移进行在线校准并在控制台注记以防误判导致不当的自动控制动作
68,manage_facility_power,0,high_1,{Name}在控制室模拟敌方电磁干扰下的电网响应，验证防护策略与应急切换逻辑，确保罗德岛在干扰下仍能维持基本运转
69,manage_facility_power,0,high_1,{Name}根据医疗中心的需求调节病房与手术室的冗余供电计划，确保关键手术与治疗不会因为动力抖动而被迫中断
70,manage_facility_power,0,high_1,{Name}在控制台记录并分析新近接入的源石设备兼容性问题，制定参数适配方案并协调研发团队在安全窗口内上线修正
71,manage_facility_power,0,high_1,{Name}负责在控制室内维护与更新罗德岛电网的优先级策略，确保在突发状况时能源按既定规则分配给最需要的模块
72,manage_facility_power,0,high_1,{Name}在控制台上接入前线战报并实时响应，用电需求变化时快速重配置负载，让指挥官能够在关键时刻保持通信畅通
73,manage_facility_power,0,high_1,{Name}在控制室内审查并批准临时能量借调请求，评估对岛上其他系统影响后下发允许或拒绝以保障整体稳定性
74,manage_facility_power,0,high_1,{Name}通过控制台进行源石供给链的健康监控，跟踪源石浓度及反应率以预测未来几小时内的供电可用性并及时预警
75,manage_facility_power,0,high_1,{Name}在控制室内维护应急启动程序，确保当主电源完全失效时能快速启用备用系统并指挥现场工程恢复主动力
76,manage_facility_power,0,high_1,{Name}在控制台对罗德岛内部移动载具的充电调度实施优先级控制，保证救援车辆与外勤小队在出动时有足够电量
77,manage_facility_power,0,high_1,{Name}在动力控制室定期演练与维修团队的联动流程，优化故障定位与现场响应时间以缩短停电恢复周期并记录演练结果
78,manage_facility_power,0,high_1,{Name}通过控制台对接医疗实验室的高功耗设备，安排非高峰时段运行以减少对罗德岛主电网的瞬时冲击并保留运行日志
79,manage_facility_power,0,high_1,{Name}在控制室内评估外来电力互联的风险与收益，与外部港口或盟友协商并网策略以在航行时实现更灵活的能量补给
