cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,懵懂无知的{TargetName}那具青涩稚嫩的身子骤然绷成一张满弓，被一次次寸止硬生生截断而积攒下来的巨量快感终于在这一瞬被彻底放开，{urethra}长时间地剧烈痉挛蠕动，尿道口彻底失控地反复张合抽搐，一股股滚烫的尿液像决堤般大量喷涌四溅、久久不止。\n小腹下方持续剧烈地抽搐起伏，腰肢极度弓起后又彻底瘫软，稚嫩的脸上眼神一片涣散。\n她根本不明白自己身上正发生着什么，更不知道这具刚能孕育的身体已被冲得七零八落，只能任由那股超乎想象的极致洪流将自己整个吞没。
1001,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,被反复推到边缘又强行拦下的滔天快感在这一刻一齐倾泻，幼嫩的{TargetName}整个人剧烈痉挛起来，{urethra}不受控制地长久抽搐蠕动，失禁般的尿液从彻底张开合不拢的尿道口汹涌喷洒而出，量多得惊人，怎么也止不住。\n她青涩的小腹一下下深深塌陷又鼓起，双腿失控地乱蹬乱颤，涣散的眸子里再也聚不起焦。\n什么都不懂的她只觉一切都乱成一团，既不知道这排山倒海的感觉从何而来，也不知道自己稚嫩的身体正被推向何等极致的境地。
1002,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,积压已久的巨量快感终于被允许一齐释放，天真懵懂的{TargetName}那副尚显青涩的身躯猛然剧烈弹动，{urethra}极度剧烈而漫长地连续痉挛，尿道口彻底失守般张合不休，滚烫的尿液毫无节制地大量喷涌、四下飞溅，久久没有停歇。\n她的耻骨疯狂上顶，纤细的腰肢深深弓起后又软软瘫塌，稚气未脱的脸庞上满是失神。\n她压根不明白这股超乎想象的洪流意味着什么，也丝毫不知这具已能受孕的身子正经历着怎样灭顶般的绝顶。
1003,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一波接一波被硬生生截住的快感在此刻决堤般涌来，性事一无所知的{TargetName}那具幼嫩身躯彻底失控地痉挛颤栗，{urethra}长时间地剧烈蠕动收缩，失禁的尿液从再也合不拢的尿道口哗哗喷涌四溅，量为前所未有之多，怎么都收不住。\n她青涩的小腹连番剧烈抽搐，腰部反复弓起后又整个瘫软下去，稚嫩的眼神彻底散了。\n懵懂的她既弄不清身体为何这般疯狂颤抖，也全然不知这场超乎想象的极致绝顶会给她能孕育的身子留下什么。
1004,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,被寸止折磨到极限后一齐爆开的滔天快感将{TargetName}整个冲垮，青涩天真的她剧烈痉挛着，{urethra}不受控制地长久抽搐蠕动，尿道口彻底张开、再也闭合不上，一泓泓滚烫尿液像失了闸般大量喷涌四溅，绵绵不绝。\n她稚嫩的腰肢极度上弓后又彻底软倒，四肢失控地颤抖乱蹬，涣散的双眼里满是茫然。\n毫无性知识的她根本不懂自己怎么了，更不知这具刚具备生育能力的幼嫩身体正被这超乎想象的极致洪流反复席卷着。

1005,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0&high_1,积攒到极限的快感终于获准一齐宣泄，未成年却早已懂得性知识的{TargetName}那具青涩身躯猛地绷紧，{urethra}长久而剧烈地痉挛蠕动着，尿道口彻底失控地反复张合抽搐再也合不拢。\n她心里清楚这具稚嫩的身子也可能因此受孕，好奇与探索的心思却早被这超乎想象的极致冲击碾得粉碎，眼神一片涣散。\n混浊的尿液如失禁般大量喷涌四溅，久久不歇，量为四档之最，纤细腰肢极度弓起后又彻底瘫软，稚气未脱的脸上写满了被彻底冲垮的失神。
1006,action_part_u_orgasm_super_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0&high_1,被反复逼到绝顶边缘又生生截停的快感一次性倾泻而出，年幼的{TargetName}整具身子瞬间失控地剧烈颤抖，{urethra}不受控制地长时间连续痉挛，小腹深处持续剧烈抽搐着。\n这个懂得性事却仍满是好奇的少女，明知稚嫩的身体埋着受孕的隐患，此刻却连一丝理智都无从维系，思维彻底空白。\n滚烫的尿液毫无节制地失禁般喷涌四射，浸得一片狼藉，量为四档之最，稚嫩的双腿失控乱蹬又彻底脱力，青涩的胴体在这究极绝顶里被冲刷得体无完肤。
