key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,285,0,角色编号
Name,str,Lancet-2,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,3,0,角色职业为医疗
Race,int,2,0,角色种族为机械
Nation,int,0,0,角色势力为罗德岛
Birthplace,int,0,0,角色出身地为罗德岛
Hp,int,1500,0,角色初始体力
Mp,int,1000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一盒治療噴霧。外盒上标注着“一喷起效”的医疗喷雾套组。可以插入医用器械，也可以直接使用。,1,角色信物
Introduce_1,str,Lancet-2是可露希尔客制化后的雷神存在者™S Typer 62六轮作业平台， 圆形的外观让人觉得很可爱所以成为了某种意义上的吉祥物。虽然她说话有时候很消极，但是大家都很喜欢她。\n\nLancet-2在经过可露希尔的改造后，得以满足更多罗德岛内的医疗需求，其器械设备也更注重于消毒和应对源石污染。,1,角色介绍
TextColor,str,#99988f,1,角色字体颜色为#99988f
A|46,int,2,0,角色医术技能为2
A|45,int,1,0,角色学识技能为1
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|63,int,1,0,角色有不易湿素质
T|117,int,1,0,角色有小车素质
C|5,str,白色塑鋼外殼,1,角色上衣为白色塑鋼外殼
C|11,str,六連橡膠動輪,1,角色鞋子为六連橡膠動輪
C|12,str,急救噴霧噴嘴,1,角色武器为急救噴霧噴嘴
C|13,str,置物架,1,角色附属物为置物架
