cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,
1000,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,幼小的口腔湿润而柔嫩，尚未发育的口腔空间狭小，无法容纳成年人的性器
1001,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,稚嫩的小嘴粉嫩如花瓣，牙齿整齐细小，口腔内壁光滑敏感却反应迟钝
1002,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,未成熟的喉咙浅而窄小，即使被插入也很少引起强烈的生理反应
1003,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,幼童的口腔散发着奶香和甜味，舌头小巧灵活却对刺激感知有限
1004,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,小小的舌头粉嫩柔软，虽然被挑逗也没有太大反应，却散发着令人兴奋的青涩气息
1005,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,幼女的口腔内壁平滑细腻，缺乏明显的性敏感带，被触碰时反应平淡
1006,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,稚嫩的喉咙容量有限，被插入时会本能地收缩，却很少感到明显快感
1007,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,幼小的牙龈和口腔内壁粉嫩娇嫩，对摩擦和侵入的刺激反应迟钝
1008,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,小巧的唇舌虽然色泽鲜嫩，却对亲吻和舔舐缺乏敏感的反馈
1009,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|102_E_1,尚未成熟的咽喉肌肉柔弱，被深入时只能被动接受，几乎不会主动收缩迎合

1010,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,青涩的少女口腔湿润度适中，舌头虽然灵活但对刺激的反应较为迟钝
1011,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,萝莉的樱桃小嘴柔软光滑，对深吻和舔舐的反应有限，却能引起别人的施虐欲
1012,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,萝莉时期的喉咙已有一定深度，被侵入时感觉明显却不会带来强烈快感
1013,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,萝莉的口腔香甜微酸，唾液清淡，舌尖灵巧却对性刺激感知迟钝
1014,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,发育初期的口腔内壁光滑柔润，被摩擦时反应平平，难以从中获得明显快感
1015,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,稚气未脱的小舌头粉嫩娇小，被吮吸和搅动时感觉温吞，难以激起强烈情欲
1016,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,萝莉喉咙紧致却缺乏敏感度，即使被深入也只是有些不适而非性快感
1017,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,半熟的小嘴内壁细嫩，唾液微甜，却对阴茎的摩擦缺乏敏感反应
1018,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,正在发育的咽喉肌肉柔软，被侵入到深处时身体会本能抗拒却很少产生快感
1019,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|103_E_1,萝莉的口腔粘膜娇嫩脆弱，摩擦时容易泛红却难以激发强烈的性兴奋

1020,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,青春期的口腔发育完整，湿润温热但对刺激的敏感度不高
1021,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,少女丰满的双唇虽然看起来性感，口腔内壁却对摩擦感知有限，缺乏明显快感
1022,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,已基本发育完成的喉咙深度适中，被插入时能适应但很少因此兴奋
1023,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,高中生的口腔香气清新，唾液分泌充足却缺乏强烈的性敏感点
1024,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,少女灵活的舌头能熟练舔舐，却很少从这种行为中获得性快感
1025,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,青春期的咽喉弹性良好，能够容纳性器但对冲击的反应平平
1026,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,少女的口腔虽然温暖潮湿，却对深吻和舌战中的刺激感知迟钝
1027,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,发育成熟的口腔湿滑光润，唾液甜美微咸，但性敏感点分布稀疏
1028,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,少女的喉咙柔软舒适，被深入时会自然收缩，却很少因此而兴奋
1029,mouth,0,CVP_A2_A|0_LE_3&CVP_A2_T|104_E_1,年轻的口腔内壁光滑湿润，被摩擦和侵入时反应温和，难以激发强烈快感

1030,mouth,0,CVP_A2_A|0_LE_3&target_is_player_daughter,女儿的小嘴温热湿润，虽对父亲的侵入没有太大感觉，却因背德关系而特别吸引人
