cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_a_orgasm_small_A,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3&high_1,幼小的{TargetName}娇嫩身子倏地一僵，{anal}并不算敏感，只随着那点浅浅漫上来的快感一下下轻轻收缩着，绞出细密而克制的颤动。\n这不过是快感的小小峰值，肠道深处传来的感觉更多是被填满的异物感，夹杂着一丝陌生的酥麻，远远够不上真正的绝顶，稚嫩的意识依旧清醒。\n她圆润的小脸茫然地皱起，纤细的腰肢微微弓了一下又软软塌下，幼嫩的大腿根不自觉地夹紧，{anal}的褶边悄悄沁出一点点温热的肠液。
1001,action_part_a_orgasm_small_A,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3&high_1,一阵轻浅的快感掠过{TargetName}幼小的身体，感度尚低的{anal}反应有些迟钝，只是一波波绵软地缩紧又松开，将这点微弱的酥麻慢慢咀嚼开来。\n稚嫩的她主要感受到的仍是后穴被撑满的胀涩，那丝快感薄薄的，勉强堆到一个小峰值便再难往上，离真正的绝顶还差着老远，小脑袋依旧清醒着。\n娇小的腰肢无力地颤了颤，细嫩的脚趾悄悄蜷起，{anal}深处渗出少许黏腻的肠液，顺着幼嫩的臀缝缓缓滑落。
1002,action_part_a_orgasm_small_A,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3&high_1,{anal}忽然细细地抽紧了一下，幼女般娇小的{TargetName}整个人跟着轻轻一颤，一股浅淡的甜麻自后穴深处懒懒地荡开。\n感度偏低的肠壁让这份快感来得很轻，堆积到浅浅的峰值就悄然停住，更多的还是那股被塞满的钝钝异物感，稚嫩的神志半点没有被冲垮，只是懵懂地漾着慌乱。\n她细细的眉头皱成一团，幼小的身子无意识地缩了缩，纤瘦的双腿并拢又颤开，{anal}边缘挤出一丝丝温热的肠液。
1003,action_part_a_orgasm_small_A,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3&high_1,浅浅的快感在{TargetName}幼嫩的下腹里悄悄攒到了一个小峰值，感度不高的{anal}只是绵密而克制地一缩一缩，微微痉挛着回应这份轻薄的酥麻。\n这远不是真正的绝顶，肠道里被填满的胀感依旧压过了那点快感，稚气的意识清清醒醒，却已管不住娇小身体那诚实的战栗。\n圆溜溜的眼睛里浮起茫然，幼小的腰肢轻轻弓起又落下，稚嫩的脚背下意识地绷直，{anal}悄然溢出少量黏滑的肠液。
1004,action_part_a_orgasm_small_A,0,CVP_A2_T|102_E_1&CVP_A2_A|5_LE_3&high_1,娇小的{TargetName}后穴猛地绵软地一夹，感度低浅的{anal}随着那缕漫上来的快感一下下轻轻蠕动收缩，颤出细腻而含蓄的抽搐。\n这只是快感堆到顶的小小一瞬，幼嫩的身体感受到的多半仍是被撑开的异物压迫，那丝酥麻单薄得很，稚嫩的意识丝毫未曾迷乱，只是身体不受控地轻轻发抖。\n她稚气的小脸悄悄泛红，纤细的腰肢微微一弓，幼小的大腿无意识地夹紧，{anal}的褶皱间沁出一点点温热肠液。
1005,action_part_a_orgasm_small_A,0,CVP_A2_T|104_E_1&CVP_A2_A|5_G_3&CVP_A2_A|5_LE_6&high_1,青春靓丽的{TargetName}那具刚刚发育成熟的身子毫无防备地轻轻一颤，{anal}顺着涌上来的酥麻明显地绞紧，一圈圈绵密地收拢又缓缓软开。\n这处后穴已被调教出恰到好处的感度，浅浅的撩拨便能勾出清晰分明的快意，尚带青涩的小腹深处一股甜麻一波波荡漾，叫富有弹性的少女躯体止不住地泛起细细的战栗。\n这不过是快感的一个小小峰值，还远远够不上真正的绝顶，她的意识始终清明，却怎么也压不住身体那份诚实到极点的反应。\n纤细的腰肢无意识地弓了弓，光滑白嫩的双腿悄悄夹拢，{anal}深处渗出一缕浅浅的肠液，朝气蓬勃的脸蛋爬上潮红，明亮的眼睛里满是既向往又紧张的慌乱。
1006,action_part_a_orgasm_small_A,0,CVP_A2_T|104_E_1&CVP_A2_A|5_G_3&CVP_A2_A|5_LE_6&high_1,一阵酥麻悄然掠过那充满活力的下腹，青春的{TargetName}反射性地绷紧了一瞬，{anal}轻巧而灵敏地一收一缩，把这份鲜明的快感细细含牢不肯松开。\n她那被开发得颇具感度的后处稍一逗弄便有明显的快意翻涌上来，靓丽的少女身子随之酥软下去，连脚趾都不由自主地蜷缩起来。\n这只是一次轻浅的小高潮，尚未抵达真正绝顶的烈度，始终清醒的她却拦不住那副洋溢着朝气的娇躯连连轻颤。\n紧实的腰线微微上弓，羞涩的红晕悄悄爬满脸颊，呼吸细碎地急促起来，{anal}溢出一丝薄薄的肠液，那双含着水光的眼眸里漾着说不出的迷乱与初经人事的青涩羞意。
