cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,attent_class,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,黑板上那张食材表{Name}认得的字还不到一半。\n讲到"哪些放一起会香"的时候，{Name}的肚子很不合时宜地叫了一声，脸一下子红透了。\n好在教室里同时响起了好几声，没人注意到是谁。
1001,attent_class,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,食品安全那节课老师说要点名，{Name}紧张得手心冒汗。\n轮到{Name}的时候，问题居然是最简单的那一个，{Name}一口气答完了。\n老师点点头说"下一个"，{Name}长长地舒了口气，才发现自己一直屏着呼吸。
1002,attent_class,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,"火候不是时间，是温度乘时间。"{Name}把黑板上那几条曲线一条不落地临摹了下来。\n临摹完{Name}忽然想起自己上次煮糊的那锅东西，恍然大悟地"啊"了一声。\n旁边的人被吓了一跳，{Name}赶紧捂住嘴。
1003,attent_class,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,不同种族的饮食禁忌足足讲了一整节课，{Name}记了满满三页。\n"做错了不是难吃的问题，是冒犯。"{Name}把这句话画了线。\n下课后{Name}特意去问了老师有没有更完整的名单，第二天真的抱回来一本厚册子。
1004,attent_class,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,同一道菜做二十遍，{Name}做到第八遍的时候已经开始走神了。\n第十二遍烧糊了，{Name}沮丧地看着锅底。\n可是第十五遍之后，{Name}忽然发现自己不用盯着也知道该翻面了——那种感觉很奇妙。
1005,attent_class,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,{Name}的手还太小，握不稳那把刀，切出来的东西厚一块薄一块。\n老师把大家切的并排摆开，{Name}的那一份一眼就能认出来。\n{Name}没有沮丧，反而更认真地看了看别人的，然后重新拿起了刀。
1006,attent_class,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,有人被油溅到了，{Name}离得最近，吓了一跳。\n老师把湿的和干的食材分别下锅，让大家听那个声音的区别。\n{Name}闭上眼睛认真听了两遍，从此以后每次下锅前都会多擦一遍。
1007,attent_class,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,"你想让吃的人有什么感觉？"老师这么问的时候，{Name}愣住了。\n{Name}做的那道菜其实是照着菜谱一步步来的，从来没想过这个问题。\n{Name}想了很久，最后小声说："想让他吃完之后……觉得今天没那么难过。"老师听完，很轻地笑了一下。
1008,attent_class,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|2_G_0,老师把锅搬上了讲台，礼堂里很快飘满了香味。\n{Name}的注意力完全没在讲的内容上，眼睛一直跟着锅铲转。\n散场时{Name}拉着旁边的人问"什么时候能吃"，结果被告知那锅是道具。
1009,attent_class,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|2_G_0,"不是天赋，是他尝的次数比你多。"{Name}把这句话记下来的时候松了口气。\n{Name}一直以为自己在这方面没有天分，原来只是尝得不够。\n从那天起{Name}养成了做完必尝、第二天再尝一次的习惯。
1010,attent_class,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_Course|43_G_0&CVP_A1_CourseType|2_G_0,那道家常菜{Name}在食堂吃过很多次，从没觉得有什么特别。\n"能做三百份还不出错，这就是技巧。"老师这么说完，{Name}忽然安静了。\n散场后{Name}绕到食堂窗口后面看了很久，直到被人问要不要加餐才回过神。
