cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0,{Name}让大家脱掉鞋袜，把脚放在椅子上看。\n“脚趾、脚掌、脚心、脚背，四个地方触感完全不同，”{Name}说，“足技第一课，先认识自己的脚。”\n有人盯着自己的脚看了很久，好像从来没注意过它长什么样。
1001,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0,黑板上画着一只脚的底面，{Name}在脚心处画了个圈。\n“这里最敏感，也最难控制，”{Name}说，“很多人一用脚心就会痒，痒了就会缩。练足技的第一步，是让脚心不缩。”\n说完{Name}把粉笔放在自己的脚背上走了两步，粉笔纹丝不动。
1002,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0,今天讲脚趾。{Name}说手指能做的事，脚趾大多也能做，只是没人练过。\n“抓、夹、拨、点，四个基本动作。”{Name}用脚趾把地上的一支笔夹起来举给大家看。\n全班都低头看自己的脚趾，教室里响起一片脚趾扣地板的声音。
1003,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0,{Name}讲到清洁，很认真地说这是足技的门槛。\n“脚是全身最容易被嫌弃的地方。你得让它干净到别人不会躲。”{Name}说，“不然技巧再好也没用。”\n几个人悄悄把脚往椅子底下缩了缩。
1004,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0,实践教室的地上撒了一把玻璃珠，{Name}让大家用脚趾一颗一颗夹进碗里。\n第一颗几乎所有人都夹了半天，珠子在脚趾间滑来滑去。{Name}示范的时候，五颗珠子叮叮当当地进了碗。\n“脚趾也是要练的，跟手指一样。”
1005,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0,今天练脚心不缩。{Name}用一支毛笔轻轻扫过每个人的脚心，谁缩了谁重来。\n教室里笑声、尖叫声混成一片，能忍住的人一个都没有。\n{Name}说：“今天忍不住是正常的。忍住的那一天，你就懂什么叫控制了。”
1006,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0,{Name}让大家单脚站在一块软垫上，另一只脚用脚背去托一个小球。\n球滚下来了好几次，有人干脆摔在了垫子上。{Name}扶起来，说足技首先是平衡。\n“站不稳的脚，动起来就没有力道。”
1007,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0,练习用脚掌的不同部位踩同一块海绵，感受哪里用力海绵陷得更深。\n{Name}让大家闭上眼睛，只用脚去感觉。有人说脚心踩下去的时候会痒，{Name}说：“痒也要踩。”\n到下课的时候，大家的脚心都红了一片。
1008,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0,大礼堂里，{Name}开场问：“有谁觉得脚是全身最没用的部位？”\n台下没人举手，但也没人反驳。{Name}说：“脚有二十六块骨头，比手只少一块。差的不是构造，是练习。”\n接下来的四十分钟，{Name}只用脚就翻完了讲台上的一整本书。
1009,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0,有人问脚大是不是学不好足技，{Name}让对方上台把鞋脱了。\n“大脚接触面大，力道更稳，”{Name}说，“小脚灵活，大脚有力，各有各的用法。”\n台下前排把脚藏在椅子底下的孩子，慢慢把脚伸了出来。
1010,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0,{Name}讲了一个误区：用力踩才有效。\n“踩是最粗的用法，”{Name}说，“真正有效的是压、是滑、是脚趾的一点一点，用力踩只会让对方疼。”\n台下有干员会心一笑，有孩子一脸茫然。
1011,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0,公开课的最后，{Name}赤着脚走下讲台，在过道里走了一圈，走过每一个人身边。\n“听见我的脚步声了吗？”{Name}问。没有人听见。\n“足技的第一件事，是让脚变轻。”{Name}说，“重的脚，什么都做不了。”
1012,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_LE_3,{Name}讲脚有二十六块骨头，讲到一半自己数不清了，掰着手指头重数。“……二十六。书上是这么说的。”
1013,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_LE_3,新手教师{Name}让大家脱鞋看脚，自己也脱了，然后发现自己的袜子破了个洞。教室里安静了两秒，{Name}把脚缩了回去。
1014,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_LE_3,有学生问“脚心为什么会痒”，{Name}想了半天说：“因为它敏感。为什么敏感——这个我回去查。”
1015,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_LE_3,实践课上{Name}示范用脚趾夹玻璃珠，夹了四次才夹起来一颗，脸有点红。“……你们比我多练几次就行。”
1016,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_LE_3,{Name}让大家用毛笔扫彼此的脚心，自己被学生扫了一下，笑得跳了起来。“忍住——我是说你们要忍住。”
1017,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_LE_3,有个学生站软垫托球稳得像木桩，{Name}让她示范，自己在旁边一脚踩上软垫就晃了。
1018,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_LE_3,大礼堂里有干员的脚步比{Name}轻得多，{Name}讲到“脚要变轻”的时候干脆请她走了一圈，自己站在一边听。
1019,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_LE_3,新手教师{Name}在公开课上被问“大脚小脚哪个好”，想了半天说：“……都好。”台下笑了，{Name}也笑了。
1020,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_LE_3,{Name}讲完准备的内容，时间还剩很多，索性让台下的干员分享自己是怎么练脚趾的。{Name}记了满满一页。
1021,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,{Name}让大家把脚放在椅子上，用手指从脚趾摸到脚跟。“摸到骨头了吗？二十六块。每一块都有用。”
1022,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,讲到脚心，{Name}说这是全身最敏感又最没人练的地方。“痒是它在抗议没人理它。理它三次，它就不叫了。”
1023,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,{Name}讲课喜欢反问。“脚趾能做什么？”有人说走路，{Name}摇头：“抓、夹、拨、点。走路是它最不重要的用途。”
1024,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,{Name}在地上撒了一把豆子，让大家用脚趾一颗颗夹进碗里。豆子比玻璃珠小，教室里一片“又掉了”的哀嚎。
1025,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,实践课上{Name}让大家闭眼站软垫，另一只脚托球。闭眼之后摔倒的人翻了一倍，{Name}说：“眼睛在替脚偷懒。”
1026,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,{Name}让两人一组，一个人用脚背蹭另一个人的手臂，报出用的是脚背哪一段。报对的不到一半。
1027,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,公开课上{Name}讲了自己第一次用足技的失误：用力踩了。“对方疼了一下，然后就再也不让我用脚了。踩，是最粗的用法。”
1028,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,{Name}请一位干员上台，只用脚趾在她掌心点了一下。她说“痒”，{Name}换了脚心再压，她说“……不一样”。“这就是足技。”
1029,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_G_3&CVP_A1_A|72_LE_6,讲到轻步，{Name}赤脚从讲台走到礼堂最后一排，再走回来。没有人听见脚步声。“回去练这个。就这一件事。”
1030,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_G_6,{Name}讲课不用教案，讲到哪根脚趾就动哪根。讲到小脚趾的时候{Name}让它单独动了动，全班都低头看自己的小脚趾。
1031,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_G_6,高手级的{Name}讲的东西课本上没有。“书上说脚心敏感。但没说敏感的脚心可以反过来感觉对方——那才是它的用处。”
1032,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|72_G_6,{Name}在黑板上写了“抓、夹、拨、点”，又加了一个字：“停”。“脚落在那里不动的那一秒，比动的时候更有分量。”
1033,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_G_6,{Name}的示范让全班安静了：一支笔立在地上，{Name}用脚趾把它夹起来、转了半圈、又放回原处，笔没有倒。
1034,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_G_6,实践课上{Name}闭着眼睛，让学生用脚碰自己的手臂，每一次都能说出是哪只脚、脚的哪一段、用了几分力。
1035,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|72_G_6,{Name}赤脚在实践教室里走了一圈，走到每个学生身后，没有一个人察觉。“你们的脚都太重。今天练轻。”
1036,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_G_6,大礼堂里{Name}没有讲理论，只请了三位干员上台，让她们各自用脚趾夹起同一支笔。三个人用了三种夹法，{Name}一一点评。
1037,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_G_6,有干员问{Name}练足技最难的是什么，{Name}说：“让脚心不缩。我练了两年。”礼堂里有人倒吸了一口气。
1038,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|72_G_6,公开课的最后{Name}没有总结，只是站在讲台上，五根脚趾依次动了一遍，快得像水波。“回去练。就这一件事。”
1039,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&time_0_to_9,早上第一节足技课，学生们的脚都是凉的。{Name}让大家先原地跳二十下。“脚暖了才有触感。”
1040,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|0_G_0&time_0_to_9,上午的课，有人的袜子还没穿正。{Name}没有说，只是讲到清洁的时候看了她一眼，她悄悄把袜子扯正了。
1041,teach,0,CVP_A1_Course|72_G_0&CVP_A1_CourseType|1_G_0&time_aftermoon,下午的实践课，教室里闷，脚一出汗就在垫子上打滑。{Name}让大家先擦干。“湿脚练不了平衡。”
