cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,

4000,1207,0,dr_position_normal&CVP_A2_T|102_E_1,小小的{TargetName}仰躺在{Name}身下，稚嫩的身体与成年人形成鲜明对比。{Name}小心翼翼地将硕大的肉棒在幼小的花穴入口抽插。\n{TargetName}好奇又懵懂地看着两人连接处，随着{Name}轻柔的抽动，她发出细微的呻吟，小手无意识地抓住{Name}的手臂。
4001,1207,0,dr_position_normal&CVP_A2_T|102_E_1,{Name}俯身压在{TargetName}娇小的身体上，双手撑在她身体两侧避免压到她。\n稚嫩的{TargetName}双腿大开，勉强接纳着成人尺寸的肉棒，每次轻微的抽送都让她全身颤抖，小脸上混合着不解与微妙的感觉。
4002,1207,0,dr_position_normal&CVP_A2_T|102_E_1,幼小的{TargetName}平躺着，双腿被{Name}轻轻分开。{Name}小心控制着力度，肉棒只浅浅地在紧致的小穴里抽送。\n未发育的身体让每一次动作都格外明显，{TargetName}呆呆地望着天花板，对发生在自己身上的事情充满好奇。
4003,1207,0,dr_position_normal&CVP_A2_T|102_E_1,{Name}轻柔地抚摸着{TargetName}稚嫩的小脸，下身极为缓慢地在她幼小的身体里浅浅抽动。\n{TargetName}的小手无力地搭在{Name}手臂上，随着每一次轻微的进入，她都会发出似懂非懂的轻哼，小脚丫不自觉地绷紧。
4004,1207,0,dr_position_normal&CVP_A2_T|102_E_1,{TargetName}娇小的身体完全陷入了{Name}的怀抱中，她好奇地看着两人连接处，不明白为什么那么大的东西能进入自己的身体。\n{Name}小心翼翼地抽送着，每次只进入一小部分，幼小的{TargetName}随着动作微微晃动，发出稚嫩的声音。
4005,1207,0,dr_position_normal&CVP_A2_T|102_E_1,{Name}俯身覆在{TargetName}幼小的身躯上，因为担心压到她而用手臂支撑着自己的重量。\n粗大的肉棒在稚嫩的花径中缓缓抽动，{TargetName}的小腹随着动作微微隆起，她疑惑地摸着自己的肚子，感受着里面的动静。
4006,1207,0,dr_position_normal&CVP_A2_T|102_E_1,稚嫩的{TargetName}平躺着承受{Name}的进入，她的双腿因为身材差异而被大大分开。\n{Name}每次轻柔的抽送都让她发出似哭似笑的声音，幼小的身体不自觉地随着节奏轻轻颤抖，显示出对这种感觉的陌生与好奇。
4007,1207,0,dr_position_normal&CVP_A2_T|102_E_1,{Name}小心地压在{TargetName}身上，肉棒浅浅地插在紧致的小穴中，缓慢地磨蹭着。\n未经人事的{TargetName}眨着懵懂的大眼睛，对下身传来的奇怪感觉既不理解又充满好奇，小手无意识地抓紧了身下的布料。
4008,1207,0,dr_position_normal&CVP_A2_T|102_E_1,幼小的{TargetName}背部贴着平面，{Name}轻轻抬起她的小腿，使其稚嫩的花穴更好地接纳成人的尺寸。\n每次浅浅的抽送都让{TargetName}发出天真的疑惑声，她好奇地看着两人结合处，不明白为何自己的小身体能容纳如此巨物。
4009,1207,0,dr_position_normal&CVP_A2_T|102_E_1,{Name}俯身在{TargetName}上方，双手小心地捧着她娇小的身体，肉棒以极其缓慢的节奏在未发育的花径中轻轻抽动。\n{TargetName}的小脸上带着懵懂的表情，随着每一次轻微的顶弄，她都会下意识地抓紧{Name}的手臂，发出细微而天真的呻吟。

4010,1207,0,dr_position_normal&CVP_A2_T|103_E_1,这种事的{TargetName}羞涩地躺在{Name}身下，青涩的身体微微颤抖。\n{Name}缓缓将肉棒插入她半发育的花穴，感受着紧致的包裹。{TargetName}咬着下唇，眼中既有害怕又有好奇，随着{Name}的抽动，她的青涩呻吟逐渐变得甜腻。
4011,1207,0,dr_position_normal&CVP_A2_T|103_E_1,{Name}小心地压在刚发育的{TargetName}身上，她娇小的身躯承受着成人的重量，双手无措地抓着{Name}的后背。\n随着肉棒在初熟的花径中缓慢抽送，{TargetName}的表情从紧张变得迷离，初尝情欲的她不知所措地轻声呻吟。
4012,1207,0,dr_position_normal&CVP_A2_T|103_E_1,{TargetName}青涩的身体平躺着，双腿因紧张而微微颤抖。{Name}温柔地抚摸她刚有起伏的胸部，下身缓缓在她紧致的蜜穴中抽动。\n萝莉的眼中闪烁着害羞和期待，随着每次深入，她的身体都会轻轻弓起，发出半懂不懂的喘息。
4013,1207,0,dr_position_normal&CVP_A2_T|103_E_1,{Name}俯身亲吻{TargetName}稚嫩的额头，肉棒在她半发育的花径中轻柔进出。\n初尝人事的萝莉紧张地闭着眼睛，双手紧紧抓住身下的布料，随着{Name}的动作，她青涩的呻吟越来越明显，带着初尝性事的懵懂。
4014,1207,0,dr_position_normal&CVP_A2_T|103_E_1,{TargetName}瘦小的身体被{Name}牢牢压在身下，刚发育的双腿大开，接纳着成人的欲望。\n随着{Name}的抽送，萝莉的脸上浮现出既害怕又期待的表情，她不知所措地望着两人结合处，对这种新奇感觉充满好奇。
