key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,168,0,角色编号
Name,str,莉莉娅,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,3,0,角色职业为医疗
Race,int,13,0,角色种族为菲林
Nation,int,3,0,角色势力为巴别塔
Birthplace,int,14,0,角色出身地为乌萨斯
Hp,int,1500,0,角色初始体力
Mp,int,1000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一張陳舊的全家福。即使邊緣破損，畫面泛黃，依舊被持有者細心珍藏著。,1,角色信物
Introduce_1,str,前切爾諾柏格研究所之研究員，在石棺事件後叛逃了所屬勢力。主導了對烏薩斯所屬的萬尼亞大公的刺殺，最後遭皇帝的內衛追緝，消失於薩米的雪原之中。\n.....她的故事本因就此終結，但出於未知原因，莉莉婭小姐暫且逃離了烏薩斯了追捕，現加入了羅德島,1,角色介绍
A|46,int,3,0,角色医术技能为3
A|40,int,1,0,角色话术技能为1
E|86,int,1,0,角色妊娠经验为1
E|0,int,1,0,角色Ｎ经验为1
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,0,0,角色有无接吻经验素质
T|107,int,1,0,角色有人妻素质
T|111,int,1,0,角色有兽耳素质
T|113,int,1,0,角色有兽尾素质
T|124,int,1,0,角色有巨乳素质
T|127,int,1,0,角色有普臀素质
T|130,int,1,0,角色有肉腿素质
T|131,int,1,0,角色有小足素质
T|221,int,1,0,角色有性冷漠素质
T|224,int,1,0,角色有难以与越过的底线素质
C|3,str,淡青色領巾,1,角色脖饰为淡青色領巾
C|5-0,str,研究所外衣,1,角色上衣为研究所外衣
C|5-1,str,白色長袖襯衫,1,角色上衣为白色長袖襯衫
C|7,str,陳舊的婚戒,1,角色手套为陳舊的婚戒
C|8,str,研究所连衣裙,1,角色下衣为研究所连衣裙
C|10,str,厚黑色连裤袜,1,角色袜子为厚黑色连裤袜
C|11,str,黑色小皮鞋,1,角色鞋子为黑色小皮鞋
