cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,6666,high_1,“博士，您，將我從眾魂的預言中帶了出來，叫我阿米婭即可，若要和您的小兔子做區分的話，在名字前加上【魔王】二字即可...”
2,chat,6666,high_1&place_0&CVP_A3|2213_G_LE_2,“您問我的故事嗎?  ...不是什麼好的經歷就是了”
3,chat,6666,high_1&place_0&CVP_A3|2213_G_LE_2,“在這個世界線中的弗里斯頓先生居然，變成了這麼可愛的一個小車嗎? 我只和遺跡管理者型態的他見過一面...”
4,chat,6666,high_1&place_0&CVP_A3|2213_T|0_E_0&CVP_A3|2213_G_GE_1,“這裡是個很溫柔的事件線呢...”\n不知道想到了什麼，阿米婭看著你，臉色一紅\n“不過好像也不是什麼正經的世界線呢，更像是地攤賣的黃色小書一樣”
5,chat,6666,high_1&place_0&CVP_A3|2213_G_LE_2,“恕我直言，妮芙小姐說故事的能力真的算不上好”
6,chat,6666,high_1&place_0&CVP_A3|1505_F_G_0&CVP_A3|1505_G_LE_1&CVP_A3|1505_OtherChara|0_E_1,“葉蓮娜小姐，能否幫我轉告令堂，我不是什麼【將所有種族盡數奴役的魔王】嗎?”\n異世的阿米婭俏皮的伸出手指抵住嘴唇\n“至少現在不是了...”
7,chat,6666,high_1&place_0&CVP_A3|1505_F_G_0&CVP_A3|1505_G_LE_1&CVP_A3|1505_OtherChara|0_E_1,“博卓卡斯替先生真是的，上次在走廊偶遇時，他老人家差點原地開啟毀滅模式了...”\n
8,chat,6666,high_1&place_0&CVP_A3|1505_F_G_0&CVP_A3|1505_G_LE_1&CVP_A3|1505_OtherChara|0_E_1,“我曾試著和令堂談過，但愛國者先生光是茶杯都捏碎了三個”\n
9,chat,6666,high_1&place_0&CVP_A3|1505_F_G_0&CVP_A3|1505_G_LE_1&CVP_A3|1505_OtherChara|0_E_0,“葉蓮娜小姐依舊安好嗎，真是，太好了”\n
10,chat,6666,high_1&place_0&CVP_A3|1_G_GE_1,“這個世界的阿米婭，能被這麼多愛著她，願意支持她的人們所包圍，真是，有點讓人羨慕呢...”\n異界的阿米婭露出落寞的神情\n
11,chat,6666,high_1&place_0,“我之前在甲板見過ACE先生了，他...在這裡過的很好...”\n
12,chat,6666,high_1&place_0&CVP_A3|1505_F_G_0&CVP_A3|1505_G_LE_1&CVP_A3|1505_OtherChara|0_E_0&place_10,“博士，你說...如果讓天使之城的博卓卡斯替先生和溫迪戈的博卓卡斯替先生見面，一定很有趣吧...”\n阿米婭拿出一枚黑色的琥珀，露出愉悅的表情\n
13,chat,6666,high_1&place_0&CVP_A3|2213_G_GE_3&place_10,“我曾在石棺中見過還是【預言家】的您，還有普瑞賽斯小姐...”
14,chat,6666,high_1&place_0&CVP_A3|2213_G_GE_3&place_10,“當時的我無力讓整座花園再度繁盛，只能小心的，剪下枝枒將其保存，期待著轉機出現...”
15,stroke,6666,high_1&place_0&CVP_A3|2213_G_GE_3&place_10,“博士...”\n嬌小的魔王依偎在你懷裡\n“能與您相遇，真是，太好了...”
16,stroke,6666,high_1&place_0&CVP_A3|2213_G_GE_3&place_10,“【阿米婭】與【{PlayerName}】不曾相遇的世界中，無一沒有走向衰敗”\n嬌小的魔王依偎在你懷裡\n“博士，你說這算不算是種命中注定呢?”\n
17,embrace,6666,high_1&place_0&place_10&CVP_A3|2213_G_LE_2&CVP_A3|2213_G_GE_0,你溫柔的注視者懷裡的少女\n嬌小的魔王害羞的移開了視線
18,embrace,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3,“博士，請，好好的看著我...”\n雖然感到害羞，但嬌小的魔王捨不得把視線從你身上移開
19,embrace,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3,自從交換誓言後，阿米婭似乎更黏你了\n“博士...”\n她正趴在你的胸前，感受著你的溫暖\n
20,chat,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_1,“無論是哪個世界線，阿米婭好像就只能長這麼大了...”\n嬌小的魔王小聲嘟噥著\n“啊，不要告訴你家的小阿米婭喔，我怕打擊到她的信心”
21,chat,6666,high_1&place_0&CVP_A3|2213_F_LE_150&CVP_A3|1_OtherChara|0_E_1,“你好，此世的阿米婭...”\n嬌小的魔王向著詫異的兔兔打著招呼\n“我算是...你的另一種可能性吧?”
22,chat,6666,high_1&place_0&CVP_A3|1_OtherChara|0_E_1&CVP_A3|2213_A|44_LE_2,“原來你還會演奏小提琴啊...”\n嬌小的魔王和兔兔有一搭沒一搭的聊著天\n“真好，在我的世界裡，沒多少人有能力去學習和生存與戰鬥無關的事物了...”
23,chat,6666,high_1&place_0&CVP_A3|1_OtherChara|0_E_1&CVP_A3|2213_A|44_GE_3&CVP_A3|2213_A|44_LE_4,“我最近也開始練習小提琴了喔，能拉一些簡單的曲子了”\n嬌小的魔王和兔兔有一搭沒一搭的聊著天\n“有空，一起來合奏一曲吧”
24,chat,6666,high_1&place_0&CVP_A3|1_OtherChara|0_E_1&CVP_A3|2213_A|44_GE_5,“自從來到這裡後，時間就多了起來”\n嬌小的魔王和兔兔有一搭沒一搭的聊著天\n“我最近花了不少時間在練琴上”
25,chat,6666,high_1&place_0&CVP_A3|1_G_GE_1&CVP_A3|1_T|0_E_0&CVP_A3|2213_T|0_E_1&CVP_A3|1_OtherChara|0_E_1,“盯...”\n嬌小的魔王盯著兔兔很久\n“此世的阿米婭啊...你是不是，和博士做過了?”\n在一旁喝茶的你差點把茶噴了出來
26,chat,6666,high_1&place_0&CVP_A3|1_G_GE_1&CVP_A3|2213_G_GE_2&CVP_A3|2213_T|0_E_0&CVP_A3|1_T|0_E_1&CVP_A3|1_OtherChara|0_E_1,嬌小的魔王像是炫耀似的在阿米婭面前撫摸著肚臍下三吋的位置\n“哼，你的身子還小，我呢...可是已經成年囉~”\n
27,chat,6666,high_1&place_0&CVP_A3|1_G_GE_1&CVP_A3|2213_G_GE_2&CVP_A3|2213_T|0_E_0&CVP_A3|1_T|0_E_1&CVP_A3|1_OtherChara|0_E_1,“此世的阿米婭阿，需要我偷偷教你晚上博士最喜歡的姿勢嗎?”\n
28,chat,6666,high_1&place_0&CVP_A3|1_OtherChara|0_E_1&CVP_A3|2213_G_LE_1,兔兔有些殘念的看著嬌小的魔王\n“所以，我們最多就長這麼大嗎...”\n“就沒有哪個世界線存在著豐滿的阿米婭嗎....”\n兩個兔兔的眼神都變得殘念了起來\n
29,play_instrument,6666,high_1&place_0&CVP_A3|2213_A|44_LE_2,“這個東西，我不太擅長呢...”\n嬌小的魔王生疏地拿著小提琴\n“在我的世界裡，戰爭與生存之外的美好事物大多都消逝了...”
30,play_instrument,6666,high_1&place_0&CVP_A3|2213_A|44_GE_3&CVP_A3|2213_A|44_LE_4,嬌小的魔王拿著小提琴，拉起了簡單的樂曲\n舒心的樂聲流淌著
31,play_instrument,6666,high_1&place_0&CVP_A3|2213_A|44_GE_5,嬌小的魔王熟練地拿著小提琴，悠揚的樂曲彷彿直接在人們的心中響起\n
32,chat,6666,high_1&place_0&CVP_A3|2213_A|44_GE_5,“對萊塔尼亞人來說，音樂也是一種施法的方式”\n嬌小的魔王似乎在思考著甚麼\n“要不，我也試試?”\n\n
33,singing,6666,high_1&place_0&CVP_A3|2213_A|44_LE_2,嬌小的魔王微笑的聽著{PlayerName}歌唱著\n
34,singing,6666,high_1&place_0&CVP_A3|2213_A|44_GE_3&CVP_A3|2213_A|44_LE_4,嬌小的魔王拿出了小提琴，為你簡單的伴奏著
35,singing,6666,high_1&place_0&CVP_A3|2213_A|44_GE_3&CVP_A3|2213_A|44_LE_4,嬌小的魔王拿出了小提琴，在你歌聲的基處下，做出了更為華麗的變奏
36,singing,6666,high_1&place_0&CVP_A3|2213_A|44_GE_3&CVP_A3|2213_A|44_LE_4&place_11,嬌小的魔王拿出了小提琴，在你歌聲的基處下，做出了更為華麗的變奏\n路過的{SceneOneCharaName}停下了手邊的事務，入神的聽著
37,chat,6666,high_1&place_0&CVP_A3|1_OtherChara|0_E_1&CVP_A3|1_T|150_E_1,“此世的阿米婭啊，過來一下...”\n嬌小的魔王握住了兔兔的手，手上發出微微的光亮\n兔兔身上的源石結晶似乎縮小了一點\n“這樣就是神明們給予能力的極限了，很遺憾暫時沒有能讓妳痊癒的方法...”
38,chat,6666,high_1&place_0&CVP_A3|3_OtherChara|0_E_0,“您問我對凱爾希醫生的看法嗎...”\n嬌小的魔王露出了有點複雜的表情\n“至少在這個世界縣中，她已經做得很好了...”
39,chat,6666,high_1&place_0&CVP_A3|3_OtherChara|0_E_0,“凱爾希醫生確實致力於保護泰拉的文明...”\n嬌小的魔王露出了有點複雜的表情\n“但是從不少時間線來看，收效甚微...”
40,chat,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3,“我曾在石棺中見過普瑞賽斯小姐的身影，她是個溫柔的人”
41,chat,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3,“我曾問過奎隆先生，機會難得，要不要與您見上一面”\n嬌小的魔王拿出一個半透明的琥珀，裡面依稀能見到一位打坐的覺者\n“他只說了句【無礙，眾生皆有路】”
42,chat,6666,high_1&place_0&in_kazdel&in_command_room_or_out_exit,“和平的卡茲戴爾，真難得啊”\n嬌小的魔王望著艦外景色，感嘆著\n
43,chat,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3,“在薩卡茲被剿滅後，各國依然征伐，泰拉大陸上的戰火則永不停息...”\n嬌小的魔王依偎在你的懷裡\n“博士，我不想再見到那樣的世界了”
44,kiss,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3&sys_1,嬌小的魔王坐進你的懷裡，眼眸中滿是濃情蜜意\n“博士...親我...”\n\n
45,kiss,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3&sys_1,“姆...”\n異世的阿米婭為你獻上了一記香吻，魔王的香吻可比女妖的香吻貴重不少\n\n
46,kiss,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3&sys_0,一個淺嘗即止的吻，兩個心跳不已的人\n
47,kiss,6666,high_1&place_0&place_10&sys_0&CVP_A3|2213_G_GE_1&CVP_A3|2213_G_GE_2,一吻結束，面容羞紅的魔王不敢對上你的眼睛\n
48,kiss,6666,high_1&place_0&CVP_A3|1_OtherChara|0_E_1&sys_0,“等等，博士...!”\n接吻的過程中，懷裡的魔王掙扎著，可她的軟弱無力推桑除了增添情趣並無太大的作用\n“博士...壞...”\n她依偎在你懷裡，面色羞紅\n“小阿米婭還在看著呢...”
49,h,6666,high_1&place_0&CVP_A3|2213_G_GE_2&CVP_A3|2213_T|0_E_1,“博士...”\n嬌小的魔王輕撫著你的臉頰\n“別看我這樣，這具身體早已成熟了...”
50,h,6666,high_1&place_0&CVP_A3|2213_G_GE_2&CVP_A3|2213_T|0_E_1,嬌小的魔王輕輕躺進你的懷抱\n“不須要憐惜我，博士想做什麼就做吧...”
51,h,6666,high_1&place_0&CVP_A3|2213_G_GE_2&CVP_A3|2213_T|0_E_1,嬌小的魔王輕輕躺進你的懷抱\n“請讓我來承載你的慾望與暢想...”
52,embrace,6666,high_1&place_0&place_10&CVP_A3|2213_G_GE_3,阿米婭的身上總有一股散不掉的破碎感\n你摟著懷裡嬌小的魔王，用身體來感受他的存在
