key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,1452,0,角色编号
Name,str,卡莱莎,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,4,0,角色职业为术师
Race,int,25,0,角色种族为萨卡兹
Nation,int,121,0,角色势力为萨米
Birthplace,int,6,0,角色出身地为卡兹戴尔
Hp,int,2500,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,巫女法杖,1,角色信物
Introduce_1,str,女性食腐者。898年联军进攻卡兹戴尔时，卡莱莎受一名想要看雪的逃兵影响北上前往萨米为食腐者寻找新出路，发现了一眼可以缓解食腐者因长期没有食腐而流失力量痛苦的冰泉，其后自称“北风女巫”隐居于萨米。萨卡兹进驻伦蒂尼姆前夕，卡莱莎拒绝了军事委员会的军衔。萨卡兹撤退回卡兹戴尔后，卡莱莎与她的房子返回了卡兹戴尔，用自己的记忆和一些源石技艺制作了一顶花冠用以抚慰受战争创伤的士兵。卡莱莎的房子具有巫妖与食腐者的源石技艺，可以在炮火中穿行并翻越卡兹戴尔城墙。,1,角色介绍
A|40,int,4,0,角色话术技能为4
A|42,int,2,0,角色战斗技能为2
E|81,int,25,0,角色战斗经验为25
E|80,int,100,0,角色对话经验为100
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|2,int,1,0,角色有尿道处女素质
T|3,int,1,0,角色有子宫处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|112,int,1,0,角色有兽角素质
T|113,int,1,0,角色有兽尾素质
T|124,int,1,0,角色有巨乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|132,int,1,0,角色有长足素质
C|5-1,str,黑色哥特束身衣,1,黑色哥特束身衣
C|5-2,str,蓝色飘带装饰,1,蓝色飘带装饰
C|7,str,黑色皮质手套,1,黑色皮质手套
C|8,str,黑色哥特长裙,1,黑色哥特长裙
C|10,str,黑色蕾丝长袜,1,黑色蕾丝长袜
C|11,str,黑色尖头高跟鞋,1,黑色尖头高跟鞋
C|12,str,萨卡兹巫女法杖,1,萨卡兹巫女法杖
