cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}轻轻握住{TargetName}戴着手套的手，将自己勃起的阴茎贴在手套表面摩擦\n柔软的手套面料带来微妙的触感，很快{Name}便射出一股精液，白浊液体沾湿了{TargetName}的手套\n{TargetName}看着自己被染上白色的手套，眼神中闪过一丝羞涩，却没有立即抽回手\n空气中弥漫着情欲的气息，两人的呼吸都变得有些急促\n
1000,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}拉过{TargetName}戴着手套的手，引导她握住自己的勃起\n隔着手套的触感既熟悉又陌生，没多久{Name}便颤抖着射出精液，白浊液体洒在精致的手套上\n{TargetName}惊讶地看着手套上逐渐扩散的湿痕，脸颊泛起一层薄红\n{Name}满足地叹息，欣赏着自己的杰作在手套上形成的痕迹\n
1001,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}将{TargetName}的手翻转过来，让她掌心朝上，然后将阴茎放在手套的掌心处摩擦\n柔软的手套材质加上{TargetName}手掌的温度，让{Name}很快就达到了高潮\n一股精液喷射而出，沾湿了{TargetName}的手套掌心部分\n{TargetName}低头看着手套上的白浊液体，表情复杂，手指不由自主地微微蜷缩\n
1002,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}握住{TargetName}的两只手，让她戴着手套的双手合拢，包裹住自己的勃起\n{Name}在这温暖的包裹中抽送几下后，低哼一声射出了精液\n白浊的液体沾湿了{TargetName}的手套内侧，从指缝间滑落\n{TargetName}感受着手套被浸湿的触感，不由得轻轻咬住下唇\n
1003,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}轻轻拉起{TargetName}的一只手，把玩着她戴着手套的手指，然后将龟头在指尖处摩擦\n敏感的龟头与手套布料的摩擦让{Name}很快就到达了高潮\n精液喷射而出，沾湿了{TargetName}的手套指尖\n{TargetName}看着自己被白浊玷污的手套，眼神中闪过一丝羞赧，却没有立即抽回手\n
1004,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}小心地脱下{TargetName}的一只手套，将勃起的阴茎插入手套内部\n感受着手套内部的独特触感，{Name}在其中抽送几下便射出精液\n然后他将精液灌满的手套重新套回{TargetName}的手上\n{TargetName}感到手套内部的湿润和粘稠，不由得红了脸，手指微微颤抖\n
1005,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}拉起{TargetName}戴着手套的手腕，将她的手背贴在自己的勃起上来回摩擦\n手套表面的质感让{Name}的快感迅速累积，没多久就射出一股精液\n白浊的液体洒在{TargetName}精致的手套上，形成醒目的痕迹\n{TargetName}看着被污染的手套，表情有些无奈，却也带着一丝隐秘的兴奋\n
1006,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}引导{TargetName}戴着手套的手指轻轻抚摸自己的阴茎\n隔着手套布料的触感让{Name}很快兴奋起来，没多久就射出精液\n白浊的液体沿着{TargetName}的手套滑落，留下黏腻的痕迹\n{TargetName}有些惊讶地看着手套上的痕迹，手指不自觉地微微蜷缩\n
1007,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}小心地扯开{TargetName}手套的边缘，将阴茎插入手套与手掌之间的缝隙\n温暖的手掌和手套内衬的双重刺激让{Name}很快就到达了极限\n一声低吼后，{Name}射出精液，白浊的液体填满了手套内部的空间\n{TargetName}感受着手掌与手套之间逐渐被温热液体充满的奇妙感觉，呼吸变得急促\n
1008,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}捉住{TargetName}的双手，让她戴着手套的手指交叉形成一个环状\n{Name}将阴茎插入这个环中抽送，不久后便射出一股精液\n白浊的液体沾湿了{TargetName}的手套，顺着手指间的缝隙滴落\n{TargetName}看着自己被玷污的手套，眼神中带着复杂的情绪\n
1009,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}将{TargetName}戴着手套的手抵在墙上，从背后贴近她，然后将阴茎插入她的手掌与墙壁之间的空间\n在这狭小的空间内摩擦几下后，{Name}射出一股精液\n白浊的液体顺着{TargetName}的手套和手腕流下，形成明显的痕迹\n{TargetName}感受着手掌被精液浸湿的触感，不由得轻轻咬住下唇\n
1010,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}轻轻抓住{TargetName}的一只手，引导她戴着手套的手指环绕自己的阴茎\n隔着手套的柔软触感让{Name}很快就硬到极限，几次抽送后射出精液\n白浊的液体渗入手套的纤维，在表面形成湿润的痕迹\n{TargetName}看着被沾染的手套，表情有些不知所措，手指却依然轻轻握着\n
1011,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}拉起{TargetName}的手，轻轻拉开她手套的腕部，露出一段空间\n然后将阴茎插入手套内部与手腕之间的空隙中摩擦\n几次抽送后，{Name}低吟一声射出精液，白浊液体填满了狭小的空间\n{TargetName}感受着手腕处传来的湿热触感，脸上浮现出一丝羞涩\n
