cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,503,0,buttock_0&sys_0,{TargetName}跨坐在{PlayerName}身上，双手撑住{PlayerName}的胸膛，臀部虽然娇小紧致，却也有着诱人的弧度。\n{TargetName}缓缓沉下腰肢，将{PlayerName}早已昂扬的阳具纳入体内。\n紧窄的花径被一寸寸撑开，娇嫩的褶皱被硕大的龟头破开，层层叠叠的嫩肉紧紧咬住炙热的肉茎。
1,503,0,buttock_1&sys_0,{TargetName}背对{PlayerName}，扶着肉棒对准自己微微濡湿的私处，臀瓣圆润饱满，手感十足。\n随着{TargetName}臀部下沉，粗壮的阳具缓缓推开层层叠叠的嫩肉，一点点撑开紧致的甬道。\n硕大的龟头破开湿热的肉壁，享受着被四面八方的嫩肉包裹吮吸的快感，待到茎身尽根没入，{PlayerName}的囊袋啪的一声撞在{TargetName}挺翘的臀肉上，两人的结合才算完成。
2,503,0,buttock_2&sys_0,{TargetName}肥美的臀肉在{PlayerName}眼前微微颤动，散发着成熟女性的诱惑，扶着粗硬的肉棒，对准自己已经泥泞不堪的蜜穴口。\n随着臀部一点点下沉，硕大的阳具头部受到穴口的阻力，但很快，{PlayerName}粗壮的肉刃就破开了{TargetName}湿滑松软的阴道。\n硕大的龟头顶开层层叠叠的嫩肉，在紧窄的甬道内缓缓前进，丰腴的臀瓣在重力作用下不断下压，直到{PlayerName}的肉棒完全插入蜜穴的最深处。
3,503,0,buttock_0&sys_0&penis_in_t_vagina,{TargetName}白皙的双手按在{PlayerName}的胸膛上，开始了疯狂的骑乘。\n她纤细的腰肢不断摆动，将{PlayerName}大的阳具吞吐进出，娇小的臀瓣随着激烈的动作而颤抖，砸着{PlayerName}的胯部啪啪作响。
4,503,0,buttock_1&sys_0&penis_in_t_vagina,{TargetName}浑圆的臀肉在{PlayerName}的胯间快速起伏，将他粗壮的阳具吞入小穴的最深处。\n每一次坐下，饱满的臀瓣都会重重地撞击{PlayerName}的胯部，发出清脆的肉体碰撞声，湿滑的甬道被{PlayerName}的肉刃来回捣弄，分泌出大量的蜜液。
5,503,0,buttock_2&sys_0&penis_in_t_vagina,{TargetName}肥美的臀肉在{PlayerName}的胯间疯狂摇摆，臀波荡漾，淫靡至极。\n丰腴的身体压在{PlayerName}身上，柔软的乳肉随着剧烈的动作而颤动，粗硬的肉棒在肥美多汁的蜜穴中快速抽插，每一次进出都会带出大量晶莹的爱液，将两人的交合处弄得泥泞不堪。\n
6,1207,0,CVP_A1_T|126_G_0&last_cmd_riding_sex,骑在腰胯上的{Name}用阴道内的嫩肉紧紧绞住进出的肉棒，仿佛要用娇小的屁股榨出{PlayerName}的每一滴精华。
7,1207,0,last_cmd_riding_sex&CVP_A1_T|127_G_0,{Name}双手撑住{PlayerName}的腰腹，圆润的臀部配合着挺动腰肢的节奏，上下起伏，让粗硬的阴茎反复摩擦敏感的阴道内壁。
8,1207,0,last_cmd_riding_sex&CVP_A1_T|128_G_0,{Name}丰满的臀部紧紧地坐在了{PlayerName}的阴茎上，每一次沉重地研磨，抽送，湿润的臀浪拍打在{PlayerName}的精袋上发出淫靡的水声，带来了无与伦比的包裹感。
