cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_u_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,尖锐的酥麻毫无预兆地从{urethra}那条纤细的通道里窜起，一路直冲进小腹深处轰然炸开，未成年的{TargetName}整个青涩的身子猛地弹跳了一下，稚嫩的腰肢高高弓起。\n这是一次完整而标准的绝顶，{urethra}强烈而有节奏地痉挛收缩，尿道口反复张合抽搐着，小腹下方一阵阵向内抽紧，纤细的大腿痉挛般夹紧，止不住的尿液断断续续地漏出来，渐渐流成了一股。\n那股又痒又胀又刺的排泄感汹涌得再也守不住，她却根本不明白自己身上到底发生了什么，只茫然地睁大了眼睛，稚气的脸颊烧得通红，本能地承受着这场她全然无知的高潮。
1001,action_part_u_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,完整的绝顶高潮毫无征兆地降临，一道又尖又利的快感沿着{urethra}这条极细的管道飞速窜过，贯穿般地钻进小腹并炸裂开来，年幼的{TargetName}青涩的躯体剧烈地一颤。\n{urethra}有节奏地剧烈痉挛，尿道口不受控制地一张一合，小腹反复抽搐，稚嫩的腰高高弓起后又无力落下，细瘦的双腿绷得笔直。\n温热的尿液再也憋不住，断断续续地漏出乃至涌成一股，阴部也随之渗出些许爱液。\n她懵懂地承受着这一切，完全不懂这尖锐的酥麻和守不住的尿意究竟意味着什么，只慌乱地承受着身体自作主张的剧烈反应。
1002,action_part_u_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,这一次是一场货真价实的绝顶，尖锐的刺麻感像电流般贯穿{urethra}那条纤细的通道，直直窜进小腹深处轰然引爆，未谙世事的{TargetName}稚嫩的身子重重弹了一下。\n{urethra}强烈地收缩抽搐，尿道口一下下张合，小腹连连抽紧，青涩的腰肢弓成一道弧线，纤细的脚趾用力蜷起。\n那道又胀又刺的排泄感彻底冲垮了闸门，止不住的尿液一股股地漏落。\n意识开始变得模糊，可她根本分不清这到底是快感还是尿意，也全然不知这具刚能孕育的身子正被这陌生的浪潮反复冲刷，只能瞪着迷茫的眼承受着。
1003,action_part_u_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,绝顶如约而至，那股尖利的酥麻顺着{urethra}这根又细又窄的管道一路窜行，钻进小腹后猛地炸开，年少的{TargetName}整个稚嫩的身体绷紧后又剧烈颤抖。\n{urethra}有节奏地强烈痉挛着，尿道口反复抽搐张合，小腹一阵阵深深抽紧，纤瘦的大腿死死夹拢，呼吸也乱成了一团。\n再也压不住的尿液断断续续地淌出，顺着腿根流成一道细流。\n她茫然无措地承受着这场完整的高潮，那种又痒又胀又刺的贯穿感令她的脑子一片空白，却半点也想不明白身体为何会这样，只本能地随着那股洪流颤栗。
1004,action_part_u_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,完整而正常的绝顶轰然降临，尖锐的快感沿着{urethra}那条纤细娇嫩的通道飞快窜进小腹，在下腹深处剧烈炸裂，尚且年幼的{TargetName}青涩的躯体猛地弹跳弓起。\n{urethra}剧烈而有节奏地痉挛抽搐，尿道口一开一合地颤动，小腹反复抽紧，稚嫩的腰高高弓起，细腿绷直后又痉挛地夹紧。\n守不住的尿液一股接一股地漏出，混着渗出的爱液沾湿了腿根。\n她睁着懵懂的双眼，完全不理解这尖利的酥麻与失禁般的尿意意味着什么，稚气的脸上满是慌乱与茫然，只能任由这场她无从理解的高潮席卷全身。

1005,action_part_u_orgasm_normal_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,尚未成年的{TargetName}那具青涩娇小的身子猛地向上一弹，尖锐的酥麻顺着{urethra}这条纤细的通道一路窜进小腹又轰然炸开，这是一次完整而正常强度的绝顶，绝顶该有的典型反应一样不少。\n{urethra}强烈而有节奏地痉挛收缩着，尿道口反复张合抽搐，小腹下方一阵阵抽紧，稚嫩的腰肢高高弓起，两条细腿痉挛着紧紧夹拢。\n再也守不住的闸门被冲开，温热的尿液断断续续地漏出，渐渐汇成细细的一股，比小绝顶时多了不少，阴部也悄悄涌出爱液。\n明明早已懂得这是排泄的地方被开发出的淫靡快感，年幼好奇的她却毫无抗拒地沉溺其中，意识开始变得模糊，却还未被彻底冲垮。
