key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,350,0,角色编号
Name,str,史尔特尔,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,5,0,角色职业为近卫
Race,int,25,0,角色种族为萨卡兹
Nation,int,0,0,角色势力为罗德岛
Birthplace,int,999,0,角色出身地为未知
Hp,int,2000,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一份填满地名的复印文档，其中小部分已被红笔划去。要是有空，你可以帮忙探查这些地点。,1,角色信物
Introduce_1,str,神秘的萨卡兹少女史尔特尔，或因矿石病影响导致缺失性记忆障碍，其情况在矿石病病理中也极其少见，现于罗德岛接受治疗中。在测试过程中展现出了原因不详的强大战斗能力，很快成为了作战干员。,1,角色介绍
TextColor,str,#B83434,1,角色字体颜色为#B83434
A|41,int,3,0,角色指挥技能为3
A|42,int,4,0,角色战斗技能为4
A|71,int,2,0,角色舌技为2
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|105,int,1,0,角色有大姐姐素质
T|112,int,1,0,角色有兽角素质
T|274,int,1,0,角色有坚强素质
T|124,int,1,0,角色有巨乳素质
T|128,int,1,0,角色有巨臀素质
T|130,int,1,0,角色有肉腿素质
T|132,int,1,0,角色有长足素质
T|150,int,1,0,角色有源石病感染者素质
T|158,int,1,0,角色有失忆素质
T|357,int,1,0,角色有灵活舌头素质
C|3,str,黑色假领,1,角色脖饰为黑色假领
C|5,str,黑色宽外套,1,角色上衣为黑色宽外套
C|8,str,略破损的黑色连衣裙,1,角色下衣为略破损的黑色连衣裙
C|10,str,黑色长筒丝袜（带腿环）,1,角色袜子为黑色长筒丝袜（带腿环）
C|12,str,莱万汀,1,角色武器为莱万汀
C|11,str,尖头高跟靴,1,角色鞋子为尖头高跟靴
C|13,str,干员身份牌,1,角色附属物为干员身份牌
