cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,axillajob,0,high_1,{Name}将阴茎凑到了{TargetName}的腋窝处，不是性器的部位似乎也能激起{Name}的兽欲。
1,axillajob,0,high_1,{Name}将{TargetName}的腋下当作是性器官一样来回磨蹭。
2,axillajob,0,high_1,{Name}的双手按在{TargetName}的肩头，对着{TargetName}的腋下反复拱腰。
3,axillajob,0,high_1,{TargetName}的腋下被{Name}的先走汁反复润滑，直到如同{TargetName}小穴一般泥泞。
4,axillajob,0,high_1,{Name}从腰部升起的冲击力通过{TargetName}诱人的腋下向{TargetName}释放着狂野的欲望。
5,axillajob,0,high_1&jj_0,{Name}小小的阴茎在{TargetName}的腋下来回磨蹭。
6,axillajob,0,high_1&jj_0,{Name}小小的阴茎在{TargetName}的腋下来回磨蹭，不过在{TargetName}看来，这就像是拿羽毛瘙痒一样。
7,axillajob,0,high_1&jj_0,{Name}小小的阴茎在{TargetName}腋下抽插。
8,axillajob,0,high_1&jj_0,{Name}小小的阴茎努力地在{TargetName}被先走汁濡湿的腋下抽插着，但无论怎么努力也没法逃出{TargetName}腋下的掌控。
9,axillajob,0,high_1&jj_0,{Name}忘情地在用小小的阴茎在{TargetName}软糯的腋下释放着欲望，狂野的欲望和短小的尺寸令{TargetName}不由得轻笑起来。
10,axillajob,0,high_1&jj_3,{Name}的阴茎太大了，以至于{TargetName}的腋下只能允许{Name}摩擦龟头部分。
11,axillajob,0,high_1&jj_3,光是看着{Name}将阴茎放在腋下循环往复，{TargetName}就不由得想到：要是这么大的东西进入到她的体内，会是什么样的景象？
12,axillajob,0,high_1&jj_3,巨大的阴茎远远超出了{TargetName}腋下的包裹能力，散发出的先走汁的味道令{TargetName}的眼睛始终没法离开{Name}发紫的龟头。
13,axillajob,0,high_1&jj_3,{Name}巨大的阴茎带着滚烫的气息在{TargetName}的腋下反复宣告着自己的存在，张扬的气场令{TargetName}情不自禁地想象这根杀气腾腾的东西在自己体内横冲直撞的样子。
14,axillajob,0,high_1&jj_3,逼近{TargetName}小臂尺寸的阴茎突兀的耕耘着{TargetName}的腋下，生殖的欲望和求生的本能使得{TargetName}的子宫叫嚣着受孕的哀求。
1000,axillajob,0,sys_0,{TargetName}轻轻抬起手臂，用香软的腋窝接纳了{Name}的硬挺，肌肤相触的瞬间，{TargetName}感受到了{Name}身体的颤抖，她小心地收紧腋下的肌肉，让{Name}的欲望在这个不寻常的地方得到满足。
1001,axillajob,0,sys_0,{TargetName}调整着自己的姿势，让腋下能够完全包裹住{Name}的阴茎，她轻轻摇晃着上半身，用腋窝的柔软肌肤摩擦着{Name}敏感的前端，感受到前液的湿润正在逐渐增加。
1002,axillajob,0,sys_0,当{Name}的阴茎插入{TargetName}的腋下时，{TargetName}轻紧双臂，创造出一个温暖紧致的空间，她能感觉到{Name}的每一次呼吸和颤抖，这种异样的亲密让她脸颊微微发烫。
1003,axillajob,0,sys_0,{TargetName}用湿润的手指轻轻滑过自己的腋窝，让那里变得更加湿滑，然后引导{Name}的阴茎进入其中，她调皮地眨眨眼，看着{Name}因为这种特殊的服务而表情变得恍惚。
1004,axillajob,0,sys_0,腋下不断被摩擦的感觉让{TargetName}感到有些发痒，但看到{Name}沉浸在快感中的样子，她还是努力保持着姿势，甚至主动用手臂的动作来增加{Name}的快感。
1005,axillajob,0,sys_0,{TargetName}的腋下已经被{Name}的前液弄得湿漉漉的，光滑的皮肤在摩擦中发出细微的水声，她能感觉到{Name}的动作变得越来越急促，好像随时都可能达到高潮。
1006,axillajob,0,sys_0,{TargetName}轻轻将自己的腋窝贴近{Name}的阴茎，感受着那里传来的热度和搏动，她的皮肤因为持续的摩擦而变得微微发红，但她并不在意，只是专注于取悦眼前的人。
1007,axillajob,0,sys_0,被{Name}的阴茎在腋下摩擦的感觉十分奇特，{TargetName}从未想过身体的这个部位也能带给别人快乐，她好奇地观察着{Name}的反应，同时也在探索着自己身体的新可能。
1008,axillajob,0,sys_0,{TargetName}试着收紧自己的手臂肌肉，让腋窝形成一个更紧致的空间，当{Name}的阴茎在这个临时创造的“甬道”中抽插时，她感受到了一种奇妙的成就感。
1009,axillajob,0,sys_0,{TargetName}柔软的腋下被{Name}的动作摩擦得通红，那里的肌肤比平常更加敏感，每一次接触都让她感到微微的刺激，她咬着嘴唇，用腋窝的温度和柔软取悦着{Name}。
1010,axillajob,0,high_1&jj_0,看着{Name}的小小阴茎在自己腋下努力抽动的样子，{TargetName}不由得生出一种怜爱之情，她轻轻收紧手臂，让{Name}能够更明显地感受到她腋下的温暖和柔软。
1011,axillajob,0,high_1&jj_0,{TargetName}注意到{Name}的阴茎非常小巧，几乎完全可以被她的腋窝包裹，她轻轻调整姿势，让整个腋下都能接触到{Name}的敏感部位，带给他最大的快感。
1012,axillajob,0,high_1&jj_0,{TargetName}轻轻夹紧自己的腋窝，小心翼翼地包裹着{Name}那小巧的分身，看着{Name}因为这种接触而颤抖，她的嘴角不自觉地浮现出一丝温柔的微笑。
1013,axillajob,0,high_1&jj_0,当{Name}的小小阴茎在{TargetName}柔软的腋下抽插时，{TargetName}能感觉到那微弱但急切的搏动，她轻轻摇晃着上半身，用腋下的温暖和湿润取悦着这个敏感的小东西。
1014,axillajob,0,high_1&jj_0,{TargetName}用手指轻轻抚过自己已经湿润的腋窝，然后引导{Name}的小小阴茎进入，尽管尺寸有限，但她还是能够感受到{Name}的热情和渴望，这让她不由自主地想要给予更多。
1015,axillajob,0,high_1&jj_3,面对{Name}巨大的阴茎，{TargetName}不得不用双臂尽力张开，但即使如此，她的腋窝也只能容纳龟头部分，那庞然大物的热度和分量让她感到既紧张又好奇。
1016,axillajob,0,high_1&jj_3,{TargetName}努力调整着自己的姿势，想要用腋下完全服务{Name}那惊人的尺寸，但巨大的阴茎只能在她腋窝的表面摩擦，每一次接触都让她感受到那份压迫感和征服欲。
1017,axillajob,0,high_1&jj_3,{Name}的阴茎实在太大了，以至于{TargetName}的腋窝根本无法完全包裹，她只能用最大的努力夹紧手臂，让{Name}的龟头在她腋下柔嫩的皮肤上滑动，同时不禁想象这样的巨物进入身体会是什么感觉。
1018,axillajob,0,high_1&jj_3,当{Name}粗大的阴茎贴近{TargetName}的腋窝时，她能清晰地感受到那上面突起的脉络和惊人的热度，她的腋下肌肤因为持续的摩擦而变得敏感异常，每一次接触都像是一次小小的电击。
1019,axillajob,0,high_1&jj_3,{TargetName}看着{Name}那如同自己小臂般粗大的阴茎在腋下蹭动，不由自主地咽了咽口水，她的腋窝显然无法完全容纳这样的尺寸，但她还是努力用双臂创造出最舒适的空间。
1020,axillajob,0,sys_0,{TargetName}的腋下被{Name}的动作摩擦得微微发红，细密的汗珠和{Name}的前液混合在一起，形成了一种奇特的润滑，她能感觉到{Name}的每一次抽插都变得更加顺畅和急切。
1021,axillajob,0,sys_0,随着{Name}在她腋下的动作越来越快，{TargetName}感到一种前所未有的亲密感，她的腋窝正在成为{Name}快感的源泉，这种认知让她的心跳不由自主地加速，脸颊也染上了一层薄红。
1022,axillajob,0,sys_0,{TargetName}尝试着轻轻摇晃自己的上半身，让腋下的肌肤能够以不同的角度和力度摩擦{Name}的阴茎，当她看到{Name}因此而表情变化时，一种成就感油然而生。
1023,axillajob,0,sys_0,腋交这种奇特的方式让{TargetName}感到既害羞又好奇，她的腋下从未被如此对待过，那种持续被摩擦的感觉既痒又有些刺激，但看到{Name}享受的表情，她还是努力配合着。
1024,axillajob,0,sys_0,{TargetName}注意到{Name}的眼睛紧盯着她的腋窝，她意识到这个平常不被注意的部位此刻正成为欲望的焦点，这种认知让她既感到羞耻又有些兴奋，她轻轻调整姿势，让{Name}的视线和阴茎都能得到最好的满足。
1025,axillajob,0,sys_0,{TargetName}的腋下因为长时间的摩擦已经变得异常敏感，每一次{Name}的阴茎滑过都让她感到一阵奇妙的电流，她不由自主地轻轻颤抖，同时尽力保持姿势不变，让{Name}能够继续他的享受。
1026,axillajob,0,sys_0,随着时间的推移，{TargetName}的腋窝已经完全适应了{Name}阴茎的形状和动作，她能感觉到自己的身体正在学习如何给予最大的快感，这种发现让她对自己的身体有了新的认识。
1027,axillajob,0,sys_0,{TargetName}小心翼翼地收紧自己的手臂，让腋下形成一个更加紧致的空间，当{Name}的阴茎在里面滑动时，她能清晰地感受到那份热度和硬度，以及{Name}每一次呼吸的变化。
1028,axillajob,0,sys_0,{TargetName}的腋窝已经被{Name}的前液完全濡湿，湿滑的触感让每一次摩擦都伴随着细微的水声，这种声音让{TargetName}的脸颊烧得通红，但她还是坚持着自己的服务。
1029,axillajob,0,sys_0,当{Name}的阴茎在{TargetName}腋下律动时，{TargetName}能感受到一种奇特的联系，仿佛她的身体正在成为{Name}快乐的延伸，这种感觉既陌生又亲密，让她不由得想要给予更多。
1030,axillajob,0,high_1&jj_0,{TargetName}用指尖轻轻托起{Name}那小小的阴茎，引导它进入自己柔软的腋窝，虽然尺寸有限，但她能感受到那份急切和渴望，这让她的心里泛起一阵温柔的波澜。
1031,axillajob,0,high_1&jj_0,面对{Name}那小巧的阴茎，{TargetName}不得不小心翼翼地控制自己腋下的压力，她害怕太大的力量会让这个敏感的小东西感到不适，所以她只是轻轻地，像对待珍宝一样地用腋窝包裹着它。
1032,axillajob,0,high_1&jj_0,{TargetName}注意到{Name}的阴茎在她腋下的动作变得越来越急促，尽管尺寸有限，但那份热情却丝毫不减，她轻轻地调整着姿势，让每一次接触都能带给{Name}最大的愉悦。
1033,axillajob,0,high_1&jj_0,小小的阴茎在{TargetName}腋下滑动，那微弱但急切的搏动让她心生怜爱，她轻轻地收紧手臂，创造出一个更加贴合的空间，同时用温柔的眼神鼓励着{Name}继续他的动作。
1034,axillajob,0,high_1&jj_0,{TargetName}能感觉到{Name}的阴茎虽小，但每一次动作都充满了渴望和热情，她尽可能地用腋下的柔软和温暖来回应这份热情，希望能让{Name}忘记尺寸的局限，沉浸在快感之中。
1035,axillajob,0,high_1&jj_3,{Name}那惊人尺寸的阴茎靠近{TargetName}的腋窝时，她不由得倒吸一口凉气，那庞然大物的气势让她既紧张又好奇，她小心地抬起手臂，让腋下尽可能地接触到这个巨物，同时无法控制地想象它进入自己身体的场景。
1036,axillajob,0,high_1&jj_3,巨大的阴茎只能在{TargetName}腋下的表面滑动，但即使是这种有限的接触也让她感受到了前所未有的压迫感，{Name}每一次的动作都带来一阵强烈的热浪，让她不由自主地轻轻颤抖。
1037,axillajob,0,high_1&jj_3,面对{Name}那如同自己小臂般粗大的阴茎，{TargetName}努力张开自己的腋窝，却发现自己的身体根本无法完全容纳这样的尺寸，她只能用最大的努力创造出一个浅浅的沟壑，让{Name}的龟头在里面滑动。
1038,axillajob,0,high_1&jj_3,当{Name}粗大的阴茎贴近{TargetName}的腋窝时，那惊人的热度和分量让她感到一种奇特的压迫感，她的呼吸不由得变得急促，眼神也无法从那个庞然大物上移开。
1039,axillajob,0,high_1&jj_3,{TargetName}的腋窝显然无法完全容纳{Name}那惊人的尺寸，但她还是尽力调整姿势，让腋下的肌肤能够最大程度地接触到{Name}的阴茎，同时心中不由自主地涌起一种既害怕又期待的复杂情绪。
