cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,{Name}把一张食材表贴在黑板上，密密麻麻全是名字。\n“背下来。”{Name}说，“哪些放一起会坏，哪些放一起会香，这是这门课的地基。”\n整节课都在讲搭配禁忌，讲到后面台下有人开始流口水，也有人开始反胃。
1001,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,“火候是什么？”{Name}问，“不是时间，是温度乘时间。”\n黑板上很快画出了几条曲线，每一条对应一种做法。\n“记住这几条线，比记一百个菜谱有用。”
1002,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,今天讲的是食品安全，{Name}讲得格外严肃。\n“做难吃了顶多被人笑，做坏了是要出人命的。这一节我要点名。”\n讲完之后{Name}真的挨个提问了一遍，答不上来的当场重讲。
1003,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|0_G_0,{Name}讲到不同种族的饮食禁忌，翻开的讲义厚得吓人。\n“罗德岛上有多少种族，厨房里就要记多少条规矩。做错了不是难吃的问题，是冒犯。”\n下课前{Name}把最要紧的十几条抄在黑板上，让大家务必记牢。
1004,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,实践教室里飘着油香，{Name}把切好的食材推到每个人面前。\n“今天只做一道最简单的，做二十遍。”\n有人不解，{Name}解释道：“能把最简单的一道做成二十次都一样，你才算入门。”
1005,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,{Name}今天教切配，反复强调刀口的角度。\n“切得整齐不是为了好看，是为了熟得一样快。厚薄不匀，一锅里就有生的有糊的。”\n{Name}把每个人切出来的东西并排摆开，一眼就能看出谁的手最稳。
1006,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,今天的实践课上出了一次小事故——有人被油溅到了手。\n{Name}第一时间把火关掉，处理完伤口才回过头来。\n“刚才那一下，是因为食材下锅前没擦干。”{Name}把湿的和干的分别下了一次锅给大家看，“记住这个声音的区别。”
1007,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|1_G_0,{Name}让每个人做一道自己想做的菜，不限题目。\n做完之后{Name}一一尝过，没有说哪个好哪个不好，只是问每个人“你想让吃的人有什么感觉”。\n有人答不上来，{Name}说：“答不上来，就说明你只是在完成一道菜。”
1008,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|2_G_0,大礼堂里飘出了食物的香气——{Name}把一口小锅搬上了讲台。\n“这堂课我边做边讲，”{Name}说，“你们闻得到的时候，我就讲到那一步了。”\n一个小时后礼堂里所有人都饿了，包括本来只想来听听的干员。
1009,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|2_G_0,公开课上{Name}讲的是“为什么有人做饭好吃”。\n“不是天赋，”{Name}说，“是他尝的次数比你多。做的时候尝，做完了尝，第二天冷了再尝。”\n台下有干员笑着点头，显然是深有同感。
1010,teach,0,CVP_A1_Course|43_G_0&CVP_A1_CourseType|2_G_0,{Name}在礼堂里讲了一道罗德岛食堂的家常菜，从原料一直讲到摆盘。\n讲到最后{Name}说：“这道菜没有什么技巧，但它每天要做三百份。能做三百份还不出错，这就是技巧。”\n散场时不少人往食堂的方向走去了。
