cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,


1000,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}深深地插入{TargetName}的{mouth}内，快速抽动着。
1001,action_part_penis_in_body_2_A,0,high_1,{Name}按住{TargetName}的头部，缓慢而有力地将{penis}送入{TargetName}的{mouth}中。
1002,action_part_penis_in_body_2_A,0,high_1,{TargetName}的{mouth}被{Name}的{penis}塞得满满当当。
1003,action_part_penis_in_body_2_A,0,high_1,{Name}抓住{TargetName}的头发，将{penis}在{TargetName}的{mouth}中快速抽动。
1004,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}在{TargetName}的{mouth}里不断进出。
1005,action_part_penis_in_body_2_A,0,high_1,{Name}托着{TargetName}的下巴，让{penis}更深入地侵入{TargetName}的{mouth}。
1006,action_part_penis_in_body_2_A,0,high_1,{Name}双手扶住{TargetName}的头，节奏性地将{penis}送进{TargetName}的{mouth}深处。
1007,action_part_penis_in_body_2_A,0,high_1,{TargetName}的{mouth}因{Name}的{penis}而鼓起，显示出其形状。
1008,action_part_penis_in_body_2_A,0,high_1,{Name}轻轻摆动腰部，让{penis}在{TargetName}的{mouth}中缓慢地研磨着。
1009,action_part_penis_in_body_2_A,0,high_1,{Name}紧握{TargetName}的肩膀，将{penis}深深地埋入{TargetName}的{mouth}中。
1010,action_part_penis_in_body_2_A,0,high_1,{TargetName}的{mouth}包裹着{Name}的{penis}，随着抽动发出湿润的声音。
1011,action_part_penis_in_body_2_A,0,high_1,{Name}挺动腰部，让{penis}在{TargetName}的{mouth}中进进出出。
1012,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}几乎完全撤出后又猛地插入{TargetName}的{mouth}深处。
1013,action_part_penis_in_body_2_A,0,high_1,{Name}的{penis}撑开了{TargetName}的{mouth}，以稳定的节奏抽插着。
1014,action_part_penis_in_body_2_A,0,high_1,{Name}将{penis}深深地顶入{TargetName}的{mouth}，然后缓缓抽出大部分再重新插入。
1015,action_part_penis_in_body_2_A,0,high_1,{Name}轻按{TargetName}的后脑勺，控制着{penis}在{mouth}中的进出速度。

1020,action_part_penis_in_body_2_B,0,jj_0&CVP_A1_A|76_LE_3,{Name}笨拙地挺动着腰肢，{penis_s}在{TargetName}的{mouth_s}中浅浅抽送，虽然动作技巧生疏，但是{TargetName}也只能眉头微皱，口中被迫含住{penis_s}。
1021,action_part_penis_in_body_2_B,0,jj_0&CVP_A1_A|76_G_3&CVP_A1_A|76_LE_6,{Name}抚摸着{TargetName}的脸颊，腰部动作流畅地将{penis_s}送入{mouth_s}深处，小巧的尺寸使{TargetName}能够轻松吞吐，舌尖不时刺激着敏感的龟头。
1022,action_part_penis_in_body_2_B,0,jj_0&CVP_A1_A|76_G_6,{Name}以娴熟的技巧控制着抽送深度和频率，{penis_s}在{TargetName}的{mouth_s}内快进慢出，短小的尺寸在高超技巧下被充分利用，{TargetName}的喉咙深处传来阵阵愉悦的呜咽声。
1023,action_part_penis_in_body_2_B,0,jj_1&CVP_A1_A|76_LE_3,{Name}腰部动作生涩地将{penis_s}在{TargetName}的{mouth_s}中抽送，技巧不足但中等的尺寸让{TargetName}的{mouth_s}被撑满，{TargetName}只能被迫张大嘴巴以适应。
1024,action_part_penis_in_body_2_B,0,jj_1&CVP_A1_A|76_G_3&CVP_A1_A|76_LE_6,{Name}双手轻扶{TargetName}的头部，腰部有规律地挺动，让{penis_s}在{mouth_s}中进出，龟头时而擦过上颚，时而抵达喉咙入口，引发{TargetName}一阵阵轻微的呕吐反射。
1025,action_part_penis_in_body_2_B,0,jj_1&CVP_A1_A|76_G_6,{Name}手指轻抚{TargetName}的喉结，同时腰部精准地控制着{penis_s}在{mouth_s}中的律动，{penis_s}的每一次深入都恰到好处地停在喉咙入口，使{TargetName}身体轻微颤抖但不引起强烈的呕吐反射。
1026,action_part_penis_in_body_2_B,0,jj_2&CVP_A1_A|76_LE_3,{Name}扶着{TargetName}的头部，笨拙地尝试将{penis_s}塞进对方的{mouth_s}，虽然动作生涩但{TargetName}的嘴唇被撑到极限，眼角因吃力而泛红，喉咙发出难受的呜咽声。
1027,action_part_penis_in_body_2_B,0,jj_2&CVP_A1_A|76_G_3&CVP_A1_A|76_LE_6,{Name}双手扶着{TargetName}的头部，有节奏地将{penis_s}送入{mouth_s}，粗大的尺寸让{TargetName}的{mouth_s}被完全填满，唾液不断从嘴角溢出。
1028,action_part_penis_in_body_2_B,0,jj_2&CVP_A1_A|76_G_6,{Name}以稳定的节奏控制，让{penis_s}在{TargetName}的{mouth_s}中快进慢出，{penis_s}的抽送使{TargetName}的呼吸变得紊乱。
1029,action_part_penis_in_body_2_B,0,jj_3&CVP_A1_A|76_LE_3,{Name}笨拙地尝试将{penis_s}插入{TargetName}的{mouth_s}，但惊人的尺寸让{TargetName}的嘴巴被撑到极限，只能勉强含住龟头部分，眼睛因努力而布满血丝。
