cid,name,info,option
选项id,选项名,选项介绍,各个选项
int,str,str,str
0,1,1,1
监禁调教设置,,,
1,囚犯训练管理,监狱长在空闲时会对空闲的囚犯进行日常训练，训练效果取决于监狱长对应的属性\n\n○部位快感训练：加权选取一个身体部位，获得部位快感和部位经验\n○部位扩张训练：加权选取一个身体部位，获得部位快感和部位扩张经验\n○苦痛快感训练：获得苦痛、N快感、苦痛快乐经验\n○性爱技巧训练：获得习得和部位经验\n○身体锻炼训练：提升体力最大值和气力最大值\n○心理服从训练：获得好意与屈服,不进行训练|部位快感训练|部位扩张训练|苦痛快感训练|性爱技巧训练|身体锻炼训练|心理服从训练
2,囚犯服装管理,服装方面的管理,保持全裸|提供囚犯服装|提供正常服装
3,囚犯内衣管理,内衣方面的管理,不提供内衣与袜子|提供情趣内衣与袜子|提供正常内衣与袜子
4,囚犯生活条件,生活条件越好，体力和气力的回复就越快，但也会为囚犯的逃跑提供更高的可能性,艰苦生活条件|标准生活条件|舒适生活条件
11,调教前准备,在进行调教H前，需要对被调教进行哪些准备工作,污浊清洗|部位润滑|持续性道具
12,调教助手(未实装),开启后会作为调教助手辅助H\n当博士对调教助手以外的干员进行了指令时，调教助手会从可选指令中随机选择一项，也对该干员执行,否|一同欺负博士选择的部位|欺负博士没有选择的部位|从指定指令列表中选择
