cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,A_penis_in_body_2,0,high_1,{Name}的{penis}深深地插入{TargetName}的{mouth}内，快速抽动着。
1001,A_penis_in_body_2,0,high_1,{Name}按住{TargetName}的头部，缓慢而有力地将{penis}送入{TargetName}的{mouth}中。
1002,A_penis_in_body_2,0,high_1,{TargetName}的{mouth}被{Name}的{penis}塞得满满当当。
1003,A_penis_in_body_2,0,high_1,{Name}抓住{TargetName}的头发，将{penis}在{TargetName}的{mouth}中快速抽动。
1004,A_penis_in_body_2,0,high_1,{Name}的{penis}在{TargetName}的{mouth}里不断进出。
1005,A_penis_in_body_2,0,high_1,{Name}托着{TargetName}的下巴，让{penis}更深入地侵入{TargetName}的{mouth}。
1006,A_penis_in_body_2,0,high_1,{Name}双手扶住{TargetName}的头，节奏性地将{penis}送进{TargetName}的{mouth}深处。
1007,A_penis_in_body_2,0,high_1,{TargetName}的{mouth}因{Name}的{penis}而鼓起，显示出其形状。
1008,A_penis_in_body_2,0,high_1,{Name}轻轻摆动腰部，让{penis}在{TargetName}的{mouth}中缓慢地研磨着。
1009,A_penis_in_body_2,0,high_1,{Name}紧握{TargetName}的肩膀，将{penis}深深地埋入{TargetName}的{mouth}中。
1010,A_penis_in_body_2,0,high_1,{TargetName}的{mouth}包裹着{Name}的{penis}，随着抽动发出湿润的声音。
1011,A_penis_in_body_2,0,high_1,{Name}挺动腰部，让{penis}在{TargetName}的{mouth}中进进出出。
1012,A_penis_in_body_2,0,high_1,{Name}的{penis}几乎完全撤出后又猛地插入{TargetName}的{mouth}深处。
1013,A_penis_in_body_2,0,high_1,{Name}的{penis}撑开了{TargetName}的{mouth}，以稳定的节奏抽插着。
1014,A_penis_in_body_2,0,high_1,{Name}将{penis}深深地顶入{TargetName}的{mouth}，然后缓缓抽出大部分再重新插入。
1015,A_penis_in_body_2,0,high_1,{Name}轻按{TargetName}的后脑勺，控制着{penis}在{mouth}中的进出速度。
