cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,

1,chat,405,sys_0,“唔！干、干什么！啊，是{PlayerNickName}啊，有什么事吗？”\n{TargetName}似乎被吓了一跳，但很快冷静下来。\n“有关于下个月咖啡配给的说明？唔......”\n似乎用这样的话题成功的消除了{TargetName}的紧张感。
2,chat,405,sys_0,“是{PlayerNickName}啊，口渴吗，来一起喝一点吧。””\n{TargetName}递过来一只装着棕色略澄清液体的杯子。\n你接过来闻了闻，还好不是乌萨斯人最常见的那种“饮料”。\n“有什么事吗{PlayerNickName}？”\n真是不错的咖啡啊，你一边想着一边和{TargetName}聊了几句。
3,chat,405,sys_0,“怎么了，{PlayerNickName}，要不要来点什么醒醒神？”\n{TargetName}的声音和咖啡的香气一同传来，你一边啜饮着咖啡一边和{TargetName}商讨起一些事务。
6,chat,405,sys_4,“{PlayerNickName}！”\n{Name}叫住了你。\n“阿米娅说有些文件需要你过目，稍后送到办公室还是...什么，现在就要看吗，好、好吧。”\n{Name}把文件递给了你，然后站在旁边等着你翻阅这些文件，时不时回答一些你提出的问题。
7,chat,405,sys_4,“{PlayerNickName}，有看到咖啡机旁边那罐咖啡豆吗，黄色盖子的......没有吗，唔......”\n{Name}看起来有点失落。\n你赶紧带着{Name}一起寻找，终于在抽屉里找到了那罐咖啡豆，{Name}看起来很高兴，和你探讨了一会儿泡咖啡的心得。
8,chat,405,sys_4,“{PlayerNickName}，有关这个事件的细节，我想占用你一点时间。”\n小小的熊耳少女叫住了你，她的身上散发出一种类似警员的干练气质。\n“感觉不错，{Name}看起来越来越适应罗德岛上的角色了。”你如此想着，停下了脚步。
11,chat,405,sys_1&sys_5,“{Name}，医疗部说摄入太多咖啡因对身体没什么好处，更不应该拿这个替代睡眠，所以......”\n似乎无意间听到了干员之间的对话。\n“唔......可是.....{TargetName}，这也是没办法的事情啊，而且我确实已经习惯这种感觉了.......”\n似乎是{Name}和{TargetName}在讨论咖啡摄入量的问题。还是先离开吧。
424,confession,405,sys_0,我忘记了自己是如何打开门的。\n我只能感到心脏的鼓点激荡着冲击胸腔，灵魂仿佛飞出了躯壳，过量的心理活动把灵魂挤了出去。\n{TargetName}背对着我站着，虽然发生了这样那样的事情，但她一定想不到接下来会发生什么事。\n“虽然很突然，但有些事情必须告诉你。”\n我不由得低下了头，像是做错了事的孩子一样机械地走到了少女的面前。\n“苦艾，”我听到我如此说道，嘴唇颤抖着，强忍着喉间的干渴和酸涩将言语尽数挤出：“我喜欢你。”\n她现在是什么表情？\n她应当是什么表情？惊讶？错愕？失望？\n我踌躇着看向对方的眼睛。\n出人意料的，棕发的熊耳少女只是平静地看着我，酒红色的眼睛看不出任何感情，没有任何惊惶和意外的表情，仿佛知道我接下来要做什么。\n一瞬之间，我产生了夺门而出的冲动。\n再度低下视线，我发现她微微藏在身后的攥紧的手颤抖着。\n抬起视线，她依然一言不发，只是用平静的眼神鼓励着我。\n时间过去了多久？\n五秒？\n或者是十秒？\n我感觉仿佛过了一个世纪一般。\n心脏、灵魂，我的全身奔流着对眼前这位女性的眷恋和爱意，而现在我必须将其笨拙地组合成语言向对方诉说。\n“不，不对。”\n我意识到了自己的谬误。\n“卓娅，我...我爱你，我......”\n \n \n下一秒。\n有什么堵住了我的嘴，把剩下的话堵在了嘴里。\n完全没能理解发生了什么事情。\n只有唇齿间和胸前柔软的触感让我意识到，我和卓娅已经紧紧拥吻在一起。\n这一吻不同于平时确认心意一般的试探。\n也不同于情深意浓之时互相的挑拨嬉弄一般的轻佻。\n这是想要把自身融入彼此的深深一吻。\n只是一瞬之间，大脑就变得一片空白，耳边回响着自己和对方野兽一般狂乱的气息，理性的桎梏瞬间消弭于无形。\n身世，立场，种族，年龄。\n束缚着这片大地的一切普世价值在此刻烟消云散。\n我只是努力地嵌入对方，带着和对方合为一体的心愿，彼此的舌头纠缠着交换誓约。\n此时此刻，我们只想用全身去感受对方，抛却无用的视觉，用肉体和灵魂的所有感官去传达自己的心意。\n \n“呼哈、呼哈......”\n回过神的时候。\n瘫坐在地板上大口喘着气的卓娅用手支撑着身体尽情展示着她的美妙弧线，眼中充满笑意。\n我的视线恰好对上她的双眸，彼此的滑稽模样尽收眼底。\n“噗。”\n卓娅被憋得通红的脸上突然出现了一抹笑意，她似乎试着把笑意咽回去，但显然失败了。\n我听到自己也发出了笑声，纯粹的快乐在喉管里涌动着酝酿着，接着很快化为压抑不住的笑声流了出来。我们就这样坐在地板上大笑着，本就因超规模的拥吻而导致的缺氧变本加厉，几乎让我窒息。\n但我们仍然停不下来。\n \n不知过了多久，我们终于冷静了下来。\n“亲爱的。”\n卓娅轻轻呼唤着，倚着我抬起头。\n“我早就想这样称呼你了，博士。”\n刚回归了一些的理性又被放逐出大脑，但这次热情的激流不再支配躯体，我就这样轻拥着苦艾吻了下去。\n只是双唇的轻轻碰触，替代言语表达着我的心情。\n我的担心完全是多余的。\n与其说是我不能得出结论，不如说是我无法信任自己感受到的东西。\n我们之间早已无分彼此，一封封的信件，一次次的接触，我的心意早已暴露无遗，我和{TargetName}早已心意相通，我所感知和确信的东西并非我的臆想和幻觉，我早该想到的。\n睁开眼，卓娅也恰好睁开眼和我四目相对，温柔地看着我。\n我们再无隔阂，或许唯有死亡能令我们分离。\n我默默许下了誓言，再次将这个乌萨斯女孩抱入怀中。
1030,happy_mark_1,405,high_1,连{TargetName}自己都没有注意到的娇吟从唇间流出，光线洒在微微眯起的双眼，名为卓娅的少女于此刻初尝来自异性的快乐。
1031,happy_mark_2,405,high_1,{TargetName}的吐息变得灼热起来，她不再抗拒这种从内心深处流出的快感，任由它们从微张的齿间向外肆意流淌。
1032,happy_mark_3,405,high_1,女孩已经完全感受并理解了女人的快乐，这份快乐意味着索取，意味着她希望获得更多。
1033,yield_mark_1,405,high_1,“父亲...父亲...”少女喃喃自语，她所坚持的、深信不疑的一些东西随着头颅的低垂而陨落。
1047,hate_mark_3,405,high_1,一瞬之间，气氛像是突然冻结了一样，有一种恍若隔世的虚无感。\n你看向熊耳的女孩，此刻酒红色的双眸之中，任何痛苦、挣扎、迷惑和疑虑都在此刻消失殆尽，取而代之的是如同凝结血液一般，深不见底的愤怒。\n“啊，原来是这样，我终于找到了答案，关于那场悲剧的答案。”她面无表情地看着你，语气平静而声音颤抖。\n一切都变了。\n现在你所面对的，不是你所理解的干员苦艾，而是卓娅，是米莎，是那许多试图置你于死地的乌萨斯人中的一个。\n你亲手击碎了苦艾摇摇欲坠的信念，践踏着她的信任对她做着无可挽回的事情。\n你张口结舌讷讷不能言，而女孩却微笑了一下，毫无笑意的双眼死死盯住了你。“我会执行我的正义的，博士。”
1050,first_kiss,405,high_1,“唔！唔......”张皇失措的双唇和紧闭的牙关僵硬地拒绝着来访者，{TargetName}的脸上写满了紧张和惊慌，看来她真的是第一次和异性进行这样的事情。\n稍稍换了个角度，这次不尝试用舌头撬开对方的防备，而是用轻轻摩擦嘴唇内侧和牙龈，{TargetName}有些困惑地张开双眼，四目相对。\n是时候用眼神告诉她该怎么做了，你一面继续着你的入侵行为，一面抱紧了小小的熊耳少女。\n几次摩擦与碰触之后，{TargetName}的牙关终于不再紧紧闭着，能感到双颊的咬合肌放松了下来。灵活的舌头代替了手指，肆意挑逗玩弄着少女柔软的舌头，{TargetName}的气息愈发灼热起来，眼神也变得迷离，她的身体终于先于大脑理解了此刻的想法，舌头也不再是被动的不知所措，开始迎合你的舌头。\n好好享受了一阵之后，你放开了似乎已经快要冒出热气的小熊，微笑着玩弄一般舔弄了一下舌头。\n“{PlayerNickName}......”熊耳的少女向你投来湿润的目光，“这是我的...初吻...”\n“要负责哦......”{TargetName}闭上了双眼，似乎准备好接受你的下一轮入侵了。
1051,first_sex,405,high_1,“嗯....！”有些苦闷的呻吟声从熊耳少女的齿缝间迸出，紧致的肉壁紧紧缠绕住了男根，几乎要把后者挤碎。\n“{TargetName}，放松一点......”这就是乌萨斯人吗，如此想着，你试图劝{TargetName}停止压榨你的分身，但仔细一看，已经有丝丝鲜血从接合处渗了出来。这显然不是你的血，那就只有一种可能，你已经把眼前这个女孩变成了女人。\n一想到这里，一团火一般的冲动自下而上占据了你的全部思维，借着成年男性的体重，你压制住了女孩的挣扎，一边亲吻安抚着女孩一边继续攻入。{TargetName}的腰部随着你的攻入不由得挺了起来，可能是习惯了苦痛，你能感受女孩在努力克制保护自己的本能，围绕着男根的压迫感虽然没有消失，却不再增加了。\n{TargetName}抬起眼泪汪汪的双眼看着你，看着这个正在伤害她的男人。\n必须做点什么。\n你停止压制{TargetName}的四肢，转而将其紧紧抱住，感受着胸前双峰带来的压迫感，你放缓了进攻的步调。\n女孩齿间痛苦的呻吟开始混杂进一些快感，随着你动作的放缓和痛苦的消退，初尝滋味的少女开始体会这种陌生的快感，身体也开始配合你的动作扭动起来。\n“我会负责的，{TargetName}。”你在女孩的耳边低声许诺，却只得到了无声的回复，无助而陌生的泪光。
1052,first_a_sex,405,high_1,“......咦？”\n熊耳的少女脸上写满了不理解，从意料不到的地方传来陌生的冲击感任谁都会发好一会儿楞吧。\n仿佛几小时那么长的三四秒之后，少女终于回过神来\n“等等{PlayerNickName}，那里、那里是.......”\n然而你并没有理会{TargetName}的疑惑，之前停止攻势也只是在调整姿势，准备好了之后，坚硬的前端便如大军行进一般缓慢而坚定的开往了少女的未知领域。\n“{PlayerNickName}！快停下！不要、不要啊！这种事情......太荒谬了！无论如何也、也不能......”\n少女的挣扎和呼喊回响在你耳边，而这禁断门户的初次访问的记录永远留在了你这里。

