cid,Talent_type,name,heredity,info
素质id,"类型(0:性素质,1:身体素质,2:精神素质,3:技术素质,4:其他素质)",名字,是否可遗传,备注说明
int,int,str,int,str
0,0,1,0,1
素质对应类型和文字描述,,,,

0,0,阴道处女,0,处女膜还在，未进行过阴道性交
1,0,肛门处女,0,没有被插入过的肛门
2,0,尿道处女,0,没有被插入过的尿道
3,0,子宫处女,0,没有被插入过的子宫
4,0,无接吻经验,0,还没有接吻过
5,0,童贞,0,还没有进行过任何形式的性行为
6,0,未初潮,0,还没有迎来初潮，因此就算被射入精液无法受精或怀孕
7,0,未成年,0,还没有成年

11,0,亲吻合意,0,同意亲吻
12,0,本番合意,0,同意避孕套下的本番行为
13,0,避孕中出合意,0,同意在安全期或已经服用避孕药的情况下内射
14,0,妊娠合意,0,同意在任何时候内射
15,0,肛门性交合意,0,同意肛交性行为
16,0,尿道性交合意,0,同意尿道交性行为

20,0,受精,0,体内的卵子已经被博士的精子受精，但肚子还没有隆起
21,0,妊娠,0,体内孕育着博士的孩子，可以看到肚子的隆起
22,0,临盆,0,已经临近分娩，正在医疗区待产中
23,0,产后,0,刚刚生完孩子，正在医疗区休养中
24,0,育儿,0,正在照顾自己刚刚出生的孩子
26,0,孕肚,0,处于怀孕中后期，腹部隆起
27,0,泌乳,0,乳房正在分泌乳汁

31,0,精爱味觉,0,经常性地在绝顶的同时被口内射精而获得的素质，尝到精液的味道就会条件反射性地绝顶
32,0,精液膨腹,0,在子宫内被射入了极其大量的精液，导致腹部宛如孕妇一般高高地隆起
33,0,浓厚精液,0,积攒了多天的精液导致精子浓度变高了，此时进行内射会大幅度提高对方的受精率
34,0,漏尿,0,经常性地在绝顶的同时被迫尿出来而获得的素质，感受到性快感就会条件反射性地漏尿
35,0,无意识妊娠,0,从未在有意识下被中出过，仅在无意识H下被中出到怀孕，因此不知道孩子是怎么来的

40,0,淫乱,0,淫乱系素质的基础
41,0,淫体,0,N
42,0,淫乳,0,B
43,0,淫核,0,C
44,0,淫茎,0,P
45,0,淫膣,0,V
46,0,淫肛,0,A
47,0,淫胱,0,U
48,0,淫宫,0,W
49,0,真·淫魔,0,淫乱系最终素质

51,0,精液中毒,0,
52,0,自慰中毒,0,
53,0,膣射中毒,0,
54,0,肛射中毒,0,
55,0,饮精中毒,0,

