cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,365,high_999,“打扰了~”\n一道白色的身影推门而入 踩着轻快的脚步走到了你的办公室中央\n“没想到罗德岛的设施和待遇竟然这么好啊......\n啊，抱歉，{PlayerName}博士，我只是有点吃惊。干员代号的话，就叫四月吧，来源是我最喜欢的一首的歌哦”\n卡特斯少女的长耳朵轻微的晃动着\n看向你的眼睛充满着活泼与好奇心\n带着一丝丝一闪而过的不安
2,chat,365,high_10&CVP_A2_T|201_E_0&sys_0,“我的代号吗？嘿嘿，《四月》啊，是一首关于春天的歌哦\n博士你想一想嘛 \n在春天那种温暖的天气里面\n可以不用穿着这么厚重的的衣服\n轻轻松松的躺在柔软的草地上\n就那么呆呆地看着天空\n想到什么就顺着下去\n而且什么都不用考虑\n是这种悠哉游哉的感觉哦\n很不错对吧~\n博士要听听看吗？你一定会喜欢的~”
3,chat,365,high_10&CVP_A2_T|201_E_0&sys_0&t_is_assistant,“我喜欢什么吗？那肯定是听音乐啦。\n在闲暇的时候听自己喜欢的音乐啊\n自己的时间做自己喜欢的事情最棒了”\n少女的双手撑着下巴 就这么眯上了眼睛\n嘴角带着浅浅的笑\n似乎想起了什么
4,chat,365,high_10&CVP_A2_T|201_E_0,“博士的办公室不考虑放一点小摆件什么的吗？\n啊好像也是，毕竟每天要处理的工作那么多啦...\n是我考虑不周啦”\n回想起了博士日常工作时的文书堆放的姿态\n四月有些尴尬的挠了挠后脑
5,chat,365,high_10&CVP_A2_T|201_E_0,“罗德岛的生活环境吗？\n和以前的日子完全不是一个级别呢\n每天能洗热水澡可真是太棒了\n因为得了矿石病的原因\n很少有能洗真正的热水澡的机会呢\n换了住处之后的条件根本不允许呢\n最重要的当然是食堂的食物很干净啦”
6,chat,365,high_10&CVP_A2_T|201_E_0,“在雷姆必拓，虽然公司是说对感染者有一笔补助金来着\n但是这笔钱拿到手之后也没多少\n而且工作机会也少了好多...\n看见罗德岛的广告来试试果然是正确的选择呢\n在这里能真的感觉到自己还是被当作人看的”\n谈到来罗德岛之前的日子\n少女明显的失落了一会\n但伴随着元气的声音\n话题不着痕迹的被引向了其他地方
7,chat,365,CVP_A2_T|201_E_1&high_10&CVP_A2_T|202_E_0&love_ge_1,“啊博士\n要听听我最近找到的歌吗\n你肯定也会喜欢的”
8,chat,365,CVP_A2_T|201_E_1&high_10&CVP_A2_T|202_E_0&love_ge_1,“觉得我的衣服配色很好看？\n嘿嘿，是我特意找的哦\n黑白色简直是设计的万能配色呢\n不管搭什么其他的颜色都很合适呢~”
9,chat,365,high_10,“啊博士刚刚在叫我吗？\n抱歉啊 刚才音乐正放到高潮阶段呢\n啊咧？这一首是什么时候出现在我的歌单？\n好像是不认识的作者...\n但是歌我很喜欢呢\n博士也想听吗？可是作者我好像有些看不懂全名...\n博士应该知道怎么拼吧，那给你看看咯~”\n\n小小的显示屏上滚动着这首歌的名字：\n現實逃避（feat.重音テト）
10,chat,365,CVP_A2_T|201_E_1&high_10&CVP_A2_T|202_E_0&love_ge_1,“还在雷姆必拓的时候，我原本的职业是猎人，主要是负责驱赶野兽和给公司的队伍档护卫。\n但是自从感染矿石病之后就失业咯，那段时间一直靠打猎为生呢\n明明前几天还只是驱赶它们不让它们捣乱就可以了\n结果之后就变成我要去找它们的麻烦了呢”
11,chat,365,CVP_A2_T|201_E_1&high_10&CVP_A2_T|202_E_0&love_ge_1,“我的父母啊\n他们在我很小的时候就因为矿难去世了\n我是靠着公司的补助长大的的\n因为这一层原因对公司还是挺感激的\n然后觉得感染矿石病还是因为我自己不小心什么的...\n其实不是那样的，对吧，博士”\n少女拨弄着自己的手指\n眼中闪过一丝无奈
12,chat,365,CVP_A2_T|201_E_1&high_10&CVP_A2_T|202_E_0&love_ge_1,“为了感染者做些什么吗\n以前我完全没想过这种事呢\n毕竟那个时候自己想要活下去已经很困难了\n但是来到罗德岛之后\n我好像有能力顾及他人了\n也许不应该只为自己\n应该为所有遭受同样苦难的人们做些什么”
13,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,“博士~要听一下我最近的歌单吗~”\n少女很自然的靠在了你的身边\n最近在听这一首哦~博士要听听看嘛？\n显示屏上滚动着歌名：XXXX-XXX 
14,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,少女闭着眼哼着不知名的调子\n伸手拍了一下肩膀\n“博士想要一起听吗\n那我分你一个耳朵吧”\n确认了来人是谁后少女向你发出了邀请
15,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,“嗯~哈——”少女伸展着自己因为久坐而变僵硬的躯干\n“博士~如果没事的话要出去一起逛逛吗？”\n少女歪着头看向你 \n眼里带着一丝笑意
16,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,博士有想过以后吗？\n我是说如果有一天治愈矿石病已经不再是难事了呢？\n有没有想过以后要怎么生活呢？” \n这样啊。\n可能会找个国家定居吧，\n到时候也许会邀请谁一块去玩一会，\n看看锋刃和逻各斯他们有没有时间去玩一玩，\n哦还有...\n嗯？\n四月怎么了吗？\n脸突然这么红？\n“啊没事没事...”少女偏过头看向了别处\n（呜哇——为什么我会想到和博士一起...不不不不先别想了）
17,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,感觉像被什么东西盯上了的感觉\n扭头看向四月\n和平时一样的样子\n“嗯？怎么了博士”\n少女笑吟吟的看向你
18,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,盯——\n少女凝视着你\n怎么了吗四月？\n“总觉得博士身上有种奇怪的感觉”\n有吗？\n“嗯——是种会让待在博士身边容易变得放松的感觉”\n那可能有时候也不算什么正面效果吧\n“好像也是呢”\n四月依旧看着你\n似乎想到了什么
19,chat,365,high_5&CVP_A2_T|202_E_1&CVP_A2_T|203_E_0,嘴角有点干燥的样子\n向四月询问了有没有唇膏\n“嗯？要用唇膏吗？”\n四月翻着身上的口袋\n“来 博士先用这个吧”\n是着有着胡萝卜外形的唇膏\n苹果味的\n收回了唇膏的少女后知后觉的脸红了起来\n（欸欸欸等等等等刚刚那是那是——————）
20,chat_failed,365,high_999,“再怎么样也不会有人可以一刻不停的聊下去啦。这种时候就应该稍微放松一下，整理一下头脑。博士要听音乐吗？我有几首很推荐的哦？”
21,confession,365,high_999,“欸？”\n少女手指指向自己\n陷入了短暂的困惑\n你重复了一遍刚才的话\n“欸欸我我我吗？”\n“那那那个我我呜呜”\n将你的话完全理解之后的四月 脸颊顷刻变得通红 组织不出一句完整的话语\n与平日里活泼外向的那一面不同\n此刻在你眼前的少女表现的手足无措\n头顶的耳朵此刻下垂遮住了脸\n似乎想要通过挡住自己的眼睛的方式好让自己冷静下来\n“呜...”\n似乎是冷静下来了 四月盯着你的眼睛 深吸了一口气\n“博士，你真的...对我抱有这种...”\n没错。\n“可是我还是感染者哦？”\n所以呢？\n“博士就不会...\n虽然说来到罗德岛已经这么久了\n我也已经接受了现在的自己\n对矿石病什么的也有了本应该是常识的认知\n但是！\n但是......”\n\n少女的声音早已不如先前的清晰\n双手紧紧抓着身前的裙摆\n双眼蒙上的轻纱已经让你读不清她的眼神\n唯有带着颤抖的独白回荡在你的耳边\n\n“......但是我真的\n我真的很害怕啊......\n我害怕有一天我会因为什么意外又一次被迫失去可以称作家的地方\n我害怕我会再一次的失去现在可以自信称作朋友的人们\n我甚至还在害怕博士会和我在一起的原因染上矿石病\n真的很害怕......\n...我真的\n真的害怕现在只是一场梦啊...”\n\n女孩早已泣不成声\n泪水已经夺眶而出\n双手捂住了自己的嘴 竭力遏制着喉咙中的呜咽\n平日灵动的身姿 此刻毫无防备的蹲在你的面前\n\n你伸出了手\n女孩被你拥入怀中\n\n我知道哦\n四月 \n不会再因为变得和其他人不一样而饱受折磨了哦\n朋友们会和你一起直面这片大地的苦难\n矿石病的治愈方法交给我吧\n我会找到的\n一定\n\n扶着四月的肩膀让她直面了你\n伸手拭去了她眼角残存的泪珠\n\n那么 四月\n...艾尔莉\n你是否愿意就这么留在罗德岛\n留在结识的朋友的身边\n留在...\n我的身边？\n\n仅仅一个破绽\n猎物的利齿咬住了猎人的弱点\n仿佛深入骨髓一般\n紧紧地\n\n“我愿意\n我愿意留在{PlayerName}的身边\n以艾尔莉的名字\n我会作为{PlayerName}的利爪与锐牙\n留在你的身边\n一直”\n\n少女娇小的身影紧紧怀抱着你\n此刻的哭泣并非代表曾经那段悲伤\n蕴含其中的是与有你在身边的交织的回忆\n\n“{PlayerName}，艾尔莉现在，真的很开心呢”
22,confession_failed,365,high_1,“欸？”\n四月明显愣住了\n反应过来的少女慌忙低下了头 \n抓着垂下的耳朵思考应该如何回应你\n\n“...啊那个博士我记得今天还有其他事情要做对吧\n那那那那还是先去处理其他事情吧”\n少女推着你的后背往前走去\n你张了张口\n还是放弃了这次的想法\n
28,love_1,365,high_1,‘感觉博士比想得要更喜欢聊天呢\n下次见面要和他开一些小玩笑什么的吗\n博士应该不会介意的吧’
31,stroke,365,CVP_A2_T|201_E_0&high_10,尝试性拍了拍四月的肩膀\n“嗯？怎么了博士？”\n四月摘下耳机\n不着痕迹地甩开了你的手 转身朝向你
32,stroke,365,CVP_A2_T|201_E_0&high_10,把手伸向了四月的头顶\n“呜哇哇哇！\n博士！不要突然碰耳朵啦！”\n好像很生气的样子\n但是毛茸茸的手感很不错
33,stroke,365,CVP_A2_T|201_E_0&high_10,伸手去牵四月的手\n“怎么啦博士？想问我怎么保养手的吗？”\n少女从你的手中抽回了自己的手\n将自己的手当作范例对你讲解了手部的保养技巧
34,stroke,365,CVP_A2_T|201_E_0&high_10,摸了摸四月的头\n“博士——不要摸我的头啦”\n四月把你的手从她的头顶拍下\n“有什么好摸的嘛“\n少女小声的嘟囔着\n\n有点想要再摸一摸的感觉
35,stroke,365,CVP_A2_T|201_E_0&high_10,突发奇想的想偷袭一下\n把手指伸进了少女毫无防备的后脖颈\n“咕啊啊啊啊啊——”\n少女的惊叫声回荡在这里\n和平时完全不一样的回应呢\n\n被敲头也挺疼的呢
36,stroke,365,high_10&CVP_A2_G_G_0,试着去牵四月的手\n像是被吓到了一样抖了一下\n“呜哇\n博士 下次记得提前说一声嘛”\n少女的脸颊微红\n但是并没有急着抽回手的意思
37,stroke,365,high_10&CVP_A2_G_G_0,拍了拍四月的肩膀\n“怎么啦博士？”\n少女凑到了你的身边\n...似乎距离比平时要近一些
38,stroke,365,high_10&CVP_A2_G_E_1,把手伸向了四月的头顶\n触碰的瞬间两只耳朵立了起来\n反应过来是谁之后又慢慢回到了原先的位置\n“博士能不能不要一声不说就摸我的头啦\n...至少...\n...至少先跟我说一声嘛”
39,stroke,365,high_10&CVP_A2_G_E_1,把手伸向了四月腰间的随身听\n“嗯？想看看我都在听什么歌吗？没问题哦~”\n谈及爱好的少女语速比平时快了不少
40,stroke,365,high_10&CVP_A2_G_E_1,本想伸向随身听的手因为四月的转身碰上了腿\n“欸？”\n本想回头叫你的少女呆住了\n绯红顿时占据了娇小的面庞\n而后是很大声的羞叫声\n\n你顶着头上的包复盘着这次失败的友好互动\n但是手感很不错的样子
