cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,day_hello,107,high_999,早上好，{PlayerName}博士。
1,chat,107,high_1,“无论什么任务都要认真对待，这是我们专业保全的基本原则。”
2,chat,107,high_1,“其实，我很不擅长应付芙兰卡这样的人。当初是怎么和她成为搭档的，我到现在都不清楚......”
3,chat,107,high_1,“进入BSW必须经过严格的选拔。我很矮小，也没有优秀的法术天赋和血统……”\n“所以被大家说是绝对不可能过关的，就连我自己也曾这样认为......”
4,chat,107,CVP_A2_G_GE_1&high_1,“BSW作为安保公司是顶级的，它也很适合我。只是，在罗德岛的时候，我会感觉更加自由一点。”
5,chat,107,CVP_A2_G_GE_2&high_1,“能走到这一步，真是不可思议啊！简直就像真正的龙一样......！啊，咳咳，不、不，只要对作战有利，别的怎样都好啦！”
6,chat,107,CVP_A2_X_G_50&high_1,“{PlayerName}博士，您能这样信任我，真的非常感谢。”
7,chat,107,CVP_A2_X_G_100&high_1,“我比看上去更好相处，熟识我的人都这么说。{PlayerName}博士也这么想吗？”
8,chat,107,CVP_A2_X_G_200&high_1,“芙兰卡又和您说我在黑钢时的事？啊啊啊，真是的......别相信她说的话啊！”
26,chat_failed,107,high_999,“{PlayerName}博士......现在还是工作时间哦。”
27,stroke,107,high_999,“请小心触电，{PlayerName}博士。”
28,rest,107,high_999,“这房间会漏电吗？有没有做好保护措施？”
29,sleep,107,high_999,“希望明天……也能一起活着。”
30,take_shower,107,high_999,“别和我一起洗，触电了可别怪我。”
31,follow,107,high_999,“雷蛇，准备完毕。”
32,end_follow,107,high_999,“等待下一步指示。”
33,apologize,107,high_999,“……可别再有下一次了。”
34,apologize_failed,107,high_999,“……是不是想吃子弹？”
35,listen_complaint,107,high_999,“该死的芙兰卡……这不是第一次了！每次都这样！”
36,listen_complaint,107,high_999,“今天发挥不出全部实力啊……”
37,make_coffee,107,high_999,“偶尔也得休息一下。”
38,make_coffee,107,high_999,“还得麻烦你……抱歉。”
39,make_coffee,107,high_999&sys_0&CVP_A2_G_GE_1,“怎么突然泡杯咖啡给我？”\n“怕我太辛苦？我没事，不用担心我。”
40,make_coffee,107,high_999&sys_0&CVP_A2_G_GE_2,“这是用了哪个咖啡粉来着？”\n“……没什么，问一下而已，方便之后补货。”
41,make_coffee,107,high_999&sys_0&CVP_A2_G_GE_3,忙着的雷蛇微笑着，接过了{PlayerName}的咖啡。\n“谢谢了，老公。”
42,make_coffee,107,high_999&sys_0&CVP_A2_G_E_4,“一辈子为我泡咖啡……这要求算不算过分呢？”
43,make_coffee,107,high_999&sys_0&CVP_A2_G_LE_-1,“我的吗？”\n“……嗯，谢谢。”
44,make_coffee,107,high_999&sys_0&CVP_A2_G_LE_-2,“你没加什么玩意吧……”
45,make_coffee,107,high_999&sys_0&CVP_A2_G_LE_-3,“主人？怎么为我泡咖啡啊，应该是我来啊……”
46,make_coffee,107,high_999&sys_0&CVP_A2_T|21_E_1,“喝咖啡对小宝宝不太健康吧？”
47,ask_make_coffee,107,high_999,“我吗？我试试看……”
48,ask_make_coffee,107,high_999&CVP_A2_G_GE_1,“好了，停一下，喝口咖啡吧。”
49,ask_make_coffee,107,high_999&CVP_A2_G_GE_3,“这是您的咖啡，来，先休息一下。”
50,ask_make_coffee,107,high_999&CVP_A2_G_E_4,由于某种原因，这杯雷蛇泡的咖啡特别好喝。\n“我用了什么？说是对你的爱……你会相信吗？”
56,ask_make_coffee,107,high_999&CVP_A2_G_LE_-1,“来了来了，你的咖啡。”
57,ask_make_coffee,107,high_999&CVP_A2_G_LE_-2,{PlayerName}还没动口，只是挥了挥手，雷蛇就起身去泡咖啡了。\n“……别问为什么了，就直觉而已。”
58,ask_make_coffee,107,high_999&CVP_A2_G_LE_-3,“您的咖啡来了，主人。”
59,ask_make_coffee,107,high_999&t_womb_semen,“要把你刚刚的杰作也加进去吗？”
60,ask_make_coffee,107,high_999&CVP_A2_T|26_E_1,“什么？用肚子运咖啡？不是……你和谁学的，芙兰卡是吧？”
61,ask_make_coffee,107,high_999&CVP_A2_T|27_E_1,{PlayerName}在端过咖啡时就闻到一股奶香。\n望着雷蛇那有点漏奶的痕迹，{PlayerName}一下就明白了。\n“看什么？我绝对没加什么东西……”
62,make_food,107,high_999&sys_1,“希望味道还可以……”
63,make_food,107,high_999&sys_1,“有合你的胃口吧？”
64,make_food,107,high_999&sys_1&CVP_A1_G_GE_2,“还要的话，我下次会做多一点……”\n“你喜欢就好。”
65,make_food,107,high_999&sys_1&CVP_A1_A|43_G_2,“怎么样……味道不错吧？”
71,make_food,107,high_999&sys_1&CVP_A1_G_GE_2&CVP_A1_A|43_G_2,“这可是我学了很久的新菜肴呢~”
72,make_food,107,high_999&sys_1&CVP_A1_G_E_4,{PlayerName}看着雷蛇亲手煮的料理的数量，吓得瞪大了眼睛。\n“这些都是给你的，别浪费啊，老公~”
73,make_food,107,high_999&sys_1&CVP_A1_A|43_G_4,“这是向厨房里的干员学的……味道如何？”
74,make_food,107,high_999&sys_1&CVP_A1_G_E_4&CVP_A1_A|43_G_4,“味道越来越好了？谢谢……”\n“我们之后的三餐都靠我了吗？额，也不是不行……”
75,make_food,107,high_999&sys_1&CVP_A1_T|26_E_1,{PlayerName}看着雷蛇烹饪时辛苦的背影，突然不知不觉走到了她身旁提供帮助。
76,make_food,107,high_999&sys_1&sys_5&CVP_A1_T|26_E_1&CVP_A1_G_E_4,“为了丈夫和孩子……不辛苦。”
77,eat,107,high_999,“补充营养也是工作的一部分。”
78,eat,107,high_999&sys_0,“好了，该吃点东西了，这样才能保持专注。”
79,eat,107,high_999&sys_0&CVP_A2_G_GE_2,“记得吃饭，不然之后只能让我照顾你了-”\n“嗯？我说了什么吗？”
80,eat,107,high_999&sys_1&CVP_A1_G_GE_2,“来，张开嘴~”
81,eat,107,high_999&sys_0&CVP_A2_G_E_4,“来了来了~今天会是什么饭菜呢？”
82,eat,107,high_999&sys_1&CVP_A1_G_E_4,“老公，开饭了~”\n“我感觉很奇怪？你不喜欢吗？”
83,eat,107,high_999&sys_0&CVP_A2_G_LE_-1,“怎么还要给我饭吃……”
84,eat,107,high_999&sys_1&CVP_A2_G_LE_-2,“我自己会拿。”
85,eat,107,high_999&sys_0&CVP_A2_T|21_E_1&CVP_A2_G_GE_2,“孩子都快饿扁了，快开饭吧。”
86,eat,107,high_999&sys_1&CVP_A1_T|21_E_1&CVP_A1_G_GE_3,“你回来啦。”\n“饭都准备好了，我和孩子在等着你呢。”
87,refuse_eat,107,high_999,“抱歉，我现在没胃口……”
88,refuse_eat,107,high_999,“这味道……我吃不下，抱歉。”
89,refuse_eat,107,high_999,“你加了什么鬼在里面啊？！”
90,refuse_eat,107,high_999,“恶心死了……”
91,refuse_eat,107,high_999&CVP_A1_A|43_LE_2,“你还是别煮东西好了……”
92,buy_food,107,high_999,“今天吃什么好呢……”
93,buy_food,107,high_999,“你会推荐哪个菜品？”
94,buy_food,107,high_999,“哦，你也在这。你想吃什么？”
95,buy_food,107,high_999,“那些在厨房工作的干员应该蛮累的吧……”
96,buy_food,107,high_999&t_hp_low,“点些会补体力的食物好了……”
97,pee,107,high_999&sys_0,“尿急了？你先去吧，我在这里等你。”
98,pee,107,high_999&sys_1,“什么- 别看！”
99,cloth_off,107,high_999,雷蛇看到{PlayerName}在她脱衣时闯入，自觉的拿起了手枪。\n“你你你几时来的？！快滚开！”
100,cloth_off,107,high_999&CVP_A1_G_GE_2,雷蛇看到{PlayerName}在她脱衣时闯入，脸顿时红了起来。\n“看什么，还不来帮忙……”
101,singing,107,high_999&sys_0&CVP_A1_A|44_LE_2,“唔……快停下！”
102,singing,107,high_999&sys_1&CVP_A2_A|44_LE_2,“……很难听吗？”
103,singing,107,high_999&sys_0&CVP_A1_A|44_G_2,“恩……不错。”
104,singing,107,high_999&sys_1&CVP_A2_A|44_G_2,“还可以吧？”
105,singing,107,high_999&sys_0&CVP_A1_A|44_G_4,“还可以。继续努力。”
106,singing,107,high_999&sys_1&CVP_A2_A|44_G_4,“这声调有让你满意吗？”
107,singing,107,high_999&sys_0&CVP_A1_A|44_G_6,“下次还可以唱给我听吧……？”
108,singing,107,high_999&sys_1&CVP_A2_A|44_G_6,“愿我的声音能带给你一丝丝的动力。”
109,singing,107,high_999&sys_0&CVP_A2_G_E_4&CVP_A1_A|44_E_8,“这歌词感觉有点微妙……”\n“为我写的？诶诶？！”
110,singing,107,high_999&sys_1&CVP_A1_G_E_4&CVP_A1_A|44_E_8,“聆听我的心声，这是……我对你的感情！”
111,play_instrument,107,high_999&sys_0&CVP_A1_A|44_LE_2,“快被吵死了……”
112,play_instrument,107,high_999&sys_1&CVP_A1_A|44_LE_2,“用力过猛了…！”
113,play_instrument,107,high_999&sys_0&CVP_A1_A|44_G_2,“看起来挺熟练的……”
114,play_instrument,107,high_999&sys_1&CVP_A1_A|44_G_2,“听起来怎样？没有跑调吧？”
115,play_instrument,107,high_999&sys_0&CVP_A1_A|44_G_4,“下次何不试试在众人面前演奏？”
116,play_instrument,107,high_999&sys_1&CVP_A1_A|44_G_4,“呼……还好没乱轴……”
117,play_instrument,107,high_999&sys_0&CVP_A1_A|44_G_6,“演得可真棒啊……像个音乐家一样。”
118,play_instrument,107,high_999&sys_1&CVP_A1_A|44_G_6,“怎么样？够顺吧？”\n“那当然，我可私下练了很久- 啊，没什么。”
119,play_instrument,107,high_999&sys_0&CVP_A2_G_E_4&CVP_A1_A|44_G_6,“希望和平的乐曲会更快到来。”
120,play_instrument,107,high_999&sys_1&CVP_A1_G_E_4&CVP_A1_A|44_G_6,“这段音弦……只为你所弹！”
121,watch_movie,107,high_999&sys_0,“这是什么电影啊？”
122,watch_movie,107,high_999&sys_1,“你想一起看吗？”
123,watch_movie,107,high_999&sys_0&CVP_A2_G_G_0,“这就是你喜欢看的吗……？”
124,watch_movie,107,high_999&sys_1&CVP_A1_G_G_0,“这剧情你觉得如何？”
125,watch_movie,107,high_999&sys_0&CVP_A2_G_G_1,“下次还想看的话……记得约我一起看。”
126,watch_movie,107,high_999&sys_1&CVP_A1_G_G_1,“买好小吃了吗？”
127,watch_movie,107,high_999&sys_0&CVP_A2_G_G_2,“好想与你成为这电影的主角……”\n“……啊？没，没什么。”
128,watch_movie,107,high_999&sys_1&CVP_A1_G_G_2,“糟糕，不小心睡着了，还在你的肩膀上……”\n“你……不会介意吧？”
131,photography,107,high_999&sys_0,“……能帮我拍一张吗？”
132,photography,107,high_999&sys_1&not_fall,“还是头一次帮别人拍照……”
133,photography,107,high_999&sys_0&CVP_A2_G_G_0,“你在帮谁拍照啊？”
134,photography,107,high_999&sys_1&CVP_A1_G_G_0,“站好，准备……三，二，一…！”
135,photography,107,high_999&sys_0&CVP_A2_G_G_1,“只可惜不能用你的技术拍我们一起的照片……”
136,photography,107,high_999&sys_1&CVP_A1_G_G_1,“笑一个~” 啪嚓！
137,photography,107,high_999&sys_0&CVP_A2_G_G_2,“是要补拍婚纱照吗？没事，开玩笑的~”
138,photography,107,high_999&sys_1&CVP_A1_G_G_2,“你今天穿的真好看，拍的照一定不错。”
141,play_water,107,high_999&sys_0,“什么东西-”
142,play_water,107,high_999&sys_1,“别看，这里没你的位置。”
