cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,first_a_sex,0,dr_position_normal&high_1&CVP_A1_T|106_E_1&CVP_A1_G_E_0,{PlayerName}将{Name}成熟丰满的身躯仰面放在身下，用双手分开她饱满圆润的大腿。\n作为一个经验丰富的熟女，{Name}虽然对性事有着丰富的理论知识，但此刻面对与这个几乎陌生的博士即将发生的肛交，眼中仍流露出困惑与不安。\n{PlayerName}的手指先是探向那个从未被开发过的后穴入口，感受着菊穴周围紧致的褶皱和本能的收缩抗拒。\n尽管{Name}身体其他部位已经历过岁月的洗礼，但那处隐秘的后门却依然保持着处子的紧闭，从未被任何人染指。\n{PlayerName}将硬挺的龟头抵在那个紧致的肛口，感受着成熟女性后穴入口的强烈阻力。\n{Name}咬着丰润的嘴唇，眉头紧锁，她的理论经验告诉她接下来会发生什么，但真实的肉体侵入感却是任何书本都无法教授的。\n{PlayerName}双手掐住{Name}丰腴的腰肢，开始缓缓用力，龟头一点点挤入那个从未被开拓的后穴。\n成熟的肛门括约肌紧紧箍住入侵的阴茎，{Name}的腹部因紧张而微微起伏，那层薄薄的岁月痕迹随着她急促的呼吸而若隐若现。\n{PlayerName}感受到极致的紧致包裹，继续向深处推进，粗大的肉棒一寸寸撑开{Name}从未被侵犯的肠道。\n{Name}丰满的臀肉因入侵而微微颤抖，她的双手无意识地抓握着身下的平面，指节因用力而泛白。\n虽然她是个阅历丰富的熟女，但此刻后穴被撑开的异物感和隐隐的疼痛让她无法掩饰脸上的痛苦表情，眼角甚至泛起了生理性的泪光。\n她内心困惑为何自己会与一个几乎陌生的人发生如此羞耻的肛交行为，这种自我质疑让她的身体更加紧绷。\n{PlayerName}没有停下，腰部继续用力，将整根粗大的阴茎完全没入{Name}成熟却从未被开发的后穴深处。\n当肉棒完全插入时，{Name}感受到前所未有的充盈感，成熟的身体开始本能地适应这根入侵的异物，肠壁不自觉地蠕动收缩，紧紧吸附着{PlayerName}的阴茎，宣告着她菊穴处女的终结。
1001,first_a_sex,0,dr_position_normal&high_1&CVP_A1_T|106_E_1&CVP_A1_G_E_0,{PlayerName}让{Name}仰躺着，将她丰满成熟的双腿高高抬起，露出那个隐藏在饱满臀瓣之间的紧闭菊穴。\n作为一个成熟的熟女，{Name}有着丰富的性知识理论储备，然而当{PlayerName}的目光锁定她从未被使用过的后穴时，她眼中仍闪过一丝迷茫与不安。\n她不明白为何自己会与这个几乎陌生的博士发生如此亲密的行为，更不明白为何是这个从未被触碰的禁忌之处。\n{PlayerName}用拇指轻轻按压那个紧致的肛口，感受着成熟女性后穴周围细腻的褶皱和本能的紧缩抵抗。\n{Name}的身体微微颤抖，她丰腴的臀部不自觉地想要躲避，但被{PlayerName}牢牢固定在原位。\n博士将勃起的阴茎对准那个狭小的入口，龟头抵住紧闭的肛门，开始缓慢而坚定地施加压力。\n{Name}咬紧丰润的下唇，眼角细微的笑纹因表情的变化而加深，她的理论告诉她要放松，但身体却本能地抗拒着这个从未经历过的入侵。\n{PlayerName}的龟头终于挤入那个紧致到极点的肛口，{Name}发出一声压抑的闷哼，成熟的面容因异物入侵而微微扭曲。\n博士继续向深处推进，粗大的肉棒撑开从未被开拓的肠道，每前进一寸都能感受到成熟女性后穴的强烈绞紧。\n{Name}丰满的胸部随着急促的呼吸剧烈起伏，她的双手紧紧抓住自己的膝盖，将成熟丰腴的身体完全展露在{PlayerName}面前。\n她的内心充满了困惑和自我质疑，不明白为何自己会在这样陌生的关系中献出自己最后的处子之地。\n{PlayerName}感受着{Name}成熟肠道的紧致包裹，一鼓作气将整根阴茎完全埋入她的后穴深处。\n{Name}的腹部因被填满而微微隆起，她能清晰地感受到那根粗大肉棒在体内的存在，肠壁不自觉地蠕动收缩，紧紧吮吸着入侵者。\n成熟的身体开始快速适应这种前所未有的后穴充盈感，理论知识丰富的她本能地开始调整呼吸和肌肉的收放，后穴的处女身份就此终结。
1002,first_a_sex,0,CVP_A1_T|106_E_1&high_1&dr_position_back&CVP_A1_G_E_0,成熟丰满的{Name}在{PlayerName}的引导下趴跪在地上，浑圆饱满的臀部高高翘起，丰腴的腰肢微微颤抖着。\n{PlayerName}跪在她身后，双手握住那成熟女性特有的丰腴腰胯，将硬挺的阴茎抵在{Name}紧闭的菊穴入口处。\n那从未被开拓过的后穴紧致得几乎没有缝隙，{PlayerName}的龟头却强硬地顶了上去，迫使那道紧闭的穴口缓缓绽开。\n{Name}浑身一僵，成熟的身躯不由自主地向前逃避，却被{PlayerName}牢牢钳制住丰满的臀肉，无法动弹分毫。\n{PlayerName}的阴茎持续施压，龟头一点点撑开那从未容纳过任何东西的后穴，{Name}的肛门括约肌拼命收缩抵抗，却敌不过对方的蛮力。\n伴随着{Name}闷哼一声，{PlayerName}的龟头终于挤进了那片处女地，紧窒的肠壁立刻死死绞住入侵的肉棒，仿佛要将其挤出去。\n{PlayerName}没有停下，继续往里顶弄，每深入一分都能感受到{Name}成熟身躯的剧烈战栗，那丰满的臀肉随着她的颤抖不停晃动。\n{Name}的眼角已经泛起了生理性的泪水，她不明白自己为何会与一个几乎陌生的人发展到这一步，心中满是茫然与后悔。\n然而她成熟的身体却诚实地开始适应这根粗大的肉棒，紧绷的肠肉渐渐放松，开始被迫接纳这不速之客。\n{PlayerName}抓着她丰腴的腰肢继续挺进，直到整根阴茎都没入那温热紧窒的后穴深处，囊袋拍打在她丰满的臀肉上。\n{Name}那保养得宜却微微显出岁月痕迹的成熟面庞上满是困惑与不解，她不知道该如何面对这个与陌生人发生如此亲密接触的自己。\n尽管如此，当{PlayerName}的阴茎完全进入后，{Name}丰满成熟的身体已经开始不自觉地感受到一种异样的充盈感，与阴道完全不同的快感隐隐升起。
1003,first_a_sex,0,CVP_A1_T|106_E_1&high_1&dr_position_back&CVP_A1_G_E_0,{Name}被{PlayerName}按着趴伏下来，丰满成熟的躯体摆出臀部高翘的跪姿，那浑圆丰腴的臀瓣微微颤动着。\n{PlayerName}欣赏着眼前这具经历岁月沉淀却依然充满魅力的成熟胴体，将粗硬的阴茎对准了她那从未被使用过的后穴。\n当龟头触碰到那紧闭菊穴的瞬间，{Name}的身体明显绷紧了，她那理论经验丰富的脑海中清楚地知道接下来会发生什么。\n{PlayerName}扣住她圆润饱满的腰胯，开始缓慢而坚定地施力，硕大的龟头强行撑开那道从未开启过的肉门。\n{Name}咬紧下唇忍住即将溢出的呻吟，成熟女性的矜持让她不愿在一个几乎陌生的人面前失态，然而后穴被破开的剧烈异物感让她难以自持。\n{PlayerName}的阴茎不断深入，一寸一寸地开拓着{Name}那处未经人事的菊穴，紧窒的肠壁被强制撑开，死死包裹住入侵的肉棒。\n{Name}那丰腴有致的成熟身躯随着阴茎的推进剧烈颤抖，她不自觉地扭动着饱满的臀部，却不知是在逃避还是迎合。\n{PlayerName}的双手抚过她光滑却略带岁月痕迹的肌肤，感受着这具成熟女体在自己身下的战栗与臣服。\n当整根阴茎都埋入{Name}那紧致火热的后穴深处时，她的大脑已经被疼痛和陌生的快感搅得一片混乱。\n{Name}心中充满了困惑和茫然，她无法理解自己为何会允许一个几乎不熟识的人夺走自己最后的处女地，后悔与自我怀疑交织在心头。\n然而那成熟丰满的肉体却开始背叛她的意志，紧窒的肠壁开始有节奏地蠕动着，适应并贪婪地吮吸着{PlayerName}的阴茎。\n{PlayerName}保持着插到底的姿势，感受着这位熟女那温热紧致的后穴第一次接纳男根时的美妙触感，{Name}的菊穴处女在今日彻底失去。
1004,first_a_sex,0,CVP_A1_T|106_E_1&high_1&dr_position_back_lie&CVP_A1_G_E_0,{PlayerName}从后方环抱住侧卧着的{Name}，成熟丰满的臀部紧贴着{PlayerName}的胯部，滚烫的肉棒顺着臀缝滑动，抵住了紧闭的后穴入口。\n{Name}的身体不由得僵硬了一瞬，那从未被开拓过的禁地正承受着陌生的压迫感，熟女成熟的心智让她清楚即将发生什么，却依然充满困惑——为何会与这样一个尚不算熟悉的男人做到这一步。\n{PlayerName}一只手臂垫在{Name}的颈下，另一只手握住她丰腴的腰肢，粗硬的龟头开始缓缓用力，顶开那褶皱紧致的肛口，强行挤入狭窄的甬道。\n剧烈的胀痛让{Name}发出难以抑制的闷哼，成熟女性特有的忍耐力让她咬紧嘴唇没有叫出声，但蜷缩的身体和绷紧的大腿暴露了她的痛苦，后穴紧紧绞住入侵者，却无法阻止肉棒一寸寸地深入。\n{PlayerName}感受着熟女后穴的紧致与灼热，那从未被使用过的菊穴比想象中更加紧窒，每前进一分都要承受惊人的压力，但这种征服处女地的快感让他欲罢不能，继续深入挺进。\n{Name}的身体随着插入而微微颤抖，丰满的胸部在{PlayerName}的怀中晃动，她的眼神迷离又困惑，脑海中充斥着对这荒唐处境的不解——明明是如此成熟理智的女人，为何会将后庭的第一次交给一个陌生人。\n肉棒终于整根没入，粗壮的柱身撑满了{Name}紧窄的后穴，龟头抵达了肠道深处，异物感与充盈感交织在一起，让这个经验丰富却又是菊穴处女的熟女发出满足与不适混杂的低吟，身体开始慢慢适应后庭被填满的感觉，隐隐体会到不同于阴道的另类快感。
1005,first_a_sex,0,CVP_A1_T|106_E_1&high_1&dr_position_back_lie&CVP_A1_G_E_0,侧卧的{Name}背对着{PlayerName}，成熟女性丰腴饱满的臀瓣因这个姿势更显圆润，{PlayerName}从后方将她紧紧搂在怀中，灼热的硬挺抵在了那紧闭的菊穴口，准备夺走这个熟女最后的处女地。\n{Name}微微蜷缩着身体，成熟的面容上浮现出复杂的神情，她清楚地感知到那粗壮的龟头正在试探自己从未被触碰的后穴，内心充满了茫然与自我质疑——为何会与一个尚且陌生的男人发展到如此地步。\n{PlayerName}一手揽着{Name}丰满柔软的腰腹，开始稳步用力，硕大的龟头撑开那道紧致的褶皱，强行突破处女菊穴的阻碍，炙热的肉棒缓慢而坚定地挺入。\n撕裂般的胀痛让{Name}的身体剧烈颤抖，她下意识地向前挣动，却被{PlayerName}的臂膀牢牢箍住，成熟女性的矜持让她努力压抑着呻吟，但紧皱的眉头和泛红的眼角出卖了她正在承受的苦楚。\n后穴的甬道紧紧吸附着入侵的肉棒，每一寸深入都让{Name}感受到前所未有的充实感，那粗硬的柱身摩擦着从未被开发的肠壁，带来痛楚中夹杂着异样的酥麻，熟女丰富的理论经验让她隐约意识到这是快感的前兆。\n{PlayerName}贪婪地感受着熟女处女后穴的紧窒与滚烫，一边深入一边啃咬着{Name}白皙的后颈，双手不安分地揉捏着她丰满的胸部，享受着征服成熟女性最隐秘处的极致快感。\n当整根肉棒完全埋入{Name}的菊穴深处时，她的身体僵硬了片刻，随后缓缓放松下来，丰腴的臀肉紧贴着{PlayerName}的胯部，后穴被撑到极限的饱胀感让这个初次失去菊穴贞洁的熟女发出低沉的喟叹，眼神中既有生理的适应也有心理的迷惘。
