cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|122_E_1,{Name}轻轻蹲下身，将一个精致的小瓶子递给年幼的{TargetName}，脸上带着鼓励的微笑。\n幼小的{TargetName}好奇地接过药瓶，稚嫩的小手指轻轻触碰着瓶身，圆圆的大眼睛里充满了疑惑与好奇，她稚嫩的脸蛋因兴奋而泛着微微的红晕。\n在{Name}的指导下，{TargetName}小心翼翼地拔开瓶塞，将药剂一饮而尽，她幼小的喉咙因吞咽动作而上下滚动，显得格外可爱。\n药剂生效的速度惊人，{TargetName}原本就微微隆起的胸部开始变化，她惊讶地低头看着自己的身体，小手不由自主地抚上胸前，感受着那原本小巧的隆起逐渐变平。\n幼小的{TargetName}发出疑惑的声音，稚嫩的身体因药剂的作用而微微颤抖，她的小乳房完全平坦下来，变成了平滑的胸膛，只剩下两点粉嫩的乳头，而她的表情混合着困惑和异样的兴奋，小手不停地抚摸着自己变化后的胸部，嘴唇微微颤抖。
1001,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|122_E_1,{Name}从口袋中取出一个粉色的小药瓶，俯身递给矮小的{TargetName}，动作温柔而耐心。\n{TargetName}伸出幼嫩的小手接过礼物，纤细的手指因好奇而轻轻颤抖，她稚气的脸庞上浮现出天真的期待，宛如收到糖果一般的欢喜。\n在{Name}的鼓励下，幼小的{TargetName}打开药瓶，将淡粉色的液体倒入小嘴，她因药液的异味而皱了皱可爱的鼻子，但还是乖巧地全部咽下，细嫩的脖颈随吞咽动作起伏。\n药剂很快发挥作用，{TargetName}身体一阵轻颤，她惊讶地感受到胸前微微的隆起开始变化，幼小的手掌不由自主地按在胸前，感受着那原本就不明显的乳房正在逐渐消失。\n{TargetName}惊讶地低头看着自己完全平坦的胸部，幼嫩的手指好奇地摸索着，敏感的乳头在指尖的触碰下变得挺立，她的身体因这陌生的感觉而微微战栗，小脸上浮现出混合着好奇和困惑的复杂表情，显得更加天真可爱。
1002,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|122_E_1,{Name}微笑着拿出一个装饰精美的小瓶子，单膝跪地将其递到{TargetName}面前，与幼小的她平视。\n年幼的{TargetName}眨着好奇的大眼睛，细嫩的小手接过瓶子，她稚嫩的指尖轻轻抚过瓶身的花纹，幼小的身体因兴奋而微微前倾。\n{TargetName}在{Name}的引导下，用稚嫩的手指拧开瓶盖，将药液倒入小巧的嘴里，她因药液特殊的味道而皱起小脸，但还是乖巧地吞咽下去，幼小的喉咙随吞咽动作上下滚动。\n药效迅速发作，{TargetName}忽然感到胸前一阵奇异的变化，她原本就几乎平坦的小胸部开始发生微妙的变化，幼嫩的手掌不由自主地捂住胸口，纤细的身体因异样的感觉而轻轻战栗。\n当变化完成后，{TargetName}低头看着自己完全平坦的胸部，幼小的手指好奇地触碰着只剩下两点粉嫩突起的平坦胸膛，她的表情既困惑又好奇，幼小的身体因这新奇的体验而微微颤抖，稚嫩的肌肤泛起淡淡的粉红，显得更加脆弱可爱。
1003,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|122_E_1,{Name}温柔地拿出一个闪着微光的小瓶子，蹲下身将其交到{TargetName}娇小的手中，嘴角带着温暖的笑意。\n幼小的{TargetName}用她天真的大眼睛好奇地打量着手中的礼物，细嫩的手指小心翼翼地握住瓶身，她稚气的脸庞因新奇而闪烁着兴奋的光芒。\n在{Name}的鼓励下，{TargetName}小心地打开瓶盖，将瓶中的液体倒入小嘴，她因药液的味道而做出可爱的表情，但还是勇敢地全部吞咽下去，幼嫩的喉咙随着吞咽动作而优美起伏。\n几乎是立刻，{TargetName}感到一阵奇特的感觉从胸前扩散开来，她原本就微微隆起的小胸部开始变化，稚嫩的小手不自觉地抚上胸前，感受着那小小的隆起正在平坦化。\n变化完成后，{TargetName}惊讶地低头看着自己现在完全平坦的胸部，幼小的手指好奇地抚摸着只剩下两个敏感凸起的胸膛，她的表情混合着困惑和新奇，身体因这陌生的感觉而微微发颤，稚嫩的脸庞泛着淡淡的红晕，显得格外纯真可爱。
1004,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|122_E_1,{Name}小心翼翼地从背包中取出一个精致的小药瓶，弯下腰将其放入{TargetName}幼小的手掌中，眼神中带着关怀。\n年幼的{TargetName}用好奇的目光打量着这份礼物，稚嫩的手指轻轻摩挲着瓶身，她天真的脸庞上写满了疑惑与期待，小巧的身体因兴奋而微微摇晃。\n在{Name}的指导下，{TargetName}用她娇小的手指打开药瓶，将淡色的液体送入小嘴，她因不习惯的味道而皱起可爱的眉头，但还是听话地吞了下去，细嫩的喉咙随吞咽动作优美起伏。\n药效发作得很快，{TargetName}突然感到胸前一阵奇异的变化，她原本就不明显的胸部开始变得更加平坦，幼小的手不自觉地按在胸前，感受着这神奇的变化过程。\n当变化完成，{TargetName}低头看着自己现在完全平坦的胸膛，稚嫩的手指好奇地戳弄着只剩下两点粉嫩突起的地方，她的表情既困惑又新奇，幼小的身体因为这奇特的体验而微微颤抖，脸上浮现出一种天真的疑惑与惊讶的混合表情。
1005,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|123_E_1,{Name}从口袋中取出一个精致的小瓶子，俯身递给年幼的{TargetName}，眼神中带着一丝期待。\n幼小的{TargetName}好奇地伸出双手接过礼物，她匀称发育的胸部在衣服下显出明显的轮廓，稚嫩的脸庞上满是孩童般的兴奋与期待。\n在{Name}的鼓励下，{TargetName}用小手拧开瓶盖，将药液倒入口中，她因陌生的味道而皱起小脸，但还是乖巧地咽了下去，幼嫩的喉咙随吞咽动作上下滚动。\n药效几乎立即发作，{TargetName}惊讶地感受到胸前的变化，她原本匀称适中的胸部开始缩小，稚嫩的手不自觉地抚上胸前，感受着那熟悉的隆起正在变小变软。\n当变化完成后，{TargetName}低头看着自己现在只有微微隆起的胸部，幼小的手指好奇地抚摸着这缩小后的柔软，她的表情混合着困惑和新奇，幼小的身体因这奇特的体验而微微颤抖，原本适中的胸部如今变得娇小，只有微微的隆起和两点敏感的粉色突起，显得更加稚嫩可爱。
1006,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|123_E_1,{Name}轻轻蹲下身，将一个透明的小药瓶递给娇小的{TargetName}，脸上带着温柔的笑容。\n年幼的{TargetName}用天真的大眼睛好奇地看着这份礼物，她稚嫩的手指接过瓶子，幼小身体上那不符合年龄的匀称胸部随着她的动作微微晃动，显得格外突兀。\n在{Name}的引导下，{TargetName}小心地拔开瓶塞，将药液倒入小嘴，她因为不习惯的味道而做出可爱的表情，但还是勇敢地吞咽下去，细嫩的脖颈随吞咽动作优美起伏。\n药剂立即开始发挥作用，{TargetName}惊讶地感受到胸前一阵奇特的感觉，她原本匀称发育的胸部开始缩小，幼小的手掌不自觉地捂住胸前，感受着那明显的变化过程。\n药效完全发作后，{TargetName}低头看着自己现在变得娇小的胸部，稚嫩的手指好奇地触摸着只剩下微微隆起的小巧乳房，她的表情既困惑又新奇，幼小的身体因这陌生的感觉而微微战栗，脸上浮现出一种天真与惊讶混合的表情，原本匀称的胸部如今变得贫小，更符合她幼小的年龄。
1007,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|123_E_1,{Name}微笑着从背包中取出一个精美的小瓶子，弯腰递给矮小的{TargetName}，动作轻柔而小心。\n幼小的{TargetName}伸出细嫩的手接过礼物，好奇地打量着，她稚嫩的身体上那不协调的匀称胸部随着呼吸轻轻起伏，与她幼小的身体形成鲜明对比。\n在{Name}的指导下，{TargetName}用幼嫩的手指打开瓶盖，将药液小心地倒入口中，她因药液的特殊味道而眨了眨大眼睛，但还是听话地咽了下去，稚嫩的喉咙随吞咽动作优美滚动。\n几乎是瞬间，{TargetName}感到一阵奇异的感觉从胸前扩散，她原本发育匀称的胸部开始缩小，幼小的手不自觉地按在胸前，圆圆的大眼睛因惊讶而睁得更大，感受着这神奇的变化。\n变化完成后，{TargetName}低头看着自己现在娇小的胸部，稚嫩的手指好奇地抚摸着这缩小后的柔软，只剩下微微的隆起，她的表情混合着困惑和新奇，幼小的身体因这奇特的体验而微微发抖，原本不协调的匀称胸部如今变得更加符合她的年龄，只有微微的隆起和两点敏感的乳头。
1008,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|123_E_1,{Name}温柔地拿出一个闪闪发光的小瓶子，单膝跪地将其递给年幼的{TargetName}，眼神中充满关怀。\n{TargetName}用她稚嫩的小手接过礼物，天真的大眼睛里充满好奇，她那与年龄不符的匀称胸部在衣服下形成明显的轮廓，随着她兴奋的呼吸微微起伏。\n在{Name}的鼓励下，{TargetName}小心地拧开瓶盖，将药液倒入小嘴，她因不习惯的味道而皱了皱可爱的鼻子，但还是乖巧地吞咽下去，幼嫩的喉咙随吞咽动作上下滚动。\n药效迅速发作，{TargetName}突然感到胸前一阵奇特的感觉，她原本匀称的胸部开始变小，幼小的手掌不由自主地按在胸前，感受着那明显的缩小过程，脸上露出惊讶的表情。\n当变化完成后，{TargetName}好奇地低头看着自己现在变小的胸部，稚嫩的手指轻轻触碰着只剩下微微隆起的贫乳，她的表情既困惑又新奇，幼小的身体因这奇特的体验而微微颤抖，原本不协调的胸部如今变得更加符合她幼小的身体，显得更加和谐可爱。
1009,give_gift,0,CVP_A2_T|102_E_1&CVP_A1_Gift|22_G_0&CVP_A2_T|123_E_1,{Name}小心翼翼地从口袋中取出一个精致的小药瓶，俯身将其放入{TargetName}幼小的手掌中，表情温和而期待。\n年幼的{TargetName}用好奇的目光打量着这份礼物，细嫩的手指轻轻握住瓶身，她那与年龄不符的匀称胸部随着好奇的动作微微晃动，在幼小的身体上显得尤为突出。\n在{Name}的引导下，{TargetName}用稚嫩的手指拧开瓶盖，将药液小心地倒入口中，她因特殊的味道而做出可爱的表情，但还是听话地全部吞下，幼嫩的喉咙随吞咽动作优美起伏。\n药效几乎立即开始发挥作用，{TargetName}惊讶地感受到胸前一阵奇特的变化，她原本匀称的胸部开始缩小变软，稚嫩的小手不自觉地抚上胸前，感受着这神奇的变化过程。\n当变化完成后，{TargetName}低头看着自己现在只有微微隆起的胸部，幼小的手指好奇地触摸着变小后的柔软，她的表情混合着困惑和新奇，幼小的身体因这奇特的体验而微微战栗，原本不协调的匀称胸部如今变得贫小，更加符合她幼小的年龄和身材，只剩下微微的隆起和两点娇嫩的粉色突起。
