cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,


1000,happy_mark_1,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在连续高潮的冲击下全身紧绷，她成熟中带着青涩的身体被汗水浸透，双腿不受控制地颤抖，嘴里发出甜腻的呻吟声。\n作为初尝情欲滋味的大姐姐，{Name}从未想过性爱竟能带来如此强烈的快感，那一波接一波的电流般的酥麻感让她既羞耻又沉醉，理智与欲望在她脑海中拉扯着，但身体已经诚实地将腰肢挺起，渴望更多的刺激。\n虽然{Name}已是成年女性，但对于性事她仍显得青涩，此刻她不禁在心中将{PlayerName}视为特别的存在，是唯一能带她体验这种奇妙感觉的人。\n她开始用含情脉脉的眼神注视着{PlayerName}，在对方靠近时心跳加速，身体不自觉地向对方靠近，渴望再次被那双手抚摸全身的每一寸肌肤。\n
1001,happy_mark_1,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在连续高潮的洗礼下娇喘连连，她成熟又带着一丝青涩的身体散发着情欲的粉红色，双手紧抓着{PlayerName}的肩膀，嘴里吐出断断续续的呻吟。\n{Name}虽然已经是大学年纪的女性，但在性事上的经验仍然有限，这种猛烈的快感对她来说既陌生又刺激，她感到既羞耻又兴奋，不知道为什么自己的身体会变得如此敏感，又湿又热，却又忍不住想要更多。\n在这种激烈的体验中，{Name}开始对{PlayerName}产生一种特殊的依赖感，她觉得只有{PlayerName}才能带给她这种极致的快感。\n她开始主动用身体蹭向{PlayerName}，眼神中既有成熟女性的妩媚，又有初尝禁果的羞涩，她的嘴唇微张，似乎在无声地邀请着再一次的深入接触。\n
1002,happy_mark_1,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}丰满的身体在连续高潮的冲击下不住颤抖，她成熟中带着青涩的肌肤泛起一层诱人的粉红色，饱满的胸部随着急促的呼吸上下起伏，嘴里发出性感的喘息声。\n{Name}的身体虽已发育成熟，但对这种强烈的性刺激仍然显得有些招架不住，她的理智告诉她应该保持一个成年女性的矜持，但身体却不受控制地迎合着每一次的刺激，湿润的下体不断地分泌出爱液，渴望被再次填满。\n尽管{Name}已是成年女性，但她对性事的认知还停留在理论阶段，此刻的体验让她对{PlayerName}产生了一种特殊的依赖，在她心中，{PlayerName}已成为了能带给她无上快乐的人。\n她开始不自觉地寻找与{PlayerName}独处的机会，用成熟又带着几分羞怯的眼神看着对方，时不时地伸手整理自己的衣服，故意展现出自己的曲线，希望能再次体验那种让她欲仙欲死的感觉。\n
1003,happy_mark_1,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在连续高潮的袭击下瘫软在{PlayerName}怀中，她那丰满的身体被情欲染成粉红色，长腿缠绕着{PlayerName}的腰，嘴里发出动人的呻吟声。\n对于刚步入成年不久的{Name}来说，这种强烈的性快感是她从未体验过的，她的大脑一片空白，只知道自己的身体正被一阵阵难以言喻的快感冲刷着，她感到既羞耻又满足，理智告诉她应该停止，但身体却诚实地渴望着更多。\n在这种激烈的体验中，{Name}已经开始将{PlayerName}视为一个特殊的存在，是能给她带来极致快乐的人。\n她开始用充满渴望的眼神注视着{PlayerName}，在对方靠近时故意展现出自己最性感的一面，时不时地靠在对方肩上，装作不经意地摩擦着对方的身体，希望能再次点燃那种让她全身酥麻的火花。\n
1004,happy_mark_1,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在连续高潮的刺激下浑身发抖，她成熟又带着几分青涩的身体上泛起一层细密的汗珠，丰满的臀部不自觉地扭动着，嘴里发出难以抑制的呻吟声。\n对于在性事上仍显青涩的{Name}来说，这种强烈的快感既让她感到羞耻又让她欲罢不能，她的理智告诉她不应该如此放荡，但身体却已经诚实地臣服于这种快感，湿润的下体在每一次触碰时都会敏感地收缩，渴望更多的刺激。\n在这种激烈的体验中，{Name}已经开始将{PlayerName}视为一个特别的存在，是唯一能带给她这种极致快感的人。\n她开始在日常生活中有意无意地展现自己的魅力，穿着略微暴露的衣服，在{PlayerName}面前弯腰时露出深深的乳沟，或者坐下时故意让短裙上移，露出修长的大腿，眼神中既有成熟女性的妩媚，又有初尝禁果的羞涩，无声地传递着“再来一次”的信息。\n
1005,happy_mark_2,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}丰满的身体被十几次强烈高潮冲击得瘫软无力，她成熟中带着青涩的肌肤布满了一层细密的汗珠，丰满的胸部随着急促的呼吸剧烈起伏，嘴里发出断断续续的尖叫和喘息。\n对于{Name}这样一个在性事上仍显青涩的大姐姐来说，这种过度的性刺激已经超出了她的承受范围，但她的身体却已经开始背叛她的理智，变得越来越渴望这种感觉。\n她开始主动在脑海中回忆与{PlayerName}欢爱的细节，在独处时忍不住用手抚摸自己的敏感部位，但无论怎么努力都无法达到{PlayerName}给她带来的那种极致快感。\n在{Name}的心中，{PlayerName}已经变成了一个特殊的存在，是能带给她无上快乐的人。\n她开始变得主动又大胆，会用充满欲望的眼神看着{PlayerName}，在没人的时候靠近对方，主动将丰满的胸部贴上对方的手臂，在耳边轻声说着暗示性的话语，眼神中流露出对更多性爱的渴望。\n
1006,happy_mark_2,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在十几次强烈高潮的摧残下，成熟的身体已经变得极度敏感，她丰满的乳房和臀部在每一次触碰时都会引起全身的颤抖，嘴里发出沙哑的呻吟声。\n{Name}成熟的身体已经开始适应这种强烈的快感，但她的心却在理智与欲望之间挣扎，这种矛盾让她感到既害羞又兴奋，她知道作为一个成年女性应该保持矜持，但身体却诚实地渴望更多的刺激。\n她开始在日常生活中频繁地想起与{PlayerName}欢爱的场景，甚至在工作或学习时也会走神，回忆起{PlayerName}的手抚摸她身体各处的感觉，下体会不自觉地湿润。\n在{Name}的世界里，{PlayerName}已经成为了重要的存在，是唯一能满足她欲望的人。\n她开始变得主动又热情，会用充满暗示的眼神看着{PlayerName}，在无人的角落里主动吻上对方的唇，手不安分地抚摸对方的下体，用湿润的嘴唇在耳边低语“我想要”、“给我”之类的话，眼神中流露出对性爱的渴望。\n
1007,happy_mark_2,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}丰满的身体在十几次强烈高潮的冲击下已经变得格外敏感，她成熟中带着青涩的皮肤泛着不正常的潮红，饱满的胸部随着急促的呼吸剧烈起伏，嘴里发出淫荡的呻吟声。\n对于只有大学年纪的{Name}来说，这种过度的性刺激已经让她的身心都开始发生变化，她开始迷恋上这种快感，不再拘泥于社会对成年女性的期待和标准，只想沉浸在性爱的欢愉中。\n她开始在独处时幻想{PlayerName}用各种姿势占有她的场景，自己用手指抚摸敏感的部位，但无论怎么努力都无法达到与{PlayerName}欢爱时的那种极致快感。\n在{Name}的世界里，{PlayerName}已经成为了她生活中最重要的人，是唯一能满足她性需求的存在。\n她变得越来越主动，会用明显的暗示来引诱{PlayerName}，比如穿着性感的内衣在对方面前若隐若现，或者在对话中故意使用暧昧的话，眼神中充满了渴望。\n当两人独处时，她会迫不及待地扑向{PlayerName}，热情地吻着对方，手急切地解开对方的衣服，嘴里说着“我好想你”、“我受不了了”之类的话，眼神中充满了对性爱的渴望和对{PlayerName}的依赖。\n
1008,happy_mark_2,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在连续十几次强烈高潮的冲击下已经无法控制自己的表情和声音，她成熟又带着几分青涩的身体不停地痉挛，丰满的胸部和臀部在每一次抽搐时都会引起诱人的波动，嘴里发出不成调的呻吟和哭喊。\n{Name}青涩的心灵已经开始被快感所征服，她不再感到羞耻，反而渴望更多的刺激，她开始思考各种能获得更强快感的方式，甚至愿意尝试一些之前认为太过分的性行为。\n她开始在日常生活中表现出对性的过度关注，会在与{PlayerName}的对话中故意提到一些与性相关的话题，或者在对方面前做出一些暗示性的动作。\n在{Name}的心中，{PlayerName}已经成为了她生命中最重要的人，是唯一能满足她欲望的存在。\n她对{PlayerName}的依赖已经到了难以掩饰的地步，会想尽各种办法找借口与{PlayerName}独处，在没人的时候主动脱掉上衣，露出丰满的胸部，拉着{PlayerName}的手放在自己的敏感部位，用带着哭腔的声音恳求性快感，眼神中流露出对性高潮的渴望和对{PlayerName}的依赖。\n
1009,happy_mark_2,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}成熟的身体在连续十几次极强高潮的折磨下变得格外敏感，她丰满的肌肤泛着不正常的潮红，长腿不停地颤抖，嘴里发出淫荡的呻吟声。\n对于大学年纪的{Name}来说，这种过度的性刺激已经让她的身心都开始发生变化，她开始迷恋上这种快感，不再有任何抵抗或羞耻之心，只剩下对更多性爱的渴望。\n她开始在工作或学习时走神，脑海中不断闪现与{PlayerName}欢爱的画面，下体会不自觉地湿润，有时甚至会在公共场合因为想到性爱场景而面红耳赤。\n在{Name}的世界里，{PlayerName}已经成为了她生活的中心，是唯一能够满足她性需求的人。\n她变得极度依赖{PlayerName}，会用充满欲望的眼神盯着{PlayerName}的一举一动，在没人的时候主动解开衣服，露出丰满的乳房，用沙哑的声音说“想要”、“给我”之类的话，甚至愿意在公共场所的隐蔽角落里与{PlayerName}进行性行为，完全不顾可能被发现的风险，只为了能够获得那种让她全身颤抖的极致快感。\n
1010,happy_mark_3,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}丰满的身体在几十次极强高潮的连续冲击下已经变得不受控制，她成熟的四肢不停地痉挛，饱满的胸部随着每一次抽搐而颤动，嘴里发出嘶哑的呻吟声。\n{Name}的心灵已经完全被快感所占据，她不再思考其他任何事情，只知道渴望更多的刺激，她的理智已经被完全摧毁，只剩下最原始的性欲。\n即使在{PlayerName}不在场的时候，她也会用各种工具自慰，但无论怎么努力都无法达到{PlayerName}给她带来的那种极致快感，这让她变得更加依赖{PlayerName}。\n对于{Name}来说，{PlayerName}已经成为了她生命中最重要的人，是唯一能满足她欲望的存在。\n她已经彻底沦为{PlayerName}的性奴，会用各种方法取悦{PlayerName}，只为了能获得更多的性高潮作为奖励。\n她开始放下大姐姐的矜持和尊严，会在{PlayerName}面前跪下，恳求对方满足她的性需求，嘴里说着“主人”、“请使用我”之类的话，眼神中充满了对性高潮的渴望和对{PlayerName}的臣服。\n
1011,happy_mark_3,0,CVP_A1_T|105_E_1,大姐姐体型的{Name}在几十次极强高潮的蹂躏下已经变得不像自己，她成熟的身体每隔几秒就会不受控制地颤抖一次，丰满的胸部和臀部随着每一次痉挛而摇晃，嘴里不停地流着口水，眼神涣散，只能发出无意义的呜咽声。\n{Name}的身心已经完全被性快感所征服，她不再有任何正常女性应有的矜持和自尊，只剩下对更多快感的渴望，她的理智已经被完全摧毁，所有的思想都围绕着如何获得下一次高潮。\n她开始在日常生活中表现出极度性化的行为，会在公共场合用丰满的身体蹭{PlayerName}的腿，或者在没人注意的时候偷偷抚摸{PlayerName}的下体，完全不顾周围人异样的目光。\n在{Name}的世界里，{PlayerName}已经成为了她的全部，是她存在的全部意义。\n她变得极度依赖{PlayerName}，会用充满欲望的眼神盯着{PlayerName}的一举一动，嘴里发出甜腻的呻吟。\n当{PlayerName}靠近时，她会迫不及待地扑上去，浑圆的屁股主动摩擦对方的下体，一边喘息一边说“求求你”、“给我”、“我受不了了”之类的话，完全不顾自己作为大姐姐应有的形象，变成了一个只知道追求性快感的淫娃，随时准备张开双腿，满足{PlayerName}的任何要求。\n
