cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_v_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|4_LE_3,那股从{vagina}深处骤然涌出的剧烈快感令幼小的{TargetName}根本没有任何心理准备，{vagina}强烈地一阵阵痉挛收缩，那种鲜烈而陌生的绝顶快感如浪潮般席卷了她的整个身体，令她的意识在那一瞬间变得模糊一片。\n小小的腰肢不受控制地向上弓起，双腿绷紧着颤抖，稚嫩的小腹反复抽搐，那种对于刚刚开始被开发的幼小{vagina}来说太过剧烈的快感令她根本无从应对，只能睁着不知所措的眼睛，任由那股汹涌的绝顶感将她整个淹没。\n{TargetName}的呼吸完全失去了节奏，急促而浅乱的喘息声无法克制地漏出来，爱液大量地从{vagina}处涌出，那种鲜烈的颤意令幼小的身体从内到外都在不停地颤抖着，脑子里涌起了大片甜麻的空白，什么都顾不上想了。\n那股铺天盖地的快感令她的意识开始漂浮，小小的心脏急速地跳着，心里装满了从未有过的慌乱与迷茫，那阵势不可挡的绝顶令{TargetName}懵懵懂懂地第一次体会到被如此猛烈的快感彻底淹没是什么滋味，既惊慌失措又无力反抗，只能任由那阵浓烈的绝顶在幼小的身体里横冲直撞，久久无法平息。
1001,action_part_v_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|4_LE_3,{vagina}骤然强烈地痉挛收缩起来，那股比任何一次都要剧烈许多的快感令幼小的{TargetName}浑身猛地一颤，意识在那一刻顿时变得散乱一片，脑子里再也容不下任何想法，只剩下那股汹涌的绝顶感将她整个人淹没。\n稚嫩的小腹反复抽搐着，细小的腰肢不受控制地弓起，四肢绷紧着颤抖，那种鲜烈而陌生的快感对于刚刚才开始感受这里的幼小身体来说太过猛烈，令她根本无力应对，双腿不自觉地夹紧，眼眶里充盈着一片茫然。\n{TargetName}的呼吸急促而浅乱，爱液大量地从{vagina}处涌出，那阵持续的痉挛收缩令整个下腹都在不停颤动，那种被绝顶的快感彻底席卷的感受对幼小的她而言是全新的体验，令她的意识开始漂浮，脑子里涌起了大片甜麻的空白，心里装满了迷乱而无助的茫然。\n那股绵延不绝的绝顶快感令{TargetName}的小心脏急速地跳动着，心里那阵慌乱与迷茫交织在一起，令她懵懵懂懂地被那种无法言说的绝顶快感牢牢裹住，既不知道该如何应对又无力从中挣脱，只能任由那阵汹涌的快感在幼小的身体里横冲直撞，直到绝顶的余波慢慢消退，意识才一点一点重新回笼。
1002,action_part_v_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|4_LE_3,一阵从{vagina}深处席卷而来的强烈快感令{TargetName}猝不及防地颤了一下，那种鲜烈而汹涌的绝顶感骤然将她整个淹没，{vagina}强烈而有节奏地痉挛收缩着，那股对这里来说太过剧烈的快感令幼小的身体从头到脚都绷紧着颤抖。\n稚嫩的小腹一下一下地猛烈抽搐着，小小的腰肢深深地弓起，双腿不受控制地颤抖着，{TargetName}的意识被那阵汹涌的绝顶快感冲得愈来愈模糊，脑子里再也容不下任何念头，只剩下那种无所不在的浓烈酥麻令她喘不过气来。\n爱液大量地从{vagina}处涌出，{TargetName}的呼吸急促失序，那种对于刚刚才开始被开发、尚未习惯的幼小{vagina}来说过于猛烈的绝顶令她整个人都陷入了混乱，心里装满了慌乱与迷茫，那阵浓烈的快感令她的意识漂浮起来，懵懵懂懂地被绝顶的浪潮彻底席卷，既惊恐又无助地任由那股令她头脑空白的快感在幼小的身体里肆意蔓延。\n那阵绝顶的快感令{TargetName}眼神发散，小心脏乱跳着，那种前所未有的浓烈满足感混杂着茫然与慌乱，令她久久无法从绝顶的余波中回过神来。
1003,action_part_v_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|4_LE_3,{vagina}猛烈地痉挛收缩着，那阵汹涌的绝顶快感令{TargetName}的意识骤然变得模糊，稚嫩的小腹不停地剧烈抽搐，幼小的腰肢深深地弓起，四肢绷紧着颤抖，那种全新而猛烈的绝顶感对于尚未习惯这里快感的幼小身体来说剧烈得令她慌乱无措。\n那股从{vagina}深处向外漫溢的强烈快感令她浑身都在不停地颤动着，爱液大量地从{vagina}处涌出，{TargetName}的呼吸完全乱了节奏，浅急的喘息令她的小胸脯急速起伏着，脑子里涌起了一片甜麻的空白，什么都想不清楚了，只能懵懵懂懂地任由那阵汹涌的绝顶快感将她整个淹没。\n心里装满了慌乱与茫然，那种前所未有的强烈绝顶感令幼小的{TargetName}不知所措，那阵剧烈的快感来得太猛烈、太陌生，令她根本没有时间反应，意识已经开始漂浮在绝顶的浪潮之中，那股铺天盖地的酥麻和颤意令她无力抗拒，只能睁着迷乱的眼睛，任由那阵绝顶的余波一波一波地在幼小的身体里漫开，久久无法平息，心里那阵甜麻的空白令她怅然若失，久久缓不过神来。
1004,action_part_v_orgasm_normal_C,0,CVP_A2_T|102_E_1&CVP_A2_A|4_LE_3,那股从{vagina}深处骤然而来的剧烈快感令{TargetName}猝不及防地全身一颤，{vagina}强烈而持续地痉挛收缩，那种对于刚刚开始被唤醒、尚未习惯快感的幼小{vagina}来说太过猛烈的绝顶令她根本无从应对，稚嫩的小腹一阵阵剧烈地抽搐着，幼小的腰肢无力地弓起。\n{TargetName}的意识在那阵绝顶快感席卷而来的瞬间骤然变得模糊，脑子里再也容不下任何想法，那股鲜烈的酥麻令她的四肢绷紧着颤抖，双腿无意识地夹紧，爱液大量地从{vagina}处涌出，那种令她头皮发麻的快感将她整个人都淹没在绝顶的浪潮里，小心脏急速地乱跳着，心里装满了慌乱和不知所措。\n那阵绵延不绝的绝顶快感令{TargetName}的呼吸急促而浅乱，意识在那种铺天盖地的酥麻中漂浮着，那种全新而无法承受的快感令幼小的她第一次体验到被如此强烈的绝顶完全淹没的感觉，既惊慌失措又隐隐生出一丝从未有过的甜蜜迷乱，那阵余波久久不散，令她在绝顶退去之后仍然久久无法从那片甜麻的空白中回过神来。
