cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0,{Name}跑到博士面前，抓住博士的手腕，用力捏了一下，又轻轻捏了一下。\n“根部和顶端要用不同的力！”{Name}说，“老师说的！”\n博士不知道哪里是根部哪里是顶端，{Name}也不知道，但{Name}很自信。
1001,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0,“爸爸，你什么时候会到极限？”{Name}仰着头问。\n博士被问住了。{Name}解释：“老师说要看出对方到了极限再收网。我想练习一下。”\n然后{Name}盯着博士的脸看了很久，博士什么都没做，{Name}说“还没到”。
1002,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0,{Name}拿着一块橡皮跑过来，说要给博士看“保持稳定的力度”。\n{Name}捏着橡皮，捏了一分钟，手开始抖，橡皮被捏扁了。\n“……老师说抖是正常的。”{Name}说，把扁掉的橡皮塞给了博士。
1003,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0,{Name}在博士旁边站了一会儿，忽然说：“博士，我现在能撑五分钟了。”\n博士问撑什么，{Name}的脸红了：“……握力。榨精课要练的。”\n说完{Name}把手背到身后，好像怕博士要检查。
1004,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0,{Name}盯着博士的脸看了很久，博士问怎么了，{Name}说：“在练观察力。”\n“老师说要看出对方到了边缘。”{Name}说完，脸慢慢红了，“……博士现在没有到边缘。”\n然后{Name}转身走了，走得很快。
1005,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0,“博士，”{Name}小声问，“老师说用力越大越快见效是错的。真的吗？”\n博士说大概是真的。{Name}点点头，又问：“那……慢慢来是对的？”\n博士说是。{Name}说“我记住了”，然后就没有再说话，但站着没走。
1006,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,{Name}跑过来，盯着博士的脸看了很久，然后说：“爸爸你现在没有到边缘！”博士不知道该怎么回答。
1007,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,“爸爸，我会背七条信号了！”{Name}一口气背了四条，卡住了。“……剩下的三条明天背。”
1008,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,{Name}跑到博士跟前，用手指在博士手臂上敲：快三下，慢两下，停。“这是节奏！老师说快之后要慢！”
1009,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,{Name}拉着博士的手握了一下，很轻，然后说：“这是稳定的力度！老师说不能飘！”她的手抖了一下。
1010,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,{Name}在博士旁边站了一会儿，忽然说：“博士，我今天看出老师在忍了。”说完她赶紧走了，好像怕博士要问是什么课。
1011,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,“博士，”{Name}问得很小声，“你知道……急是唯一的敌人吗？”博士说不知道。她点点头：“老师说的。我做什么都急。”
1012,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,{Name}递水给博士的时候，盯着博士的脸看了一秒。“……老师说要看对方的脸。”说完她就走了，走得很快。
1013,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_LE_2,“博士，我把七条信号背下来了。”{Name}没头没尾地说。博士问什么信号，她的脸红了：“……榨精课的。边缘的。”
1014,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,{Name}拉着博士坐下，说要练观察。她盯着博士的脸，博士忍了一下，她立刻说“现在！”然后很得意：“老师说我看得准！”
1015,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,“爸爸，我能握三分钟了！”{Name}拿着握力器给博士看，握了一分钟，手开始抖。“……上课的时候是三分钟。”
1016,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,{Name}跑过来，让博士做表情。博士做了一个，她说“忍”，博士做了一个，她说“不忍”。“老师说我对了四次！”
1017,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,“爸爸你也看！”{Name}做了一个忍的表情，“我什么时候在忍？”博士说不知道，{Name}说：“老师说要看眼睛！”
1018,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,{Name}装作路过，在博士桌边停下，看了博士一眼，说：“博士今天有点累。”然后走了。博士后来才反应过来她在练观察。
1019,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,“博士，能忍一下吗？”{Name}的声音很小，“随便忍什么。我看看能不能看出来。”博士忍了，她说“现在”。对了。
1020,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,{Name}从博士身边走过，手指在桌沿上敲了一段节奏，快之后慢，慢之后停。走到门口她回头问：“博士听出来了吗？”
1021,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_2&CVP_A1_A|77_LE_5,“老师说我可以学四级了。”{Name}说这话的时候没看博士，看着自己的手。“……榨精。博士觉得我的眼睛……算了。”
1022,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,{Name}跑过来，盯着博士看了三秒，说：“爸爸你刚才忍了一下，耳朵红了。”博士愣住了。“老师说我的眼睛比大人都尖！”
1023,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,“爸爸，我教你！”{Name}做了一个表情，“看我的眼睛！你看出来了吗？——没有！老师说要练六年！”博士很努力，{Name}很失望。
1024,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,{Name}闭着眼睛听博士的呼吸，在博士呼吸变短的前一秒说了“现在”。说完她抬头看博士，眼睛亮得像灯。
1025,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,“爸爸，老师让我帮同学了！”{Name}很骄傲，“我像小老师！”然后她盯着博士的脸说要检查博士有没有忍。
1026,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,{Name}在博士对面坐下，看着博士，什么都没说。过了很久她说：“博士刚才忍了三次。”博士没有否认。
1027,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,“博士，”{Name}忽然说，“老师说我的眼睛比我的年纪懂事。”她说完低下头，“……我不知道这算不算夸奖。”
1028,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,{Name}坐在博士旁边，忽然说：“第三排左边那个人，刚才忍了一下。”博士不知道她在说谁。“……老师说七级以上就不用教了。”
1029,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&CVP_A1_A|77_G_5,“博士，能……让我看着你一会儿吗？”{Name}问得很艰难。博士看着她，她看着博士，然后博士的表情变了。她看见了，说：“现在。”
1030,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&time_0_to_9,一大早{Name}就堵在博士门口，盯着博士的脸：“爸爸！你昨晚没睡好！这是信号！”她背对了一条，用错了地方。
1031,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&time_0_to_9,早饭的时候{Name}盯着博士喝粥，在博士被烫到的前一秒说了“现在”。博士还是被烫到了，{Name}很得意。
1032,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&time_0_to_9,早上{Name}给博士递文件的时候，看了博士一眼，说：“博士今天有心事。”然后走了。她没说这是哪门课教的。
1033,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&time_0_to_9,早晨的走廊上，{Name}追上博士，忽然说：“博士，我今天早上看出三个人在忍。老师说……”她忽然不说了。
1034,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&time_aftermoon,下午{Name}从教室跑回来，第一件事就是找博士，把刚背下的信号背了三遍。第三遍漏了一条，她假装没漏。
1035,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&time_aftermoon,午后{Name}拉着博士坐下，说要给博士上一节课。她讲了五分钟“看变停撑”，博士记住了“看”。
1036,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&time_aftermoon,下午的办公室里，{Name}在博士桌边站了一会儿，看了博士一眼，然后走了。博士后来才反应过来那一眼是在观察。
1037,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&time_aftermoon,午后{Name}来找博士，说了半天别的事，最后才说：“……老师说我今天看得最准。榨精课。”
1038,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&time_night,睡前{Name}跑到博士房间，非要博士做表情让她猜忍没忍。博士做了五个，她猜对了三个。她很满意地回去睡了。
1039,show_off_study,0,self_is_player_daughter&CVP_A1_T|102_E_1&CVP_A1_CourseShowOff|77_G_0&time_night,晚上{Name}趴在博士腿上，盯着博士的脸：“爸爸你累了。这是信号。老师说的。”然后她自己先睡着了。
1040,show_off_study,0,self_is_player_daughter&CVP_A1_T|103_E_1&CVP_A1_CourseShowOff|77_G_0&time_night,晚上{Name}来说晚安，走到门口又回来：“博士，我今天榨精课……被表扬了。”她说完就跑了。
