key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,135,0,干员编号：135
Name,str,星源,1,姓名：星源
Sex,int,1,0,性别：女
Profession,int,4,0,职业：术师
Race,int,19,0,种族：黎博利
Nation,int,42,0,势力：莱茵生命
Birthplace,int,4,0,出生地：哥伦比亚
Hp,int,1500,0,初始体力：1500
Mp,int,2000,0,初始气力：2000
Dormitory,str,无,1,无：无
Token,str,一个自制彗星模型。过去的就让它过去吧，未来，在自己手中。,1,信物
Introduce_1,str,莱茵生命能量科研究员，埃琳娜·乌比卡博士。在罗德岛驻留期间则使用其原名作为代号以示区分。使用自制法杖以极具特色的源石技艺制衡敌人，但比起前线作战，本人更希望在后方承接专业研究及器械维护方面的工作。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,Ａ处女
T|2,int,1,0,Ｕ处女
T|3,int,1,0,Ｗ处女
T|4,int,1,0,无接吻经验
T|104,int,1,0,少女
T|123,int,1,0,普乳
T|127,int,1,0,普臀
T|130,int,1,0,肉腿
T|132,int,1,0,长足
T|150,int,1,0,源石病感染者
T|162,int,1,0,体表源石结晶
A|41,int,2,0,指挥技能level:2
A|42,int,2,0,战斗技能level:2
C|1,str,黑色风镜,1,角色眼镜为黑色风镜
C|5-1,str,黑色披风,1,角色上衣为黑色披风
C|5-2,str,蓝色短无袖马甲,1,角色上衣为蓝色短无袖马甲
C|5-3,str,白色短连衣裙,1,角色上衣为白色短连衣裙
C|7,str,黑色手套,1,角色手套为黑色手套
C|8,str,白色短连衣裙,1,角色下衣为白色短连衣裙
C|10,str,黑色过膝袜,1,角色袜子为黑色过膝袜
C|11,str,棕色筒靴,1,角色鞋子为棕色筒靴
C|13,str,绑带战术腰包,1,角色附属物为绑带战术腰包
