cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,365,0,high_1,{TargetName}香汗淋漓，呼吸急促，双腿开始发软，{Name}看在眼里，心疼不已，却也无可奈何，只能轻轻扶住她，让她靠在自己身上，结束了这次H。
1,365,0,high_1,{TargetName}的睫毛上挂着晶莹的汗珠，眼神迷离。{Name}心疼地替她擦去汗水，轻声问她：“要不要休息一下？”\n{TargetName}只是轻轻点了点头，靠在{Name}肩上，闭上了眼睛。
2,365,0,high_1,{TargetName}回应的动作越来越慢，意识也渐渐不太清醒。{Name}知道，她已经到了强弩之末。他轻轻揽住她的腰，让她好好躺在床上，结束了这次H。
3,365,0,high_1,{TargetName}的双腿开始发软，几乎站立不稳。{Name}眼疾手快地扶住了她，她的身体软绵绵地靠在他怀里，像一只疲惫的小猫。\n看来这次H只能到这里了。
4,365,0,high_1,在剧烈的绝顶之后，{TargetName}的脸色越来越苍白，嘴唇失去了血色。{Name}的心提到了嗓子眼，他轻轻地摇晃着她的身体，焦急地呼唤着她的名字。\n{TargetName}终于睁开了眼睛，歉意地笑了笑，轻声说：“我……我不行了。”
5,365,0,high_1,{TargetName}的力气越来越小，嘴里的呻吟变成了含糊不清的嘟囔，眼神也失去了光彩。\n{Name}虽然还希望能够一直这样和她做下去，可是她的身体已经不允许了，只好轻轻地抱住她，结束了这次H。
6,365,0,high_1,汗水浸湿了{TargetName}的鬓发，她有些虚弱地扶着{Name}，大口喘着气。{Name}用力抱住她：“我们先去休息一会儿，好吗？”\n{TargetName}点点头，依偎在{Name}的怀中，眼中闪过一丝不舍。
7,365,0,high_1,{TargetName}的脸上泛起不正常的红晕，她努力想保持住姿势，但身体却忍不住微微颤抖。她看向{Name}，眼中满是歉意：“对不起，我……我坚持不下去了。”
