cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一股又尖又利的酥麻猛地从{urethra}深处激窜而起，沿着那条极细的管道整根烧穿，尖锐得近乎痛楚，令{TargetName}幼小的意识几乎当场被冲垮。\n那里像是被连番的绝顶开发到敏感得再也承受不住，这一记远超以往的强烈快感夹着彻底失守、再也憋不住的排泄感，一齐炸开在她小腹与脑海里。\n幼小懵懂的她根本不明白自己排泄的地方为何会迸出这样凶猛的滋味，只觉得整个人都在失神地颤栗，脑子里一片空白。\n她既惊慌又羞乱，完全不懂身体为何这样失控，也丝毫不知这背后藏着怎样的后果，只能任凭那阵灭顶的酥麻将她彻底淹没。
1001,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一道尖利的酥麻感沿着{urethra}疾速窜过，仿佛有电流反复把这条纤细的通道整根灼穿，锐利得叫{TargetName}幼小的身子瞬间失神。\n接连不断的绝顶把那里的敏感度顶上了新的台阶，如今这非常强的一记快感远远盖过从前，几乎将她稚嫩的意识彻底冲垮。\n混着那股再也压不住的排泄感，快感如洪流般烧穿她单薄的小腹，令她懵懂无措。\n年幼无知的她压根不懂这种从排泄之处涌起的凶猛快意是什么，也不明白自己身体正发生怎样的变化，更不知这与孕育有着怎样的牵连，只能一片茫然地剧烈颤抖，任那灭顶的滋味将她吞没。
1002,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,又尖又刺的快感自{urethra}深处猛然炸开，沿着极窄的细管一路窜到脑门，锐利得几乎让{TargetName}承受不住，稚嫩的神志在那一瞬彻底散乱。\n那里被反复的绝顶磨得敏感度更上一层，这一波强烈的冲击比以往任何一次都要凶猛，令她整个人失神颤栗、不住痉挛。\n伴着彻底失控的排泄感，滚烫的快意像要把她纤弱的身子从内烧透。\n幼小的她惊惶地想，自己连撒尿的地方竟也变得这样敏感，一被撩拨就再也忍不住，可她根本不懂这意味着什么，也不知这凶猛的失禁般快感会带来怎样的后果，只能懵懂沉溺其中。
1003,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一股尖锐到近乎痛楚的酥麻从{urethra}激射而出，仿佛整条纤细的通道被电流反复烧穿，令{TargetName}幼嫩的意识几乎被这灭顶的快感冲垮。\n历经一连串绝顶后那里敏感得稍一撩拨便受不住，这非常强的一记远胜从前，混着再也憋不住的排泄感一齐涌上，冲得她脑中一片空白。\n单薄的身子失神地剧烈颤抖，她茫然又羞怯，不明白排泄之处怎会淌出这样凶猛的快意。\n对性懵然无知的她既不懂这翻涌的滋味从何而来，也不知自己稚嫩的身体正被开发成什么模样，只能任那股酥麻的洪流将她彻底淹没。
1004,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,尖利的酥麻沿着{urethra}整根窜过，锐利得像利针一路刺进小腹又直冲脑海，令{TargetName}稚嫩的思绪在刹那间被冲得七零八落。\n连番绝顶把那里的敏感度推上了新的高度，这一记强烈的快感远远超出以往，几乎将她小小的意识彻底冲垮，只剩下失神的颤栗。\n那股彻底失守的排泄感与凶猛的快意搅作一团，烧得她单薄的身子止不住痉挛。\n幼小无知的她慌乱又迷茫，不懂自己排泄的地方为何会绽出这般灭顶的滋味，更不知这背后潜藏的隐患，只能懵懵懂懂地沉没在这前所未有的强烈绝顶里。

1005,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,那股又尖又利的酥麻沿着{urethra}这条极细的通道整根窜上脑海，尖锐得近乎痛楚，敏感到年幼的{TargetName}几乎无法承受。\n连续攀顶太多次后，这处的敏感度早已升上一个新台阶，如今的快感强度远远盖过了以往的普通绝顶，令她的意识几乎被冲垮。\n混着彻底失守、再也憋不住的排泄感，那道快感洪流以{urethra}为轨迹炸开，瞬间烧穿了她青涩的小腹与脑海。\n虽已懂得性知识，好奇的她却没料到连排泄的地方都被开发到如此敏感，既迷乱又羞耻地在这前所未有的强绝顶里失神颤栗。
1006,action_part_u_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,一道尖利的快感像电流般反复把{urethra}整根烧穿，酥麻中夹着刺痒与近乎痛楚的锐感，年幼的{TargetName}只觉得脑子被烧得一片空白。\n这是敏感度升上新台阶后迎来的强绝顶，快感汹涌得远胜从前，她的意识几乎被这股洪流彻底冲垮，浑身止不住地战栗。\n再也压不住的排泄感彻底失守，那种以{urethra}为轨迹迸裂的极致快意令她又惊又迷。\n明明早已懂得这些性事，好奇心旺盛的她仍被这份连尿道都敏感到失控的强烈冲击震得灵魂发颤，沉溺在近乎崩溃的快意里。
