cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,first_kiss_but_penis,0,CVP_A1_T|107_E_1&high_1&CVP_A1_G_E_0,已为人妻的{Name}缓缓跪在{PlayerName}身前，那双曾戴着婚戒的手微微颤抖着解开他的裤链。\n她的初吻从未给过丈夫，如今却要献给眼前这个几乎陌生的男人的肉棒。\n{Name}的嘴唇轻轻贴上{PlayerName}半勃的龟头，柔软温热的触感让她浑身一颤，眼中闪过复杂的神色——罪恶、困惑，还有一丝难以启齿的兴奋。\n她犹豫地伸出舌尖，青涩地舔舐着冠状沟，唾液很快濡湿了整个龟头，淫靡的水光在昏暗中闪烁。\n身为人妻却在为陌生男人口交，这背德的事实让{Name}的脸颊泛起潮红，但她还是顺从地张开嘴，将那根粗硬的肉棒缓缓含入口中。\n温热的口腔紧紧包裹住柱身，{Name}笨拙地吞吐着，时不时用舌头绕着龟头打转，努力讨好这根本不属于自己丈夫的阴茎。\n她的眼神游离，脑海中闪过丈夫的面容，但身体却诚实地回应着{PlayerName}的性器，双手不自觉地扶住他的大腿，将肉棒吞得更深。\n{Name}的喉咙发出轻微的呜咽，龟头顶到了她的喉口，她强忍住干呕的冲动，用柔软的舌根按摩着敏感的龟头，口水顺着嘴角流下，滴落在她的胸口。\n这个把初吻献给陌生男人肉棒的人妻，在背德的羞耻中越陷越深，双腿不自觉地夹紧摩擦，身体深处涌出一股异样的热流。\n{Name}抬起含着泪光的眼睛望向{PlayerName}，嘴里含糊地发出呻吟，舌头更加卖力地侍奉着那根粗大的肉棒，似乎在用这种方式逃避内心的困惑与自责。
1001,first_kiss_but_penis,0,CVP_A1_T|107_E_1&high_1&CVP_A1_G_E_0,{Name}跪伏在{PlayerName}胯间，目光复杂地注视着眼前跳动的硕大肉棒，那是她即将献出初吻的对象——不是丈夫，而是这个几乎陌生的男人的性器。\n身为人妻的她颤抖着凑近，柔软的唇瓣虔诚地印在龟头上，那一刻，她感到一股电流窜过脊椎，羞耻与背德的快感同时涌上心头。\n她的舌尖怯怯地探出，沿着冠状沟缓缓描绘，品尝着属于男人的腥膻气息，口水不受控制地分泌，将整根阴茎舔得亮晶晶的。\n{Name}张开檀口，将{PlayerName}的肉棒缓缓吞入，温软的口腔紧致地包裹住入侵的硬物，她闭上眼睛，努力适应这陌生的触感。\n作为人妻却在为别的男人口交，这禁忌的事实让她浑身发软，却又莫名地亢奋，双手抓紧了{PlayerName}的裤腿，头颅开始前后摆动。\n她笨拙地吞吐着那根粗壮的肉棒，每次吞入都尽量深一些，龟头一次次顶到柔软的喉口，激起她阵阵干呕却又不愿停止。\n{Name}的舌头灵活地缠绕着柱身，时而卷弄马眼，时而滑向根部舔舐沉甸甸的睾囊，将整个性器都沾满自己的唾液。\n口水混合着前液顺着嘴角滴落，{Name}的眼眶逐渐泛红，眼中既有生理性的泪水，也有对自己背叛婚姻的自责与迷茫。\n但她的身体却背叛了理智，双腿紧紧夹在一起磨蹭，花穴深处泛起难耐的空虚，渴望着更多的填满。\n这个用初吻侍奉陌生男人肉棒的人妻，在背德的深渊中越沉越深，嘴里发出黏腻的水声，全心全意地用唇舌取悦着{PlayerName}的阴茎。
1002,first_kiss_but_penis,0,CVP_A1_T|107_E_1&t_imprisonment_1&CVP_A1_G_E_0,被囚禁在单人牢房里的人妻{Name}跪在冰冷的地面上，困惑地望着眼前{PlayerName}裤裆中掏出的粗大肉棒，这个已为人妇的女人从未想过自己的初吻会在这种情况下献出。\n她颤抖着张开双唇，缓缓凑近那根散发着雄性气息的阴茎，内心充满了对陌生男人的疑惑与对婚姻的愧疚，却因锁链的束缚而无从反抗。\n当柔软的唇瓣终于贴上龟头时，人妻{Name}的身体猛然一颤，属于另一个男人的腥膻味道在舌尖蔓延，她茫然地在肉棒上印下一个又一个羞耻的吻，完全不知道自己为何要对一个素不相识的陌生人做这种背德之事。\n她伸出粉嫩的舌头开始舔舐柱身，从根部一直向上滑到冠状沟，再绕着敏感的龟头打转，口水沿着青筋暴起的肉棒缓缓滴落，已婚妇人的眼眶逐渐泛红，却只能继续用唇舌侍奉着这根属于牢狱主人的肉茎。\n{Name}含住沉甸甸的睾囊轻轻吮吸，双手因铁链限制而无法动作，只能用嘴唇在囊袋上反复亲吻舔弄，舌面细细品味着那股浓郁的雄性味道，心中的困惑与屈辱混杂着难以言喻的背德刺激。\n她再次张开因多次亲吻而变得红肿的嘴唇，将整根粗大的阴茎慢慢吞入口中，龟头顶到喉咙深处时引发阵阵干呕，泪水模糊了人妻{Name}的视线，但她仍努力地收紧双颊，用温热湿润的口腔包裹着那根侵犯她初吻的肉棒。\n五分钟的淫靡口交让这个被监禁的人妻彻底沦为一个为陌生男人服务的口交肉便器，她一边吞吐着阴茎一边用舌头灵巧地舔弄着马眼，嘴角溢出的涎水混合着淫液在下巴上拉出银丝，眼神中写满了对自己堕落的迷惘与对丈夫的深深愧疚。
1003,first_kiss_but_penis,0,CVP_A1_T|107_E_1&t_imprisonment_1&CVP_A1_G_E_0,作为人妻却被关在狭小牢笼中的{Name}颤巍巍地凑近{PlayerName}胯下的肉棒，她无法理解自己为何要把珍贵的初吻献给这个囚禁自己的陌生男人，内心充斥着对婚姻的背叛感与深深的自我厌恶。\n当饱满的唇瓣第一次触碰到滚烫的龟头时，被锁链束缚的人妻浑身战栗，属于另一个男性的气息充斥着她的鼻腔，她只能顺从地在那根粗壮的阴茎上落下一个个带着泪痕的亲吻。\n{Name}闭上眼睛试图逃避现实，舌尖却不由自主地探出嘴唇，开始舔舐柱身上凸起的青筋脉络，从底部一路向上描绘着肉棒的轮廓，口腔分泌的唾液将整根阴茎涂抹得湿漉漉的，这个已婚女人不知道自己为何会沦落到给陌生人口交的地步。\n她用柔软的舌面包裹住敏感的龟头反复吮吸，舌尖灵巧地在马眼处打转，偶尔探入小孔舔弄引发肉棒的阵阵跳动，人妻{Name}的脸颊因羞耻而染上绯红，却因身处囚笼而无法停止这背德的侍奉。\n被迫跪在地上的{Name}将嘴唇向下移动，开始亲吻那对沉甸甸的囊袋，舌头在褶皱的皮肤上来回游走，仔细品尝着睾丸散发出的浓郁雄性气息，泪水无声地滑落她的脸颊，混合着口水滴落在冰凉的牢房地面上。\n最后她张开被肉棒磨蹭得红肿的嘴唇，将整根粗大的阴茎深深吞入喉中，人妻{Name}努力压制着呕吐的冲动，用收紧的喉咙按摩着入侵的龟头，双颊深陷形成强烈的负压吮吸感，口腔内壁紧紧贴合着滚烫的柱身。\n五分钟的口交让这个被监禁的人妻完全迷失在困惑与屈辱中，她机械地吞吐着那根夺走她初吻的阴茎，舌头在口腔中不断舔弄着敏感部位，眼神空洞地望着锁链另一端的陌生男人，完全无法理解自己为何会背叛丈夫与这个牢狱主人产生如此淫乱的关系。

1004,first_kiss_but_penis,0,CVP_A1_T|107_E_1&exhibitionism_sex_mode_1&CVP_A1_G_E_0,已婚多年的{Name}跪在几乎还算陌生的{PlayerName}面前，膝盖触碰到冰冷的地面时，她的心中涌起强烈的背德感与困惑。\n这扇门并没有上锁，随时可能有人推门进来——这个念头让她的羞耻心不断攀升，但身体却不自觉地颤抖着靠近博士的胯下。\n{Name}的嘴唇微微张开，呼出的热气喷洒在{PlayerName}勃起的阴茎上，这是她人生第一次如此近距离地面对男性的性器。\n她轻轻闭上眼睛，将柔软的双唇缓缓贴在粗壮的龟头上，这个本应属于丈夫的初吻，却被献给了一个几乎陌生的男人。\n羞耻与罪恶感同时涌上心头，{Name}不明白自己为何会与这个陌生人做出如此背叛婚姻的事情。\n她的舌尖战战兢兢地伸出，开始舔舐那已经渗出前液的铃口，腥咸的味道充斥着味蕾，让这位人妻感受到前所未有的禁忌刺激。\n{Name}的双手不自觉地抚上{PlayerName}粗壮的肉棒，纤细的手指握住柱身上下撸动，嘴唇则一路向下亲吻到布满青筋的茎身。\n她的舌头沿着凸起的血管游走，在沉甸甸的睾囊上流连忘返，仿佛在品尝一道从未尝过的美味，随时可能被人发现的紧张感让她的身体更加敏感。\n门外传来的脚步声让{Name}浑身一僵，但{PlayerName}按住她的后脑勺不让她离开，她只能含着博士的阴茎继续吮吸，心跳因恐惧和刺激而加速。\n脚步声渐渐远去，{Name}长舒一口气，却发现自己的内裤已经被羞耻的蜜液浸湿——与陌生人的背德行为竟让她如此兴奋，这让她在自我厌恶中感到更加困惑。\n她张开嘴将整根阴茎含入，龟头抵达喉咙深处时引发阵阵干呕，但她却没有退缩，而是努力放松咽喉让肉棒进入更深的位置。\n{Name}的喉咙紧紧包裹着{PlayerName}的龟头，收缩蠕动着为他进行深喉服务，她无名指上的婚戒在昏暗的光线中闪烁，无声地控诉着她对丈夫的背叛。\n这场持续数分钟的口交式初吻，让这位人妻在羞耻与快感中沉沦，明知可能被发现却无法停止，只能跪在{PlayerName}面前用嘴唇和舌头服侍着这根本不该亲吻的阴茎。
1005,first_kiss_but_penis,0,CVP_A1_T|107_E_1&exhibitionism_sex_mode_1&CVP_A1_G_E_0,{Name}半蹲在{PlayerName}身前，透过未拉紧的窗帘，她能看到外面偶尔走过的人影，这让身为人妻的她心跳如擂鼓，不明白自己为何要与这个几乎陌生的博士做出如此荒唐的事。\n她缓缓低下头，将脸凑近{PlayerName}已经完全勃起的阴茎，呼吸变得急促而紊乱，胸口剧烈起伏着。\n{Name}的双唇微微颤抖着靠近那根粗壮的肉棒，犹豫了片刻后，终于将柔软的嘴唇轻轻印在了龟头上——这是她作为女人的初吻，却没有给自己的丈夫，而是献给了这根陌生的阴茎。\n强烈的背德感如潮水般涌来，她的眼眶不自觉地湿润了，但嘴唇却没有离开，反而开始一下一下地轻啄着饱满的龟头。\n{Name}的舌尖小心翼翼地探出，舔过铃口渗出的透明液体，那股浓郁的雄性气息让她的身体泛起阵阵酥麻，羞耻与困惑交织在心头。\n她的嘴唇沿着青筋密布的柱身缓缓向下游走，每一寸肌肤都被她用唇舌温柔地抚慰，仿佛在亲吻一件珍贵的宝物。\n当{Name}的舌头滑过沉甸甸的囊袋时，门外忽然传来说话的声音，她的心脏几乎要从胸腔跳出来，身体僵在原地不敢动弹。\n{PlayerName}却不紧不慢地抚摸着她的头发，示意她继续，随时可能被撞破的危机感让她的蜜穴不自觉地收缩，淫液开始打湿内裤。\n声音远去后，{Name}用力吞咽了一下口水，然后张大嘴巴将{PlayerName}粗壮的阴茎整根含入，柔嫩的口腔被撑得满满当当。\n她的双手扶着博士结实的大腿，脑袋开始有节奏地前后摆动，每一次深入都让龟头触碰到敏感的喉口，引发阵阵想要呕吐的反应。\n但{Name}强忍着不适，努力收紧双颊用力吮吸，舌头灵活地在口腔中缠绕着入侵的肉棒，发出淫靡的水声。\n她的双眼因窒息感而泛红，泪水从眼角滑落，但这位已婚的人妻却没有丝毫停下的意思，反而更加卖力地吞吐着，在随时可能被发现的环境中，将自己最珍贵的初吻彻底献给了这个几乎陌生的男人的阴茎。
