cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,136,high_999&sys_1&in_dr_off,“这里就是罗德岛吗，设施环境似乎比龙门近卫局还好啊”应声而来的是高大的绿发独角鬼族女性\n她穿着随意，黑色长袖夹克缠在腰上，金属胸甲上放有一个对讲机，手持一面巨大的三角重型盾牌，东国的赤般若面刻在中间\n因为身高高的缘故她驼着背，就如一堵歪斜的墙靠在办公桌前，将坐在桌后的{PlayerName}笼罩在她的阴影之下\n“哈哈，之前战场上的合作我想我们已经了解很多了，安心，我的般若会再次保护博士和罗德岛的\n那么，星熊，重装干员，今后将是您的盾、您的利器、您的堡垒。请多多指教，博士”\n
2,first_meet,136,high_999&CVP_A3|10_OtherChara|0_E_1&sys_1&in_dr_off,“这里就是罗德岛吗，设施环境似乎比龙门近卫局还好啊”应声而来的是高大的绿发独角鬼族女性，\n她穿着随意，黑色长袖夹克缠在腰上，金属胸甲上放有一个对讲机，手持一面巨大的三角重型盾牌，东国的赤般若面刻在中间\n<blue>“星熊，你可别忘了本”站在{PlayerName}旁的蓝发龙女虽然表面有些恼火，但相比于对其他人的呵斥，更像是老朋友的调侃</blue>\n“啊呀老陈也在啊，早知道给你带点早茶了”刚被称为星熊的女性对着陈挠了挠头\n两人的视线又回到{PlayerName}上，鬼族女性走近挺直了背部站在办公桌前，刚才随和的语气转变更为庄重，\n“之前战场上的合作我想我们已经了解很多了，放心，我的般若会再次保护博士和罗德岛的\n那么，星熊，重装干员，今后将是您的盾、您的利器、您的堡垒。请多多指教，博士”
3,first_meet,136,high_999&CVP_A3|308_OtherChara|0_E_1&sys_1&in_dr_off,“这里就是罗德岛吗，设施环境似乎比龙门近卫局还好啊”应声而来的是高大的绿发独角鬼族女性，\n她穿着随意，黑色长袖夹克缠在腰上，金属胸甲上放有一个对讲机，手持一面巨大的三角重型盾牌，东国的赤般若面刻在中间\n<orange>“星熊，在你的同事面前说这话，是想跳槽吗”站在{PlayerName}旁的金发菲林虽然在质问着对方但脸上却洋溢着笑容</orange>\n“啊呀，小的有眼无珠啊，Missy宽宏大量无边原谅我吧”刚被称为星熊的女性向着诗怀雅双手合十赔礼着\n两人的视线又回到{PlayerName}上，鬼族女性走近挺直了背部站在办公桌前，刚才随和的语气转变更为庄重\n“之前战场上的合作我想我们已经了解很多了，放心，我的般若会再次保护博士和罗德岛的\n那么，星熊，重装干员，今后将是您的盾、您的利器、您的堡垒。请多多指教，博士”
4,first_meet,136,high_999&CVP_A3|2006_OtherChara|0_E_1&sys_1&in_dr_off,“这里就是罗德岛吗，设施环境似乎比龙门近卫局还好啊”应声而来的是高大的绿发独角鬼族女性\n她穿着随意，黑色长袖夹克缠在腰上，金属胸甲上放有一个对讲机，手持一面巨大的三角重型盾牌，东国的赤般若面刻在中间\n<purple>“我想也是时候改建近卫局的设施了，我会去转告魏的”举止端庄的独角紫发女性回应道</purple>\n“文月夫人！贵...贵安，您何时来到罗德岛的，下属不知”鬼族女性刚才的松弛感瞬间消散，紧绷了自己的神经\n<purple>“我此次到来只是寻访罗德岛，整改近卫局的事，我也会跟小陈说明的，不过星熊你还有更有重要的事，博士我就先告退了”文月夫人朝着{PlayerName}鞠躬后便离开了</purple>\n文月走后，星熊叹了口气\n“哈哈，让博士见笑了。虽然有些小插曲，但之前战场上的合作我想我们已经了解很多了，安心，我的般若会再次保护博士和罗德岛的\n那么，星熊，重装干员，今后将是您的盾、您的利器、您的堡垒。请多多指教，博士”\n
5,first_meet,136,high_999&sys_1&self_visitor_flag_1,“这里就是罗德岛吗，设施环境似乎比龙门近卫局还好啊”应声而来的是高大的绿发独角鬼族女性\n她穿着随意，黑色长袖夹克缠在腰上，金属胸甲上放有一个对讲机，手持一面巨大的三角重型盾牌，东国的赤般若面刻在中间\n因为身高高的缘故她驼着背，就如一堵歪斜的墙靠在办公桌前，将坐在桌后的{PlayerName}笼罩在她的阴影之下\n凑近后，你能看到她的脸颊下方有一道明显的疤痕，她的金绿色瞳孔对上了你\n“博士，受罗德岛的特邀，星熊干员将在贵舰停留观察，将考核结果上报给龙门的管理者，那么这段期间就请多多关照了”说完星熊以标准的东国礼仪行礼鞠躬
7,move,136,place_2&sys_0&high_1,“哟，博士”\n高大的绿发鬼族女性朝你打了声招呼
8,move,136,high_1&place_6&sys_1,“哟，博士”\n高大的绿发鬼族女性朝你打了声招呼
9,move,136,love_ge_3&sys_1&place_6&high_10,“哟，{PlayerName}要去哪里”\n高大的绿发鬼族女性朝你招了招手
10,move,136,love_ge_3&sys_0&place_2&high_10,“哟，{PlayerName}要去哪里”\n高大的绿发鬼族女性朝你招了招手
11,move,136,place_2&sys_0&high_1&night_entertainment_time&CVP_A2_G_LE_2,“哟，博士，要去外面兜风吗”\n已经换上车装的星熊，朝你打了声招呼
12,move,136,place_2&sys_0&high_1&night_entertainment_time&CVP_A2_G_GE_3,“{PlayerName}，今天也要一起去老地方兜风吗”\n...\n“放心，那块郊区不可能会有人来的”\n说完，{TargetName}就将头盔套在了{PlayerName}的头上，话说明明自己是督察却带头飙车
13,move,136,high_1&sys_1&place_8,“嗯，下次见，博士”
14,move,136,sys_1&place_8&high_5&CVP_A2_G_LE_2&CVP_A2_X_GE_100,“呀，要走了吗，那之后再聊吧”
15,move,136,love_ge_3&sys_1&place_8&high_10,“{PlayerName}，今晚的酒会别忘了”星熊在{PlayerName}离开前耳语道，并留下一个啄吻
16,move,136,place_2&high_1&night_entertainment_time&sys_1&CVP_A1_G_LE_2,“哟，博士，要去外面兜风吗”\n已经换上车装的星熊，朝你打了声招呼
17,move,136,place_2&high_1&night_entertainment_time&sys_1&CVP_A1_G_GE_3,“{PlayerName}，今天也要一起去老地方兜风吗”\n...\n“放心，那块郊区不可能会有人来的”\n说完，{Name}就将头盔套在了{PlayerName}的头上，话说明明自己是督察却带头飙车
20,move,136,high_1&place_4&sys_0,“嗯，下次见，博士”
21,move,136,sys_0&place_4&CVP_A2_G_LE_2&CVP_A2_X_GE_100,“呀，要走了吗，那之后再聊吧”
22,move,136,high_1&love_ge_3&place_4&sys_0,“{PlayerName}，今晚的酒会别忘了”星熊在{PlayerName}离开前耳语道，并留下一个啄吻
30,chat_failed,136,high_1&sys_0&CVP_A2_X_L_50,{PlayerName}试图想要与对方交流但想不出什么话题\n“博士要是想找人谈话的话，可以去找别人谈话”
31,chat_failed,136,high_1&sys_0&CVP_A2_X_L_100&CVP_A2_X_GE_50,{PlayerName}反复的提起刚才的话题，但星熊似乎已经对此不感兴趣\n“博士我想这件事还有其他人不知晓，你可以去向其他人交谈”
32,chat_failed,136,high_1&sys_0&CVP_A2_X_GE_100&not_fall,{PlayerName}反复的提起刚才的话题，但星熊似乎已经对此不感兴趣\n“嗯，博士刚才的话很有趣，但反复提及这个话题，会不会有些乏味了”
36,wait,136,high_1&sys_0&t_is_follow&CVP_A1_G_LE_2,“在此等候吗，是，博士”
37,wait,136,high_1&sys_0&CVP_A2_G_LE_1,“博士在这干什么呢，是在等谁吗”\n...\n“这样啊，那我就先避让了”
38,wait,136,high_1&sys_1&sys_5,“今天的行程看来没满...空余时间要不要去喝酒呢”
39,wait,136,high_1&sys_1&CVP_A1_G_LE_2&is_follow,“嗯？没什么，我只是守在博士你旁边”
40,chat,136,sys_1&sys_4&CVP_A1_G_LE_2,“博士总是包裹的很严实呢？”\n...\n“啊~只是有些好奇，毕竟罗德岛的领袖是那位小兔子呢”\n...\n“并没有瞧不起阿米娅小姐的能力，相反她的能力出众，反倒让我更加敬畏她了。”
41,chat,136,sys_1&sys_5,“罗德岛上有来自各地的精英人士聚集于此，真是让人扩大眼界呢”
42,chat,136,sys_1&sys_4&CVP_A1_X_L_100&CVP_A1_G_LE_2&high_1,“罗德岛虽然是制药公司但却拥有如此精密的军事能力，但听说罗德岛好像还有其他的业务”\n...\n“我想传闻不单单是指制造赤金这些吧”
43,chat,136,sys_1&sys_4&CVP_A1_G_LE_2&high_1&CVP_A2_A|42_L_3,“最近罗德岛上的人越来越多了，博士要小心点”\n...\n“博士不用担心我，不过我也会守护好你的”
50,chat,136,CVP_A2_X_LE_50&sys_0,...\n“博士请放心，我来罗德岛也有一阵子了，对于岛上的了解我已大致知晓”
51,chat,136,CVP_A2_X_G_50&not_fall&sys_0,...\n“酒会？哎呀没想到罗德岛上还会有这些活动，我肯定会去的，博士也会来的吧。放心博士，要是你酒量不好我会帮你挡着的”\n鬼族女性自信的拍了拍自己的胸脯
53,chat,136,CVP_A2_X_G_50&sys_0&CVP_A2_G_LE_2,...\n“今晚也有酒会吗，博士也会去的吧？”\n...\n“昨天去过就不去了？要是酒还没醒，今晚坐我旁边就好了我会帮博士挡酒的”\n...\n“哈哈哈，工作方面的事我会帮博士处理完的，不过罗德岛上的酒对我来说还是太轻了。安心博士，有我在今晚你的嘴会被我的盾会挡在‘战场’前的”\n看来今晚的星熊会成为你挡酒的般若
54,chat,136,sys_0&CVP_A2_G_E_3&CVP_A1_Flag|2_L_10&CVP_A3|115_F_G_100,...\n“{PlayerName}还跟我道谢啊，我们明明都已经是恋人了，不过我也是失职，昨天在我不方便的时候留下{PlayerName}一个人面对劝酒”\n‘但{Name}回来的时候不是也帮我撑场子了吗，还把乌萨斯的那几位给吓到了’\n“诶我那时候有那么恐怖吗，不过昨天凛冬小姐带来的酒实在是太烈了，那些小孩子也不怎么会控制分寸，不过那次之后我想她们也会收敛一点”
55,chat,136,sys_0&CVP_A2_G_E_3&high_5,...\n“我相信{PlayerName}的判断，但...”\n...\n“可是这个...”\n...!\n“好吧，抱歉兄弟，我会再等一阵子让你和我的老朋友们团聚的”\n{TargetName}对着Horley牌子的电单车，唉声叹气着
56,chat,136,high_10&sys_4&sys_1&CVP_A2_A|41_GE_2&CVP_A1_G_E_0,“博士知道这里怎么去吗？”\n...\n“博士不知道吗？”\n...\n“失忆吗...那么博士就和我这个初来乍到的一样啊，不过指挥能力还是如此精密，该不愧是博士吗\n不过正好我要去熟悉罗德岛，博士一起去吧”\n说完，{PlayerName}在星熊的陪伴下利用prts基本熟悉了罗德岛的设施，但星熊还是建议{PlayerName}之后走过一遍比较好
57,chat,136,sys_4&CVP_A1_X_G_50&sys_1&CVP_A1_G_LE_2,“博士知道这里怎么去吗？”\n...\n“哦，罗德岛会利用PRTS来熟悉罗德岛的设施吗，真是方便啊”\n星熊盯着看PRTS的时候凑近了{PlayerName}，两人的手臂靠在一起
58,chat,136,sys_4&sys_1&CVP_A1_G_LE_2&CVP_A1_X_G_100,“罗德岛上居然还有龙门食府，那里的水晶壳饺相当之美味啊”\n...\n“味道上跟龙门地道的没什么区别，只是总感觉少了什么，我想可能是文化底蕴？”\n文化底蕴是什么调料吗
60,stroke,136,high_1&sys_0&not_fall,{PlayerName}偷摸着想要靠近眼前这位绿色的高墙，但却被星熊发现了\n“嗯？怎么了吗博士”\n虽然注意到了{PlayerName}的意图，但星熊并没有避开
