cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}将勃起的阴茎贴在{TargetName}佩戴的附属物表面轻轻摩擦，几下之后便射出精液，白浊液体沿着附属物的表面缓缓流淌\n{TargetName}看着自己身上的附属物被沾染上白色液体，表情微微变化，却没有立即取下\n{Name}满意地看着自己的杰作，手指轻轻抹过附属物表面，将白浊液体涂抹得更加均匀\n附属物上残留的精液在光线下泛着微弱的光泽，两人的呼吸都变得有些急促\n
1000,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}双手固定住{TargetName}佩戴的附属物，将勃起的阴茎贴在其表面来回摩擦，很快便到达临界点\n随着一声低吟，{Name}射出精液，白浊液体在附属物上形成一小片湿痕\n{TargetName}低头看着自己的附属物被染上精液，眼神中闪过一丝羞耻与无奈\n{Name}满足地看着自己的成果，手指轻轻拨弄着那片沾染了精液的区域\n
1001,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}将{TargetName}佩戴的附属物轻轻抬起，将阴茎插入附属物与皮肤之间的缝隙中摩擦，几下之后便射出精液\n白浊液体沿着{TargetName}的皮肤和附属物之间的缝隙流淌，形成一道道湿润的痕迹\n{TargetName}感受到附属物下方传来的温热湿意，脸上浮现出一丝羞赧\n{Name}欣赏着精液在附属物与皮肤之间的流淌，心中涌起一股奇特的满足感\n
1002,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}用手指轻轻抚摸{TargetName}的附属物，然后将阴茎贴在其边缘摩擦\n几下之后便释放了出来，精液顺着附属物的边缘流淌，部分滴落在{TargetName}的肌肤上\n{TargetName}感受到皮肤上传来的湿热触感，不由得微微颤抖\n{Name}看着白浊液体在附属物与肌肤之间形成的痕迹，满意地点了点头\n
1003,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}让{TargetName}保持静止，将阴茎放在她附属物的表面摩擦\n随着一阵快感袭来，{Name}射出精液，白浊液体在附属物上形成一片湿润区域\n{TargetName}看着附属物上的精液，表情变得有些复杂，却没有立即取下\n{Name}看着自己的液体沾染着附属物，心中升起一股奇妙的满足感\n
1004,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}将{TargetName}的附属物摘下，把阴茎放在其内侧摩擦，几下之后便射出精液\n白浊液体沾满了附属物的内侧，然后{Name}将其重新戴回{TargetName}身上\n{TargetName}感受到附属物传来的湿热触感，脸上浮现出一丝无奈\n{Name}满意地看着{TargetName}重新佩戴上被自己精液浸湿的附属物，内心满足感油然而生\n
1005,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}用手指轻轻抬起{TargetName}附属物的一角，将阴茎插入缝隙中抽动\n几下之后便到达高潮，精液喷射而出，部分沾在附属物上，部分流到{TargetName}的皮肤上\n{TargetName}感受到皮肤上的温热湿意，眼神中流露出羞耻与无奈\n{Name}放下附属物的一角，欣赏着白浊液体在附属物与皮肤之间的痕迹\n
1006,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}将{TargetName}的附属物微微调整位置，对准其中央部位射出精液\n白浊液体在附属物中央形成一小滩，随后缓缓向四周扩散\n{TargetName}看着自己的附属物被染上精液，表情有些复杂但并未表示反对\n{Name}满意地看着{TargetName}带着已被自己标记的附属物，脸上露出满足的微笑\n
1007,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}双手扶着{TargetName}的肩膀，将阴茎贴在她佩戴的附属物上摩擦\n几下抽动后便射出精液，白浊液体沿着附属物的纹理缓缓流淌\n{TargetName}看着自己精心佩戴的附属物被染上白色，脸上浮现出一丝羞耻\n{Name}欣赏着自己的精液在附属物表面形成的痕迹，心中涌起一股奇妙的满足感\n
1008,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}让{TargetName}侧身，将阴茎贴在她附属物的侧面摩擦，几下之后便释放出来\n精液沿着附属物的侧面缓缓流淌，形成一道明显的痕迹\n{TargetName}看着附属物被染上白浊，表情变得有些复杂\n{Name}欣赏着自己的杰作，满意地点了点头，手指轻轻抹过那片已被精液覆盖的区域\n
1009,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}将{TargetName}的附属物微微抬起，对准附属物与皮肤之间的空隙射出精液\n白浊液体部分留在附属物内侧，部分留在{TargetName}的皮肤上\n{TargetName}感受到温热湿润的触感，不由得微微皱眉\n{Name}放下附属物，看着白浊液体隐秘地存在于附属物之下，心中涌起一股奇特的满足感\n
1010,1009,0,CVP_A1_ShootPos|C13_E_1,\n{Name}握住{TargetName}附属物的一端，将阴茎顶端对准其缝隙摩擦，几下之后便射出精液\n白浊液体沿着附属物的缝隙流淌，部分渗入其中\n{TargetName}看着自己的附属物被沾染精液，眼神中闪过一丝羞耻\n{Name}满意地看着自己的杰作，手指轻轻拨弄着那片已被浸湿的区域\n
