cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,358,high_1,罗德岛干员丽萨……啊不对，是铃兰，干员铃兰！是我自己挑的代号喔，今天开始正式作为干员行动，请多指教！
2,day_hello,358,high_1,{PlayerName}博士，辛苦了。
3,official_work,358,high_1&high_5&sys_0,{PlayerName}博士需要帮忙吗？那学业就一会再说……
4,chat,358,sys_0&high_2,{Name}低头看着{TargetName}小小的身体，脑袋中的理智迅速变成了妄想。\n{TargetName}发现了{Name}的异样，开口问道\n“{Name}博士…？身体不舒服吗…？”\n{TargetName}弱弱的声音传到了你的耳边，把你拉回了现实之中
5,chat_failed,358,high_1&sys_0&favorability_le_2,{PlayerName}脑内的理智完全不够用了\n伸出手对着{TargetName}的腿摸了过去\n{TargetName}瞬间变成了对{PlayerName}的嫌弃脸，脸上挂满了一道道黑线\n“{PlayerName}博士...最低了…真的好糟糕啊，这个变态博士…！！！”\n{TargetName}发出了嫌弃{PlayerName}的喊声，推开{PlayerName}的双手，把腿抽了出来\n然而{PlayerName}却还在回味着{TargetName}生气的样子，对着{TargetName}的嫌弃脸依然发着呆\n过了好一阵，{PlayerName}才站起来变回了普通的兜帽人
6,stroke,358,high_5&sys_0&favorability_le_2,“矿石病的日常检查吗？好…{TargetName}会配合博士的。”\n{PlayerName}对{TargetName}提出了检查身体的要求，{TargetName}点点头同意了。\n{PlayerName}把手放在{TargetName}露出的肩膀上，小心的触摸着{TargetName}的肌肤。
7,stroke,358,high_5&sys_0&favorability_le_2,“矿石病的日常检查吗？好…{TargetName}会配合博士的。”\n{PlayerName}对{TargetName}提出了检查身体的要求，{TargetName}点点头同意了。\n{PlayerName}把手放在{TargetName}的头上，感受着{TargetName}发丝的触感，又摸了摸毛茸茸的耳朵。
8,stroke,358,high_5&sys_0&favorability_le_2,“矿石病的日常检查吗？好…{TargetName}会配合博士的。”\n{PlayerName}对{TargetName}提出了检查身体的要求，{TargetName}点点头同意了。\n{PlayerName}轻轻举起{TargetName}的手臂，摸了摸{TargetName}纤细的手腕。
9,touch_head,358,sys_0,{PlayerName}摸着{TargetName}的小脑袋\n“诶嘿嘿…博士的手好温暖”\n{TargetName}闭着眼享受着{PlayerName}的抚摸。
10,touch_head,358,sys_0&CVP_A2_X_G_200,{PlayerName}摸着{TargetName}的小脑袋\n“哈…又被博士触摸了…唔~”\n{TargetName}红着脸享受着{PlayerName}的抚摸。含情脉脉的望着{PlayerName}\n“这一边…也请摸一摸哦。”
11,morning_salutation_1,358,high_999,“博士…博士，早上了哟”\n{TargetName}的声音在耳边低语着\n{PlayerName}睁开了眼，视线边缘出现了熟悉的毛茸茸兽耳。\n“早安，博士~”\n{TargetName}双手撑在床边笑盈盈的对着{PlayerName}
12,morning_salutation_2,358,high_1,“啊，博士还在睡呢。”\n{Name}轻轻的推开房门，来到了{PlayerName}的床边\n“呼~”\n{Name}朝着睡梦中的{PlayerName}的耳朵吹了一口气\n{PlayerName}感受到耳边温热的气息，意识从睡眠中清醒了一半\n一定是小狐狸又来喊自己了，但是好享受，还想要更舒服一点。\n这样想着的{PlayerName}决定继续装睡\n“这样都没有醒吗…看来是需要更多的刺激了…哈…”\n耳朵被持续的轻吹热气，{PlayerName}的心跳都被刺激的加快了\n{Name}轻轻的把手放在{PlayerName}的胸口上，这下装睡的事就暴露了…\n“阿米娅姐姐给我读过的睡前故事里有这样一段，\n睡不醒的公主被吻一下就能从梦境中苏醒\n要不要，试一试呢？~”\n听着{Name}在耳边的低语，心跳更快了。\n“那么…试一下吧 啾~”\n身边的气息来到了脸上，嘴唇传来了湿润柔软的触感。\n轻轻的把眼睛咪开一条缝，小狐狸精致的容颜就在自己的面前。\n“哈啊…阿米娅姐姐讲的故事是真的诶~”\n{Name}从自己身上撑起一点身子，脸红着闭上双眼微笑的小狐狸击沉了{PlayerName}的心房\n{Name}，她就是我们的光…\n{PlayerName}激动地抱住了靠在自己身上的{Name}\n“早安…博士，该去吃早餐了，要好好吃饭哟”\n耳边传来甜甜的声音，精神抖擞的{PlayerName}回味了好一阵才放开{Name}爬了起来\n
13,night_salutation_2,358,high_1,“博士…差不多该，啊，已经睡着了啊”\n{Name}轻轻的推开房门，来到了{PlayerName}的床边\n“今天也忙碌了一天，辛苦了哦博士~”\n{Name}小心的抱住了{PlayerName}在耳边低语\n{PlayerName}在睡梦中也能感觉到这份温暖，紧绷的身体也难得的放松了。\n“睡得真香呢…”\n{Name}摸了摸{PlayerName}的头，轻轻的吻在了{PlayerName}的嘴唇上。停留了片刻。\n不知为何\n{PlayerName}的梦中出现了一个穿着红色军服带着面具的男子\n他正举起手说道我们终于互相理解了
14,night_salutation_1,358,high_1,“呼…呼，博士，终于找到您了，都这个时间了…去您的房间却没有找到人呢”\n{Name}脸上立刻流露出忧虑的神情，她轻咬着下唇，声音里带着难掩的焦急\n“哎呀，博士您怎么这么晚了还在工作呢？这对您的身体可不好啊！”\n{Name}伸手轻轻抚上{PlayerName}的手臂，掌心温暖柔软，让人不由自主地放松下来。\n“您知道我最担心的就是您的健康状况了。要是您累坏了身子，我会非常伤心的。”\n{Name}水汪汪的眼睛里透着真挚的关切之情。\n“博士，今晚就别再工作了…和我回房间吧？我准备了热牛奶和饼干喔？…”\n{Name}说着，眼中流露出撒娇般的神采，让{PlayerName}不禁心跳加速。\n{Name}温柔的声音像是最有效的安眠药，让{PlayerName}感到无比安心与放松。\n“所以…跟我回房间休息吧？”
15,night_salutation_3,358,high_999,“博士…打扰了哟”\n在{PlayerName}准备休息的时候，门外传来了{Name}的声音\n{Name}打开门低着头红着脸走了进来，{Name}轻咬着嘴唇，犹豫了好一会儿才开口道\n“那个…博士，您提出的要求…我都会努力的做到的！我会…尽可能…满足..博..…….”\n{PlayerName}笑着看着身前的小狐狸，就这样盯着{Name}说话的小嘴让{Name}的声音越来越小。\n{Name}又抬眼看了我一眼，眼神中透着难以掩饰的羞涩。{Name}慢慢地走到{PlayerName}面前，\n跪坐在{PlayerName}脚下，小心翼翼地解开了{PlayerName}的裤链…\n然后慢慢把脸凑近{PlayerName}的下体，犹豫片刻后{Name}闭上了眼…\n{Name}伸出粉嫩的小舌头，仔细地舔弄着{PlayerName}雄伟的肉棒。\n她那张娇艳欲滴的小红唇，此刻却做着如此禁忌之事。\n{PlayerName}最敏感的地带不断被{Name}湿漉漉的柔软香舌探索着\n让{PlayerName}舒服的长出了一口气。\n“勃…勃式…咕哈…啾…略咯略咯…这样子…舒服吗？”\n{Name}一手轻轻撸动着柱身，一手抚慰着囊袋，同时灵活的小舌头不停歇地在顶端打转。\n{Name}的眼神中逐渐露出了沉浸在口淫中的神情。发出的声音也越来越下流\n耳边传来绵绵不绝的淫靡之声，{Name}露出了平日里谁也无法看到的表情\n{Name}突然用力一吸，将{PlayerName}的硕大龟头包裹在小小的嘴里\n吸了一口也没有放开的意思，完全把{PlayerName}的龟头当做目标\n一口又一口的吮吸着面前的美味，中间还夹杂着舌头时不时的在最前端划过\n{PlayerName}不断感受着龟头被裹紧的快感，\n感觉自己的理智正在一点点不断的被身下的小狐狸吸走\n脑内也被想要满足的欲望充满了，把手轻轻按在{Name}的小脑袋上。\n{Name}立刻明白了{PlayerName}的状态\n双手撑在{PlayerName}的大腿两侧，\n俯下身上下吞吐起来。故意发出夸张的吸允声，\n时而用力一吸，发出“啵”的一声脆响，仿佛要将{PlayerName}的下体全部吸入腹中。\n“嗯…嗯…勃式的大肉棒真好吃…{Name}要被喂饱了呢…”边吸边说着下流的话语，故意用娇媚的眼神朝{PlayerName}看过来。\n{PlayerName}感觉身体快要爆炸了，这种视觉与听觉的双重刺激实在太过强烈。不断的喘着粗气。\n“可要全部射给{Name}才行哦……”\n说完{Name}继续卖力地吞吐。\n{PlayerName}感觉自己到达极限了，在{Name}又一次深喉的时候，{PlayerName}终于忍不住了\n按住身下{Name}的头，用力地挺进，将精液全部释放在{Name}的小口中。\n瞬间就把湿漉漉的口腔内部喷满了{PlayerName}的浓精，舌头，喉咙的小口，全部铺上了浓浓的一层白浊\n“唔…唔唔…好多…博士…好喜欢…❤”\n{Name}闭着眼，安静地任由{PlayerName}在她口中释放，\n直到最后一刻都不愿意抽离出来。\n“吸溜…咕噜噜…舔舔…prpr…全都交给{Name}…要睡觉了…今天的量要全部都交给{Name}的嘴巴才行…❤”\n{PlayerName}的精液此时完全变成了{Name}因为表现优秀得到的奖励一般，就算射出了这么多\n{Name}还是用舌头缠着肉棒轻轻的做着榨取的动作。一直吸到最后一滴为止\n接着{Name}把整根吞入口中，一边吸紧一边小脑袋慢慢的往后退，\n直到“啵”的一声，{PlayerName}的整根肉棒上都没留下一点精液的痕迹，被清扫的干干净净\n“哈…博士的…好美味…”\n{Name}如同展示一般的慢慢张开自己喷出热气的口腔，里面充满了{PlayerName}射入的液体\n展示完以后，{Name}合上嘴巴，喉咙明显的蠕动了几下。\n再次张开嘴，口腔中的浓精明显少了许多\n“博士，我做的好吗？”\n{PlayerName}看着小脸通红的{Name}，身体舒服的说不出话\n摸了摸{Name}的小脑袋\n“谢谢博士的款待…祝博士睡个好觉❤”\n{Name}捧起{PlayerName}的肉棒，再次吻在了龟头上\n仔细的为肉棒擦拭干净，\n等到博士回到床上躺下，\n走到房间门口关上了博士房间的灯。\n \n
