cid,name,country,leader,introduction
势力id,势力名,所属国别(见Birthplace.csv),领导人,介绍
int,str,int,str,str
0,1,0,1,1
势力列表,,,,

0,罗德岛,0,博士,致力于矿石病研究和感染者救治的国际性医疗机构。以治疗感染者为名义，实际上是一个武装组织，拥有强大的军事实力和医疗技术。
1,精英干员,0,凯尔希,罗德岛内部的高级作战人员组织，由经验丰富、实力强大的干员组成，负责执行最危险和重要的任务。
2,S.W.E.E.P,0,阿斯卡纶,罗德岛内部的特殊行动小组，专门负责清理和收容工作，处理各种危险物质和异常情况。
3,巴别塔,0,特蕾西娅,罗德岛的前身组织，由萨卡兹魔王特蕾西娅建立，旨在为感染者寻求和平共存的道路，后重组为罗德岛。
4,行动组A4,0,待填写,罗德岛的精英作战单位之一，负责执行高难度的战术任务和重要区域的作战行动。
5,行动预备组A1,0,待填写,罗德岛的预备作战单位，主要负责新人训练和一般性作战任务，是培养未来精英干员的重要组织。
6,行动预备组A4,0,待填写,罗德岛的预备作战单位分支，专门负责特定区域和特定类型的作战任务准备工作。
7,行动预备组A6,0,待填写,罗德岛的预备作战单位分支，负责后勤支援和战场救援等辅助性作战任务。
11,阿戈尔,1,待填写,地处深海的国家，对外相对封锁。其领土面积比维多利亚、乌萨斯、哥伦比亚等国加起来还大。\n国家权力掌控在科学执政官与技术执政官手中，设有深海猎人和海巡队等武装力量对抗海洋生物“海嗣”。
12,深海猎人,1,歌蕾蒂娅,隶属于深海国家阿戈尔的军事力量，主要在阿戈尔地区活动。深海猎人成立的宗旨是对抗海洋生物“海嗣”及其追随者深海教会，以避免其对阿戈尔地区乃至泰拉世界进行突袭。
21,玻利瓦尔,2,待填写,玻利瓦尔是位于泰拉大陆西北部的国家，与哥伦比亚接壤。国内常年持续着内战。玻利瓦尔国内政治混乱，目前陷入辛嘉斯王朝、联合政府和真正玻利瓦尔人三方内战的局面。
22,多索雷斯,2,坎黛拉,又称“双日城”，玻利瓦尔的中立度假城市，不属于任何势力。位于玻利瓦尔、哥伦比亚与莱塔尼亚三国的交汇处。有着玻利瓦尔最好的酒、咖啡、糖，还有每年一度的极限铁人大奖赛，吸引着源源不断的金钱，与渴望享乐、追逐名利者的目光，是玻利瓦尔的黑色心脏。
31,东,3,待填写,多种族混居的国家，官方语言为东国语，拥有神道文化，东国的武士刀在收藏界价格不菲。\n目前东国正处于南北朝的内战状态，北方由光严氏当家，南方由光元氏当家。八大家族掌握着全国军权。
41,哥伦比亚,4,哥伦比亚总统,全称哥伦比亚联邦，是泰拉大陆上最年轻的国家。野心很大，近十年一直都和周边国家有摩擦，小规模战事不断，也一直在基于利益而干涉他国内政。工业高度发达，各种新兴工业产品在国内外被广泛应用。电影、音乐和杂志产业繁荣，每年都会向泰拉各国输出大量的文化娱乐消费品。
42,莱茵生命,4,克丽斯腾,又称莱茵生命实验室、莱茵生命医学研究所，通称“莱茵生命”，是一家位于哥伦比亚的科技公司，致力于拓展生命科学、化学制造、生物应用等技术领域，也是哥伦比亚重点扶持的科技团体。公司由总辖构件科主任克丽斯腾·莱特和前防卫科主任塞雷娅联合创立。总部位于移动城市特里蒙，总设十科，以总辖构件科为首，下设五个科研科（结构科、能量科、源石技艺应用科、生态科、科学考察科）和四个事务科（商务科、防卫科、工程科、人力资源考察科）。
43,黑钢国际,4,弗兰卡,简称“黑钢”，是一家总部设立于哥伦比亚的大型跨国私人安全顾问和安全承包公司，向各国提供包括小到保镖雇佣、大到军事介入的各种安全服务。业务以提供私人安全顾问与防务承包相关的服务为核心，包括灾后后勤、工程抢险等多个领域的安保服务。
51,卡西米尔,5,待填写,以骑士而闻名的贵族共和国家，地处乌萨斯的西南角。如今因骑士竞技闻名泰拉。卡西米尔实行类似于军人-贵族共和政府的体制，目前扈从群体开始掌握大权。骑士阶层是其政治构成中重要的一环，骑士称号曾经是荣耀的象征。如果一个骑士家族长期缺乏长骑，则会被剥夺骑士家族的地位。资本介入后，以骑士为主体的商业化竞技比赛弱化了骑士的地位。传统的骑士阶层与新生的资产阶级以及其赖以为生的竞技骑士团体之间的矛盾十分尖锐，监正会和商业联合会也因此展开了激烈斗争。
52,红松骑士团,5,焰尾,卡西米尔的感染者骑士团，与其他感染者骑士一样，力求争取卡西米尔感染者骑士的地位。
53,临光家族,5,待填写,卡西米尔的古老贵族家族，以培养优秀骑士而闻名，家族成员多为杰出的骑士。
54,无胄盟,5,待填写,卡西米尔的刺客集团，已知成员有玄铁三人、青金二人、白金一人。与商业联合会存在紧密联系。
61,卡兹戴尔,6,待填写,常年内战的国家，国内目前已处于无政府状态。卡兹戴尔国内的绝大多数萨卡兹人均为感染者。\n卡兹戴尔城由军事委员会直接管理，各部族受辖于对应王庭，王庭受制于军事委员会。
71,拉特兰,7,教皇,拉特兰，或称拉特兰城，是位于泰拉大陆中部的神权国家。北邻叙拉古，维多利亚和莱塔尼亚；南邻伊比利亚；东邻雷姆必拓。在泰拉千年的战火与混乱中独树一帜，屹立不倒。所有萨科塔族民众都拥有天使般的光环和翅膀。
81,莱塔尼亚,8,待填写,位于泰拉大陆中部的二帝共治国家，以古典文化、音乐艺术而闻名，拥有发达的魔法教育体系和研究机构，在源石法术应用方面处于世界领先地位。泰拉世界“新文化”的发源地之一，严谨和浪漫是莱塔尼亚的代名词有浓厚开放的学术氛围。
91,雷姆必拓,9,待填写,雷姆必拓有着相当发达的源石矿脉，这也使得雷姆必拓成为了一个以矿工业闻名的国家，相应地，天灾在雷姆必拓发生的频率格外频繁。雷姆必拓地貌种类丰富，西部有森林分布，但大部分国土似乎都呈荒漠化的状态。
101,米诺斯,10,待填写,是位于泰拉大陆西南方靠近中央的国家，临近萨尔贡，因发达的艺术和锻造业而闻名。米诺斯各地的要职由祭司担当，祭司在米诺斯的国民信仰中有着独特的地位，祭司不仅仅是神职人员，也可能同时是一方军政领袖。米诺斯经常承办城际甚至国际的体育赛事，从而有着发达的旅游业。
111,萨尔贡,11,待填写,拥有广阔沙漠和古老文明的国家，以商贸和雇佣兵文化闻名，国内部族众多，政治结构复杂，历史上曾是强大的殖民帝国。
112,瓦伊凡,11,待填写,新近并入萨尔贡的地区，处于无政府状态，治安混乱。当地部族文化浓厚，民风彪悍，抵制外来统治。
121,萨米,12,待填写,地处泰拉大陆北部的国家，终年严寒，发展落后，遭受北原邪魔的坍缩影响，该地的萨米雪祀与独眼巨人共同抵御坍缩威胁。拥有独特的萨满文化和冰雪适应技术。萨米人以古老的部族制群聚生活，以“族树”为中心建立不同的部族。
131,维多利亚,13,待填写,由德拉克与阿斯兰统治的现代国家，占据了泰拉大地最为富饶的中央谷地，领土广袤，资源丰富，与多个核心圈国家相邻，除此之外还有数个开拓区与飞地，在核心圈国家中综合国力最强。维多利亚帝国强调强权与扩张，旨在泰拉大地上建立自己主导的国际秩序，通过霸权与掠夺开拓地维持贵族利益，以及维持维多利亚至上的世界体系。强权与扩张，军事实力强大，经济繁荣是维多利亚最显著的特色。
132,格拉斯哥帮,13,维娜,混迹于维多利亚伦蒂尼姆的一个中等规模帮派，据传，其至少控制了伦蒂尼姆数百个城邦地块中的一至两个。最初由因陀罗和摩根带领，现任领导者为推进之王，而现其部分成员在推进之王的领导下离开维多利亚并加入了罗德岛。格拉斯哥帮是一个“白天务工、晚上打架”的街头团体。她们严禁从当地居民身上获取经济利益，并且会通过以暴制暴的方式阻止其他犯罪团体骚扰他们的“地盘”，这也让格拉斯哥帮在当地建立了奇特的威信，当地居民也会热情招待她们。
133,深池,13,待填写,待填写
134,塔拉,13,待填写,待填写
141,乌萨斯,14,乌萨斯皇帝,幅员辽阔的北方帝国，拥有严酷的气候和强大的军事力量，以重工业和军事技术著称，政治制度威权专制。
142,乌萨斯学生自治团,14,凛冬,是一个由真理提议组建，以凛冬为核心形成的松散学生社团。成立于切尔诺伯格陷落后，被整合运动封锁的彼得海姆中学，成员均为当时被困于彼得海姆中学的学生。社团的成立帮助社团内幸存的学生们合力度过了最初的孤立和互信阶段，他们以“学生自治团”的名义进行自卫、援助和逃亡行动，最终在一间学生餐厅中被罗德岛救出，休养后决定加入罗德岛。
