cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}将勃起的阴茎贴在{TargetName}的下衣表面上摩擦，柔软的面料触感让他忍不住加快了动作\n随着一声低吼，{Name}射出精液，白浊液体在下衣上形成点点白斑\n{TargetName}低头看着自己下衣上的白色斑点，脸颊染上一层薄红，眼神中闪过一丝羞涩\n
1000,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手扶着{TargetName}的腰部，将勃起的阴茎放在她下衣的侧缝处摩擦\n随着快感的累积，{Name}射出精液，白浊液体沿着下衣的缝隙缓缓流下\n{TargetName}感受到腰侧传来的湿热感，不由得轻轻咬住下唇\n
1001,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}微微弯腰，将阴茎放在她下衣的后侧表面摩擦，布料的纹理增添了额外的刺激\n随着几次深呼吸，{Name}释放出来，精液喷洒在下衣上，形成醒目的痕迹\n{TargetName}感受到臀部传来的湿热触感，身体不由自主地轻颤了一下\n
1002,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}将勃起的阴茎放在{TargetName}下衣的裙摆边缘摩擦，细腻的边缘处理带来特殊的触感\n随着快感的积累，{Name}射出精液，白浊液体部分沾在下衣上，部分滴落在{TargetName}的小腿上\n{TargetName}感受到裙摆和腿部传来的湿热感，羞耻感和异样感交织在一起\n
1003,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻拉起{TargetName}下衣的一角，将勃起的阴茎插入形成的小空间中摩擦\n随着一阵快感袭来，{Name}射出精液，白浊液体沾湿了下衣的内侧\n{TargetName}感受到大腿外侧传来的湿热感，不由得微微蹙眉\n
1004,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手握住{TargetName}下衣的两侧，将勃起的阴茎贴在前侧表面摩擦\n随着快感的累积，{Name}射出精液，白浊液体在下衣上留下了明显的痕迹\n{TargetName}感受到前侧传来的湿意，眼神中闪过一丝复杂的情绪\n
1005,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}背对自己，将自己的阴茎插入她下衣的腰部与肌肤之间的缝隙中摩擦\n随着几次深呼吸，{Name}释放出来，精液喷洒在下衣内侧和{TargetName}的腰部肌肤上\n{TargetName}感受到腰部传来的湿热感，心跳不由得加快了几分\n
1006,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻将{TargetName}下衣的侧面拉开一小缝，将勃起的阴茎前端插入其中，借着缝隙摩擦敏感的龟头\n随着一阵快感袭来，{Name}射出精液，白浊液体沾湿了下衣内侧和{TargetName}的大腿\n{TargetName}感受到大腿侧面传来的温热湿意，眼中闪过一丝惊讶\n
1007,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手捧起{TargetName}下衣的一部分，形成一个临时的褶皱，然后将勃起的阴茎放在褶皱处摩擦\n随着快感的累积，{Name}射出精液，白浊液体沾湿了褶皱处的布料\n{TargetName}低头看着自己下衣上的湿痕，脸上浮现出一丝羞涩\n
1008,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}稍微分开双腿，将勃起的阴茎贴在她下衣的内侧与大腿之间的区域摩擦\n随着几次深呼吸，{Name}释放出来，精液喷洒在下衣内侧和{TargetName}的大腿内侧\n{TargetName}感受到大腿内侧传来的湿热感，不由得轻轻颤抖\n
1009,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻提起{TargetName}下衣的一角，将勃起的阴茎放在其与大腿外侧的缝隙中摩擦\n随着一阵剧烈的颤抖，{Name}射出精液，白浊液体沾湿了下衣内侧和{TargetName}的大腿外侧\n{TargetName}感受到大腿外侧传来的温热液体，呼吸变得有些急促\n
1010,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手扶着{TargetName}的肩膀，让她稍微前倾，然后将勃起的阴茎放在她下衣的后侧腰部处摩擦\n随着快感的积累，{Name}射出精液，白浊液体沿着下衣的后侧缓缓流下\n{TargetName}感受到腰部和臀部传来的湿意，脸颊微微泛红\n
1011,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻拉起{TargetName}下衣前侧的一小部分，将勃起的阴茎头部探入形成的小空间，感受着布料的柔软触感\n随着几次深呼吸，{Name}射出精液，白浊液体沾湿了下衣的内侧和一部分{TargetName}的腹部\n{TargetName}感受到腹部传来的湿热感，眼中闪过一丝复杂的情绪\n
1012,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}侧身，将自己的阴茎贴在她下衣的侧面褶皱处摩擦\n随着一阵快感袭来，{Name}射出精液，白浊液体沾湿了下衣的侧面\n{TargetName}感受到大腿侧面传来的湿热感，轻轻咬住下唇\n
1013,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻捏起{TargetName}下衣的边缘，将勃起的阴茎探入其与腿部之间的缝隙，感受着布料和肌肤的双重触感\n随着快感的累积，{Name}释放出来，精液喷洒在下衣内侧和{TargetName}的腿部\n{TargetName}感受到大腿传来的湿热液体，微微屏住了呼吸\n
1014,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手轻轻环抱{TargetName}的腰部，让她背对自己，然后将勃起的阴茎贴在她下衣的后侧摩擦\n随着几次深呼吸，{Name}射出精液，白浊液体在下衣后侧形成湿痕\n{TargetName}感受到臀部传来的温热感，身体不由自主地向前微微倾斜\n
1015,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}坐下，站在她面前，将勃起的阴茎放在她下衣的前侧摩擦\n随着快感的积累，{Name}射出精液，白浊液体沿着下衣的前侧滑落\n{TargetName}感受到大腿前侧传来的湿热感，脸上浮现出一丝羞涩\n
1016,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻将{TargetName}下衣的一部分折叠起来，形成一个临时的小口袋，将阴茎前端插入其中\n随着一阵剧烈的颤抖，{Name}释放出来，精液填满了那个小空间，一部分甚至渗透到了布料外侧\n{TargetName}感受到大腿传来的湿热液体，不由得轻轻抓住{Name}的手臂\n
1017,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手轻抚{TargetName}的背部，让她稍微弯腰，然后将勃起的阴茎放在她下衣的腰线处摩擦\n随着快感的累积，{Name}射出精液，白浊液体沿着腰线处的缝隙缓缓流下\n{TargetName}感受到腰部传来的湿意，眼中闪过一丝复杂的情绪\n
1018,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}抬起一条腿，将自己的阴茎贴在她下衣与大腿之间的缝隙处摩擦\n随着几次深呼吸，{Name}射出精液，白浊液体沿着下衣的边缘缓缓流下\n{TargetName}感受到大腿根部传来的湿热感，身体微微颤抖\n
1019,p_orgasm_small,0,CVP_A1_ShootPos|C8_E_1,\n{Name}轻轻拉起{TargetName}下衣的后侧，形成一个小空间，将勃起的阴茎插入其中摩擦\n随着一阵快感袭来，{Name}释放出来，精液喷洒在下衣内侧和{TargetName}的臀部\n{TargetName}感受到臀部传来的湿热液体，呼吸变得有些急促\n
1020,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}将勃起的阴茎贴在{TargetName}的下衣表面上快速摩擦，随着快感的累积，他的呼吸变得急促\n随着一声低吼，{Name}射出大量精液，浓稠的白浊液体完全浸透了{TargetName}下衣的一大片区域，形成明显的湿痕\n{TargetName}低头看着自己被精液浸湿的下衣，不由得瞪大眼睛，湿润的布料紧贴着肌肤，让她感到一丝凉意和异样的刺激\n
1021,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手紧紧扶住{TargetName}的腰部，将勃起的阴茎放在她下衣的侧缝处用力摩擦\n随着快感的爆发，{Name}射出大量精液，浓稠的白浊液体瞬间浸透了下衣的侧面，甚至沿着{TargetName}的大腿流下\n{TargetName}感受到腰侧和大腿传来的大量湿热液体，不由得轻声惊呼，湿透的下衣紧贴在皮肤上的感觉让她心跳加速\n
1022,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}深深弯腰，将阴茎放在她下衣的后侧表面快速摩擦，布料的纹理增添了额外的刺激\n随着一阵剧烈的颤抖，{Name}射出大量精液，浓稠的白浊液体瞬间浸透了下衣的后部，甚至沿着{TargetName}的大腿滑落\n{TargetName}感受到臀部和大腿传来的大量湿热液体，不由得绷紧身体，湿透的下衣紧贴在皮肤上的感觉让她微微颤抖\n
1023,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}将勃起的阴茎放在{TargetName}下衣的裙摆边缘用力摩擦，细腻的边缘处理带来特殊的触感\n随着快感的累积，{Name}射出大量精液，浓稠的白浊液体完全浸透了下衣的下摆，甚至大量溅到了{TargetName}的小腿上\n{TargetName}感受到裙摆和腿部传来的大量湿热液体，不由得轻声惊呼，湿透的布料紧贴在皮肤上的感觉让她感到一丝不适\n
1024,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}用力拉起{TargetName}下衣的一角，将勃起的阴茎插入形成的空间中快速抽动\n随着一声低吼，{Name}释放出大量精液，浓稠的白浊液体完全填满了那个空间，甚至从边缘溢出，浸湿了周围的布料\n{TargetName}感受到大腿外侧传来的大量湿热液体，不由得惊讶地张开嘴，湿透的下衣紧贴在皮肤上的感觉让她呼吸变得急促\n
1025,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}双手紧握{TargetName}下衣的两侧，将勃起的阴茎贴在前侧表面用力摩擦\n随着快感的爆发，{Name}射出大量精液，浓稠的白浊液体完全浸透了下衣的前侧，甚至沿着{TargetName}的双腿流下\n{TargetName}感受到前侧传来的大量湿热液体，不由得倒吸一口冷气，湿透的下衣紧贴在皮肤上的感觉让她感到一丝凉意和异样的刺激\n
1026,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}让{TargetName}背对自己，将自己的阴茎插入她下衣的腰部与肌肤之间的缝隙中快速抽动\n随着一阵急促的呼吸，{Name}射出大量精液，浓稠的白浊液体完全填满了缝隙，部分甚至溢出，浸湿了下衣和{TargetName}的腰部\n{TargetName}感受到腰部传来的大量温热液体，不由得轻声惊呼，湿热的感觉让她微微颤抖\n
1027,p_orgasm_normal,0,CVP_A1_ShootPos|C8_E_1,\n{Name}用力将{TargetName}下衣的侧面拉开一小缝，将勃起的阴茎前端插入其中，借着缝隙快速摩擦\n随着快感的累积，{Name}射出大量精液，浓稠的白浊液体瞬间填满了缝隙，完全浸湿了下衣内侧和{TargetName}的大腿\n{TargetName}感受到大腿侧面传来的大量湿热液体，不由得惊讶地张开嘴，湿透的下衣紧贴在皮肤上的感觉让她心跳加速\n
