cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,first_kiss_but_penis,0,CVP_A1_T|105_E_1&high_1&CVP_A1_G_E_0,{Name}跪在{PlayerName}面前，成熟的身躯微微颤抖，她的目光落在博士胯间那根粗壮的阴茎上，眼神中既有成年女性的从容，又带着几分难以掩饰的茫然。\n她不明白自己为何会与这个还算陌生的人走到这一步，更不明白自己的初吻居然要献给这根散发着雄性气息的肉棒。\n{Name}犹豫着将脸凑近，能感受到阴茎散发出的热度扑在脸颊上，那股浓郁的男性气息让她的心跳加速。\n她深吸一口气，丰润的嘴唇终于轻轻贴上了龟头，这个动作宣告了她初吻的归属——不是嘴唇，而是{PlayerName}的阴茎。\n柔软的唇瓣在龟头表面反复亲吻，每一下都带着成熟女性特有的温柔，却又夹杂着新手的生涩。\n{Name}的舌尖怯生生地探出，试探性地舔过马眼，尝到了微咸的前液，她的眉头微蹙，脸上浮现出复杂的表情。\n那条湿润的舌头开始沿着冠状沟缓缓游走，舔舐着每一寸敏感的肌肤，口水混合着前液在柱身上泛起晶莹的光泽。\n她的双手扶住阴茎的根部，能感受到血管在掌心跳动，这根肉棒的尺寸让她不禁暗自吃惊。\n{Name}将舌头向下延伸，舔过整根柱身，一直到达睾囊，她的舌尖在两颗沉甸甸的囊袋上打转，品尝着那里的汗味和体味。\n成熟的脸庞埋在{PlayerName}的胯间，她努力想表现得有经验一些，但偶尔抬起的眼神中流露出的困惑暴露了她的青涩。\n{Name}张开嘴巴，将龟头含入口中，温热的口腔包裹住敏感的前端，她的舌头在口中继续舔弄着。\n她试着将阴茎往喉咙深处吞咽，却被粗大的尺寸顶得有些作呕，眼角渗出了生理性的泪水。\n尽管如此，{Name}还是努力克服着不适，一点点将肉棒推向更深处，喉咙口的软肉紧紧包裹着龟头。\n她的头部开始前后摆动，嘴唇在柱身上来回滑动，发出淫靡的水声，每一次深入都让她更加理解这根阴茎的形状和温度。
1001,first_kiss_but_penis,0,CVP_A1_T|105_E_1&high_1&CVP_A1_G_E_0,{PlayerName}站在原地，看着{Name}慢慢蹲下身来，她那成熟而丰满的身躯在这个姿势下展现出诱人的曲线。\n{Name}的目光落在博士的阴茎上，内心充满了矛盾与疑惑，她不确定与这个并不熟悉的人发生如此亲密的接触是否妥当。\n但她还是将脸凑了过去，丰润的双唇微微张开，呼出的热气喷洒在充血的龟头上，让{PlayerName}忍不住轻颤。\n{Name}闭上眼睛，仿佛要用这种方式逃避现实，她的唇瓣终于印上了阴茎的表面，完成了这个另类的初吻。\n她的嘴唇在龟头上流连，一下一下地亲吻着，每个亲吻都带着成熟女性的柔情，却也混杂着几分不知所措的青涩。\n{Name}的舌尖探出，从马眼开始，沿着龟头的轮廓细细描绘，湿润的触感让阴茎表面泛起一层水光。\n她的双手抬起，手指环绕住粗壮的柱身，感受着那根肉棒在掌心里跳动，血管的脉搏清晰可辨。\n舌头向下游走，舔过冠状沟，舔过柱身上凸起的青筋，{Name}认真地品尝着每一寸肌肤的味道。\n她将脸埋得更深，舌尖抵达了两颗饱满的睾囊，那里的皱褶被她的舌头一一抚平，沾满了晶莹的唾液。\n{Name}重新将注意力转回龟头，张开嘴巴含住了那个硕大的前端，口腔被撑得满满当当。\n她努力模仿着想象中的动作，头部前后摆动，让阴茎在口中来回抽送，但不太熟练的节奏暴露了她的经验不足。\n{Name}试图将肉棒向喉咙深处推进，粗大的尺寸顶着她的软腭，引发了一阵干呕的冲动，她的眼眶泛红，却倔强地没有停下。\n口水从嘴角溢出，顺着下巴滴落，{Name}的吞咽动作让喉咙口的肌肉挤压着龟头，带来了强烈的快感。\n她的脸上既有成熟女性努力想表现得游刃有余的神态，又有面对陌生关系时无法释怀的困惑与迷茫。
1002,first_kiss_but_penis,0,CVP_A1_T|105_E_1&t_imprisonment_1&CVP_A1_G_E_0,被锁链束缚在监牢墙壁上的{Name}满脸屈辱与愤恨，当{PlayerName}将粗大的阴茎凑近她唇边时，她拼命偏过头试图逃避，但手腕上的镣铐限制了她的活动范围。\n{PlayerName}粗暴地捏住她的下巴，强迫她面对那根狰狞的肉棒，{Name}咬紧牙关不肯张口，眼中充满了对这个陌生男人的怨恨与不解。\n然而无论她如何抗拒，被囚禁的处境让她毫无选择，最终那丰润的成熟嘴唇不情愿地贴上了{PlayerName}阴茎的前端，这是她人生中第一次亲吻，却被迫献给了一个陌生人的肉棒。\n{Name}眼角含泪，嘴唇颤抖着轻轻触碰那灼热的龟头，柔软的唇瓣带着抗拒一下下印在粗糙的柱身上，动作僵硬而被迫。\n她的舌尖在{PlayerName}的强迫下探出，极不情愿地舔过阴茎表面，那成熟女性特有的滑腻舌头在柱身上游移，舌面感受着上面凸起的青筋，{Name}的表情尽显嫌恶与羞耻。\n作为大姐姐的她本该优雅从容，此刻却被迫跪在冰冷的牢房地面上为陌生人口交，成熟的身姿与屈辱的处境形成强烈反差。\n她的舌头被迫在龟头周围打转，舔舐着冠状沟处积累的腥膻，每一次品尝都让她胃部翻涌，却只能含泪继续。\n{Name}不明白自己为何沦落至此，为何要对一个几乎不认识的男人做这种下贱的事，困惑与屈辱交织在她成熟的眼眸中。\n{PlayerName}将阴茎往她嘴里推送，撑开那成熟女人的嘴唇，强迫她将龟头含入口中，{Name}的喉咙发出抵触的呜咽，但身体被牢牢禁锢无法反抗。\n她的舌头被迫裹住那根粗大的肉棒，嘴巴被撑得酸痛，唾液止不住地从嘴角溢出，滴落在她成熟丰满的胸脯上。\n{Name}努力压抑着干呕的反射，任凭那根阴茎在她口中进出，曾经高傲的大姐姐如今沦为被囚禁的口交工具，这第一次的亲吻充满了屈辱与自我厌恶。\n她的双手被锁链吊在头顶，成熟优雅的身体线条在挣扎中扭动，却只能眼睁睁地让那根肉棒玷污自己珍贵的初吻。
1003,first_kiss_but_penis,0,CVP_A1_T|105_E_1&t_imprisonment_1&CVP_A1_G_E_0,阴暗潮湿的单人牢房中，身着囚衣的{Name}被铁链锁在墙角，当{PlayerName}走近并掏出阴茎时，这个成熟的大姐姐立刻露出惊恐与厌恶的神情，拼命扭动身体想要逃离。\n然而镣铐无情地限制了她的动作，{PlayerName}抓住她柔顺的发丝将她的脸按向自己胯间，{Name}闻到那股浓烈的男性气息，胃部一阵痉挛。\n她死死闭着嘴唇不肯就范，眼眶中蓄满了不甘的泪水，作为大姐姐的骄傲让她无法接受被陌生人如此羞辱，但被囚禁的现实让她毫无还手之力。\n{PlayerName}捏紧她的两腮强迫她张嘴，那丰润成熟的嘴唇被迫分开，露出里面整齐的贝齿，随后那根狰狞的阴茎便挤入了她的口腔。\n{Name}从未亲吻过任何人，如今她的初吻却被一个陌生男人的阴茎无情夺走，柔软的唇瓣紧贴着粗糙的肉棒表皮，这种屈辱让她浑身颤抖。\n她的舌头无处躲避，被迫与那根粗大的肉棒亲密接触，舌面感受着阴茎上跳动的血管，那浓郁的雄性腥膻充斥着她整个口腔。\n{PlayerName}开始缓缓挺动腰部，让阴茎在她嘴里进出，{Name}成熟的脸庞因为羞耻而涨得通红，眼泪终于夺眶而出顺着脸颊滑落。\n她不明白命运为何如此作弄自己，为何要被囚禁在这里为一个陌生男人口交，成熟的眼眸中写满了困惑与绝望。\n龟头一次次顶到她的喉咙深处，引发阵阵干呕反射，{Name}的身体本能地想要逃离，但锁链将她牢牢固定在原地。\n她的嘴唇被操得红肿，舌头麻木地裹着那根肉棒来回舔舐，唾液混合着前列腺液在嘴角拉出淫靡的丝线，曾经优雅从容的大姐姐此刻狼狈不堪。\n{Name}的大腿因为屈辱和恐惧而止不住颤抖，成熟的身体蜷缩在墙角，却只能被迫用自己的嘴巴服侍这个陌生人的阴茎，她珍贵的初吻就这样在囚禁与强迫中被玷污殆尽。
1004,first_kiss_but_penis,0,CVP_A1_T|105_E_1&exhibitionism_sex_mode_1&CVP_A1_G_E_0,{Name}跪在{PlayerName}面前，成熟的身躯微微颤抖，她的目光不时飘向那扇未上锁的门，走廊里随时可能有人经过的紧张感让她的心跳不断加速。\n她缓缓俯下身，成熟却仍带着青涩的双唇慢慢靠近{PlayerName}勃起的阴茎，这将是她的初吻，却不是献给嘴唇，而是献给眼前这根散发着雄性气息的肉棒。\n{Name}的嘴唇轻轻贴上龟头，那一瞬间她的身体明显僵了一下，眼神中闪过一丝困惑和茫然，她不明白自己为何会与这个几乎陌生的博士做出如此淫靡的事情。\n她试图表现得像有经验的大姐姐那样从容，但颤抖的嘴唇出卖了她内心的青涩，轻柔的吻落在柱身上，一下又一下，仿佛在亲吻恋人的唇。\n她伸出柔软的舌头，舌尖羞怯地舔过龟头的冠状沟，品尝着那里渗出的腥咸液体，成熟的面容上泛起红晕，眼角带着一丝后悔与自我质疑。\n舌头开始在柱身上游走，从根部一路舔到顶端，她偶尔抬眼看向门口，随时可能被人撞见的羞耻感让她的身体不由自主地发热。\n{Name}张开丰润的双唇，将整个龟头含入口中，温热的口腔包裹住敏感的前端，她笨拙地吞吐着，想要表现得老练却反而暴露了自己毫无经验的事实。\n她的舌头在口腔中绕着阴茎打转，一边吞吐一边用手轻抚着囊袋，成熟的手法与青涩的表情形成鲜明对比，眼眶中似乎含着泪光，困惑着自己为何会沦落至此。\n{Name}努力将阴茎吞得更深，喉咙口被顶到时发出轻微的呜咽，她的双手扶着{PlayerName}的大腿，指尖因紧张而微微泛白，整个过程中不断压抑着声音，生怕惊动门外可能路过的任何人。
1005,first_kiss_but_penis,0,CVP_A1_T|105_E_1&exhibitionism_sex_mode_1&CVP_A1_G_E_0,{Name}半跪在地面上，成熟丰满的身体因羞耻而微微发颤，透过身旁的玻璃窗，外面人影若隐若现，随时可能被发现的危机感让她的呼吸变得急促。\n她凝视着{PlayerName}胯下那根粗壮的肉棒，这将是她人生中第一次亲吻，却要献给这个几乎陌生的人的阴茎，内心充满了迷茫与自我怀疑。\n{Name}深吸一口气，俯下身将丰润的嘴唇轻轻印在龟头上，柔软的触感让她想起本应是与爱人的初吻，如今却变成这般淫荡的场景，眼中闪过一丝复杂的情绪。\n她像是要证明自己作为大姐姐的从容，用双唇在阴茎各处落下轻吻，从顶端到柱身再到囊袋，每一个吻都带着青涩的生疏，却又努力表现出成熟的妩媚。\n舌尖探出，怯怯地舔过龟头的小孔，那里流出的透明液体被她舔入口中，腥咸的味道让她皱了皱眉，但还是继续用舌头描绘着柱身的每一条纹路。\n{Name}的舌头沿着阴茎上凸起的筋络来回游走，时不时警惕地看一眼窗外和门口，内心的羞耻感与被发现的恐惧交织在一起，让她的身体不断泛起淡粉色的潮红。\n她终于将阴茎含入口中，成熟的双唇紧紧包裹住粗壮的柱身，脸颊因吞吐动作而微微凹陷，想要表现得有经验却不时被呛到，脸上浮现出懊恼又困惑的神情。\n{Name}的头部有节奏地前后移动，将阴茎一点点吞入更深处，喉咙处传来轻微的咕噜声，她的双手抚摸着{PlayerName}的大腿根部，指甲因紧张而微微陷入肌肤。\n她努力将呻吟声压到最低，只发出模糊的呜呜声和口水搅动的淫靡水声，在这个随时可能被打断的环境中，用初吻侍奉着陌生人的肉棒，内心满是对自己行为的质疑与茫然。
