cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,

2300,examine_vulva_and_shape,0,CVP_A2_T|102_E_1,{Name}轻柔地分开{TargetName}稚嫩的小腿，仔细观察着幼女娇小的外阴部位。\n小女孩的阴唇粉嫩如花瓣，尺寸极其娇小，{Name}用指尖轻抚着那柔嫩的肌肤，感受着幼女私处的温热和柔软。\n{TargetName}天真地配合着检查，小脸微红地问博士为什么要看这里，完全不明白{Name}正在以色情的目光审视着她未发育的私处。\n{Name}的手指轻按着小女孩娇嫩的阴唇，感受着那种柔软细腻的触感，幼女的私处如同花苞般紧闭而美丽。\n他假装专业地检查着外阴的颜色和形状，实际上是在贪婪地欣赏着幼女最私密部位的纯真美丽，享受着触摸稚嫩肌肤的禁忌快感。\n{TargetName}乖巧地张开双腿，小手紧张地抓着衣角，对这种羞耻的检查感到困惑但仍然信任着博士的专业判断。
2301,examine_vulva_and_shape,0,CVP_A2_T|102_E_1,{Name}温和地抚摸着{TargetName}幼嫩的大腿根部，逐渐靠近她娇小的私处进行所谓的外阴形状检查。\n小女孩的外阴部位极其稚嫩，阴唇小巧如贝壳，{Name}用拇指轻抚着那粉嫩的肌肤，感受着幼女私处特有的柔软和温热。\n{TargetName}好奇地看着{Name}的动作，小声询问这样检查是否正常，纯真的眼神中带着疑惑和信任。\n{Name}故意放慢检查节奏，指尖在幼女娇嫩的阴唇上轻抚游走，享受着那种滑腻柔嫩的美妙触感。\n他假装观察外阴的健康状况，实际上是在以淫邪的目光欣赏着小女孩最隐私部位的纯洁美丽。\n{TargetName}羞涩地配合着检查，小手不安地摆弄着裙摆，完全不知道{Name}正在对她进行着怎样的猥亵行为。
2302,examine_vulva_and_shape,0,CVP_A2_T|102_E_1,{Name}蹲下身子，仔细观察着{TargetName}幼小身体的私密部位，以专业的口吻解释着外阴检查的必要性。\n小女孩的外阴娇嫩如初绽的花朵，阴唇粉嫩细小，{Name}用食指轻触着那柔软的肌肤，感受着幼女私处的纯真美丽。\n{TargetName}害羞地咬着下唇，小脸通红地问博士是不是所有小朋友都要做这样的检查，天真的话语让{Name}内心更加兴奋。\n{Name}的手指在幼女的阴唇间轻柔滑动，假装检查着肌肤的弹性和色泽，实际上是在享受着触摸稚嫩私处的刺激快感。\n他贪婪地注视着小女孩最隐私的部位，心中涌起强烈的占有欲和征服欲，同时保持着温和的表情安抚{TargetName}的紧张情绪。\n{TargetName}乖巧地保持着检查姿势，偶尔因为敏感而轻颤身体，完全相信这只是一次普通的身体检查。
2303,examine_vulva_and_shape,0,CVP_A2_T|102_E_1,{Name}温柔地让{TargetName}躺下，仔细端详着幼女娇小的外阴部位，假装进行专业的形状和发育状况评估。\n小女孩的私处如同未开的花苞，阴唇粉嫩娇小，{Name}用双手轻抚着那柔嫩的肌肤，感受着幼女身体的纯真和美丽。\n{TargetName}紧张地握着小拳头，水汪汪的大眼睛看着{Name}，小声问这样的检查会不会疼，童真的话语让{Name}心跳加速。\n{Name}故意延长检查时间，指尖在幼女的阴唇上细致游走，享受着那种丝滑柔嫩的触感和视觉上的美妙刺激。\n他以医学检查为借口，贪婪地欣赏着小女孩最私密部位的每一个细节，内心充满了禁忌的快感和占有欲。\n{TargetName}害羞地扭动身体，对这种羞耻的检查感到不好意思，但依然乖巧地配合着，完全信任博士的专业判断。
2304,examine_vulva_and_shape,0,CVP_A2_T|102_E_1,{Name}小心翼翼地分开{TargetName}幼嫩的双腿，温和地解释着外阴检查对幼女健康的重要性。\n小女孩的外阴极其娇小，阴唇如花瓣般粉嫩柔软，{Name}用指腹轻抚着那细腻的肌肤，感受着幼女私处特有的温热和柔嫩。\n{TargetName}羞涩地用小手遮住脸，偷偷透过指缝观察{Name}的动作，对这种检查方式感到既害羞又好奇。\n{Name}假装检查外阴的对称性和色泽，手指在幼女娇嫩的阴唇上轻柔按压，享受着那种滑腻柔软的美妙触感。\n他贪婪地注视着小女孩最隐秘的部位，心中涌起强烈的征服欲，同时温声安慰着{TargetName}的紧张情绪。\n{TargetName}乖巧地张开双腿配合检查，小身体因为敏感而时不时轻颤，完全不知道自己正在满足着{Name}内心深处的欲望。

2305,examine_vulva_and_shape,0,CVP_A2_T|103_E_1,{Name}温柔地抚摸着{TargetName}青涩的大腿，慢慢靠近她刚开始发育的私处，以专业的口吻进行外阴形状检查。\n萝莉的外阴呈现出青春期特有的粉嫩色泽，阴唇比幼女稍大但仍然娇小，{Name}用指尖轻抚着那柔嫩的肌肤，感受着少女身体的青涩美丽。\n{TargetName}害羞地低着头，小脸通红地问博士这样的检查是否必要，青涩的神情中带着一丝不安和困惑。\n{Name}故意放慢检查速度，手指在萝莉娇嫩的阴唇上轻柔游走，享受着那种滑腻柔软的触感和视觉上的强烈刺激。\n他假装观察外阴的发育状况，实际上是在贪婪地欣赏着萝莉最私密部位的青春美丽，内心充满了占有欲和征服欲。\n{TargetName}紧张地咬着下唇，小手紧握着衣角，对这种羞耻的检查感到不好意思，但仍然相信这是正常的医学检查。
2306,examine_vulva_and_shape,0,CVP_A2_T|103_E_1,{Name}轻抚着{TargetName}发育中的身体，仔细观察着萝莉外阴的形状和色泽，假装进行专业的健康评估。\n萝莉的私处带着青春期特有的粉嫩光泽，阴唇娇小而富有弹性，{Name}用双手轻抚着那柔软的肌肤，感受着少女身体的青涩魅力。\n{TargetName}羞涩地扭动身体，小声询问这样的检查是否所有女孩都要经历，纯真的话语中带着一丝担忧。\n{Name}的手指在萝莉娇嫩的阴唇间轻柔滑动，假装检查肌肤的弹性和敏感度，实际上是在享受着触摸少女私处的禁忌快感。\n他贪婪地注视着萝莉最隐秘的部位，心中涌起强烈的欲望，同时保持着专业的表情来掩饰内心的真实想法。\n{TargetName}害羞地用手遮住脸，透过指缝偷看着{Name}的动作，对这种亲密的接触感到既紧张又有些好奇。
2307,examine_vulva_and_shape,0,CVP_A2_T|103_E_1,{Name}温和地让{TargetName}放松身体，仔细端详着萝莉刚发育的外阴部位，以医学检查为借口进行猥亵行为。\n萝莉的外阴呈现出少女特有的娇嫩美丽，阴唇粉嫩而富有弹性，{Name}用指腹轻抚着那滑腻的肌肤，感受着青春身体的诱人魅力。\n{TargetName}紧张地握着小拳头，羞涩地问博士为什么要这样仔细检查，青涩的神情让{Name}内心更加兴奋。\n{Name}故意延长检查时间，手指在萝莉娇嫩的阴唇上细致按压，享受着那种柔软温热的美妙触感。\n他假装评估外阴的发育程度，实际上是在以淫邪的目光欣赏着萝莉最私密部位的每一个细节。\n{TargetName}害羞地配合着检查，小身体因为敏感而轻微颤抖，完全不知道自己正在被{Name}以色情的方式观察和触摸。
2308,examine_vulva_and_shape,0,CVP_A2_T|103_E_1,{Name}小心翼翼地分开{TargetName}的双腿，温声解释着外阴检查对萝莉健康发育的重要意义。\n萝莉的私处带着青春期特有的粉嫩色泽，阴唇娇小柔软，{Name}用双手轻抚着那细腻的肌肤，感受着少女身体的青涩美丽。\n{TargetName}羞涩地低着头，小脸通红地配合着检查，偶尔偷偷抬眼看向{Name}，眼中带着困惑和信任。\n{Name}的手指在萝莉娇嫩的阴唇上轻柔游走，假装检查外阴的对称性，实际上是在享受着触摸少女私处的刺激快感。\n他贪婪地注视着萝莉最隐秘的部位，心中涌起强烈的占有欲，同时温和地安抚着{TargetName}的紧张情绪。\n{TargetName}乖巧地保持着检查姿势，小身体因为羞耻而轻微发抖，完全相信这只是一次正常的身体健康检查。
2309,examine_vulva_and_shape,0,CVP_A2_T|103_E_1,{Name}轻抚着{TargetName}青涩的身体，仔细观察着萝莉外阴的每一个细节，假装进行专业的形状和发育评估。\n萝莉的外阴如花苞般娇嫩，阴唇粉嫩而富有弹性，{Name}用指尖轻触着那柔软的肌肤，感受着少女身体特有的青春魅力。\n{TargetName}害羞地咬着下唇，小声问这样的检查是否会很久，纯真的话语中带着一丝不安和期待。\n{Name}故意放慢检查节奏，手指在萝莉娇嫩的阴唇间轻柔滑动，享受着那种滑腻温热的美妙触感。\n他以医学观察为借口，贪婪地欣赏着萝莉最私密部位的青春美丽，内心充满了禁忌的快感和征服欲。\n{TargetName}紧张地配合着检查，小手不安地抓着床单，对这种羞耻的接触感到既害羞又困惑，但仍然信任着博士的专业判断。

2310,examine_vulva_and_shape,0,CVP_A2_T|104_E_1,{Name}温柔地抚摸着{TargetName}青春的大腿，慢慢靠近她已基本发育完成的私处，进行所谓的外阴形状专业检查。\n少女的外阴呈现出青春期后期特有的成熟美丽，阴唇比萝莉更加饱满但仍保持着青涩的粉嫩，{Name}用手指轻抚着那柔嫩的肌肤，感受着少女身体的诱人魅力。\n{TargetName}羞涩地红着脸，有些紧张地问博士这样的检查是否正常，青春的神情中带着一丝不安和好奇。\n{Name}故意放慢检查速度，手指在少女娇嫩的阴唇上轻柔按压，享受着那种柔软富有弹性的美妙触感。\n他假装观察外阴的健康状况和发育完成度，实际上是在贪婪地欣赏着少女最私密部位的青春美丽。\n{TargetName}害羞地配合着检查，小手紧张地抓着衣角，对这种亲密的接触感到既羞耻又有些期待，但仍然相信这是正常的医学检查。
2311,examine_vulva_and_shape,0,CVP_A2_T|104_E_1,{Name}轻抚着{TargetName}发育成熟的身体，仔细观察着少女外阴的形状和色泽，假装进行专业的健康评估。\n少女的私处带着青春的活力和成熟的魅力，阴唇饱满而富有弹性，{Name}用双手轻抚着那光滑的肌肤，感受着年轻身体的诱人触感。\n{TargetName}紧张地咬着下唇，羞涩地询问这样的检查是否所有成年女性都要经历，纯真的话语中带着一丝担忧。\n{Name}的手指在少女娇嫩的阴唇间轻柔滑动，假装检查肌肤的弹性和敏感度，实际上是在享受着触摸年轻私处的刺激快感。\n他贪婪地注视着少女最隐秘的部位，心中涌起强烈的欲望和占有欲，同时保持着专业的表情来掩饰内心的真实想法。\n{TargetName}害羞地用手遮住脸，透过指缝偷看着{Name}的动作，对这种检查方式感到既紧张又有些好奇。
2312,examine_vulva_and_shape,0,CVP_A2_T|104_E_1,{Name}温和地让{TargetName}放松身体，仔细端详着少女已发育完成的外阴部位，以医学检查为借口进行猥亵行为。\n少女的外阴呈现出青春期完成后的成熟美丽，阴唇饱满而富有弹性，{Name}用指腹轻抚着那滑腻的肌肤，感受着年轻身体的迷人魅力。\n{TargetName}羞涩地问博士为什么要这样详细检查，青春的神情中带着一丝不安和困惑，但仍然选择相信专业的判断。\n{Name}故意延长检查时间，手指在少女娇嫩的阴唇上细致按压，享受着那种柔软温热的美妙触感。\n他假装评估外阴的发育完成度和健康状况，实际上是在以淫邪的目光欣赏着少女最私密部位的每一个细节。\n{TargetName}害羞地配合着检查，年轻的身体因为敏感而轻微颤抖，完全不知道自己正在被{Name}以色情的方式观察和触摸。
